"Bowling_Team","Bowler","Batting_Team","Stadium","Season","Runs","Wickets","Balls","Average","Economy"
"Chennai Super Kings","Adam Milne","Kolkata Knight Riders","Wankhede Stadium",2022,19,0,15,Inf,7.6
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Buffalo Park",2009,24,2,18,12,8
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr DY Patil Sports Academy",2010,15,1,18,15,5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,20,0,12,Inf,10
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Kingsmead",2009,25,0,18,Inf,8.33333333333333
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2008,26,1,24,26,6.5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2010,41,0,24,Inf,10.25
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2011,38,3,24,12.6666666666667,9.5
"Chennai Super Kings","Albie Morkel","Deccan Chargers","MA Chidambaram Stadium",2012,16,1,18,16,5.33333333333333
"Chennai Super Kings","Albie Morkel","Deccan Chargers","Rajiv Gandhi International Stadium",2008,37,2,24,18.5,9.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2008,35,2,24,17.5,8.75
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2010,26,0,18,Inf,8.66666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2012,24,0,12,Inf,12
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Feroz Shah Kotla",2013,13,1,18,13,4.33333333333333
"Chennai Super Kings","Albie Morkel","Delhi Capitals","Kingsmead",2009,41,1,24,41,10.25
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2008,40,0,24,Inf,10
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2010,16,0,16,Inf,6
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2011,36,1,18,36,12
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2012,43,2,42,21.5,6.14285714285714
"Chennai Super Kings","Albie Morkel","Delhi Capitals","MA Chidambaram Stadium",2013,32,3,24,10.6666666666667,8
"Chennai Super Kings","Albie Morkel","Delhi Capitals","New Wanderers Stadium",2009,32,1,24,32,8
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala","Nehru Stadium",2011,17,0,12,Inf,8.5
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",2008,25,0,24,Inf,6.25
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",2010,6,1,12,6,3
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",2011,14,0,12,Inf,7
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","Eden Gardens",2013,36,0,24,Inf,9
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",2010,14,0,12,Inf,7
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",2011,32,0,18,Inf,10.6666666666667
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","MA Chidambaram Stadium",2012,62,2,48,31,7.75
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders","SuperSport Park",2009,39,0,18,Inf,13
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Brabourne Stadium",2010,26,0,24,Inf,6.5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Dr DY Patil Sports Academy",2010,20,1,18,20,6.66666666666667
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Eden Gardens",2013,12,2,18,6,4
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Feroz Shah Kotla",2013,26,1,18,26,8.66666666666667
"Chennai Super Kings","Albie Morkel","Mumbai Indians","M Chinnaswamy Stadium",2012,31,2,24,15.5,7.75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","MA Chidambaram Stadium",2012,20,0,24,Inf,5
"Chennai Super Kings","Albie Morkel","Mumbai Indians","St George's Park",2009,31,1,24,31,7.75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2008,44,0,18,Inf,14.6666666666667
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2011,19,1,24,19,4.75
"Chennai Super Kings","Albie Morkel","Mumbai Indians","Wankhede Stadium",2012,34,0,18,Inf,11.3333333333333
"Chennai Super Kings","Albie Morkel","Pune Warriors","MA Chidambaram Stadium",2011,28,3,24,9.33333333333333,7
"Chennai Super Kings","Albie Morkel","Pune Warriors","Subrata Roy Sahara Stadium",2012,22,0,12,Inf,11
"Chennai Super Kings","Albie Morkel","Pune Warriors","Subrata Roy Sahara Stadium",2013,20,0,18,Inf,6.66666666666667
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,48,1,24,48,12
"Chennai Super Kings","Albie Morkel","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2012,28,1,21,28,8
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2008,25,1,24,25,6.25
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2010,23,2,24,11.5,5.75
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2012,29,3,24,9.66666666666667,7.25
"Chennai Super Kings","Albie Morkel","Punjab Kings","MA Chidambaram Stadium",2013,20,0,24,Inf,5
"Chennai Super Kings","Albie Morkel","Punjab Kings","Punjab Cricket Association Stadium",2011,38,1,18,38,12.6666666666667
"Chennai Super Kings","Albie Morkel","Punjab Kings","SuperSport Park",2009,36,1,18,36,12
"Chennai Super Kings","Albie Morkel","Punjab Kings","Wankhede Stadium",2008,27,2,24,13.5,6.75
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","De Beers Diamond Oval",2009,24,1,18,24,8
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Dr DY Patil Sports Academy",2008,25,2,24,12.5,6.25
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","MA Chidambaram Stadium",2008,35,2,24,17.5,8.75
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","MA Chidambaram Stadium",2010,56,2,24,28,14
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","MA Chidambaram Stadium",2011,24,2,24,12,6
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sardar Patel Stadium",2010,46,2,24,23,11.5
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sawai Mansingh Stadium",2008,10,0,6,Inf,10
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sawai Mansingh Stadium",2011,21,1,18,21,7
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","Sawai Mansingh Stadium",2012,19,0,18,Inf,6.33333333333333
"Chennai Super Kings","Albie Morkel","Rajasthan Royals","SuperSport Park",2009,21,2,24,10.5,5.25
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Kingsmead",2009,13,2,24,6.5,3.25
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",2008,38,1,24,38,9.5
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",2010,28,1,24,28,7
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",2011,16,1,12,16,8
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2008,32,4,24,8,8
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2010,40,0,24,Inf,10
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2011,58,2,42,29,8.28571428571428
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2012,37,2,24,18.5,9.25
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","New Wanderers Stadium",2009,26,1,18,26,8.66666666666667
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","St George's Park",2009,12,1,12,12,6
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Wankhede Stadium",2011,40,0,24,Inf,10
"Chennai Super Kings","Andrew Flintoff","Delhi Capitals","Kingsmead",2009,50,0,24,Inf,12.5
"Chennai Super Kings","Andrew Flintoff","Mumbai Indians","Newlands",2009,44,1,24,44,11
"Chennai Super Kings","Andrew Flintoff","Royal Challengers Bangalore","St George's Park",2009,11,1,18,11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot","Mumbai Indians","MA Chidambaram Stadium",2013,25,1,18,25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot","Punjab Kings","Punjab Cricket Association Stadium",2013,10,0,6,Inf,10
"Chennai Super Kings","Ashish Nehra","Delhi Capitals","MA Chidambaram Stadium",2015,25,3,24,8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders","Eden Gardens",2015,36,0,24,Inf,9
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders","MA Chidambaram Stadium",2015,38,1,24,38,9.5
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Brabourne Stadium",2014,34,2,24,17,8.5
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Eden Gardens",2015,41,0,24,Inf,10.25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","MA Chidambaram Stadium",2015,45,0,18,Inf,15
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Wankhede Stadium",2015,51,4,48,12.75,6.375
"Chennai Super Kings","Ashish Nehra","Punjab Kings","MA Chidambaram Stadium",2015,16,2,24,8,4
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Punjab Cricket Association Stadium",2015,17,1,18,17,5.66666666666667
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Sheikh Zayed Stadium",2014,24,1,18,24,8
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Wankhede Stadium",2014,51,2,24,25.5,12.75
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals","MA Chidambaram Stadium",2015,29,0,24,Inf,7.25
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals","Sardar Patel Stadium",2015,32,0,24,Inf,8
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","JSCA International Stadium Complex",2015,28,3,24,9.33333333333333,7
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","M Chinnaswamy Stadium",2014,33,3,24,11,8.25
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","M Chinnaswamy Stadium",2015,10,4,24,2.5,2.5
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","MA Chidambaram Stadium",2015,19,3,24,6.33333333333333,4.75
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad","MA Chidambaram Stadium",2015,31,0,24,Inf,7.75
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2015,31,1,24,31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Deccan Chargers","MA Chidambaram Stadium",2012,31,1,24,31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","Feroz Shah Kotla",2014,34,1,24,34,8.5
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","MA Chidambaram Stadium",2012,44,4,42,11,6.28571428571429
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","Sheikh Zayed Stadium",2014,9,1,12,9,4.5
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","Eden Gardens",2012,26,1,18,26,8.66666666666667
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","Eden Gardens",2014,38,0,18,Inf,12.6666666666667
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","JSCA International Stadium Complex",2014,26,0,18,Inf,8.66666666666667
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","MA Chidambaram Stadium",2012,25,2,24,12.5,6.25
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","Dubai International Cricket Stadium",2014,39,2,24,19.5,9.75
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","M Chinnaswamy Stadium",2012,45,1,24,45,11.25
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","Wankhede Stadium",2012,34,2,24,17,8.5
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings","Barabati Stadium",2014,36,1,24,36,9
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2012,20,1,24,20,5
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals","Dubai International Cricket Stadium",2014,32,1,24,32,8
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals","Sawai Mansingh Stadium",2012,8,2,24,4,2
"Chennai Super Kings","Ben Hilfenhaus","Sunrisers Hyderabad","Sharjah Cricket Stadium",2014,32,2,24,16,8
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","MA Chidambaram Stadium",2013,25,1,18,25,8.33333333333333
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","Wankhede Stadium",2013,46,0,24,Inf,11.5
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals","Feroz Shah Kotla",2008,15,0,6,Inf,15
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians","Wankhede Stadium",2008,26,0,5,Inf,31.2
"Chennai Super Kings","Chamara Kapugedera","Punjab Kings","MA Chidambaram Stadium",2008,8,0,6,Inf,8
"Chennai Super Kings","Chandrasekar Ganapathy","Royal Challengers Bangalore","MA Chidambaram Stadium",2010,13,0,6,Inf,13
"Chennai Super Kings","Chris Jordan","Gujarat Titans","Maharashtra Cricket Association Stadium",2022,58,0,23,Inf,15.1304347826087
"Chennai Super Kings","Chris Jordan","Punjab Kings","Brabourne Stadium",2022,23,2,24,11.5,5.75
"Chennai Super Kings","Chris Jordan","Royal Challengers Bangalore","Dr DY Patil Sports Academy",2022,20,0,12,Inf,10
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad","Dr DY Patil Sports Academy",2022,34,0,18,Inf,11.3333333333333
"Chennai Super Kings","Chris Morris","Delhi Capitals","Feroz Shah Kotla",2013,13,1,12,13,6.5
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders","Eden Gardens",2013,12,1,18,12,4
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders","MA Chidambaram Stadium",2013,29,1,18,29,9.66666666666667
"Chennai Super Kings","Chris Morris","Mumbai Indians","Eden Gardens",2013,25,1,24,25,6.25
"Chennai Super Kings","Chris Morris","Mumbai Indians","Feroz Shah Kotla",2013,26,1,18,26,8.66666666666667
"Chennai Super Kings","Chris Morris","Mumbai Indians","Wankhede Stadium",2013,14,0,18,Inf,4.66666666666667
"Chennai Super Kings","Chris Morris","Pune Warriors","MA Chidambaram Stadium",2013,25,2,24,12.5,6.25
"Chennai Super Kings","Chris Morris","Pune Warriors","Subrata Roy Sahara Stadium",2013,21,1,18,21,7
"Chennai Super Kings","Chris Morris","Punjab Kings","MA Chidambaram Stadium",2013,31,0,18,Inf,10.3333333333333
"Chennai Super Kings","Chris Morris","Punjab Kings","Punjab Cricket Association Stadium",2013,27,2,24,13.5,6.75
"Chennai Super Kings","Chris Morris","Rajasthan Royals","MA Chidambaram Stadium",2013,32,0,18,Inf,10.6666666666667
"Chennai Super Kings","Chris Morris","Rajasthan Royals","Sawai Mansingh Stadium",2013,36,1,24,36,9
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore","M Chinnaswamy Stadium",2013,22,0,12,Inf,11
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore","MA Chidambaram Stadium",2013,40,3,24,13.3333333333333,10
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad","MA Chidambaram Stadium",2013,24,0,18,Inf,8
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2013,24,1,12,24,12
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore","JSCA International Stadium Complex",2014,38,2,17,19,13.4117647058824
"Chennai Super Kings","David Willey","Rajasthan Royals","Sawai Mansingh Stadium",2018,47,1,24,47,11.75
"Chennai Super Kings","David Willey","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2018,24,1,24,24,6
"Chennai Super Kings","David Willey","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",2018,24,0,12,Inf,12
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",2019,28,2,24,14,7
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Dubai International Cricket Stadium",2020,38,0,24,Inf,9.5
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Dubai International Cricket Stadium",2021,60,1,36,60,10
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Feroz Shah Kotla",2018,23,1,18,23,7.66666666666667
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Feroz Shah Kotla",2019,20,1,24,20,5
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","MA Chidambaram Stadium",2019,32,1,18,32,10.6666666666667
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Sharjah Cricket Stadium",2020,18,2,24,9,4.5
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Wankhede Stadium",2021,36,0,24,Inf,9
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Dubai International Cricket Stadium",2020,31,0,18,Inf,10.3333333333333
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Dubai International Cricket Stadium",2021,32,1,24,32,8
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Eden Gardens",2019,36,0,24,Inf,9
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","MA Chidambaram Stadium",2018,18,0,6,Inf,18
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","MA Chidambaram Stadium",2019,20,3,24,6.66666666666667,5
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Wankhede Stadium",2021,29,4,24,7.25,7.25
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Zayed Cricket Stadium",2020,47,0,24,Inf,11.75
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Zayed Cricket Stadium",2021,32,0,24,Inf,8
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Arun Jaitley Stadium",2021,37,0,24,Inf,9.25
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Dubai International Cricket Stadium",2021,19,2,24,9.5,4.75
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","MA Chidambaram Stadium",2019,76,2,45,38,10.1333333333333
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Maharashtra Cricket Association Stadium",2018,19,0,13,Inf,8.76923076923077
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Rajiv Gandhi International Stadium",2019,26,3,24,8.66666666666667,6.5
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Sharjah Cricket Stadium",2020,34,0,24,Inf,8.5
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Wankhede Stadium",2018,14,1,18,14,4.66666666666667
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Wankhede Stadium",2019,21,1,18,21,7
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Zayed Cricket Stadium",2020,32,2,24,16,8
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Dubai International Cricket Stadium",2020,17,0,18,Inf,5.66666666666667
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Dubai International Cricket Stadium",2021,48,1,24,48,12
"Chennai Super Kings","Deepak Chahar","Punjab Kings","MA Chidambaram Stadium",2019,40,1,24,40,10
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Maharashtra Cricket Association Stadium",2018,30,1,24,30,7.5
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",2018,37,0,18,Inf,12.3333333333333
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",2019,28,0,24,Inf,7
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Wankhede Stadium",2021,13,4,24,3.25,3.25
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Zayed Cricket Stadium",2020,30,0,18,Inf,10
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","MA Chidambaram Stadium",2019,19,2,24,9.5,4.75
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Maharashtra Cricket Association Stadium",2018,30,2,24,15,7.5
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Sawai Mansingh Stadium",2019,33,2,24,16.5,8.25
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Sharjah Cricket Stadium",2020,31,1,24,31,7.75
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Wankhede Stadium",2021,32,0,18,Inf,10.6666666666667
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals","Zayed Cricket Stadium",2020,18,2,24,9,4.5
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Dubai International Cricket Stadium",2020,41,3,42,13.6666666666667,5.85714285714286
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","M Chinnaswamy Stadium",2018,20,0,12,Inf,10
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","M Chinnaswamy Stadium",2019,25,2,24,12.5,6.25
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","MA Chidambaram Stadium",2019,17,0,24,Inf,4.25
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Sharjah Cricket Stadium",2021,35,1,24,35,8.75
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Wankhede Stadium",2021,25,0,12,Inf,12.5
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Arun Jaitley Stadium",2021,21,0,18,Inf,7
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Dubai International Cricket Stadium",2020,59,2,48,29.5,7.375
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","MA Chidambaram Stadium",2019,30,1,24,30,7.5
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",2018,16,1,24,16,4
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2018,15,3,24,5,3.75
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2019,31,1,18,31,10.3333333333333
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Sharjah Cricket Stadium",2021,32,0,24,Inf,8
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Wankhede Stadium",2018,56,1,48,56,7
"Chennai Super Kings","Dirk Nannes","Kolkata Knight Riders","MA Chidambaram Stadium",2013,50,0,24,Inf,12.5
"Chennai Super Kings","Dirk Nannes","Mumbai Indians","MA Chidambaram Stadium",2013,18,1,24,18,4.5
"Chennai Super Kings","Dirk Nannes","Pune Warriors","MA Chidambaram Stadium",2013,42,0,24,Inf,10.5
"Chennai Super Kings","Dirk Nannes","Punjab Kings","Punjab Cricket Association Stadium",2013,17,2,23,8.5,4.43478260869565
"Chennai Super Kings","Dirk Nannes","Royal Challengers Bangalore","MA Chidambaram Stadium",2013,31,1,24,31,7.75
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Dr DY Patil Sports Academy",2010,13,4,24,3.25,3.25
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,20,2,13,10,9.23076923076923
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","MA Chidambaram Stadium",2011,26,2,24,13,6.5
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Vidarbha Cricket Association Stadium",2010,31,0,18,Inf,10.3333333333333
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","Feroz Shah Kotla",2012,18,0,12,Inf,9
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","MA Chidambaram Stadium",2010,24,2,24,12,6
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","MA Chidambaram Stadium",2011,38,1,24,38,9.5
"Chennai Super Kings","Doug Bollinger","Kochi Tuskers Kerala","MA Chidambaram Stadium",2011,38,1,24,38,9.5
"Chennai Super Kings","Doug Bollinger","Kochi Tuskers Kerala","Nehru Stadium",2011,18,1,18,18,6
"Chennai Super Kings","Doug Bollinger","Kolkata Knight Riders","Eden Gardens",2011,6,0,6,Inf,6
"Chennai Super Kings","Doug Bollinger","Kolkata Knight Riders","MA Chidambaram Stadium",2010,15,2,24,7.5,3.75
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","Dr DY Patil Sports Academy",2010,31,1,24,31,7.75
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","MA Chidambaram Stadium",2010,39,1,24,39,9.75
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","MA Chidambaram Stadium",2012,34,1,23,34,8.8695652173913
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","Wankhede Stadium",2011,30,2,24,15,7.5
"Chennai Super Kings","Doug Bollinger","Pune Warriors","Dr DY Patil Sports Academy",2011,21,3,24,7,5.25
"Chennai Super Kings","Doug Bollinger","Pune Warriors","MA Chidambaram Stadium",2011,20,2,24,10,5
"Chennai Super Kings","Doug Bollinger","Pune Warriors","MA Chidambaram Stadium",2012,30,1,18,30,10
"Chennai Super Kings","Doug Bollinger","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,39,0,24,Inf,9.75
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","MA Chidambaram Stadium",2010,15,2,24,7.5,3.75
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","MA Chidambaram Stadium",2011,28,0,24,Inf,7
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","MA Chidambaram Stadium",2012,31,1,24,31,7.75
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","Sawai Mansingh Stadium",2011,22,3,24,7.33333333333333,5.5
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","M Chinnaswamy Stadium",2011,34,0,24,Inf,8.5
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","MA Chidambaram Stadium",2011,28,1,18,28,9.33333333333333
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","MA Chidambaram Stadium",2012,24,3,18,8,8
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","Wankhede Stadium",2011,20,1,24,20,5
"Chennai Super Kings","Dwaine Pretorius","Lucknow Super Giants","Brabourne Stadium",2022,31,2,24,15.5,7.75
"Chennai Super Kings","Dwaine Pretorius","Mumbai Indians","Dr DY Patil Sports Academy",2022,17,0,12,Inf,8.5
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Brabourne Stadium",2022,30,2,24,15,7.5
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Wankhede Stadium",2022,50,0,24,Inf,12.5
"Chennai Super Kings","Dwaine Pretorius","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2022,42,1,18,42,14
"Chennai Super Kings","Dwaine Pretorius","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",2022,40,1,24,40,10
