"Bowling_Team","Bowler","Season","Stadium","Runs","Wickets","Balls","Batting_Team","Average","Economy"
"Chennai Super Kings","Adam Milne",2022,"Wankhede Stadium",19,0,15,"All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2008,"Dr DY Patil Sports Academy",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Albie Morkel",2008,"Eden Gardens",25,0,24,"All",Inf,6.25
"Chennai Super Kings","Albie Morkel",2008,"Feroz Shah Kotla",35,2,24,"All",17.5,8.75
"Chennai Super Kings","Albie Morkel",2008,"M Chinnaswamy Stadium",38,1,24,"All",38,9.5
"Chennai Super Kings","Albie Morkel",2008,"MA Chidambaram Stadium",158,8,120,"All",19.75,7.9
"Chennai Super Kings","Albie Morkel",2008,"Rajiv Gandhi International Stadium",37,2,24,"All",18.5,9.25
"Chennai Super Kings","Albie Morkel",2008,"Sawai Mansingh Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Albie Morkel",2008,"Wankhede Stadium",71,2,42,"All",35.5,10.1428571428571
"Chennai Super Kings","Albie Morkel",2009,"Buffalo Park",24,2,18,"All",12,8
"Chennai Super Kings","Albie Morkel",2009,"De Beers Diamond Oval",24,1,18,"All",24,8
"Chennai Super Kings","Albie Morkel",2009,"Kingsmead",79,3,66,"All",26.3333333333333,7.18181818181818
"Chennai Super Kings","Albie Morkel",2009,"New Wanderers Stadium",58,2,42,"All",29,8.28571428571428
"Chennai Super Kings","Albie Morkel",2009,"St George's Park",43,2,36,"All",21.5,7.16666666666667
"Chennai Super Kings","Albie Morkel",2009,"SuperSport Park",96,3,60,"All",32,9.6
"Chennai Super Kings","Albie Morkel",2010,"Brabourne Stadium",26,0,24,"All",Inf,6.5
"Chennai Super Kings","Albie Morkel",2010,"Dr DY Patil Sports Academy",35,2,36,"All",17.5,5.83333333333333
"Chennai Super Kings","Albie Morkel",2010,"Eden Gardens",6,1,12,"All",6,3
"Chennai Super Kings","Albie Morkel",2010,"Feroz Shah Kotla",26,0,18,"All",Inf,8.66666666666667
"Chennai Super Kings","Albie Morkel",2010,"Himachal Pradesh Cricket Association Stadium",48,1,24,"All",48,12
"Chennai Super Kings","Albie Morkel",2010,"M Chinnaswamy Stadium",28,1,24,"All",28,7
"Chennai Super Kings","Albie Morkel",2010,"MA Chidambaram Stadium",190,4,124,"All",47.5,9.19354838709677
"Chennai Super Kings","Albie Morkel",2010,"Sardar Patel Stadium",46,2,24,"All",23,11.5
"Chennai Super Kings","Albie Morkel",2011,"Eden Gardens",14,0,12,"All",Inf,7
"Chennai Super Kings","Albie Morkel",2011,"M Chinnaswamy Stadium",16,1,12,"All",16,8
"Chennai Super Kings","Albie Morkel",2011,"MA Chidambaram Stadium",216,11,150,"All",19.6363636363636,8.64
"Chennai Super Kings","Albie Morkel",2011,"Nehru Stadium",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Albie Morkel",2011,"Punjab Cricket Association Stadium",38,1,18,"All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel",2011,"Sawai Mansingh Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Albie Morkel",2011,"Wankhede Stadium",59,1,48,"All",59,7.375
"Chennai Super Kings","Albie Morkel",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,0,12,"All",Inf,10
"Chennai Super Kings","Albie Morkel",2012,"Feroz Shah Kotla",24,0,12,"All",Inf,12
"Chennai Super Kings","Albie Morkel",2012,"Himachal Pradesh Cricket Association Stadium",28,1,21,"All",28,8
"Chennai Super Kings","Albie Morkel",2012,"M Chinnaswamy Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Albie Morkel",2012,"MA Chidambaram Stadium",207,10,180,"All",20.7,6.9
"Chennai Super Kings","Albie Morkel",2012,"Sawai Mansingh Stadium",19,0,18,"All",Inf,6.33333333333333
"Chennai Super Kings","Albie Morkel",2012,"Subrata Roy Sahara Stadium",22,0,12,"All",Inf,11
"Chennai Super Kings","Albie Morkel",2012,"Wankhede Stadium",34,0,18,"All",Inf,11.3333333333333
"Chennai Super Kings","Albie Morkel",2013,"Eden Gardens",48,2,42,"All",24,6.85714285714286
"Chennai Super Kings","Albie Morkel",2013,"Feroz Shah Kotla",39,2,36,"All",19.5,6.5
"Chennai Super Kings","Albie Morkel",2013,"MA Chidambaram Stadium",52,3,48,"All",17.3333333333333,6.5
"Chennai Super Kings","Albie Morkel",2013,"Subrata Roy Sahara Stadium",20,0,18,"All",Inf,6.66666666666667
"Chennai Super Kings","Andrew Flintoff",2009,"Kingsmead",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff",2009,"Newlands",44,1,24,"All",44,11
"Chennai Super Kings","Andrew Flintoff",2009,"St George's Park",11,1,18,"All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot",2013,"MA Chidambaram Stadium",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot",2013,"Punjab Cricket Association Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Ashish Nehra",2014,"Brabourne Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Ashish Nehra",2014,"M Chinnaswamy Stadium",33,3,24,"All",11,8.25
"Chennai Super Kings","Ashish Nehra",2014,"Sheikh Zayed Stadium",24,1,18,"All",24,8
"Chennai Super Kings","Ashish Nehra",2014,"Wankhede Stadium",51,2,24,"All",25.5,12.75
"Chennai Super Kings","Ashish Nehra",2015,"Eden Gardens",77,0,48,"All",Inf,9.625
"Chennai Super Kings","Ashish Nehra",2015,"JSCA International Stadium Complex",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Ashish Nehra",2015,"M Chinnaswamy Stadium",10,4,24,"All",2.5,2.5
"Chennai Super Kings","Ashish Nehra",2015,"MA Chidambaram Stadium",203,9,162,"All",22.5555555555556,7.51851851851852
"Chennai Super Kings","Ashish Nehra",2015,"Punjab Cricket Association Stadium",17,1,18,"All",17,5.66666666666667
"Chennai Super Kings","Ashish Nehra",2015,"Rajiv Gandhi International Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Ashish Nehra",2015,"Sardar Patel Stadium",32,0,24,"All",Inf,8
"Chennai Super Kings","Ashish Nehra",2015,"Wankhede Stadium",51,4,48,"All",12.75,6.375
"Chennai Super Kings","Ben Hilfenhaus",2012,"Eden Gardens",26,1,18,"All",26,8.66666666666667
"Chennai Super Kings","Ben Hilfenhaus",2012,"Himachal Pradesh Cricket Association Stadium",20,1,24,"All",20,5
"Chennai Super Kings","Ben Hilfenhaus",2012,"M Chinnaswamy Stadium",45,1,24,"All",45,11.25
"Chennai Super Kings","Ben Hilfenhaus",2012,"MA Chidambaram Stadium",100,7,90,"All",14.2857142857143,6.66666666666667
"Chennai Super Kings","Ben Hilfenhaus",2012,"Sawai Mansingh Stadium",8,2,24,"All",4,2
"Chennai Super Kings","Ben Hilfenhaus",2012,"Wankhede Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Ben Hilfenhaus",2014,"Barabati Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Ben Hilfenhaus",2014,"Dubai International Cricket Stadium",71,3,48,"All",23.6666666666667,8.875
"Chennai Super Kings","Ben Hilfenhaus",2014,"Eden Gardens",38,0,18,"All",Inf,12.6666666666667
"Chennai Super Kings","Ben Hilfenhaus",2014,"Feroz Shah Kotla",34,1,24,"All",34,8.5
"Chennai Super Kings","Ben Hilfenhaus",2014,"JSCA International Stadium Complex",26,0,18,"All",Inf,8.66666666666667
"Chennai Super Kings","Ben Hilfenhaus",2014,"Sharjah Cricket Stadium",32,2,24,"All",16,8
"Chennai Super Kings","Ben Hilfenhaus",2014,"Sheikh Zayed Stadium",9,1,12,"All",9,4.5
"Chennai Super Kings","Ben Laughlin",2013,"MA Chidambaram Stadium",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Ben Laughlin",2013,"Wankhede Stadium",46,0,24,"All",Inf,11.5
"Chennai Super Kings","Chamara Kapugedera",2008,"Feroz Shah Kotla",15,0,6,"All",Inf,15
"Chennai Super Kings","Chamara Kapugedera",2008,"MA Chidambaram Stadium",8,0,6,"All",Inf,8
"Chennai Super Kings","Chamara Kapugedera",2008,"Wankhede Stadium",26,0,5,"All",Inf,31.2
"Chennai Super Kings","Chandrasekar Ganapathy",2010,"MA Chidambaram Stadium",13,0,6,"All",Inf,13
"Chennai Super Kings","Chris Jordan",2022,"Brabourne Stadium",23,2,24,"All",11.5,5.75
"Chennai Super Kings","Chris Jordan",2022,"Dr DY Patil Sports Academy",54,0,30,"All",Inf,10.8
"Chennai Super Kings","Chris Jordan",2022,"Maharashtra Cricket Association Stadium",58,0,23,"All",Inf,15.1304347826087
"Chennai Super Kings","Chris Morris",2013,"Eden Gardens",37,2,42,"All",18.5,5.28571428571429
"Chennai Super Kings","Chris Morris",2013,"Feroz Shah Kotla",39,2,30,"All",19.5,7.8
"Chennai Super Kings","Chris Morris",2013,"M Chinnaswamy Stadium",22,0,12,"All",Inf,11
"Chennai Super Kings","Chris Morris",2013,"MA Chidambaram Stadium",181,6,120,"All",30.1666666666667,9.05
"Chennai Super Kings","Chris Morris",2013,"Punjab Cricket Association Stadium",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Chris Morris",2013,"Rajiv Gandhi International Stadium",24,1,12,"All",24,12
"Chennai Super Kings","Chris Morris",2013,"Sawai Mansingh Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Chris Morris",2013,"Subrata Roy Sahara Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Chris Morris",2013,"Wankhede Stadium",14,0,18,"All",Inf,4.66666666666667
"Chennai Super Kings","David Hussey",2014,"JSCA International Stadium Complex",38,2,17,"All",19,13.4117647058824
"Chennai Super Kings","David Willey",2018,"Maharashtra Cricket Association Stadium",48,1,36,"All",48,8
"Chennai Super Kings","David Willey",2018,"Sawai Mansingh Stadium",47,1,24,"All",47,11.75
"Chennai Super Kings","Deepak Chahar",2018,"Feroz Shah Kotla",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Deepak Chahar",2018,"M Chinnaswamy Stadium",20,0,12,"All",Inf,10
"Chennai Super Kings","Deepak Chahar",2018,"MA Chidambaram Stadium",18,0,6,"All",Inf,18
"Chennai Super Kings","Deepak Chahar",2018,"Maharashtra Cricket Association Stadium",95,4,85,"All",23.75,6.70588235294118
"Chennai Super Kings","Deepak Chahar",2018,"Punjab Cricket Association IS Bindra Stadium",37,0,18,"All",Inf,12.3333333333333
"Chennai Super Kings","Deepak Chahar",2018,"Rajiv Gandhi International Stadium",15,3,24,"All",5,3.75
"Chennai Super Kings","Deepak Chahar",2018,"Wankhede Stadium",70,2,66,"All",35,6.36363636363636
"Chennai Super Kings","Deepak Chahar",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",28,2,24,"All",14,7
"Chennai Super Kings","Deepak Chahar",2019,"Eden Gardens",36,0,24,"All",Inf,9
"Chennai Super Kings","Deepak Chahar",2019,"Feroz Shah Kotla",20,1,24,"All",20,5
"Chennai Super Kings","Deepak Chahar",2019,"M Chinnaswamy Stadium",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Deepak Chahar",2019,"MA Chidambaram Stadium",234,10,183,"All",23.4,7.67213114754098
"Chennai Super Kings","Deepak Chahar",2019,"Punjab Cricket Association IS Bindra Stadium",28,0,24,"All",Inf,7
"Chennai Super Kings","Deepak Chahar",2019,"Rajiv Gandhi International Stadium",57,4,42,"All",14.25,8.14285714285714
"Chennai Super Kings","Deepak Chahar",2019,"Sawai Mansingh Stadium",33,2,24,"All",16.5,8.25
"Chennai Super Kings","Deepak Chahar",2019,"Wankhede Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Deepak Chahar",2020,"Dubai International Cricket Stadium",186,5,150,"All",37.2,7.44
"Chennai Super Kings","Deepak Chahar",2020,"Sharjah Cricket Stadium",83,3,72,"All",27.6666666666667,6.91666666666667
"Chennai Super Kings","Deepak Chahar",2020,"Zayed Cricket Stadium",127,4,90,"All",31.75,8.46666666666667
"Chennai Super Kings","Deepak Chahar",2021,"Arun Jaitley Stadium",58,0,42,"All",Inf,8.28571428571428
"Chennai Super Kings","Deepak Chahar",2021,"Dubai International Cricket Stadium",159,5,108,"All",31.8,8.83333333333333
"Chennai Super Kings","Deepak Chahar",2021,"Sharjah Cricket Stadium",67,1,48,"All",67,8.375
"Chennai Super Kings","Deepak Chahar",2021,"Wankhede Stadium",135,8,102,"All",16.875,7.94117647058824
"Chennai Super Kings","Deepak Chahar",2021,"Zayed Cricket Stadium",32,0,24,"All",Inf,8
"Chennai Super Kings","Dirk Nannes",2013,"MA Chidambaram Stadium",141,2,96,"All",70.5,8.8125
"Chennai Super Kings","Dirk Nannes",2013,"Punjab Cricket Association Stadium",17,2,23,"All",8.5,4.43478260869565
"Chennai Super Kings","Doug Bollinger",2010,"Dr DY Patil Sports Academy",44,5,48,"All",8.8,5.5
"Chennai Super Kings","Doug Bollinger",2010,"Himachal Pradesh Cricket Association Stadium",39,0,24,"All",Inf,9.75
"Chennai Super Kings","Doug Bollinger",2010,"MA Chidambaram Stadium",93,7,96,"All",13.2857142857143,5.8125
"Chennai Super Kings","Doug Bollinger",2010,"Vidarbha Cricket Association Stadium",31,0,18,"All",Inf,10.3333333333333
"Chennai Super Kings","Doug Bollinger",2011,"Dr DY Patil Sports Academy",21,3,24,"All",7,5.25
"Chennai Super Kings","Doug Bollinger",2011,"Eden Gardens",6,0,6,"All",Inf,6
"Chennai Super Kings","Doug Bollinger",2011,"M Chinnaswamy Stadium",34,0,24,"All",Inf,8.5
"Chennai Super Kings","Doug Bollinger",2011,"MA Chidambaram Stadium",178,7,138,"All",25.4285714285714,7.73913043478261
"Chennai Super Kings","Doug Bollinger",2011,"Nehru Stadium",18,1,18,"All",18,6
"Chennai Super Kings","Doug Bollinger",2011,"Sawai Mansingh Stadium",22,3,24,"All",7.33333333333333,5.5
"Chennai Super Kings","Doug Bollinger",2011,"Wankhede Stadium",50,3,48,"All",16.6666666666667,6.25
"Chennai Super Kings","Doug Bollinger",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,2,13,"All",10,9.23076923076923
"Chennai Super Kings","Doug Bollinger",2012,"Feroz Shah Kotla",18,0,12,"All",Inf,9
"Chennai Super Kings","Doug Bollinger",2012,"MA Chidambaram Stadium",119,6,83,"All",19.8333333333333,8.60240963855422
"Chennai Super Kings","Dwaine Pretorius",2022,"Brabourne Stadium",61,4,48,"All",15.25,7.625
"Chennai Super Kings","Dwaine Pretorius",2022,"Dr DY Patil Sports Academy",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Dwaine Pretorius",2022,"Maharashtra Cricket Association Stadium",82,2,42,"All",41,11.7142857142857
"Chennai Super Kings","Dwaine Pretorius",2022,"Wankhede Stadium",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Dwayne Bravo",2011,"M Chinnaswamy Stadium",21,0,24,"All",Inf,5.25
"Chennai Super Kings","Dwayne Bravo",2011,"MA Chidambaram Stadium",72,4,54,"All",18,8
"Chennai Super Kings","Dwayne Bravo",2011,"Sawai Mansingh Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Dwayne Bravo",2011,"Wankhede Stadium",28,1,18,"All",28,9.33333333333333
"Chennai Super Kings","Dwayne Bravo",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Dwayne Bravo",2012,"Eden Gardens",22,0,18,"All",Inf,7.33333333333333
"Chennai Super Kings","Dwayne Bravo",2012,"Feroz Shah Kotla",5,0,6,"All",Inf,5
"Chennai Super Kings","Dwayne Bravo",2012,"Himachal Pradesh Cricket Association Stadium",18,2,18,"All",9,6
"Chennai Super Kings","Dwayne Bravo",2012,"M Chinnaswamy Stadium",10,2,18,"All",5,3.33333333333333
"Chennai Super Kings","Dwayne Bravo",2012,"MA Chidambaram Stadium",289,9,220,"All",32.1111111111111,7.88181818181818
"Chennai Super Kings","Dwayne Bravo",2012,"Sawai Mansingh Stadium",38,0,18,"All",Inf,12.6666666666667
"Chennai Super Kings","Dwayne Bravo",2012,"Subrata Roy Sahara Stadium",31,0,18,"All",Inf,10.3333333333333
"Chennai Super Kings","Dwayne Bravo",2012,"Wankhede Stadium",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Dwayne Bravo",2013,"Eden Gardens",56,5,36,"All",11.2,9.33333333333333
"Chennai Super Kings","Dwayne Bravo",2013,"Feroz Shah Kotla",17,4,27,"All",4.25,3.77777777777778
"Chennai Super Kings","Dwayne Bravo",2013,"M Chinnaswamy Stadium",26,1,12,"All",26,13
"Chennai Super Kings","Dwayne Bravo",2013,"MA Chidambaram Stadium",274,15,192,"All",18.2666666666667,8.5625
"Chennai Super Kings","Dwayne Bravo",2013,"Punjab Cricket Association Stadium",27,3,24,"All",9,6.75
"Chennai Super Kings","Dwayne Bravo",2013,"Rajiv Gandhi International Stadium",25,1,24,"All",25,6.25
"Chennai Super Kings","Dwayne Bravo",2013,"Sawai Mansingh Stadium",35,1,18,"All",35,11.6666666666667
"Chennai Super Kings","Dwayne Bravo",2013,"Subrata Roy Sahara Stadium",18,1,24,"All",18,4.5
"Chennai Super Kings","Dwayne Bravo",2013,"Wankhede Stadium",19,1,18,"All",19,6.33333333333333
"Chennai Super Kings","Dwayne Bravo",2015,"Eden Gardens",63,2,36,"All",31.5,10.5
"Chennai Super Kings","Dwayne Bravo",2015,"JSCA International Stadium Complex",21,1,18,"All",21,7
"Chennai Super Kings","Dwayne Bravo",2015,"M Chinnaswamy Stadium",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Dwayne Bravo",2015,"MA Chidambaram Stadium",172,12,144,"All",14.3333333333333,7.16666666666667
"Chennai Super Kings","Dwayne Bravo",2015,"Punjab Cricket Association Stadium",20,1,12,"All",20,10
"Chennai Super Kings","Dwayne Bravo",2015,"Rajiv Gandhi International Stadium",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Dwayne Bravo",2015,"Sardar Patel Stadium",30,1,14,"All",30,12.8571428571429
"Chennai Super Kings","Dwayne Bravo",2015,"Wankhede Stadium",70,5,48,"All",14,8.75
"Chennai Super Kings","Dwayne Bravo",2018,"Eden Gardens",22,0,10,"All",Inf,13.2
"Chennai Super Kings","Dwayne Bravo",2018,"Feroz Shah Kotla",52,0,24,"All",Inf,13
"Chennai Super Kings","Dwayne Bravo",2018,"M Chinnaswamy Stadium",33,2,24,"All",16.5,8.25
"Chennai Super Kings","Dwayne Bravo",2018,"MA Chidambaram Stadium",50,0,18,"All",Inf,16.6666666666667
"Chennai Super Kings","Dwayne Bravo",2018,"Maharashtra Cricket Association Stadium",175,6,108,"All",29.1666666666667,9.72222222222222
"Chennai Super Kings","Dwayne Bravo",2018,"Punjab Cricket Association IS Bindra Stadium",37,1,24,"All",37,9.25
"Chennai Super Kings","Dwayne Bravo",2018,"Rajiv Gandhi International Stadium",37,1,18,"All",37,12.3333333333333
"Chennai Super Kings","Dwayne Bravo",2018,"Sawai Mansingh Stadium",31,1,23,"All",31,8.08695652173913
"Chennai Super Kings","Dwayne Bravo",2018,"Wankhede Stadium",96,3,72,"All",32,8
"Chennai Super Kings","Dwayne Bravo",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",19,2,24,"All",9.5,4.75
"Chennai Super Kings","Dwayne Bravo",2019,"Feroz Shah Kotla",33,3,24,"All",11,8.25
"Chennai Super Kings","Dwayne Bravo",2019,"M Chinnaswamy Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Dwayne Bravo",2019,"MA Chidambaram Stadium",144,3,109,"All",48,7.92660550458716
"Chennai Super Kings","Dwayne Bravo",2019,"Punjab Cricket Association IS Bindra Stadium",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Dwayne Bravo",2019,"Rajiv Gandhi International Stadium",24,0,18,"All",Inf,8
"Chennai Super Kings","Dwayne Bravo",2019,"Wankhede Stadium",49,1,24,"All",49,12.25
"Chennai Super Kings","Dwayne Bravo",2020,"Dubai International Cricket Stadium",120,2,84,"All",60,8.57142857142857
"Chennai Super Kings","Dwayne Bravo",2020,"Sharjah Cricket Stadium",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Dwayne Bravo",2020,"Zayed Cricket Stadium",37,3,24,"All",12.3333333333333,9.25
"Chennai Super Kings","Dwayne Bravo",2021,"Dubai International Cricket Stadium",137,6,88,"All",22.8333333333333,9.34090909090909
"Chennai Super Kings","Dwayne Bravo",2021,"Sharjah Cricket Stadium",41,5,48,"All",8.2,5.125
"Chennai Super Kings","Dwayne Bravo",2021,"Wankhede Stadium",85,3,66,"All",28.3333333333333,7.72727272727273
"Chennai Super Kings","Dwayne Bravo",2022,"Brabourne Stadium",67,2,42,"All",33.5,9.57142857142857
"Chennai Super Kings","Dwayne Bravo",2022,"Dr DY Patil Sports Academy",131,6,80,"All",21.8333333333333,9.825
"Chennai Super Kings","Dwayne Bravo",2022,"Maharashtra Cricket Association Stadium",23,3,24,"All",7.66666666666667,5.75
"Chennai Super Kings","Dwayne Bravo",2022,"Wankhede Stadium",78,5,60,"All",15.6,7.8
"Chennai Super Kings","Dwayne Smith",2014,"Barabati Stadium",36,1,18,"All",36,12
"Chennai Super Kings","Dwayne Smith",2014,"Feroz Shah Kotla",9,0,6,"All",Inf,9
"Chennai Super Kings","Dwayne Smith",2014,"Sharjah Cricket Stadium",11,1,12,"All",11,5.5
"Chennai Super Kings","Dwayne Smith",2014,"Sheikh Zayed Stadium",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Dwayne Smith",2015,"Eden Gardens",17,1,12,"All",17,8.5
"Chennai Super Kings","Faf du Plessis",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",16,0,6,"All",Inf,16
"Chennai Super Kings","Harbhajan Singh",2018,"Eden Gardens",20,1,18,"All",20,6.66666666666667
"Chennai Super Kings","Harbhajan Singh",2018,"Feroz Shah Kotla",24,0,12,"All",Inf,12
"Chennai Super Kings","Harbhajan Singh",2018,"M Chinnaswamy Stadium",24,0,12,"All",Inf,12
"Chennai Super Kings","Harbhajan Singh",2018,"MA Chidambaram Stadium",11,1,12,"All",11,5.5
"Chennai Super Kings","Harbhajan Singh",2018,"Maharashtra Cricket Association Stadium",107,3,89,"All",35.6666666666667,7.21348314606742
"Chennai Super Kings","Harbhajan Singh",2018,"Punjab Cricket Association IS Bindra Stadium",41,1,24,"All",41,10.25
"Chennai Super Kings","Harbhajan Singh",2018,"Sawai Mansingh Stadium",29,1,12,"All",29,14.5
"Chennai Super Kings","Harbhajan Singh",2018,"Wankhede Stadium",14,0,12,"All",Inf,7
"Chennai Super Kings","Harbhajan Singh",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Harbhajan Singh",2019,"Feroz Shah Kotla",30,0,24,"All",Inf,7.5
"Chennai Super Kings","Harbhajan Singh",2019,"MA Chidambaram Stadium",167,11,168,"All",15.1818181818182,5.96428571428571
"Chennai Super Kings","Harbhajan Singh",2019,"Punjab Cricket Association IS Bindra Stadium",57,3,24,"All",19,14.25
"Chennai Super Kings","Harbhajan Singh",2019,"Rajiv Gandhi International Stadium",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Imran Tahir",2018,"M Chinnaswamy Stadium",35,2,24,"All",17.5,8.75
"Chennai Super Kings","Imran Tahir",2018,"MA Chidambaram Stadium",26,0,24,"All",Inf,6.5
"Chennai Super Kings","Imran Tahir",2018,"Maharashtra Cricket Association Stadium",70,1,40,"All",70,10.5
"Chennai Super Kings","Imran Tahir",2018,"Punjab Cricket Association IS Bindra Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Imran Tahir",2018,"Wankhede Stadium",23,1,12,"All",23,11.5
"Chennai Super Kings","Imran Tahir",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",28,1,24,"All",28,7
"Chennai Super Kings","Imran Tahir",2019,"Eden Gardens",27,4,24,"All",6.75,6.75
"Chennai Super Kings","Imran Tahir",2019,"Feroz Shah Kotla",20,1,12,"All",20,10
"Chennai Super Kings","Imran Tahir",2019,"M Chinnaswamy Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Imran Tahir",2019,"MA Chidambaram Stadium",193,14,188,"All",13.7857142857143,6.15957446808511
"Chennai Super Kings","Imran Tahir",2019,"Punjab Cricket Association IS Bindra Stadium",36,0,24,"All",Inf,9
"Chennai Super Kings","Imran Tahir",2019,"Rajiv Gandhi International Stadium",43,4,42,"All",10.75,6.14285714285714
"Chennai Super Kings","Imran Tahir",2019,"Sawai Mansingh Stadium",28,0,24,"All",Inf,7
"Chennai Super Kings","Imran Tahir",2019,"Wankhede Stadium",25,1,24,"All",25,6.25
"Chennai Super Kings","Imran Tahir",2020,"Dubai International Cricket Stadium",30,0,24,"All",Inf,7.5
"Chennai Super Kings","Imran Tahir",2020,"Sharjah Cricket Stadium",22,0,18,"All",Inf,7.33333333333333
"Chennai Super Kings","Imran Tahir",2020,"Zayed Cricket Stadium",24,1,24,"All",24,6
"Chennai Super Kings","Imran Tahir",2021,"Wankhede Stadium",16,2,24,"All",8,4
"Chennai Super Kings","Ishwar Pandey",2014,"Barabati Stadium",41,0,24,"All",Inf,10.25
"Chennai Super Kings","Ishwar Pandey",2014,"Brabourne Stadium",25,0,18,"All",Inf,8.33333333333333
"Chennai Super Kings","Ishwar Pandey",2014,"Dubai International Cricket Stadium",43,1,48,"All",43,5.375
"Chennai Super Kings","Ishwar Pandey",2014,"Eden Gardens",31,1,24,"All",31,7.75
"Chennai Super Kings","Ishwar Pandey",2014,"Feroz Shah Kotla",26,0,18,"All",Inf,8.66666666666667
"Chennai Super Kings","Ishwar Pandey",2014,"JSCA International Stadium Complex",38,0,30,"All",Inf,7.6
"Chennai Super Kings","Ishwar Pandey",2014,"Sharjah Cricket Stadium",22,0,18,"All",Inf,7.33333333333333
"Chennai Super Kings","Ishwar Pandey",2014,"Sheikh Zayed Stadium",23,2,24,"All",11.5,5.75
"Chennai Super Kings","Ishwar Pandey",2014,"Wankhede Stadium",69,2,48,"All",34.5,8.625
"Chennai Super Kings","Ishwar Pandey",2015,"M Chinnaswamy Stadium",21,1,24,"All",21,5.25
"Chennai Super Kings","Ishwar Pandey",2015,"MA Chidambaram Stadium",119,6,90,"All",19.8333333333333,7.93333333333333
"Chennai Super Kings","Ishwar Pandey",2015,"Punjab Cricket Association Stadium",22,1,18,"All",22,7.33333333333333
"Chennai Super Kings","Ishwar Pandey",2015,"Sardar Patel Stadium",12,0,12,"All",Inf,6
"Chennai Super Kings","Ishwar Pandey",2015,"Shaheed Veer Narayan Singh International Stadium",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Ishwar Pandey",2015,"Wankhede Stadium",22,1,18,"All",22,7.33333333333333
"Chennai Super Kings","Jacob Oram",2008,"M Chinnaswamy Stadium",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Jacob Oram",2008,"MA Chidambaram Stadium",85,3,48,"All",28.3333333333333,10.625
"Chennai Super Kings","Jacob Oram",2008,"Punjab Cricket Association Stadium",37,0,24,"All",Inf,9.25
"Chennai Super Kings","Jacob Oram",2009,"De Beers Diamond Oval",8,0,6,"All",Inf,8
"Chennai Super Kings","Jacob Oram",2009,"Kingsmead",40,2,28,"All",20,8.57142857142857
"Chennai Super Kings","Jacob Oram",2009,"New Wanderers Stadium",28,0,11,"All",Inf,15.2727272727273
"Chennai Super Kings","Jacob Oram",2009,"Newlands",30,1,24,"All",30,7.5
