"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Praveen Kumar",2010,"Royal Challengers Bangalore",380,10,270,"All","All","All",38,8.44444444444444
"Praveen Kumar",2011,"Punjab Kings",345,10,276,"All","All","All",34.5,7.5
"Praveen Kumar",2012,"Punjab Kings",434,9,378,"All","All","All",48.2222222222222,6.88888888888889
"Praveen Kumar",2013,"Punjab Kings",373,12,338,"All","All","All",31.0833333333333,6.62130177514793
"Praveen Kumar",2014,"Mumbai Indians",78,3,72,"All","All","All",26,6.5
"Praveen Kumar",2015,"Sunrisers Hyderabad",329,7,216,"All","All","All",47,9.13888888888889
"Praveen Kumar",2016,"Gujarat Lions",401,9,309,"All","All","All",44.5555555555556,7.78640776699029
"Praveen Kumar",2017,"Gujarat Lions",151,6,99,"All","All","All",25.1666666666667,9.15151515151515
"Pravin Tambe",2013,"Rajasthan Royals",88,1,66,"All","All","All",88,8
"Pravin Tambe",2014,"Rajasthan Royals",356,15,294,"All","All","All",23.7333333333333,7.26530612244898
"Pravin Tambe",2015,"Rajasthan Royals",266,7,204,"All","All","All",38,7.82352941176471
"Pravin Tambe",2016,"Gujarat Lions",143,5,96,"All","All","All",28.6,8.9375
"Prayas Ray Barman",2019,"Royal Challengers Bangalore",56,0,24,"All","All","All",Inf,14
"Prithvi Raj",2019,"Kolkata Knight Riders",57,1,30,"All","All","All",57,11.4
"RP Singh",2008,"Deccan Chargers",442,15,308,"All","All","All",29.4666666666667,8.61038961038961
"RP Singh",2009,"Deccan Chargers",417,23,358,"All","All","All",18.1304347826087,6.98882681564246
"RP Singh",2010,"Deccan Chargers",370,13,252,"All","All","All",28.4615384615385,8.80952380952381
"RP Singh",2011,"Kochi Tuskers Kerala",345,13,300,"All","All","All",26.5384615384615,6.9
"RP Singh",2012,"Mumbai Indians",318,10,246,"All","All","All",31.8,7.75609756097561
"RP Singh",2013,"Royal Challengers Bangalore",335,13,239,"All","All","All",25.7692307692308,8.41004184100418
"RP Singh",2016,"Rising Pune Supergiants",111,3,72,"All","All","All",37,9.25
"Rahil Shaikh",2009,"Mumbai Indians",11,0,6,"All","All","All",Inf,11
"Rahul Chahar",2017,"Rising Pune Supergiants",58,2,42,"All","All","All",29,8.28571428571428
"Rahul Chahar",2019,"Mumbai Indians",308,13,282,"All","All","All",23.6923076923077,6.5531914893617
"Rahul Chahar",2020,"Mumbai Indians",433,15,318,"All","All","All",28.8666666666667,8.16981132075472
"Rahul Chahar",2021,"Mumbai Indians",318,13,258,"All","All","All",24.4615384615385,7.3953488372093
"Rahul Chahar",2022,"Punjab Kings",360,14,280,"All","All","All",25.7142857142857,7.71428571428572
"Rahul Sharma",2010,"Deccan Chargers",167,5,124,"All","All","All",33.4,8.08064516129032
"Rahul Sharma",2011,"Pune Warriors",273,16,300,"All","All","All",17.0625,5.46
"Rahul Sharma",2012,"Pune Warriors",300,9,222,"All","All","All",33.3333333333333,8.10810810810811
"Rahul Sharma",2013,"Pune Warriors",281,9,246,"All","All","All",31.2222222222222,6.85365853658537
"Rahul Sharma",2014,"Delhi Capitals",65,1,36,"All","All","All",65,10.8333333333333
"Rahul Shukla",2012,"Mumbai Indians",31,0,18,"All","All","All",Inf,10.3333333333333
"Rahul Shukla",2013,"Rajasthan Royals",79,3,48,"All","All","All",26.3333333333333,9.875
"Rahul Shukla",2014,"Delhi Capitals",98,2,54,"All","All","All",49,10.8888888888889
"Rahul Tewatia",2014,"Rajasthan Royals",59,2,54,"All","All","All",29.5,6.55555555555556
"Rahul Tewatia",2015,"Rajasthan Royals",31,1,18,"All","All","All",31,10.3333333333333
"Rahul Tewatia",2017,"Punjab Kings",49,3,54,"All","All","All",16.3333333333333,5.44444444444444
"Rahul Tewatia",2018,"Delhi Capitals",173,6,132,"All","All","All",28.8333333333333,7.86363636363636
"Rahul Tewatia",2019,"Delhi Capitals",42,2,38,"All","All","All",21,6.63157894736842
"Rahul Tewatia",2020,"Rajasthan Royals",326,10,276,"All","All","All",32.6,7.08695652173913
"Rahul Tewatia",2021,"Rajasthan Royals",340,8,222,"All","All","All",42.5,9.18918918918919
"Rahul Tewatia",2022,"Gujarat Titans",76,1,36,"All","All","All",76,12.6666666666667
"Rahul Tripathi",2017,"Rising Pune Supergiants",12,0,6,"All","All","All",Inf,12
"Raiphi Gomez",2011,"Kochi Tuskers Kerala",124,5,90,"All","All","All",24.8,8.26666666666667
"Raiphi Gomez",2013,"Pune Warriors",5,0,6,"All","All","All",Inf,5
"Rajagopal Sathish",2010,"Mumbai Indians",81,2,48,"All","All","All",40.5,10.125
"Rajagopal Sathish",2011,"Mumbai Indians",41,0,31,"All","All","All",Inf,7.93548387096774
"Rajagopal Sathish",2013,"Punjab Kings",51,0,24,"All","All","All",Inf,12.75
"Rajagopal Sathish",2016,"Kolkata Knight Riders",59,1,36,"All","All","All",59,9.83333333333333
"Rajat Bhatia",2008,"Delhi Capitals",183,6,132,"All","All","All",30.5,8.31818181818182
"Rajat Bhatia",2009,"Delhi Capitals",146,10,130,"All","All","All",14.6,6.73846153846154
"Rajat Bhatia",2010,"Delhi Capitals",132,3,96,"All","All","All",44,8.25
"Rajat Bhatia",2011,"Kolkata Knight Riders",210,8,192,"All","All","All",26.25,6.5625
"Rajat Bhatia",2012,"Kolkata Knight Riders",389,13,319,"All","All","All",29.9230769230769,7.3166144200627
"Rajat Bhatia",2013,"Kolkata Knight Riders",332,11,263,"All","All","All",30.1818181818182,7.57414448669202
"Rajat Bhatia",2014,"Rajasthan Royals",283,12,228,"All","All","All",23.5833333333333,7.44736842105263
"Rajat Bhatia",2015,"Rajasthan Royals",46,0,30,"All","All","All",Inf,9.2
"Rajat Bhatia",2016,"Rising Pune Supergiants",244,6,204,"All","All","All",40.6666666666667,7.17647058823529
"Rajat Bhatia",2017,"Rising Pune Supergiants",55,2,42,"All","All","All",27.5,7.85714285714286
"Raju Bhatkal",2012,"Royal Challengers Bangalore",35,0,12,"All","All","All",Inf,17.5
"Ramandeep Singh",2022,"Mumbai Indians",54,6,36,"All","All","All",9,9
"Ramesh Powar",2008,"Punjab Kings",91,3,72,"All","All","All",30.3333333333333,7.58333333333333
"Ramesh Powar",2009,"Punjab Kings",132,5,126,"All","All","All",26.4,6.28571428571429
"Ramesh Powar",2010,"Punjab Kings",160,3,138,"All","All","All",53.3333333333333,6.95652173913044
"Ramesh Powar",2011,"Kochi Tuskers Kerala",112,2,72,"All","All","All",56,9.33333333333333
"Ramesh Powar",2012,"Punjab Kings",32,0,18,"All","All","All",Inf,10.6666666666667
"Ranadeb Bose",2009,"Punjab Kings",24,0,12,"All","All","All",Inf,12
"Rashid Khan",2017,"Sunrisers Hyderabad",358,17,324,"All","All","All",21.0588235294118,6.62962962962963
"Rashid Khan",2018,"Sunrisers Hyderabad",458,21,408,"All","All","All",21.8095238095238,6.73529411764706
"Rashid Khan",2019,"Sunrisers Hyderabad",377,17,360,"All","All","All",22.1764705882353,6.28333333333333
"Rashid Khan",2020,"Sunrisers Hyderabad",344,20,384,"All","All","All",17.2,5.375
"Rashid Khan",2021,"Sunrisers Hyderabad",375,18,336,"All","All","All",20.8333333333333,6.69642857142857
"Rashid Khan",2022,"Gujarat Titans",421,19,383,"All","All","All",22.1578947368421,6.59530026109661
"Rasikh Salam",2019,"Mumbai Indians",42,0,24,"All","All","All",Inf,10.5
"Rasikh Salam",2022,"Kolkata Knight Riders",28,0,24,"All","All","All",Inf,7
"Ravi Bishnoi",2020,"Punjab Kings",376,12,306,"All","All","All",31.3333333333333,7.37254901960784
"Ravi Bishnoi",2021,"Punjab Kings",230,12,216,"All","All","All",19.1666666666667,6.38888888888889
"Ravi Bishnoi",2022,"Lucknow Super Giants",456,13,324,"All","All","All",35.0769230769231,8.44444444444444
"Ravi Bopara",2009,"Punjab Kings",5,0,8,"All","All","All",Inf,3.75
"Ravi Bopara",2010,"Punjab Kings",127,5,78,"All","All","All",25.4,9.76923076923077
"Ravi Bopara",2015,"Sunrisers Hyderabad",160,6,120,"All","All","All",26.6666666666667,8
"Ravi Rampaul",2013,"Royal Challengers Bangalore",261,13,226,"All","All","All",20.0769230769231,6.92920353982301
"Ravi Rampaul",2014,"Royal Challengers Bangalore",37,1,36,"All","All","All",37,6.16666666666667
"Ravichandran Ashwin",2009,"Chennai Super Kings",13,2,24,"All","All","All",6.5,3.25
"Ravichandran Ashwin",2010,"Chennai Super Kings",293,13,288,"All","All","All",22.5384615384615,6.10416666666667
"Ravichandran Ashwin",2011,"Chennai Super Kings",388,20,378,"All","All","All",19.4,6.15873015873016
"Ravichandran Ashwin",2012,"Chennai Super Kings",431,14,395,"All","All","All",30.7857142857143,6.54683544303797
"Ravichandran Ashwin",2013,"Chennai Super Kings",390,15,348,"All","All","All",26,6.72413793103448
"Ravichandran Ashwin",2014,"Chennai Super Kings",437,16,359,"All","All","All",27.3125,7.30362116991643
"Ravichandran Ashwin",2015,"Chennai Super Kings",228,10,234,"All","All","All",22.8,5.84615384615385
"Ravichandran Ashwin",2016,"Rising Pune Supergiants",319,10,264,"All","All","All",31.9,7.25
"Ravichandran Ashwin",2018,"Punjab Kings",410,10,304,"All","All","All",41,8.09210526315789
"Ravichandran Ashwin",2019,"Punjab Kings",400,15,330,"All","All","All",26.6666666666667,7.27272727272727
"Ravichandran Ashwin",2020,"Delhi Capitals",391,13,306,"All","All","All",30.0769230769231,7.66666666666667
"Ravichandran Ashwin",2021,"Delhi Capitals",331,7,268,"All","All","All",47.2857142857143,7.41044776119403
"Ravichandran Ashwin",2022,"Rajasthan Royals",503,12,402,"All","All","All",41.9166666666667,7.50746268656716
"Ravindra Jadeja",2008,"Rajasthan Royals",21,0,13,"All","All","All",Inf,9.69230769230769
"Ravindra Jadeja",2009,"Rajasthan Royals",151,6,140,"All","All","All",25.1666666666667,6.47142857142857
"Ravindra Jadeja",2011,"Kochi Tuskers Kerala",305,8,252,"All","All","All",38.125,7.26190476190476
"Ravindra Jadeja",2012,"Chennai Super Kings",273,12,210,"All","All","All",22.75,7.8
"Ravindra Jadeja",2013,"Chennai Super Kings",323,13,259,"All","All","All",24.8461538461538,7.48262548262548
"Ravindra Jadeja",2014,"Chennai Super Kings",443,19,326,"All","All","All",23.3157894736842,8.15337423312883
"Ravindra Jadeja",2015,"Chennai Super Kings",330,11,256,"All","All","All",30,7.734375
"Ravindra Jadeja",2016,"Gujarat Lions",311,8,241,"All","All","All",38.875,7.74273858921162
"Ravindra Jadeja",2017,"Gujarat Lions",349,5,228,"All","All","All",69.8,9.18421052631579
"Ravindra Jadeja",2018,"Chennai Super Kings",303,11,246,"All","All","All",27.5454545454545,7.39024390243902
"Ravindra Jadeja",2019,"Chennai Super Kings",343,15,324,"All","All","All",22.8666666666667,6.35185185185185
"Ravindra Jadeja",2020,"Chennai Super Kings",318,6,218,"All","All","All",53,8.75229357798165
"Ravindra Jadeja",2021,"Chennai Super Kings",346,13,294,"All","All","All",26.6153846153846,7.06122448979592
"Ravindra Jadeja",2022,"Chennai Super Kings",248,5,198,"All","All","All",49.6,7.51515151515152
"Ravisrinivasan Sai Kishore",2022,"Gujarat Titans",121,6,96,"All","All","All",20.1666666666667,7.5625
"Ray Price",2011,"Mumbai Indians",33,0,18,"All","All","All",Inf,11
"Riley Meredith",2021,"Punjab Kings",169,4,102,"All","All","All",42.25,9.94117647058824
"Riley Meredith",2022,"Mumbai Indians",236,8,168,"All","All","All",29.5,8.42857142857143
"Ripal Patel",2021,"Delhi Capitals",22,0,18,"All","All","All",Inf,7.33333333333333
"Rishi Dhawan",2013,"Mumbai Indians",109,2,90,"All","All","All",54.5,7.26666666666667
"Rishi Dhawan",2014,"Punjab Kings",365,13,284,"All","All","All",28.0769230769231,7.7112676056338
"Rishi Dhawan",2015,"Punjab Kings",110,1,72,"All","All","All",110,9.16666666666667
"Rishi Dhawan",2016,"Punjab Kings",56,2,42,"All","All","All",28,8
"Rishi Dhawan",2022,"Punjab Kings",156,6,114,"All","All","All",26,8.21052631578947
"Riyan Parag",2019,"Rajasthan Royals",121,2,84,"All","All","All",60.5,8.64285714285714
"Riyan Parag",2020,"Rajasthan Royals",27,0,12,"All","All","All",Inf,13.5
"Riyan Parag",2021,"Rajasthan Royals",73,1,37,"All","All","All",73,11.8378378378378
"Riyan Parag",2022,"Rajasthan Royals",59,1,24,"All","All","All",59,14.75
"Robin Peterson",2012,"Mumbai Indians",70,3,48,"All","All","All",23.3333333333333,8.75
"Roelof van der Merwe",2009,"Royal Challengers Bangalore",248,9,204,"All","All","All",27.5555555555556,7.29411764705882
"Roelof van der Merwe",2010,"Royal Challengers Bangalore",27,2,24,"All","All","All",13.5,6.75
"Roelof van der Merwe",2011,"Delhi Capitals",92,5,89,"All","All","All",18.4,6.20224719101124
"Roelof van der Merwe",2012,"Delhi Capitals",60,2,60,"All","All","All",30,6
"Roelof van der Merwe",2013,"Delhi Capitals",71,3,66,"All","All","All",23.6666666666667,6.45454545454545
"Rohan Gavaskar",2010,"Kolkata Knight Riders",8,0,6,"All","All","All",Inf,8
"Rohan Raje",2008,"Mumbai Indians",137,5,98,"All","All","All",27.4,8.38775510204082
"Rohan Raje",2009,"Mumbai Indians",72,1,41,"All","All","All",72,10.5365853658537
"Rohit Sharma",2008,"Deccan Chargers",25,1,24,"All","All","All",25,6.25
"Rohit Sharma",2009,"Deccan Chargers",161,11,138,"All","All","All",14.6363636363636,7
"Rohit Sharma",2010,"Deccan Chargers",153,2,114,"All","All","All",76.5,8.05263157894737
"Rohit Sharma",2011,"Mumbai Indians",53,0,24,"All","All","All",Inf,13.25
"Rohit Sharma",2012,"Mumbai Indians",16,0,6,"All","All","All",Inf,16
"Rohit Sharma",2013,"Mumbai Indians",6,0,8,"All","All","All",Inf,4.5
"Rohit Sharma",2014,"Mumbai Indians",26,1,18,"All","All","All",26,8.66666666666667
"Rohit Sharma",2021,"Mumbai Indians",13,0,7,"All","All","All",Inf,11.1428571428571
"Romario Shepherd",2022,"Sunrisers Hyderabad",98,3,54,"All","All","All",32.6666666666667,10.8888888888889
"Ronit More",2015,"Chennai Super Kings",59,1,35,"All","All","All",59,10.1142857142857
"Ross Taylor",2009,"Royal Challengers Bangalore",13,0,6,"All","All","All",Inf,13
"Ross Taylor",2011,"Rajasthan Royals",11,0,6,"All","All","All",Inf,11
"Rovman Powell",2022,"Delhi Capitals",17,0,6,"All","All","All",Inf,17
"Rusty Theron",2010,"Punjab Kings",187,6,144,"All","All","All",31.1666666666667,7.79166666666667
"Rusty Theron",2012,"Deccan Chargers",66,2,48,"All","All","All",33,8.25
"Rusty Theron",2015,"Rajasthan Royals",40,1,24,"All","All","All",40,10
"Ryan Harris",2009,"Deccan Chargers",230,6,186,"All","All","All",38.3333333333333,7.41935483870968
"Ryan Harris",2010,"Deccan Chargers",233,14,184,"All","All","All",16.6428571428571,7.59782608695652
"Ryan Harris",2011,"Punjab Kings",382,16,282,"All","All","All",23.875,8.12765957446809
"Ryan Harris",2012,"Punjab Kings",130,8,108,"All","All","All",16.25,7.22222222222222
"Ryan Harris",2013,"Punjab Kings",72,1,72,"All","All","All",72,6
"Ryan McLaren",2010,"Mumbai Indians",270,4,204,"All","All","All",67.5,7.94117647058824
"Ryan McLaren",2011,"Punjab Kings",178,5,108,"All","All","All",35.6,9.88888888888889
"Ryan McLaren",2013,"Kolkata Knight Riders",94,3,42,"All","All","All",31.3333333333333,13.4285714285714
"Ryan Ninan",2011,"Royal Challengers Bangalore",65,3,36,"All","All","All",21.6666666666667,10.8333333333333
"Ryan ten Doeschate",2011,"Kolkata Knight Riders",7,0,6,"All","All","All",Inf,7
"Ryan ten Doeschate",2012,"Kolkata Knight Riders",24,1,18,"All","All","All",24,8
"Ryan ten Doeschate",2013,"Kolkata Knight Riders",24,0,18,"All","All","All",Inf,8
"Ryan ten Doeschate",2014,"Kolkata Knight Riders",35,1,30,"All","All","All",35,7
"Ryan ten Doeschate",2015,"Kolkata Knight Riders",4,0,6,"All","All","All",Inf,4
"Sachin Baby",2016,"Royal Challengers Bangalore",8,2,10,"All","All","All",4,4.8
"Sachin Rana",2011,"Pune Warriors",2,0,4,"All","All","All",Inf,3
"Sachin Rana",2014,"Royal Challengers Bangalore",16,0,12,"All","All","All",Inf,8
"Sachin Tendulkar",2009,"Mumbai Indians",58,0,36,"All","All","All",Inf,9.66666666666667
"Sachithra Senanayake",2013,"Kolkata Knight Riders",209,9,192,"All","All","All",23.2222222222222,6.53125
"Sam Curran",2019,"Punjab Kings",323,10,198,"All","All","All",32.3,9.78787878787879
"Sam Curran",2020,"Chennai Super Kings",344,13,252,"All","All","All",26.4615384615385,8.19047619047619
"Sam Curran",2021,"Chennai Super Kings",328,9,198,"All","All","All",36.4444444444444,9.93939393939394
"Samuel Badree",2013,"Rajasthan Royals",34,0,24,"All","All","All",Inf,8.5
"Samuel Badree",2014,"Chennai Super Kings",97,2,84,"All","All","All",48.5,6.92857142857143
"Samuel Badree",2017,"Royal Challengers Bangalore",188,9,150,"All","All","All",20.8888888888889,7.52
"Sanath Jayasuriya",2008,"Mumbai Indians",159,4,126,"All","All","All",39.75,7.57142857142857
"Sanath Jayasuriya",2009,"Mumbai Indians",163,7,114,"All","All","All",23.2857142857143,8.57894736842105
"Sanath Jayasuriya",2010,"Mumbai Indians",68,2,54,"All","All","All",34,7.55555555555556
"Sandeep Lamichhane",2018,"Delhi Capitals",82,5,72,"All","All","All",16.4,6.83333333333333
"Sandeep Lamichhane",2019,"Delhi Capitals",210,8,138,"All","All","All",26.25,9.1304347826087
"Sandeep Sharma",2013,"Punjab Kings",119,8,96,"All","All","All",14.875,7.4375
"Sandeep Sharma",2014,"Punjab Kings",354,18,241,"All","All","All",19.6666666666667,8.81327800829876
"Sandeep Sharma",2015,"Punjab Kings",350,13,300,"All","All","All",26.9230769230769,7
"Sandeep Sharma",2016,"Punjab Kings",366,15,300,"All","All","All",24.4,7.32
"Sandeep Sharma",2017,"Punjab Kings",398,17,288,"All","All","All",23.4117647058824,8.29166666666667
"Sandeep Sharma",2018,"Sunrisers Hyderabad",333,12,264,"All","All","All",27.75,7.56818181818182
"Sandeep Sharma",2019,"Sunrisers Hyderabad",352,12,256,"All","All","All",29.3333333333333,8.25
"Sandeep Sharma",2020,"Sunrisers Hyderabad",374,14,312,"All","All","All",26.7142857142857,7.19230769230769
"Sandeep Sharma",2021,"Sunrisers Hyderabad",203,3,141,"All","All","All",67.6666666666667,8.63829787234043
"Sandeep Sharma",2022,"Punjab Kings",153,2,120,"All","All","All",76.5,7.65
"Sandeep Warrier",2019,"Kolkata Knight Riders",85,2,72,"All","All","All",42.5,7.08333333333333
"Sandeep Warrier",2020,"Kolkata Knight Riders",34,0,18,"All","All","All",Inf,11.3333333333333
"Sandeep Warrier",2021,"Kolkata Knight Riders",15,0,12,"All","All","All",Inf,7.5
"Sanjay Bangar",2008,"Deccan Chargers",219,4,150,"All","All","All",54.75,8.76
"Sanjay Yadav",2022,"Mumbai Indians",23,0,12,"All","All","All",Inf,11.5
"Sarabjit Ladda",2010,"Delhi Capitals",143,4,90,"All","All","All",35.75,9.53333333333333
"Sarabjit Ladda",2011,"Kolkata Knight Riders",42,0,24,"All","All","All",Inf,10.5
"Sarabjit Ladda",2013,"Kolkata Knight Riders",18,1,12,"All","All","All",18,9
"Sarabjit Ladda",2016,"Gujarat Lions",21,0,12,"All","All","All",Inf,10.5
"Sarfaraz Khan",2019,"Punjab Kings",6,0,2,"All","All","All",Inf,18
"Scott Boland",2016,"Rising Pune Supergiants",54,2,42,"All","All","All",27,7.71428571428572
"Scott Kuggeleijn",2019,"Chennai Super Kings",71,2,48,"All","All","All",35.5,8.875
"Scott Styris",2008,"Deccan Chargers",199,3,162,"All","All","All",66.3333333333333,7.37037037037037
"Scott Styris",2009,"Deccan Chargers",64,5,48,"All","All","All",12.8,8
"Scott Styris",2011,"Chennai Super Kings",13,0,6,"All","All","All",Inf,13
"Sean Abbott",2015,"Royal Challengers Bangalore",57,0,30,"All","All","All",Inf,11.4
"Sean Abbott",2022,"Sunrisers Hyderabad",47,1,24,"All","All","All",47,11.75
"Shadab Jakati",2009,"Chennai Super Kings",217,13,174,"All","All","All",16.6923076923077,7.48275862068966
"Shadab Jakati",2010,"Chennai Super Kings",291,13,228,"All","All","All",22.3846153846154,7.65789473684211
"Shadab Jakati",2011,"Chennai Super Kings",336,10,265,"All","All","All",33.6,7.60754716981132
"Shadab Jakati",2012,"Chennai Super Kings",336,9,246,"All","All","All",37.3333333333333,8.19512195121951
"Shadab Jakati",2014,"Royal Challengers Bangalore",41,0,22,"All","All","All",Inf,11.1818181818182
"Shadab Jakati",2016,"Gujarat Lions",178,2,120,"All","All","All",89,8.9
"Shadab Jakati",2017,"Gujarat Lions",52,0,30,"All","All","All",Inf,10.4
"Shahbaz Ahmed",2020,"Royal Challengers Bangalore",44,2,36,"All","All","All",22,7.33333333333333
"Shahbaz Ahmed",2021,"Royal Challengers Bangalore",92,7,84,"All","All","All",13.1428571428571,6.57142857142857
"Shahbaz Ahmed",2022,"Royal Challengers Bangalore",336,4,210,"All","All","All",84,9.6
"Shahbaz Nadeem",2011,"Delhi Capitals",142,4,114,"All","All","All",35.5,7.47368421052632
"Shahbaz Nadeem",2012,"Delhi Capitals",318,8,270,"All","All","All",39.75,7.06666666666667
"Shahbaz Nadeem",2013,"Delhi Capitals",259,9,264,"All","All","All",28.7777777777778,5.88636363636364
"Shahbaz Nadeem",2014,"Delhi Capitals",311,8,228,"All","All","All",38.875,8.18421052631579
"Shahbaz Nadeem",2015,"Delhi Capitals",43,0,42,"All","All","All",Inf,6.14285714285714
"Shahbaz Nadeem",2016,"Delhi Capitals",127,2,90,"All","All","All",63.5,8.46666666666667
"Shahbaz Nadeem",2017,"Delhi Capitals",119,6,107,"All","All","All",19.8333333333333,6.67289719626168
"Shahbaz Nadeem",2018,"Delhi Capitals",161,3,90,"All","All","All",53.6666666666667,10.7333333333333
"Shahbaz Nadeem",2019,"Sunrisers Hyderabad",90,2,54,"All","All","All",45,10
"Shahbaz Nadeem",2020,"Sunrisers Hyderabad",178,5,132,"All","All","All",35.6,8.09090909090909
"Shahbaz Nadeem",2021,"Sunrisers Hyderabad",36,1,24,"All","All","All",36,9
"Shahid Afridi",2008,"Deccan Chargers",225,9,180,"All","All","All",25,7.5
"Shakib Al Hasan",2011,"Kolkata Knight Riders",175,11,153,"All","All","All",15.9090909090909,6.86274509803922
"Shakib Al Hasan",2012,"Kolkata Knight Riders",195,12,180,"All","All","All",16.25,6.5
"Shakib Al Hasan",2014,"Kolkata Knight Riders",334,11,300,"All","All","All",30.3636363636364,6.68
"Shakib Al Hasan",2015,"Kolkata Knight Riders",123,4,84,"All","All","All",30.75,8.78571428571428
"Shakib Al Hasan",2016,"Kolkata Knight Riders",243,5,186,"All","All","All",48.6,7.83870967741935
"Shakib Al Hasan",2017,"Kolkata Knight Riders",31,0,18,"All","All","All",Inf,10.3333333333333
"Shakib Al Hasan",2018,"Sunrisers Hyderabad",456,14,342,"All","All","All",32.5714285714286,8
"Shakib Al Hasan",2019,"Sunrisers Hyderabad",95,2,65,"All","All","All",47.5,8.76923076923077
"Shakib Al Hasan",2021,"Kolkata Knight Riders",187,4,156,"All","All","All",46.75,7.19230769230769
"Shalabh Srivastava",2010,"Punjab Kings",255,6,162,"All","All","All",42.5,9.44444444444444
"Shalabh Srivastava",2011,"Punjab Kings",186,8,120,"All","All","All",23.25,9.3
"Shane Bond",2010,"Kolkata Knight Riders",224,9,186,"All","All","All",24.8888888888889,7.2258064516129
"Shane Harwood",2009,"Rajasthan Royals",73,3,60,"All","All","All",24.3333333333333,7.3
"Shane Warne",2008,"Rajasthan Royals",404,19,312,"All","All","All",21.2631578947368,7.76923076923077
"Shane Warne",2009,"Rajasthan Royals",365,14,300,"All","All","All",26.0714285714286,7.3
"Shane Warne",2010,"Rajasthan Royals",381,11,300,"All","All","All",34.6363636363636,7.62
"Shane Warne",2011,"Rajasthan Royals",297,13,282,"All","All","All",22.8461538461538,6.31914893617021
"Shane Watson",2008,"Rajasthan Royals",383,17,325,"All","All","All",22.5294117647059,7.07076923076923
"Shane Watson",2010,"Rajasthan Royals",184,6,132,"All","All","All",30.6666666666667,8.36363636363636
"Shane Watson",2011,"Rajasthan Royals",241,6,216,"All","All","All",40.1666666666667,6.69444444444444
"Shane Watson",2012,"Rajasthan Royals",161,6,138,"All","All","All",26.8333333333333,7
"Shane Watson",2013,"Rajasthan Royals",298,13,250,"All","All","All",22.9230769230769,7.152
"Shane Watson",2014,"Rajasthan Royals",165,7,126,"All","All","All",23.5714285714286,7.85714285714286
"Shane Watson",2015,"Rajasthan Royals",269,6,174,"All","All","All",44.8333333333333,9.27586206896552
"Shane Watson",2016,"Royal Challengers Bangalore",485,20,339,"All","All","All",24.25,8.58407079646018
"Shane Watson",2017,"Royal Challengers Bangalore",245,5,161,"All","All","All",49,9.1304347826087
"Shane Watson",2018,"Chennai Super Kings",251,6,168,"All","All","All",41.8333333333333,8.96428571428572
"Shardul Thakur",2015,"Punjab Kings",38,1,18,"All","All","All",38,12.6666666666667
"Shardul Thakur",2017,"Rising Pune Supergiants",315,11,229,"All","All","All",28.6363636363636,8.25327510917031
"Shardul Thakur",2018,"Chennai Super Kings",431,16,280,"All","All","All",26.9375,9.23571428571429
"Shardul Thakur",2019,"Chennai Super Kings",281,8,180,"All","All","All",35.125,9.36666666666667
"Shardul Thakur",2020,"Chennai Super Kings",275,10,194,"All","All","All",27.5,8.50515463917526
"Shardul Thakur",2021,"Chennai Super Kings",527,21,359,"All","All","All",25.0952380952381,8.80779944289694
"Shardul Thakur",2022,"Delhi Capitals",473,15,290,"All","All","All",31.5333333333333,9.78620689655173
"Shashank Singh",2022,"Sunrisers Hyderabad",20,0,12,"All","All","All",Inf,10
"Shaun Pollock",2008,"Mumbai Indians",301,11,276,"All","All","All",27.3636363636364,6.54347826086956
"Shaun Tait",2010,"Rajasthan Royals",260,11,187,"All","All","All",23.6363636363636,8.34224598930481
"Shaun Tait",2011,"Rajasthan Royals",126,6,89,"All","All","All",21,8.49438202247191
"Shaun Tait",2012,"Rajasthan Royals",151,6,137,"All","All","All",25.1666666666667,6.61313868613139
"Shaun Tait",2013,"Rajasthan Royals",98,1,60,"All","All","All",98,9.8
"Sheldon Cottrell",2020,"Punjab Kings",176,6,120,"All","All","All",29.3333333333333,8.8
"Sherfane Rutherford",2019,"Delhi Capitals",59,1,41,"All","All","All",59,8.63414634146341
"Shikhar Dhawan",2011,"Deccan Chargers",11,1,12,"All","All","All",11,5.5
"Shikhar Dhawan",2012,"Deccan Chargers",55,3,36,"All","All","All",18.3333333333333,9.16666666666667
"Shivam Dube",2019,"Royal Challengers Bangalore",8,0,10,"All","All","All",Inf,4.8
"Shivam Dube",2020,"Royal Challengers Bangalore",73,4,54,"All","All","All",18.25,8.11111111111111
"Shivam Dube",2021,"Rajasthan Royals",49,0,30,"All","All","All",Inf,9.8
"Shivam Dube",2022,"Chennai Super Kings",36,0,12,"All","All","All",Inf,18
"Shivam Mavi",2018,"Kolkata Knight Riders",270,5,168,"All","All","All",54,9.64285714285714
"Shivam Mavi",2020,"Kolkata Knight Riders",212,9,156,"All","All","All",23.5555555555556,8.15384615384615
"Shivam Mavi",2021,"Kolkata Knight Riders",233,11,193,"All","All","All",21.1818181818182,7.24352331606218
"Shivam Mavi",2022,"Kolkata Knight Riders",227,5,132,"All","All","All",45.4,10.3181818181818
"Shivam Sharma",2014,"Punjab Kings",121,3,96,"All","All","All",40.3333333333333,7.5625
"Shivam Sharma",2015,"Punjab Kings",44,1,18,"All","All","All",44,14.6666666666667
