"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Mohsin Khan",2022,"Lucknow Super Giants",197,14,198,"All","All","All",14.0714285714286,5.96969696969697
"Moises Henriques",2009,"Kolkata Knight Riders",107,2,73,"All","All","All",53.5,8.79452054794521
"Moises Henriques",2010,"Delhi Capitals",35,1,24,"All","All","All",35,8.75
"Moises Henriques",2013,"Royal Challengers Bangalore",185,7,127,"All","All","All",26.4285714285714,8.74015748031496
"Moises Henriques",2014,"Sunrisers Hyderabad",96,4,60,"All","All","All",24,9.6
"Moises Henriques",2015,"Sunrisers Hyderabad",158,11,150,"All","All","All",14.3636363636364,6.32
"Moises Henriques",2016,"Sunrisers Hyderabad",415,12,312,"All","All","All",34.5833333333333,7.98076923076923
"Moises Henriques",2017,"Sunrisers Hyderabad",248,1,144,"All","All","All",248,10.3333333333333
"Moises Henriques",2021,"Punjab Kings",45,4,60,"All","All","All",11.25,4.5
"Monu Kumar",2020,"Chennai Super Kings",20,0,12,"All","All","All",Inf,10
"Morne Morkel",2009,"Rajasthan Royals",40,0,42,"All","All","All",Inf,5.71428571428571
"Morne Morkel",2010,"Rajasthan Royals",66,0,42,"All","All","All",Inf,9.42857142857143
"Morne Morkel",2011,"Delhi Capitals",325,13,258,"All","All","All",25,7.55813953488372
"Morne Morkel",2012,"Delhi Capitals",453,25,378,"All","All","All",18.12,7.19047619047619
"Morne Morkel",2013,"Delhi Capitals",335,7,240,"All","All","All",47.8571428571429,8.375
"Morne Morkel",2014,"Kolkata Knight Riders",367,12,288,"All","All","All",30.5833333333333,7.64583333333333
"Morne Morkel",2015,"Kolkata Knight Riders",206,10,168,"All","All","All",20.6,7.35714285714286
"Morne Morkel",2016,"Kolkata Knight Riders",297,10,213,"All","All","All",29.7,8.36619718309859
"Mujeeb Ur Rahman",2018,"Punjab Kings",289,14,248,"All","All","All",20.6428571428571,6.99193548387097
"Mujeeb Ur Rahman",2019,"Punjab Kings",191,3,114,"All","All","All",63.6666666666667,10.0526315789474
"Mujeeb Ur Rahman",2020,"Punjab Kings",83,0,48,"All","All","All",Inf,10.375
"Mujeeb Ur Rahman",2021,"Sunrisers Hyderabad",29,2,24,"All","All","All",14.5,7.25
"Mukesh Choudhary",2022,"Chennai Super Kings",424,16,273,"All","All","All",26.5,9.31868131868132
"Munaf Patel",2008,"Rajasthan Royals",420,14,330,"All","All","All",30,7.63636363636364
"Munaf Patel",2009,"Rajasthan Royals",241,16,209,"All","All","All",15.0625,6.91866028708134
"Munaf Patel",2010,"Rajasthan Royals",118,3,78,"All","All","All",39.3333333333333,9.07692307692308
"Munaf Patel",2011,"Mumbai Indians",358,22,326,"All","All","All",16.2727272727273,6.58895705521472
"Munaf Patel",2012,"Mumbai Indians",367,15,280,"All","All","All",24.4666666666667,7.86428571428571
"Munaf Patel",2013,"Mumbai Indians",137,3,90,"All","All","All",45.6666666666667,9.13333333333333
"Munaf Patel",2017,"Gujarat Lions",57,1,42,"All","All","All",57,8.14285714285714
"Murali Kartik",2008,"Kolkata Knight Riders",127,3,88,"All","All","All",42.3333333333333,8.65909090909091
"Murali Kartik",2009,"Kolkata Knight Riders",201,4,204,"All","All","All",50.25,5.91176470588235
"Murali Kartik",2010,"Kolkata Knight Riders",253,9,234,"All","All","All",28.1111111111111,6.48717948717949
"Murali Kartik",2011,"Pune Warriors",166,1,125,"All","All","All",166,7.968
"Murali Kartik",2012,"Pune Warriors",266,4,216,"All","All","All",66.5,7.38888888888889
"Murali Kartik",2013,"Royal Challengers Bangalore",284,9,234,"All","All","All",31.5555555555556,7.28205128205128
"Murali Kartik",2014,"Punjab Kings",91,1,48,"All","All","All",91,11.375
"Murali Vijay",2014,"Delhi Capitals",13,0,6,"All","All","All",Inf,13
"Murali Vijay",2015,"Punjab Kings",28,0,24,"All","All","All",Inf,7
"Murali Vijay",2016,"Punjab Kings",8,0,6,"All","All","All",Inf,8
"Murugan Ashwin",2016,"Rising Pune Supergiants",241,7,171,"All","All","All",34.4285714285714,8.45614035087719
"Murugan Ashwin",2018,"Royal Challengers Bangalore",53,3,42,"All","All","All",17.6666666666667,7.57142857142857
"Murugan Ashwin",2019,"Punjab Kings",255,5,204,"All","All","All",51,7.5
"Murugan Ashwin",2020,"Punjab Kings",235,10,189,"All","All","All",23.5,7.46031746031746
"Murugan Ashwin",2021,"Punjab Kings",97,1,66,"All","All","All",97,8.81818181818182
"Murugan Ashwin",2022,"Mumbai Indians",228,9,174,"All","All","All",25.3333333333333,7.86206896551724
