"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Punjab Kings","Odean Smith",178,6,90,"All","All","All",29.6666666666667,11.8666666666667
"Punjab Kings","Pardeep Sahu",146,3,105,"All","All","All",48.6666666666667,8.34285714285714
"Punjab Kings","Parvinder Awana",1027,39,747,"All","All","All",26.3333333333333,8.24899598393574
"Punjab Kings","Paul Valthaty",205,7,151,"All","All","All",29.2857142857143,8.14569536423841
"Punjab Kings","Piyush Chawla",2237,84,1784,"All","All","All",26.6309523809524,7.52354260089686
"Punjab Kings","Praveen Kumar",1152,31,992,"All","All","All",37.1612903225806,6.96774193548387
"Punjab Kings","Rahul Chahar",360,14,280,"All","All","All",25.7142857142857,7.71428571428572
"Punjab Kings","Rahul Tewatia",49,3,54,"All","All","All",16.3333333333333,5.44444444444444
"Punjab Kings","Rajagopal Sathish",51,0,24,"All","All","All",Inf,12.75
"Punjab Kings","Ramesh Powar",415,11,354,"All","All","All",37.7272727272727,7.03389830508475
"Punjab Kings","Ranadeb Bose",24,0,12,"All","All","All",Inf,12
"Punjab Kings","Ravi Bishnoi",606,24,522,"All","All","All",25.25,6.96551724137931
"Punjab Kings","Ravi Bopara",132,5,86,"All","All","All",26.4,9.2093023255814
"Punjab Kings","Ravichandran Ashwin",810,25,634,"All","All","All",32.4,7.66561514195584
"Punjab Kings","Riley Meredith",169,4,102,"All","All","All",42.25,9.94117647058824
"Punjab Kings","Rishi Dhawan",687,22,512,"All","All","All",31.2272727272727,8.05078125
"Punjab Kings","Rusty Theron",187,6,144,"All","All","All",31.1666666666667,7.79166666666667
"Punjab Kings","Ryan Harris",584,25,462,"All","All","All",23.36,7.58441558441558
"Punjab Kings","Ryan McLaren",178,5,108,"All","All","All",35.6,9.88888888888889
"Punjab Kings","Sam Curran",323,10,198,"All","All","All",32.3,9.78787878787879
"Punjab Kings","Sandeep Sharma",1740,73,1345,"All","All","All",23.8356164383562,7.76208178438662
"Punjab Kings","Sarfaraz Khan",6,0,2,"All","All","All",Inf,18
"Punjab Kings","Shalabh Srivastava",441,14,282,"All","All","All",31.5,9.38297872340426
"Punjab Kings","Shardul Thakur",38,1,18,"All","All","All",38,12.6666666666667
"Punjab Kings","Sheldon Cottrell",176,6,120,"All","All","All",29.3333333333333,8.8
"Punjab Kings","Shivam Sharma",165,4,114,"All","All","All",41.25,8.68421052631579
"Punjab Kings","Sreesanth",821,28,559,"All","All","All",29.3214285714286,8.81216457960644
"Punjab Kings","Swapnil Singh",90,1,60,"All","All","All",90,9
"Punjab Kings","T Natarajan",115,2,76,"All","All","All",57.5,9.07894736842105
"Punjab Kings","Thisara Perera",55,1,36,"All","All","All",55,9.16666666666667
"Punjab Kings","Vaibhav Arora",164,3,107,"All","All","All",54.6666666666667,9.19626168224299
"Punjab Kings","Varun Aaron",163,7,120,"All","All","All",23.2857142857143,8.15
"Punjab Kings","Varun Chakravarthy",35,1,18,"All","All","All",35,11.6666666666667
"Punjab Kings","Vikram Singh",542,12,360,"All","All","All",45.1666666666667,9.03333333333333
"Punjab Kings","Vikramjeet Malik",173,3,127,"All","All","All",57.6666666666667,8.17322834645669
"Punjab Kings","Wilkin Mota",97,4,72,"All","All","All",24.25,8.08333333333333
"Punjab Kings","Yusuf Abdulla",307,15,209,"All","All","All",20.4666666666667,8.8133971291866
"Punjab Kings","Yuvraj Singh",400,14,324,"All","All","All",28.5714285714286,7.40740740740741
"Rajasthan Royals","Aaron Finch",5,0,7,"All","All","All",Inf,4.28571428571429
"Rajasthan Royals","Abhishek Jhunjhunwala",69,0,37,"All","All","All",Inf,11.1891891891892
"Rajasthan Royals","Abhishek Raut",44,0,30,"All","All","All",Inf,8.8
"Rajasthan Royals","Adam Voges",76,0,54,"All","All","All",Inf,8.44444444444444
"Rajasthan Royals","Aditya Dole",112,5,66,"All","All","All",22.4,10.1818181818182
"Rajasthan Royals","Ajit Chandila",242,11,234,"All","All","All",22,6.20512820512821
"Rajasthan Royals","Akash Singh",39,0,24,"All","All","All",Inf,9.75
"Rajasthan Royals","Amit Singh",620,28,473,"All","All","All",22.1428571428571,7.8646934460888
"Rajasthan Royals","Amit Uniyal",66,2,36,"All","All","All",33,11
"Rajasthan Royals","Andrew Tye",50,1,24,"All","All","All",50,12.5
"Rajasthan Royals","Ankeet Chavan",326,8,248,"All","All","All",40.75,7.88709677419355
"Rajasthan Royals","Ankit Rajpoot",199,2,102,"All","All","All",99.5,11.7058823529412
"Rajasthan Royals","Ankit Sharma",168,7,138,"All","All","All",24,7.30434782608696
"Rajasthan Royals","Anureet Singh",42,1,24,"All","All","All",42,10.5
"Rajasthan Royals","Ashok Menaria",144,3,110,"All","All","All",48,7.85454545454545
"Rajasthan Royals","Barinder Sran",31,0,18,"All","All","All",Inf,10.3333333333333
"Rajasthan Royals","Ben Cutting",31,1,24,"All","All","All",31,7.75
"Rajasthan Royals","Ben Laughlin",211,9,126,"All","All","All",23.4444444444444,10.047619047619
"Rajasthan Royals","Ben Stokes",658,16,419,"All","All","All",41.125,9.42243436754176
"Rajasthan Royals","Brad Hodge",24,1,18,"All","All","All",24,8
"Rajasthan Royals","Brad Hogg",284,10,236,"All","All","All",28.4,7.22033898305085
"Rajasthan Royals","Chetan Sakariya",426,14,312,"All","All","All",30.4285714285714,8.19230769230769
"Rajasthan Royals","Chris Morris",687,28,498,"All","All","All",24.5357142857143,8.27710843373494
"Rajasthan Royals","D'Arcy Short",19,1,18,"All","All","All",19,6.33333333333333
"Rajasthan Royals","Daryl Mitchell",27,0,12,"All","All","All",Inf,13.5
"Rajasthan Royals","Deepak Hooda",129,1,91,"All","All","All",129,8.50549450549451
"Rajasthan Royals","Dhawal Kulkarni",1021,29,701,"All","All","All",35.2068965517241,8.73894436519258
"Rajasthan Royals","Dimitri Mascarenhas",226,12,188,"All","All","All",18.8333333333333,7.21276595744681
"Rajasthan Royals","Dinesh Salunkhe",78,1,47,"All","All","All",78,9.95744680851064
"Rajasthan Royals","Faiz Fazal",20,0,12,"All","All","All",Inf,10
