"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Royal Challengers Bangalore","Daniel Sams",39,1,36,"All","All","All",39,6.5
"Royal Challengers Bangalore","Daniel Vettori",547,17,520,"All","All","All",32.1764705882353,6.31153846153846
"Royal Challengers Bangalore","Daren Sammy",25,0,18,"All","All","All",Inf,8.33333333333333
"Royal Challengers Bangalore","David Wiese",402,16,278,"All","All","All",25.125,8.67625899280575
"Royal Challengers Bangalore","David Willey",72,1,66,"All","All","All",72,6.54545454545454
"Royal Challengers Bangalore","Dillon du Preez",56,4,42,"All","All","All",14,8
"Royal Challengers Bangalore","Dirk Nannes",31,2,24,"All","All","All",15.5,7.75
"Royal Challengers Bangalore","George Garton",135,3,90,"All","All","All",45,9
"Royal Challengers Bangalore","Glenn Maxwell",300,9,240,"All","All","All",33.3333333333333,7.5
"Royal Challengers Bangalore","Harshal Patel",1840,85,1342,"All","All","All",21.6470588235294,8.22652757078987
"Royal Challengers Bangalore","Iqbal Abdulla",418,12,294,"All","All","All",34.8333333333333,8.53061224489796
"Royal Challengers Bangalore","Isuru Udana",282,8,174,"All","All","All",35.25,9.72413793103448
"Royal Challengers Bangalore","Jacques Kallis",1140,23,824,"All","All","All",49.5652173913044,8.30097087378641
"Royal Challengers Bangalore","Jamaluddin Syed Mohammad",283,8,192,"All","All","All",35.375,8.84375
"Royal Challengers Bangalore","Jaydev Unadkat",370,13,294,"All","All","All",28.4615384615385,7.55102040816327
"Royal Challengers Bangalore","Jesse Ryder",115,3,102,"All","All","All",38.3333333333333,6.76470588235294
"Royal Challengers Bangalore","Johan van der Wath",129,3,72,"All","All","All",43,10.75
"Royal Challengers Bangalore","Josh Hazlewood",377,20,279,"All","All","All",18.85,8.10752688172043
"Royal Challengers Bangalore","KP Appanna",286,9,216,"All","All","All",31.7777777777778,7.94444444444444
"Royal Challengers Bangalore","Kane Richardson",165,8,102,"All","All","All",20.625,9.70588235294118
"Royal Challengers Bangalore","Kevin Pietersen",162,7,138,"All","All","All",23.1428571428571,7.04347826086957
"Royal Challengers Bangalore","Kulwant Khejroliya",153,3,95,"All","All","All",51,9.66315789473684
"Royal Challengers Bangalore","Kyle Jamieson",269,9,168,"All","All","All",29.8888888888889,9.60714285714286
"Royal Challengers Bangalore","Mahipal Lomror",18,0,12,"All","All","All",Inf,9
"Royal Challengers Bangalore","Marcus Stoinis",145,2,100,"All","All","All",72.5,8.7
"Royal Challengers Bangalore","Mitchell Starc",692,34,580,"All","All","All",20.3529411764706,7.15862068965517
"Royal Challengers Bangalore","Moeen Ali",308,10,259,"All","All","All",30.8,7.13513513513514
"Royal Challengers Bangalore","Mohammed Siraj",1739,49,1196,"All","All","All",35.4897959183673,8.72408026755853
"Royal Challengers Bangalore","Moises Henriques",185,7,127,"All","All","All",26.4285714285714,8.74015748031496
"Royal Challengers Bangalore","Murali Kartik",284,9,234,"All","All","All",31.5555555555556,7.28205128205128
"Royal Challengers Bangalore","Murugan Ashwin",53,3,42,"All","All","All",17.6666666666667,7.57142857142857
"Royal Challengers Bangalore","Muthiah Muralidaran",561,21,474,"All","All","All",26.7142857142857,7.10126582278481
"Royal Challengers Bangalore","Navdeep Saini",828,17,586,"All","All","All",48.7058823529412,8.4778156996587
"Royal Challengers Bangalore","Nayan Doshi",17,1,24,"All","All","All",17,4.25
"Royal Challengers Bangalore","Pankaj Singh",146,4,90,"All","All","All",36.5,9.73333333333333
"Royal Challengers Bangalore","Parvez Rasool",129,1,84,"All","All","All",129,9.21428571428572
"Royal Challengers Bangalore","Pawan Negi",348,20,284,"All","All","All",17.4,7.35211267605634
"Royal Challengers Bangalore","Prasanth Parameswaran",87,5,60,"All","All","All",17.4,8.7
"Royal Challengers Bangalore","Praveen Kumar",1140,34,836,"All","All","All",33.5294117647059,8.18181818181818
"Royal Challengers Bangalore","Prayas Ray Barman",56,0,24,"All","All","All",Inf,14
"Royal Challengers Bangalore","RP Singh",335,13,239,"All","All","All",25.7692307692308,8.41004184100418
"Royal Challengers Bangalore","Raju Bhatkal",35,0,12,"All","All","All",Inf,17.5
"Royal Challengers Bangalore","Ravi Rampaul",298,14,262,"All","All","All",21.2857142857143,6.82442748091603
"Royal Challengers Bangalore","Roelof van der Merwe",275,11,228,"All","All","All",25,7.23684210526316
"Royal Challengers Bangalore","Ross Taylor",13,0,6,"All","All","All",Inf,13
"Royal Challengers Bangalore","Ryan Ninan",65,3,36,"All","All","All",21.6666666666667,10.8333333333333
"Royal Challengers Bangalore","Sachin Baby",8,2,10,"All","All","All",4,4.8
"Royal Challengers Bangalore","Sachin Rana",16,0,12,"All","All","All",Inf,8
"Royal Challengers Bangalore","Samuel Badree",188,9,150,"All","All","All",20.8888888888889,7.52
"Royal Challengers Bangalore","Sean Abbott",57,0,30,"All","All","All",Inf,11.4
"Royal Challengers Bangalore","Shadab Jakati",41,0,22,"All","All","All",Inf,11.1818181818182
"Royal Challengers Bangalore","Shahbaz Ahmed",472,13,330,"All","All","All",36.3076923076923,8.58181818181818
"Royal Challengers Bangalore","Shane Watson",730,25,500,"All","All","All",29.2,8.76
"Royal Challengers Bangalore","Shivam Dube",81,4,64,"All","All","All",20.25,7.59375
"Royal Challengers Bangalore","Siddarth Kaul",43,0,24,"All","All","All",Inf,10.75
"Royal Challengers Bangalore","Sreenath Aravind",1039,45,760,"All","All","All",23.0888888888889,8.20263157894737
"Royal Challengers Bangalore","Sridharan Sriram",24,0,12,"All","All","All",Inf,12
"Royal Challengers Bangalore","Stuart Binny",184,5,138,"All","All","All",36.8,8
"Royal Challengers Bangalore","Sunil Joshi",82,1,55,"All","All","All",82,8.94545454545455
"Royal Challengers Bangalore","Tabraiz Shamsi",147,3,96,"All","All","All",49,9.1875
"Royal Challengers Bangalore","Tillakaratne Dilshan",195,1,120,"All","All","All",195,9.75
"Royal Challengers Bangalore","Tim Southee",379,6,228,"All","All","All",63.1666666666667,9.97368421052632
"Royal Challengers Bangalore","Travis Head",81,2,48,"All","All","All",40.5,10.125
"Royal Challengers Bangalore","Tymal Mills",153,5,107,"All","All","All",30.6,8.57943925233645
"Royal Challengers Bangalore","Umesh Yadav",872,28,588,"All","All","All",31.1428571428571,8.89795918367347
"Royal Challengers Bangalore","Varun Aaron",703,21,466,"All","All","All",33.4761904761905,9.05150214592275
"Royal Challengers Bangalore","Vinay Kumar",1822,72,1305,"All","All","All",25.3055555555556,8.37701149425287
"Royal Challengers Bangalore","Virat Kohli",368,4,251,"All","All","All",92,8.79681274900398
"Royal Challengers Bangalore","Wanindu Hasaranga de Silva",490,26,378,"All","All","All",18.8461538461538,7.77777777777778
"Royal Challengers Bangalore","Washington Sundar",682,19,570,"All","All","All",35.8947368421053,7.17894736842105
"Royal Challengers Bangalore","Yuvraj Singh",187,5,136,"All","All","All",37.4,8.25
"Royal Challengers Bangalore","Yuzvendra Chahal",3063,139,2424,"All","All","All",22.0359712230216,7.58168316831683
"Royal Challengers Bangalore","Zaheer Khan",1312,49,1002,"All","All","All",26.7755102040816,7.8562874251497
"Sunrisers Hyderabad","Abdul Samad",113,2,54,"All","All","All",56.5,12.5555555555556
"Sunrisers Hyderabad","Abhishek Sharma",214,7,156,"All","All","All",30.5714285714286,8.23076923076923
"Sunrisers Hyderabad","Aiden Markram",64,1,36,"All","All","All",64,10.6666666666667
"Sunrisers Hyderabad","Amit Mishra",734,28,597,"All","All","All",26.2142857142857,7.37688442211055
"Sunrisers Hyderabad","Anand Rajan",42,2,48,"All","All","All",21,5.25
"Sunrisers Hyderabad","Ankit Sharma",17,0,12,"All","All","All",Inf,8.5
"Sunrisers Hyderabad","Ashish Nehra",396,17,283,"All","All","All",23.2941176470588,8.39575971731449
"Sunrisers Hyderabad","Ashish Reddy",159,7,99,"All","All","All",22.7142857142857,9.63636363636364
"Sunrisers Hyderabad","Barinder Sran",442,14,309,"All","All","All",31.5714285714286,8.58252427184466
"Sunrisers Hyderabad","Basil Thampi",270,6,157,"All","All","All",45,10.3184713375796
"Sunrisers Hyderabad","Ben Cutting",203,6,143,"All","All","All",33.8333333333333,8.51748251748252
"Sunrisers Hyderabad","Bhuvneshwar Kumar",3252,130,2620,"All","All","All",25.0153846153846,7.44732824427481
"Sunrisers Hyderabad","Billy Stanlake",130,5,96,"All","All","All",26,8.125
"Sunrisers Hyderabad","Bipul Sharma",300,9,224,"All","All","All",33.3333333333333,8.03571428571428
"Sunrisers Hyderabad","Cameron White",16,1,12,"All","All","All",16,8
"Sunrisers Hyderabad","Carlos Brathwaite",94,5,61,"All","All","All",18.8,9.24590163934426
"Sunrisers Hyderabad","Chris Jordan",40,1,30,"All","All","All",40,8
"Sunrisers Hyderabad","Dale Steyn",985,33,857,"All","All","All",29.8484848484848,6.89614935822637
"Sunrisers Hyderabad","Daren Sammy",325,11,218,"All","All","All",29.5454545454545,8.94495412844037
"Sunrisers Hyderabad","David Warner",2,0,1,"All","All","All",Inf,12
"Sunrisers Hyderabad","Deepak Hooda",184,6,132,"All","All","All",30.6666666666667,8.36363636363636
"Sunrisers Hyderabad","Fazalhaq Farooqi",110,2,72,"All","All","All",55,9.16666666666667
"Sunrisers Hyderabad","Hanuma Vihari",38,1,36,"All","All","All",38,6.33333333333333
"Sunrisers Hyderabad","Irfan Pathan",205,4,142,"All","All","All",51.25,8.66197183098592
"Sunrisers Hyderabad","Ishant Sharma",726,19,508,"All","All","All",38.2105263157895,8.5748031496063
"Sunrisers Hyderabad","Jagadeesha Suchith",206,7,150,"All","All","All",29.4285714285714,8.24
"Sunrisers Hyderabad","Jason Holder",515,31,377,"All","All","All",16.6129032258065,8.19628647214854
"Sunrisers Hyderabad","Kane Williamson",31,0,18,"All","All","All",Inf,10.3333333333333
"Sunrisers Hyderabad","Karn Sharma",1109,36,850,"All","All","All",30.8055555555556,7.82823529411765
"Sunrisers Hyderabad","Kartik Tyagi",79,1,48,"All","All","All",79,9.875
"Sunrisers Hyderabad","Khaleel Ahmed",786,33,543,"All","All","All",23.8181818181818,8.68508287292818
"Sunrisers Hyderabad","Marco Jansen",274,7,192,"All","All","All",39.1428571428571,8.5625
"Sunrisers Hyderabad","Mitchell Marsh",6,0,4,"All","All","All",Inf,9
"Sunrisers Hyderabad","Mohammad Nabi",408,13,343,"All","All","All",31.3846153846154,7.13702623906705
"Sunrisers Hyderabad","Mohammed Siraj",212,10,138,"All","All","All",21.2,9.21739130434783
"Sunrisers Hyderabad","Moises Henriques",917,28,666,"All","All","All",32.75,8.26126126126126
"Sunrisers Hyderabad","Mujeeb Ur Rahman",29,2,24,"All","All","All",14.5,7.25
"Sunrisers Hyderabad","Mustafizur Rahman",455,17,382,"All","All","All",26.7647058823529,7.14659685863874
"Sunrisers Hyderabad","Parvez Rasool",114,2,84,"All","All","All",57,8.14285714285714
"Sunrisers Hyderabad","Praveen Kumar",329,7,216,"All","All","All",47,9.13888888888889
"Sunrisers Hyderabad","Rashid Khan",1912,93,1812,"All","All","All",20.5591397849462,6.33112582781457
"Sunrisers Hyderabad","Ravi Bopara",160,6,120,"All","All","All",26.6666666666667,8
"Sunrisers Hyderabad","Romario Shepherd",98,3,54,"All","All","All",32.6666666666667,10.8888888888889
"Sunrisers Hyderabad","Sandeep Sharma",1262,41,973,"All","All","All",30.780487804878,7.78211716341213
"Sunrisers Hyderabad","Sean Abbott",47,1,24,"All","All","All",47,11.75
"Sunrisers Hyderabad","Shahbaz Nadeem",304,8,210,"All","All","All",38,8.68571428571429
"Sunrisers Hyderabad","Shakib Al Hasan",551,16,407,"All","All","All",34.4375,8.12285012285012
"Sunrisers Hyderabad","Shashank Singh",20,0,12,"All","All","All",Inf,10
"Sunrisers Hyderabad","Shreyas Gopal",34,1,18,"All","All","All",34,11.3333333333333
"Sunrisers Hyderabad","Siddarth Kaul",1400,52,976,"All","All","All",26.9230769230769,8.60655737704918
"Sunrisers Hyderabad","T Natarajan",979,36,683,"All","All","All",27.1944444444444,8.60029282576867
"Sunrisers Hyderabad","Thisara Perera",478,19,358,"All","All","All",25.1578947368421,8.01117318435754
"Sunrisers Hyderabad","Trent Boult",275,10,192,"All","All","All",27.5,8.59375
"Sunrisers Hyderabad","Umran Malik",540,24,367,"All","All","All",22.5,8.8283378746594
"Sunrisers Hyderabad","Venugopal Rao",16,0,12,"All","All","All",Inf,8
"Sunrisers Hyderabad","Vijay Shankar",252,8,193,"All","All","All",31.5,7.83419689119171
"Sunrisers Hyderabad","Washington Sundar",239,6,168,"All","All","All",39.8333333333333,8.53571428571429
"Sunrisers Hyderabad","Yusuf Pathan",22,1,18,"All","All","All",22,7.33333333333333
"Sunrisers Hyderabad","Yuvraj Singh",74,1,49,"All","All","All",74,9.06122448979592
