"Striker","Season","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Bowling_Team","Batting_Team","Average","Strike_Rate"
"Abhishek Raut",2011,"Eden Gardens",11,1,15,1,"All","All","All",11,73.3333333333333
"Abhishek Raut",2011,"Punjab Cricket Association Stadium",25,1,21,0,"All","All","All",25,119.047619047619
"Abhishek Raut",2011,"Sawai Mansingh Stadium",24,1,22,1,"All","All","All",24,109.090909090909
"Abhishek Sharma",2018,"Feroz Shah Kotla",63,1,33,0,"All","All","All",63,190.909090909091
"Abhishek Sharma",2019,"Rajiv Gandhi International Stadium",7,1,6,0,"All","All","All",7,116.666666666667
"Abhishek Sharma",2019,"Wankhede Stadium",2,1,3,0,"All","All","All",2,66.6666666666667
"Abhishek Sharma",2020,"Dubai International Cricket Stadium",50,3,34,1,"All","All","All",16.6666666666667,147.058823529412
"Abhishek Sharma",2020,"Sharjah Cricket Stadium",18,2,18,0,"All","All","All",9,100
"Abhishek Sharma",2020,"Zayed Cricket Stadium",3,0,4,0,"All","All","All",Inf,75
"Abhishek Sharma",2021,"Dubai International Cricket Stadium",27,1,26,0,"All","All","All",27,103.846153846154
"Abhishek Sharma",2021,"MA Chidambaram Stadium",7,2,10,0,"All","All","All",3.5,70
"Abhishek Sharma",2021,"Sharjah Cricket Stadium",18,1,13,0,"All","All","All",18,138.461538461538
"Abhishek Sharma",2021,"Zayed Cricket Stadium",46,2,26,0,"All","All","All",23,176.923076923077
"Abhishek Sharma",2022,"Brabourne Stadium",57,3,44,0,"All","All","All",19,129.545454545455
"Abhishek Sharma",2022,"Dr DY Patil Sports Academy",161,4,118,0,"All","All","All",40.25,136.440677966102
"Abhishek Sharma",2022,"Maharashtra Cricket Association Stadium",91,3,71,0,"All","All","All",30.3333333333333,128.169014084507
"Abhishek Sharma",2022,"Wankhede Stadium",117,4,87,0,"All","All","All",29.25,134.48275862069
"Abu Nechim",2010,"MA Chidambaram Stadium",4,0,7,0,"All","All","All",Inf,57.1428571428571
"Abu Nechim",2011,"MA Chidambaram Stadium",18,0,13,0,"All","All","All",Inf,138.461538461538
"Abu Nechim",2014,"JSCA International Stadium Complex",4,0,1,0,"All","All","All",Inf,400
"Abu Nechim",2015,"Eden Gardens",5,0,2,0,"All","All","All",Inf,250
"Abu Nechim",2015,"M Chinnaswamy Stadium",5,1,3,0,"All","All","All",5,166.666666666667
"Adam Gilchrist",2008,"Dr DY Patil Sports Academy",109,0,47,0,"All","All","All",Inf,231.914893617021
"Adam Gilchrist",2008,"Eden Gardens",23,1,22,0,"All","All","All",23,104.545454545455
"Adam Gilchrist",2008,"Feroz Shah Kotla",14,1,9,0,"All","All","All",14,155.555555555556
"Adam Gilchrist",2008,"M Chinnaswamy Stadium",10,1,11,0,"All","All","All",10,90.9090909090909
"Adam Gilchrist",2008,"MA Chidambaram Stadium",54,1,36,0,"All","All","All",54,150
"Adam Gilchrist",2008,"Punjab Cricket Association Stadium",50,1,42,0,"All","All","All",50,119.047619047619
"Adam Gilchrist",2008,"Rajiv Gandhi International Stadium",115,7,102,0,"All","All","All",16.4285714285714,112.745098039216
"Adam Gilchrist",2008,"Sawai Mansingh Stadium",61,1,49,0,"All","All","All",61,124.489795918367
"Adam Gilchrist",2009,"Buffalo Park",0,1,1,0,"All","All","All",0,0
"Adam Gilchrist",2009,"De Beers Diamond Oval",30,2,27,0,"All","All","All",15,111.111111111111
"Adam Gilchrist",2009,"Kingsmead",143,3,72,0,"All","All","All",47.6666666666667,198.611111111111
"Adam Gilchrist",2009,"New Wanderers Stadium",66,3,47,0,"All","All","All",22,140.425531914894
"Adam Gilchrist",2009,"Newlands",84,2,56,0,"All","All","All",42,150
"Adam Gilchrist",2009,"St George's Park",39,1,35,0,"All","All","All",39,111.428571428571
"Adam Gilchrist",2009,"SuperSport Park",133,4,87,0,"All","All","All",33.25,152.873563218391
"Adam Gilchrist",2010,"Barabati Stadium",57,2,26,0,"All","All","All",28.5,219.230769230769
"Adam Gilchrist",2010,"Brabourne Stadium",19,1,14,0,"All","All","All",19,135.714285714286
"Adam Gilchrist",2010,"Dr DY Patil Sports Academy",73,4,61,0,"All","All","All",18.25,119.672131147541
"Adam Gilchrist",2010,"Eden Gardens",9,1,5,0,"All","All","All",9,180
"Adam Gilchrist",2010,"Feroz Shah Kotla",10,1,9,0,"All","All","All",10,111.111111111111
"Adam Gilchrist",2010,"Himachal Pradesh Cricket Association Stadium",9,1,5,0,"All","All","All",9,180
"Adam Gilchrist",2010,"M Chinnaswamy Stadium",32,1,19,0,"All","All","All",32,168.421052631579
"Adam Gilchrist",2010,"MA Chidambaram Stadium",38,1,17,0,"All","All","All",38,223.529411764706
"Adam Gilchrist",2010,"Sardar Patel Stadium",1,1,3,0,"All","All","All",1,33.3333333333333
"Adam Gilchrist",2010,"Vidarbha Cricket Association Stadium",41,3,26,0,"All","All","All",13.6666666666667,157.692307692308
"Adam Gilchrist",2011,"Dr DY Patil Sports Academy",1,1,3,0,"All","All","All",1,33.3333333333333
"Adam Gilchrist",2011,"Eden Gardens",26,1,27,0,"All","All","All",26,96.2962962962963
"Adam Gilchrist",2011,"Feroz Shah Kotla",42,1,33,0,"All","All","All",42,127.272727272727
"Adam Gilchrist",2011,"Himachal Pradesh Cricket Association Stadium",166,3,101,0,"All","All","All",55.3333333333333,164.356435643564
"Adam Gilchrist",2011,"Holkar Cricket Stadium",9,1,15,0,"All","All","All",9,60
"Adam Gilchrist",2011,"M Chinnaswamy Stadium",0,1,1,1,"All","All","All",0,0
"Adam Gilchrist",2011,"Punjab Cricket Association Stadium",78,4,67,0,"All","All","All",19.5,116.417910447761
"Adam Gilchrist",2011,"Rajiv Gandhi International Stadium",61,1,46,0,"All","All","All",61,132.608695652174
"Adam Gilchrist",2011,"Wankhede Stadium",0,1,2,0,"All","All","All",0,0
"Adam Gilchrist",2012,"Eden Gardens",5,1,9,0,"All","All","All",5,55.5555555555556
"Adam Gilchrist",2012,"Himachal Pradesh Cricket Association Stadium",73,1,58,0,"All","All","All",73,125.862068965517
"Adam Gilchrist",2012,"Punjab Cricket Association Stadium",61,1,47,0,"All","All","All",61,129.787234042553
"Adam Gilchrist",2012,"Sawai Mansingh Stadium",27,1,18,0,"All","All","All",27,150
"Adam Gilchrist",2012,"Subrata Roy Sahara Stadium",6,1,11,1,"All","All","All",6,54.5454545454545
"Adam Gilchrist",2013,"Eden Gardens",27,1,27,0,"All","All","All",27,100
"Adam Gilchrist",2013,"Feroz Shah Kotla",6,1,3,0,"All","All","All",6,200
"Adam Gilchrist",2013,"Himachal Pradesh Cricket Association Stadium",47,2,33,0,"All","All","All",23.5,142.424242424242
"Adam Gilchrist",2013,"M Chinnaswamy Stadium",85,0,54,0,"All","All","All",Inf,157.407407407407
"Adam Gilchrist",2013,"Punjab Cricket Association Stadium",88,5,75,0,"All","All","All",17.6,117.333333333333
"Adam Gilchrist",2013,"Rajiv Gandhi International Stadium",26,1,25,0,"All","All","All",26,104
"Adam Gilchrist",2013,"Sawai Mansingh Stadium",0,1,2,0,"All","All","All",0,0
"Adam Gilchrist",2013,"Subrata Roy Sahara Stadium",15,1,10,0,"All","All","All",15,150
"Adam Milne",2017,"M Chinnaswamy Stadium",2,1,3,0,"All","All","All",2,66.6666666666667
"Adam Milne",2017,"Maharashtra Cricket Association Stadium",5,1,8,0,"All","All","All",5,62.5
"Adam Milne",2017,"Wankhede Stadium",0,0,1,0,"All","All","All",NA,0
"Adam Milne",2021,"Dubai International Cricket Stadium",15,2,16,0,"All","All","All",7.5,93.75
"Adam Milne",2021,"Zayed Cricket Stadium",1,0,1,0,"All","All","All",Inf,100
"Adam Voges",2010,"Eden Gardens",8,1,7,0,"All","All","All",8,114.285714285714
"Adam Voges",2010,"Feroz Shah Kotla",15,1,17,0,"All","All","All",15,88.2352941176471
"Adam Voges",2010,"Punjab Cricket Association Stadium",45,0,24,0,"All","All","All",Inf,187.5
"Adam Voges",2010,"Sardar Patel Stadium",57,1,41,0,"All","All","All",57,139.024390243902
"Adam Voges",2010,"Sawai Mansingh Stadium",56,1,54,0,"All","All","All",56,103.703703703704
"Adam Zampa",2016,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",0,1,1,0,"All","All","All",0,0
