"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Chennai Super Kings","Faf du Plessis","Sunrisers Hyderabad","MA Chidambaram Stadium",1,1,7,"All",1,14.2857142857143
"Chennai Super Kings","Faf du Plessis","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",89,3,66,"All",29.6666666666667,134.848484848485
"Chennai Super Kings","Faf du Plessis","Sunrisers Hyderabad","Sharjah Cricket Stadium",41,2,37,"All",20.5,110.810810810811
"Chennai Super Kings","Faf du Plessis","Sunrisers Hyderabad","Wankhede Stadium",77,1,53,"All",77,145.283018867925
"Chennai Super Kings","George Bailey","Kolkata Knight Riders","SuperSport Park",30,1,27,"All",30,111.111111111111
"Chennai Super Kings","George Bailey","Punjab Kings","Kingsmead",15,1,12,"All",15,125
"Chennai Super Kings","George Bailey","Royal Challengers Bangalore","M Chinnaswamy Stadium",18,1,27,"All",18,66.6666666666667
"Chennai Super Kings","Harbhajan Singh","Mumbai Indians","MA Chidambaram Stadium",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","Harbhajan Singh","Mumbai Indians","Wankhede Stadium",8,1,5,"All",8,160
"Chennai Super Kings","Harbhajan Singh","Punjab Kings","Maharashtra Cricket Association Stadium",19,1,22,"All",19,86.3636363636364
"Chennai Super Kings","Harbhajan Singh","Sunrisers Hyderabad","Wankhede Stadium",2,1,9,"All",2,22.2222222222222
"Chennai Super Kings","Imran Tahir","Mumbai Indians","Sharjah Cricket Stadium",13,0,10,"All",Inf,130
"Chennai Super Kings","Imran Tahir","Mumbai Indians","Wankhede Stadium",2,0,2,"All",Inf,100
"Chennai Super Kings","Jacob Oram","Deccan Chargers","Kingsmead",41,0,29,"All",Inf,141.379310344828
"Chennai Super Kings","Jacob Oram","Delhi Capitals","New Wanderers Stadium",3,1,7,"All",3,42.8571428571429
"Chennai Super Kings","Jacob Oram","Mumbai Indians","MA Chidambaram Stadium",5,0,2,"All",Inf,250
"Chennai Super Kings","Jacob Oram","Mumbai Indians","Newlands",8,1,6,"All",8,133.333333333333
"Chennai Super Kings","Jacob Oram","Punjab Kings","Kingsmead",17,1,21,"All",17,80.9523809523809
"Chennai Super Kings","Jacob Oram","Punjab Kings","Punjab Cricket Association Stadium",13,1,10,"All",13,130
"Chennai Super Kings","Jacob Oram","Rajasthan Royals","De Beers Diamond Oval",1,0,2,"All",Inf,50
"Chennai Super Kings","Jacob Oram","Rajasthan Royals","SuperSport Park",2,1,6,"All",2,33.3333333333333
"Chennai Super Kings","Jacob Oram","Royal Challengers Bangalore","Kingsmead",7,1,15,"All",7,46.6666666666667
"Chennai Super Kings","Jacob Oram","Royal Challengers Bangalore","New Wanderers Stadium",9,1,7,"All",9,128.571428571429
"Chennai Super Kings","Joginder Sharma","Deccan Chargers","MA Chidambaram Stadium",16,1,10,"All",16,160
"Chennai Super Kings","Joginder Sharma","Delhi Capitals","Kingsmead",4,1,3,"All",4,133.333333333333
"Chennai Super Kings","Joginder Sharma","Mumbai Indians","Newlands",16,0,15,"All",Inf,106.666666666667
"Chennai Super Kings","Joginder Sharma","Mumbai Indians","Wankhede Stadium",0,1,1,"All",0,0
