"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Delhi Capitals","Ross Taylor","Royal Challengers Bangalore","Sharjah Cricket Stadium",43,0,39,"All",Inf,110.25641025641
"Delhi Capitals","Rovman Powell","Chennai Super Kings","Dr DY Patil Sports Academy",3,1,9,"All",3,33.3333333333333
"Delhi Capitals","Rovman Powell","Gujarat Titans","Maharashtra Cricket Association Stadium",20,1,12,"All",20,166.666666666667
"Delhi Capitals","Rovman Powell","Kolkata Knight Riders","Brabourne Stadium",8,1,6,"All",8,133.333333333333
"Delhi Capitals","Rovman Powell","Kolkata Knight Riders","Wankhede Stadium",33,0,16,"All",Inf,206.25
"Delhi Capitals","Rovman Powell","Lucknow Super Giants","Dr DY Patil Sports Academy",3,1,10,"All",3,30
"Delhi Capitals","Rovman Powell","Lucknow Super Giants","Wankhede Stadium",35,1,21,"All",35,166.666666666667
"Delhi Capitals","Rovman Powell","Mumbai Indians","Brabourne Stadium",0,1,2,"All",0,0
"Delhi Capitals","Rovman Powell","Mumbai Indians","Wankhede Stadium",43,1,34,"All",43,126.470588235294
"Delhi Capitals","Rovman Powell","Punjab Kings","Dr DY Patil Sports Academy",2,1,6,"All",2,33.3333333333333
"Delhi Capitals","Rovman Powell","Rajasthan Royals","Wankhede Stadium",36,1,15,"All",36,240
"Delhi Capitals","Rovman Powell","Royal Challengers Bangalore","Wankhede Stadium",0,1,1,"All",0,0
"Delhi Capitals","Rovman Powell","Sunrisers Hyderabad","Brabourne Stadium",67,0,35,"All",Inf,191.428571428571
"Delhi Capitals","Sam Billings","Kolkata Knight Riders","Feroz Shah Kotla",75,2,51,"All",37.5,147.058823529412
"Delhi Capitals","Sam Billings","Punjab Kings","Feroz Shah Kotla",55,1,40,"All",55,137.5
"Delhi Capitals","Sam Billings","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",6,2,11,"All",3,54.5454545454545
"Delhi Capitals","Sam Billings","Rising Pune Supergiants","Feroz Shah Kotla",24,1,15,"All",24,160
"Delhi Capitals","Sam Billings","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",24,1,17,"All",24,141.176470588235
"Delhi Capitals","Sam Billings","Royal Challengers Bangalore","M Chinnaswamy Stadium",25,1,19,"All",25,131.578947368421
"Delhi Capitals","Sam Billings","Royal Challengers Bangalore","Shaheed Veer Narayan Singh International Stadium",4,1,6,"All",4,66.6666666666667
"Delhi Capitals","Sam Billings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",13,1,9,"All",13,144.444444444444
"Delhi Capitals","Sandeep Lamichhane","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",0,1,1,"All",0,0
"Delhi Capitals","Sanju Samson","Gujarat Lions","Feroz Shah Kotla",62,2,37,"All",31,167.567567567568
"Delhi Capitals","Sanju Samson","Gujarat Lions","Green Park",10,1,7,"All",10,142.857142857143
"Delhi Capitals","Sanju Samson","Gujarat Lions","Saurashtra Cricket Association Stadium",19,0,13,"All",Inf,146.153846153846
"Delhi Capitals","Sanju Samson","Kolkata Knight Riders","Eden Gardens",75,2,51,"All",37.5,147.058823529412
"Delhi Capitals","Sanju Samson","Kolkata Knight Riders","Feroz Shah Kotla",54,2,40,"All",27,135
"Delhi Capitals","Sanju Samson","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",6,1,11,"All",6,54.5454545454545
"Delhi Capitals","Sanju Samson","Mumbai Indians","Feroz Shah Kotla",60,2,49,"All",30,122.448979591837
"Delhi Capitals","Sanju Samson","Mumbai Indians","Wankhede Stadium",9,1,6,"All",9,150
"Delhi Capitals","Sanju Samson","Punjab Kings","Feroz Shah Kotla",52,2,50,"All",26,104
"Delhi Capitals","Sanju Samson","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",54,2,49,"All",27,110.204081632653
"Delhi Capitals","Sanju Samson","Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",10,1,13,"All",10,76.9230769230769
"Delhi Capitals","Sanju Samson","Rising Pune Supergiants","Feroz Shah Kotla",22,2,21,"All",11,104.761904761905
"Delhi Capitals","Sanju Samson","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",102,1,63,"All",102,161.904761904762
"Delhi Capitals","Sanju Samson","Royal Challengers Bangalore","Feroz Shah Kotla",0,1,2,"All",0,0
"Delhi Capitals","Sanju Samson","Royal Challengers Bangalore","M Chinnaswamy Stadium",22,2,26,"All",11,84.6153846153846
"Delhi Capitals","Sanju Samson","Royal Challengers Bangalore","Shaheed Veer Narayan Singh International Stadium",17,1,12,"All",17,141.666666666667
"Delhi Capitals","Sanju Samson","Sunrisers Hyderabad","Feroz Shah Kotla",24,1,19,"All",24,126.315789473684
"Delhi Capitals","Sanju Samson","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",76,1,59,"All",76,128.813559322034
"Delhi Capitals","Sanju Samson","Sunrisers Hyderabad","Shaheed Veer Narayan Singh International Stadium",3,0,4,"All",Inf,75
"Delhi Capitals","Sarabjit Ladda","Deccan Chargers","Barabati Stadium",0,1,1,"All",0,0
"Delhi Capitals","Sarabjit Ladda","Mumbai Indians","Feroz Shah Kotla",0,0,8,"All",NA,0
"Delhi Capitals","Sarfaraz Khan","Lucknow Super Giants","Dr DY Patil Sports Academy",36,0,28,"All",Inf,128.571428571429
"Delhi Capitals","Sarfaraz Khan","Mumbai Indians","Wankhede Stadium",10,1,7,"All",10,142.857142857143
"Delhi Capitals","Sarfaraz Khan","Punjab Kings","Brabourne Stadium",12,0,13,"All",Inf,92.3076923076923
"Delhi Capitals","Sarfaraz Khan","Punjab Kings","Dr DY Patil Sports Academy",32,1,16,"All",32,200
"Delhi Capitals","Sarfaraz Khan","Rajasthan Royals","Wankhede Stadium",1,1,3,"All",1,33.3333333333333
"Delhi Capitals","Saurabh Tiwary","Kolkata Knight Riders","Eden Gardens",24,0,15,"All",Inf,160
"Delhi Capitals","Saurabh Tiwary","Mumbai Indians","Wankhede Stadium",13,0,11,"All",Inf,118.181818181818
"Delhi Capitals","Saurabh Tiwary","Punjab Kings","Feroz Shah Kotla",5,0,4,"All",Inf,125
"Delhi Capitals","Saurabh Tiwary","Rajasthan Royals","Brabourne Stadium",28,0,14,"All",Inf,200
"Delhi Capitals","Saurabh Tiwary","Royal Challengers Bangalore","M Chinnaswamy Stadium",13,0,9,"All",Inf,144.444444444444
"Delhi Capitals","Saurabh Tiwary","Sunrisers Hyderabad","Shaheed Veer Narayan Singh International Stadium",26,0,25,"All",Inf,104
"Delhi Capitals","Shahbaz Nadeem","Chennai Super Kings","Feroz Shah Kotla",2,0,7,"All",Inf,28.5714285714286
"Delhi Capitals","Shahbaz Nadeem","Chennai Super Kings","Sheikh Zayed Stadium",3,1,8,"All",3,37.5
"Delhi Capitals","Shahbaz Nadeem","Kolkata Knight Riders","Eden Gardens",10,1,16,"All",10,62.5
"Delhi Capitals","Shahbaz Nadeem","Kolkata Knight Riders","Feroz Shah Kotla",0,0,2,"All",NA,0
"Delhi Capitals","Shahbaz Nadeem","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",1,0,5,"All",Inf,20
"Delhi Capitals","Shahbaz Nadeem","Mumbai Indians","Wankhede Stadium",2,2,4,"All",1,50
"Delhi Capitals","Shahbaz Nadeem","Pune Warriors","Subrata Roy Sahara Stadium",6,1,5,"All",6,120
"Delhi Capitals","Shahbaz Nadeem","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",0,1,1,"All",0,0
"Delhi Capitals","Shahbaz Nadeem","Punjab Kings","Punjab Cricket Association Stadium",3,0,7,"All",Inf,42.8571428571429
"Delhi Capitals","Shahbaz Nadeem","Rajasthan Royals","Sardar Patel Stadium",1,1,4,"All",1,25
"Delhi Capitals","Shahbaz Nadeem","Royal Challengers Bangalore","Feroz Shah Kotla",4,2,13,"All",2,30.7692307692308
"Delhi Capitals","Shahbaz Nadeem","Royal Challengers Bangalore","M Chinnaswamy Stadium",0,1,2,"All",0,0
"Delhi Capitals","Shahbaz Nadeem","Sunrisers Hyderabad","Feroz Shah Kotla",0,1,1,"All",0,0
"Delhi Capitals","Shahbaz Nadeem","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",0,1,3,"All",0,0
"Delhi Capitals","Shardul Thakur","Chennai Super Kings","Dr DY Patil Sports Academy",24,1,19,"All",24,126.315789473684
"Delhi Capitals","Shardul Thakur","Gujarat Titans","Maharashtra Cricket Association Stadium",2,1,5,"All",2,40
"Delhi Capitals","Shardul Thakur","Kolkata Knight Riders","Brabourne Stadium",29,0,11,"All",Inf,263.636363636364
"Delhi Capitals","Shardul Thakur","Kolkata Knight Riders","Wankhede Stadium",8,0,14,"All",Inf,57.1428571428571
"Delhi Capitals","Shardul Thakur","Lucknow Super Giants","Wankhede Stadium",1,1,2,"All",1,50
"Delhi Capitals","Shardul Thakur","Mumbai Indians","Brabourne Stadium",22,1,11,"All",22,200
"Delhi Capitals","Shardul Thakur","Mumbai Indians","Wankhede Stadium",4,1,5,"All",4,80
"Delhi Capitals","Shardul Thakur","Punjab Kings","Dr DY Patil Sports Academy",3,1,4,"All",3,75
"Delhi Capitals","Shardul Thakur","Rajasthan Royals","Wankhede Stadium",10,1,7,"All",10,142.857142857143
"Delhi Capitals","Shardul Thakur","Royal Challengers Bangalore","Wankhede Stadium",17,1,9,"All",17,188.888888888889
"Delhi Capitals","Sherfane Rutherford","Chennai Super Kings","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",10,1,12,"All",10,83.3333333333333
"Delhi Capitals","Sherfane Rutherford","Chennai Super Kings","MA Chidambaram Stadium",2,1,4,"All",2,50
"Delhi Capitals","Sherfane Rutherford","Punjab Kings","Feroz Shah Kotla",2,0,2,"All",Inf,100
"Delhi Capitals","Sherfane Rutherford","Rajasthan Royals","Feroz Shah Kotla",11,1,6,"All",11,183.333333333333
"Delhi Capitals","Sherfane Rutherford","Rajasthan Royals","Sawai Mansingh Stadium",11,1,5,"All",11,220
"Delhi Capitals","Sherfane Rutherford","Royal Challengers Bangalore","Feroz Shah Kotla",28,0,13,"All",Inf,215.384615384615
"Delhi Capitals","Sherfane Rutherford","Sunrisers Hyderabad","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",9,1,12,"All",9,75
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",18,1,14,"All",18,128.571428571429
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","Dubai International Cricket Stadium",81,3,69,"All",27,117.391304347826
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","Feroz Shah Kotla",110,2,93,"All",55,118.279569892473
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","MA Chidambaram Stadium",38,1,30,"All",38,126.666666666667
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","Sharjah Cricket Stadium",101,0,58,"All",Inf,174.137931034483
"Delhi Capitals","Shikhar Dhawan","Chennai Super Kings","Wankhede Stadium",85,1,54,"All",85,157.407407407407
"Delhi Capitals","Shikhar Dhawan","Deccan Chargers","Feroz Shah Kotla",68,0,52,"All",Inf,130.769230769231
"Delhi Capitals","Shikhar Dhawan","Deccan Chargers","Rajiv Gandhi International Stadium",25,0,28,"All",Inf,89.2857142857143
"Delhi Capitals","Shikhar Dhawan","Kolkata Knight Riders","Eden Gardens",104,1,73,"All",104,142.465753424658
"Delhi Capitals","Shikhar Dhawan","Kolkata Knight Riders","Feroz Shah Kotla",16,1,8,"All",16,200
"Delhi Capitals","Shikhar Dhawan","Kolkata Knight Riders","Narendra Modi Stadium",46,1,47,"All",46,97.8723404255319
"Delhi Capitals","Shikhar Dhawan","Kolkata Knight Riders","Sharjah Cricket Stadium",86,3,75,"All",28.6666666666667,114.666666666667
"Delhi Capitals","Shikhar Dhawan","Kolkata Knight Riders","Zayed Cricket Stadium",6,1,6,"All",6,100
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Dr DY Patil Sports Academy",1,1,3,"All",1,33.3333333333333
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Dubai International Cricket Stadium",15,3,17,"All",5,88.2352941176471
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Feroz Shah Kotla",62,2,51,"All",31,121.56862745098
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","MA Chidambaram Stadium",45,1,42,"All",45,107.142857142857
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Sharjah Cricket Stadium",8,1,7,"All",8,114.285714285714
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Wankhede Stadium",43,1,36,"All",43,119.444444444444
"Delhi Capitals","Shikhar Dhawan","Mumbai Indians","Zayed Cricket Stadium",69,0,52,"All",Inf,132.692307692308
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Dubai International Cricket Stadium",106,1,63,"All",106,168.253968253968
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Feroz Shah Kotla",64,2,46,"All",32,139.130434782609
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Narendra Modi Stadium",69,0,47,"All",Inf,146.808510638298
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",30,1,25,"All",30,120
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Punjab Cricket Association Stadium",0,1,3,"All",0,0
"Delhi Capitals","Shikhar Dhawan","Punjab Kings","Wankhede Stadium",92,1,49,"All",92,187.755102040816
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Dubai International Cricket Stadium",57,1,33,"All",57,172.727272727273
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Feroz Shah Kotla",68,1,53,"All",68,128.301886792453
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Sawai Mansingh Stadium",57,2,30,"All",28.5,190
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Sharjah Cricket Stadium",5,1,4,"All",5,125
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Wankhede Stadium",14,2,23,"All",7,60.8695652173913
"Delhi Capitals","Shikhar Dhawan","Rajasthan Royals","Zayed Cricket Stadium",8,1,8,"All",8,100
"Delhi Capitals","Shikhar Dhawan","Royal Challengers Bangalore","Dubai International Cricket Stadium",75,2,63,"All",37.5,119.047619047619
"Delhi Capitals","Shikhar Dhawan","Royal Challengers Bangalore","Feroz Shah Kotla",100,2,70,"All",50,142.857142857143
"Delhi Capitals","Shikhar Dhawan","Royal Challengers Bangalore","M Chinnaswamy Stadium",16,1,14,"All",16,114.285714285714
"Delhi Capitals","Shikhar Dhawan","Royal Challengers Bangalore","Narendra Modi Stadium",6,1,7,"All",6,85.7142857142857
"Delhi Capitals","Shikhar Dhawan","Royal Challengers Bangalore","Zayed Cricket Stadium",54,1,41,"All",54,131.707317073171
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",17,1,16,"All",17,106.25
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Dubai International Cricket Stadium",42,2,38,"All",21,110.526315789474
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Feroz Shah Kotla",12,1,14,"All",12,85.7142857142857
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","MA Chidambaram Stadium",28,1,26,"All",28,107.692307692308
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",7,1,8,"All",7,87.5
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Sheikh Zayed Stadium",78,1,50,"All",78,156
"Delhi Capitals","Shikhar Dhawan","Sunrisers Hyderabad","Zayed Cricket Stadium",34,1,31,"All",34,109.677419354839
"Delhi Capitals","Shimron Hetmyer","Chennai Super Kings","Dubai International Cricket Stadium",65,1,42,"All",65,154.761904761905
"Delhi Capitals","Shimron Hetmyer","Kolkata Knight Riders","Narendra Modi Stadium",0,0,1,"All",NA,0
"Delhi Capitals","Shimron Hetmyer","Kolkata Knight Riders","Sharjah Cricket Stadium",28,2,20,"All",14,140
"Delhi Capitals","Shimron Hetmyer","Kolkata Knight Riders","Zayed Cricket Stadium",10,1,5,"All",10,200
"Delhi Capitals","Shimron Hetmyer","Mumbai Indians","Dubai International Cricket Stadium",16,2,18,"All",8,88.8888888888889
"Delhi Capitals","Shimron Hetmyer","Mumbai Indians","MA Chidambaram Stadium",14,0,9,"All",Inf,155.555555555556
"Delhi Capitals","Shimron Hetmyer","Mumbai Indians","Sharjah Cricket Stadium",15,1,8,"All",15,187.5
"Delhi Capitals","Shimron Hetmyer","Punjab Kings","Dubai International Cricket Stadium",17,2,19,"All",8.5,89.4736842105263
"Delhi Capitals","Shimron Hetmyer","Punjab Kings","Narendra Modi Stadium",16,0,4,"All",Inf,400
"Delhi Capitals","Shimron Hetmyer","Rajasthan Royals","Sharjah Cricket Stadium",45,1,24,"All",45,187.5
"Delhi Capitals","Shimron Hetmyer","Rajasthan Royals","Zayed Cricket Stadium",28,1,16,"All",28,175
"Delhi Capitals","Shimron Hetmyer","Royal Challengers Bangalore","Dubai International Cricket Stadium",40,1,29,"All",40,137.931034482759
"Delhi Capitals","Shimron Hetmyer","Royal Challengers Bangalore","Narendra Modi Stadium",53,0,25,"All",Inf,212
"Delhi Capitals","Shimron Hetmyer","Sunrisers Hyderabad","Dubai International Cricket Stadium",16,1,13,"All",16,123.076923076923
"Delhi Capitals","Shimron Hetmyer","Sunrisers Hyderabad","MA Chidambaram Stadium",1,1,2,"All",1,50
"Delhi Capitals","Shimron Hetmyer","Sunrisers Hyderabad","Sheikh Zayed Stadium",42,0,22,"All",Inf,190.909090909091
"Delhi Capitals","Shimron Hetmyer","Sunrisers Hyderabad","Zayed Cricket Stadium",21,1,12,"All",21,175
"Delhi Capitals","Shoaib Malik","Chennai Super Kings","Feroz Shah Kotla",2,1,3,"All",2,66.6666666666667
"Delhi Capitals","Shoaib Malik","Mumbai Indians","Dr DY Patil Sports Academy",24,1,22,"All",24,109.090909090909
"Delhi Capitals","Shoaib Malik","Punjab Kings","Feroz Shah Kotla",1,0,1,"All",Inf,100
"Delhi Capitals","Shoaib Malik","Punjab Kings","Punjab Cricket Association Stadium",19,1,17,"All",19,111.764705882353
"Delhi Capitals","Shoaib Malik","Royal Challengers Bangalore","Feroz Shah Kotla",6,1,4,"All",6,150
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",13,1,18,"All",13,72.2222222222222
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Dubai International Cricket Stadium",29,3,37,"All",9.66666666666667,78.3783783783784
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Feroz Shah Kotla",37,2,42,"All",18.5,88.0952380952381
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","MA Chidambaram Stadium",51,2,38,"All",25.5,134.210526315789
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Maharashtra Cricket Association Stadium",13,1,14,"All",13,92.8571428571429
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Shaheed Veer Narayan Singh International Stadium",70,0,49,"All",Inf,142.857142857143
"Delhi Capitals","Shreyas Iyer","Chennai Super Kings","Sharjah Cricket Stadium",23,1,23,"All",23,100
"Delhi Capitals","Shreyas Iyer","Gujarat Lions","Feroz Shah Kotla",14,0,8,"All",Inf,175
"Delhi Capitals","Shreyas Iyer","Gujarat Lions","Green Park",96,1,57,"All",96,168.421052631579
"Delhi Capitals","Shreyas Iyer","Kolkata Knight Riders","Eden Gardens",97,5,81,"All",19.4,119.753086419753
"Delhi Capitals","Shreyas Iyer","Kolkata Knight Riders","Feroz Shah Kotla",193,4,114,"All",48.25,169.298245614035
"Delhi Capitals","Shreyas Iyer","Kolkata Knight Riders","Sharjah Cricket Stadium",119,1,70,"All",119,170
"Delhi Capitals","Shreyas Iyer","Kolkata Knight Riders","Zayed Cricket Stadium",47,1,38,"All",47,123.684210526316
"Delhi Capitals","Shreyas Iyer","Mumbai Indians","Dubai International Cricket Stadium",102,2,87,"All",51,117.241379310345
"Delhi Capitals","Shreyas Iyer","Mumbai Indians","Feroz Shah Kotla",114,5,98,"All",22.8,116.326530612245
"Delhi Capitals","Shreyas Iyer","Mumbai Indians","Sharjah Cricket Stadium",33,0,33,"All",Inf,100
"Delhi Capitals","Shreyas Iyer","Mumbai Indians","Wankhede Stadium",68,3,55,"All",22.6666666666667,123.636363636364
"Delhi Capitals","Shreyas Iyer","Mumbai Indians","Zayed Cricket Stadium",42,1,33,"All",42,127.272727272727
"Delhi Capitals","Shreyas Iyer","Punjab Kings","Dubai International Cricket Stadium",53,2,44,"All",26.5,120.454545454545
"Delhi Capitals","Shreyas Iyer","Punjab Kings","Feroz Shah Kotla",194,4,156,"All",48.5,124.358974358974
"Delhi Capitals","Shreyas Iyer","Punjab Kings","Maharashtra Cricket Association Stadium",6,1,5,"All",6,120
"Delhi Capitals","Shreyas Iyer","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",45,3,40,"All",15,112.5
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Brabourne Stadium",9,1,12,"All",9,75
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Dubai International Cricket Stadium",53,1,43,"All",53,123.255813953488
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Feroz Shah Kotla",105,3,74,"All",35,141.891891891892
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Sawai Mansingh Stadium",4,1,5,"All",4,80
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Sharjah Cricket Stadium",22,1,18,"All",22,122.222222222222
"Delhi Capitals","Shreyas Iyer","Rajasthan Royals","Zayed Cricket Stadium",43,1,32,"All",43,134.375
"Delhi Capitals","Shreyas Iyer","Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",8,1,10,"All",8,80
"Delhi Capitals","Shreyas Iyer","Rising Pune Supergiants","Feroz Shah Kotla",3,1,4,"All",3,75
"Delhi Capitals","Shreyas Iyer","Royal Challengers Bangalore","Dubai International Cricket Stadium",29,2,31,"All",14.5,93.5483870967742
"Delhi Capitals","Shreyas Iyer","Royal Challengers Bangalore","Feroz Shah Kotla",116,4,103,"All",29,112.621359223301
"Delhi Capitals","Shreyas Iyer","Royal Challengers Bangalore","M Chinnaswamy Stadium",139,4,103,"All",34.75,134.95145631068
"Delhi Capitals","Shreyas Iyer","Royal Challengers Bangalore","Zayed Cricket Stadium",7,1,9,"All",7,77.7777777777778
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",8,1,10,"All",8,80
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",60,1,40,"All",60,150
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Dubai International Cricket Stadium",54,1,53,"All",54,101.88679245283
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Feroz Shah Kotla",79,3,74,"All",26.3333333333333,106.756756756757
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",139,2,107,"All",69.5,129.906542056075
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Shaheed Veer Narayan Singh International Stadium",0,1,7,"All",0,0
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Sheikh Zayed Stadium",21,1,20,"All",21,105
"Delhi Capitals","Shreyas Iyer","Sunrisers Hyderabad","Zayed Cricket Stadium",17,1,21,"All",17,80.9523809523809
"Delhi Capitals","Siddarth Kaul","Chennai Super Kings","MA Chidambaram Stadium",7,0,9,"All",Inf,77.7777777777778
"Delhi Capitals","Siddarth Kaul","Rajasthan Royals","Sardar Patel Stadium",2,0,2,"All",Inf,100
"Delhi Capitals","Sridharan Sriram","Punjab Kings","Himachal Pradesh Cricket Association Stadium",4,1,7,"All",4,57.1428571428571
"Delhi Capitals","Srikar Bharat","Chennai Super Kings","Dr DY Patil Sports Academy",8,1,5,"All",8,160
"Delhi Capitals","Srikar Bharat","Rajasthan Royals","Dr DY Patil Sports Academy",0,1,2,"All",0,0
"Delhi Capitals","Steven Smith","Kolkata Knight Riders","Sharjah Cricket Stadium",39,1,34,"All",39,114.705882352941
"Delhi Capitals","Steven Smith","Mumbai Indians","MA Chidambaram Stadium",33,1,29,"All",33,113.793103448276
"Delhi Capitals","Steven Smith","Mumbai Indians","Sharjah Cricket Stadium",9,1,8,"All",9,112.5
"Delhi Capitals","Steven Smith","Punjab Kings","Narendra Modi Stadium",24,1,22,"All",24,109.090909090909
"Delhi Capitals","Steven Smith","Punjab Kings","Wankhede Stadium",9,1,12,"All",9,75
"Delhi Capitals","Steven Smith","Royal Challengers Bangalore","Narendra Modi Stadium",4,1,5,"All",4,80
"Delhi Capitals","Steven Smith","Sunrisers Hyderabad","MA Chidambaram Stadium",34,0,25,"All",Inf,136
"Delhi Capitals","Sunny Gupta","Chennai Super Kings","MA Chidambaram Stadium",0,1,1,"All",0,0
"Delhi Capitals","Tillakaratne Dilshan","Chennai Super Kings","Feroz Shah Kotla",15,1,24,"All",15,62.5
"Delhi Capitals","Tillakaratne Dilshan","Chennai Super Kings","Kingsmead",50,1,27,"All",50,185.185185185185
"Delhi Capitals","Tillakaratne Dilshan","Chennai Super Kings","MA Chidambaram Stadium",1,1,2,"All",1,50
"Delhi Capitals","Tillakaratne Dilshan","Chennai Super Kings","New Wanderers Stadium",13,1,13,"All",13,100
"Delhi Capitals","Tillakaratne Dilshan","Deccan Chargers","Feroz Shah Kotla",27,2,17,"All",13.5,158.823529411765
"Delhi Capitals","Tillakaratne Dilshan","Deccan Chargers","Kingsmead",37,1,18,"All",37,205.555555555556
"Delhi Capitals","Tillakaratne Dilshan","Deccan Chargers","SuperSport Park",117,1,97,"All",117,120.618556701031
"Delhi Capitals","Tillakaratne Dilshan","Kolkata Knight Riders","Eden Gardens",25,1,19,"All",25,131.578947368421
"Delhi Capitals","Tillakaratne Dilshan","Kolkata Knight Riders","Kingsmead",42,0,34,"All",Inf,123.529411764706
"Delhi Capitals","Tillakaratne Dilshan","Kolkata Knight Riders","New Wanderers Stadium",1,1,2,"All",1,50
"Delhi Capitals","Tillakaratne Dilshan","Mumbai Indians","Buffalo Park",17,1,19,"All",17,89.4736842105263
"Delhi Capitals","Tillakaratne Dilshan","Mumbai Indians","Feroz Shah Kotla",17,2,13,"All",8.5,130.769230769231
"Delhi Capitals","Tillakaratne Dilshan","Mumbai Indians","SuperSport Park",24,1,14,"All",24,171.428571428571
"Delhi Capitals","Tillakaratne Dilshan","Punjab Kings","Feroz Shah Kotla",8,1,6,"All",8,133.333333333333
"Delhi Capitals","Tillakaratne Dilshan","Punjab Kings","OUTsurance Oval",10,1,19,"All",10,52.6315789473684
"Delhi Capitals","Tillakaratne Dilshan","Punjab Kings","Punjab Cricket Association Stadium",0,1,3,"All",0,0
"Delhi Capitals","Tillakaratne Dilshan","Rajasthan Royals","OUTsurance Oval",33,1,41,"All",33,80.4878048780488
"Delhi Capitals","Tillakaratne Dilshan","Rajasthan Royals","Sardar Patel Stadium",0,1,1,"All",0,0
"Delhi Capitals","Tillakaratne Dilshan","Rajasthan Royals","Sawai Mansingh Stadium",18,0,15,"All",Inf,120
"Delhi Capitals","Tillakaratne Dilshan","Rajasthan Royals","SuperSport Park",7,1,10,"All",7,70
