"Batting_Team","Striker","Runs","Dismissed","Balls","Bowling_Team","Stadium","Season","Average","Strike_Rate"
"Kolkata Knight Riders","Shivam Mavi",51,9,56,"All","All","All",5.66666666666667,91.0714285714286
"Kolkata Knight Riders","Shoaib Akhtar",2,1,7,"All","All","All",2,28.5714285714286
"Kolkata Knight Riders","Shoaib Shaikh",6,1,7,"All","All","All",6,85.7142857142857
"Kolkata Knight Riders","Shreevats Goswami",29,4,29,"All","All","All",7.25,100
"Kolkata Knight Riders","Shreyas Iyer",401,13,298,"All","All","All",30.8461538461538,134.563758389262
"Kolkata Knight Riders","Shubman Gill",1417,45,1152,"All","All","All",31.4888888888889,123.003472222222
"Kolkata Knight Riders","Sourav Ganguly",1031,36,933,"All","All","All",28.6388888888889,110.503751339764
"Kolkata Knight Riders","Sumit Narwal",23,1,15,"All","All","All",23,153.333333333333
"Kolkata Knight Riders","Sunil Narine",1025,67,630,"All","All","All",15.2985074626866,162.698412698413
"Kolkata Knight Riders","Suryakumar Yadav",608,27,461,"All","All","All",22.5185185185185,131.887201735358
"Kolkata Knight Riders","Tatenda Taibu",31,3,26,"All","All","All",10.3333333333333,119.230769230769
"Kolkata Knight Riders","Tim Seifert",2,1,4,"All","All","All",2,50
"Kolkata Knight Riders","Tim Southee",5,5,17,"All","All","All",1,29.4117647058824
"Kolkata Knight Riders","Tom Banton",18,2,20,"All","All","All",9,90
"Kolkata Knight Riders","Tom Curran",23,3,28,"All","All","All",7.66666666666667,82.1428571428571
"Kolkata Knight Riders","Trent Boult",5,0,8,"All","All","All",Inf,62.5
"Kolkata Knight Riders","Umar Gul",39,3,19,"All","All","All",13,205.263157894737
"Kolkata Knight Riders","Umesh Yadav",105,7,76,"All","All","All",15,138.157894736842
"Kolkata Knight Riders","Varun Chakravarthy",24,3,37,"All","All","All",8,64.8648648648649
"Kolkata Knight Riders","Venkatesh Iyer",552,20,457,"All","All","All",27.6,120.787746170678
"Kolkata Knight Riders","Vinay Kumar",10,2,9,"All","All","All",5,111.111111111111
"Kolkata Knight Riders","Wriddhiman Saha",298,11,213,"All","All","All",27.0909090909091,139.906103286385
"Kolkata Knight Riders","Yashpal Singh",47,4,66,"All","All","All",11.75,71.2121212121212
"Kolkata Knight Riders","Yusuf Pathan",1893,60,1369,"All","All","All",31.55,138.27611395179
"Lucknow Super Giants","Avesh Khan",22,1,13,"All","All","All",22,169.230769230769
"Lucknow Super Giants","Ayush Badoni",161,8,130,"All","All","All",20.125,123.846153846154
"Lucknow Super Giants","Deepak Hooda",451,14,330,"All","All","All",32.2142857142857,136.666666666667
"Lucknow Super Giants","Dushmantha Chameera",43,4,28,"All","All","All",10.75,153.571428571429
"Lucknow Super Giants","Evin Lewis",73,3,56,"All","All","All",24.3333333333333,130.357142857143
"Lucknow Super Giants","Jason Holder",58,6,44,"All","All","All",9.66666666666667,131.818181818182
"Lucknow Super Giants","KL Rahul",616,11,455,"All","All","All",56,135.384615384615
"Lucknow Super Giants","Karan Sharma",4,1,4,"All","All","All",4,100
"Lucknow Super Giants","Krishnappa Gowtham",0,1,1,"All","All","All",0,0
"Lucknow Super Giants","Krunal Pandya",183,9,145,"All","All","All",20.3333333333333,126.206896551724
"Lucknow Super Giants","Manan Vohra",19,1,11,"All","All","All",19,172.727272727273
"Lucknow Super Giants","Manish Pandey",88,6,80,"All","All","All",14.6666666666667,110
"Lucknow Super Giants","Marcus Stoinis",156,8,106,"All","All","All",19.5,147.169811320755
"Lucknow Super Giants","Mohsin Khan",23,1,16,"All","All","All",23,143.75
"Lucknow Super Giants","Quinton de Kock",508,14,341,"All","All","All",36.2857142857143,148.973607038123
"Lucknow Super Giants","Ravi Bishnoi",0,0,1,"All","All","All",NA,0
"Mumbai Indians","Aaron Finch",23,2,33,"All","All","All",11.5,69.6969696969697
"Mumbai Indians","Abhishek Nayar",457,19,341,"All","All","All",24.0526315789474,134.017595307918
"Mumbai Indians","Abu Nechim",22,0,20,"All","All","All",Inf,110
"Mumbai Indians","Adam Milne",16,2,17,"All","All","All",8,94.1176470588235
"Mumbai Indians","Aditya Tare",313,19,235,"All","All","All",16.4736842105263,133.191489361702
"Mumbai Indians","Aiden Blizzard",120,7,90,"All","All","All",17.1428571428571,133.333333333333
"Mumbai Indians","Ajinkya Rahane",148,8,140,"All","All","All",18.5,105.714285714286
"Mumbai Indians","Akila Dananjaya",4,0,5,"All","All","All",Inf,80
"Mumbai Indians","Ali Murtaza",2,0,5,"All","All","All",Inf,40
"Mumbai Indians","Alzarri Joseph",15,0,13,"All","All","All",Inf,115.384615384615
"Mumbai Indians","Ambati Rayudu",2416,87,1915,"All","All","All",27.7701149425287,126.161879895561
"Mumbai Indians","Andrew Symonds",135,4,138,"All","All","All",33.75,97.8260869565217
"Mumbai Indians","Anmolpreet Singh",29,3,27,"All","All","All",9.66666666666667,107.407407407407
"Mumbai Indians","Ashish Nehra",3,1,13,"All","All","All",3,23.0769230769231
"Mumbai Indians","Barinder Sran",3,0,3,"All","All","All",Inf,100
"Mumbai Indians","Ben Cutting",114,6,75,"All","All","All",19,152
"Mumbai Indians","Ben Dunk",40,3,35,"All","All","All",13.3333333333333,114.285714285714
"Mumbai Indians","Chandan Madan",15,1,19,"All","All","All",15,78.9473684210526
"Mumbai Indians","Chetanya Nanda",0,1,1,"All","All","All",0,0
"Mumbai Indians","Chidhambaram Gautam",121,7,111,"All","All","All",17.2857142857143,109.009009009009
"Mumbai Indians","Chris Lynn",49,1,35,"All","All","All",49,140
"Mumbai Indians","Clint McKay",8,1,15,"All","All","All",8,53.3333333333333
"Mumbai Indians","Corey Anderson",379,12,278,"All","All","All",31.5833333333333,136.330935251799
"Mumbai Indians","Daniel Sams",38,7,36,"All","All","All",5.42857142857143,105.555555555556
"Mumbai Indians","Davy Jacobs",92,7,98,"All","All","All",13.1428571428571,93.8775510204082
"Mumbai Indians","Dewald Brevis",161,7,113,"All","All","All",23,142.477876106195
"Mumbai Indians","Dhawal Kulkarni",26,3,44,"All","All","All",8.66666666666667,59.0909090909091
"Mumbai Indians","Dilhara Fernando",4,0,3,"All","All","All",Inf,133.333333333333
"Mumbai Indians","Dinesh Karthik",748,31,624,"All","All","All",24.1290322580645,119.871794871795
"Mumbai Indians","Dominic Thornely",39,2,53,"All","All","All",19.5,73.5849056603774
"Mumbai Indians","Dwayne Bravo",457,21,390,"All","All","All",21.7619047619048,117.179487179487
"Mumbai Indians","Dwayne Smith",620,20,479,"All","All","All",31,129.436325678497
"Mumbai Indians","Evin Lewis",430,16,328,"All","All","All",26.875,131.09756097561
"Mumbai Indians","Fabian Allen",8,1,7,"All","All","All",8,114.285714285714
"Mumbai Indians","Glenn Maxwell",36,2,27,"All","All","All",18,133.333333333333
"Mumbai Indians","Graham Napier",15,1,16,"All","All","All",15,93.75
"Mumbai Indians","Harbhajan Singh",799,48,561,"All","All","All",16.6458333333333,142.424242424242
"Mumbai Indians","Hardik Pandya",1476,54,959,"All","All","All",27.3333333333333,153.910323253389
"Mumbai Indians","Herschelle Gibbs",81,2,88,"All","All","All",40.5,92.0454545454545
"Mumbai Indians","Hrithik Shokeen",43,2,48,"All","All","All",21.5,89.5833333333333
"Mumbai Indians","Ishan Kishan",1551,49,1166,"All","All","All",31.6530612244898,133.018867924528
"Mumbai Indians","Jagadeesha Suchith",48,1,32,"All","All","All",48,150
"Mumbai Indians","James Franklin",327,11,301,"All","All","All",29.7272727272727,108.637873754153
"Mumbai Indians","James Neesham",0,2,2,"All","All","All",0,0
"Mumbai Indians","James Pattinson",15,1,13,"All","All","All",15,115.384615384615
"Mumbai Indians","Jasprit Bumrah",56,6,66,"All","All","All",9.33333333333333,84.8484848484848
"Mumbai Indians","Jayant Yadav",34,2,26,"All","All","All",17,130.769230769231
"Mumbai Indians","Jaydev Unadkat",59,3,37,"All","All","All",19.6666666666667,159.459459459459
