"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Ambati Rayudu",2020,"Dubai International Cricket Stadium",168,5,130,"All",33.6,129.230769230769
"Chennai Super Kings","Ambati Rayudu",2020,"Sharjah Cricket Stadium",47,1,28,"All",47,167.857142857143
"Chennai Super Kings","Ambati Rayudu",2020,"Zayed Cricket Stadium",144,3,124,"All",48,116.129032258065
"Chennai Super Kings","Ambati Rayudu",2021,"Arun Jaitley Stadium",72,0,27,"All",Inf,266.666666666667
"Chennai Super Kings","Ambati Rayudu",2021,"Dubai International Cricket Stadium",60,2,54,"All",30,111.111111111111
"Chennai Super Kings","Ambati Rayudu",2021,"Sharjah Cricket Stadium",49,1,35,"All",49,140
"Chennai Super Kings","Ambati Rayudu",2021,"Wankhede Stadium",64,4,41,"All",16,156.09756097561
"Chennai Super Kings","Ambati Rayudu",2021,"Zayed Cricket Stadium",12,2,13,"All",6,92.3076923076923
"Chennai Super Kings","Ambati Rayudu",2022,"Brabourne Stadium",43,3,47,"All",14.3333333333333,91.4893617021277
"Chennai Super Kings","Ambati Rayudu",2022,"Dr DY Patil Sports Academy",72,3,68,"All",24,105.882352941176
"Chennai Super Kings","Ambati Rayudu",2022,"Maharashtra Cricket Association Stadium",56,2,39,"All",28,143.589743589744
"Chennai Super Kings","Ambati Rayudu",2022,"Wankhede Stadium",103,3,70,"All",34.3333333333333,147.142857142857
"Chennai Super Kings","Andrew Flintoff",2009,"Kingsmead",16,1,17,"All",16,94.1176470588235
"Chennai Super Kings","Andrew Flintoff",2009,"Newlands",24,1,23,"All",24,104.347826086957
"Chennai Super Kings","Andrew Flintoff",2009,"St George's Park",22,0,13,"All",Inf,169.230769230769
"Chennai Super Kings","Ankit Rajpoot",2013,"MA Chidambaram Stadium",2,0,6,"All",Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik",2010,"Sardar Patel Stadium",3,0,5,"All",Inf,60
"Chennai Super Kings","Ashish Nehra",2015,"Eden Gardens",1,0,4,"All",Inf,25
"Chennai Super Kings","Ashish Nehra",2015,"M Chinnaswamy Stadium",0,0,1,"All",NA,0
"Chennai Super Kings","Ashish Nehra",2015,"MA Chidambaram Stadium",0,0,1,"All",NA,0
"Chennai Super Kings","Ashish Nehra",2015,"Wankhede Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Ben Laughlin",2013,"MA Chidambaram Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Ben Laughlin",2013,"Wankhede Stadium",4,0,8,"All",Inf,50
"Chennai Super Kings","Brendon McCullum",2014,"Barabati Stadium",33,1,29,"All",33,113.793103448276
"Chennai Super Kings","Brendon McCullum",2014,"Brabourne Stadium",14,1,11,"All",14,127.272727272727
"Chennai Super Kings","Brendon McCullum",2014,"Dubai International Cricket Stadium",77,1,63,"All",77,122.222222222222
"Chennai Super Kings","Brendon McCullum",2014,"Eden Gardens",28,1,24,"All",28,116.666666666667
"Chennai Super Kings","Brendon McCullum",2014,"Feroz Shah Kotla",32,1,35,"All",32,91.4285714285714
"Chennai Super Kings","Brendon McCullum",2014,"JSCA International Stadium Complex",81,3,56,"All",27,144.642857142857
"Chennai Super Kings","Brendon McCullum",2014,"Sharjah Cricket Stadium",40,1,33,"All",40,121.212121212121
"Chennai Super Kings","Brendon McCullum",2014,"Sheikh Zayed Stadium",76,2,55,"All",38,138.181818181818
"Chennai Super Kings","Brendon McCullum",2014,"Wankhede Stadium",24,2,27,"All",12,88.8888888888889
"Chennai Super Kings","Brendon McCullum",2015,"Eden Gardens",32,1,12,"All",32,266.666666666667
"Chennai Super Kings","Brendon McCullum",2015,"M Chinnaswamy Stadium",4,1,6,"All",4,66.6666666666667
"Chennai Super Kings","Brendon McCullum",2015,"MA Chidambaram Stadium",313,6,203,"All",52.1666666666667,154.187192118227
"Chennai Super Kings","Brendon McCullum",2015,"Punjab Cricket Association Stadium",6,1,6,"All",6,100
"Chennai Super Kings","Brendon McCullum",2015,"Rajiv Gandhi International Stadium",12,1,5,"All",12,240
"Chennai Super Kings","Brendon McCullum",2015,"Sardar Patel Stadium",12,1,7,"All",12,171.428571428571
"Chennai Super Kings","Brendon McCullum",2015,"Shaheed Veer Narayan Singh International Stadium",11,1,21,"All",11,52.3809523809524
"Chennai Super Kings","Brendon McCullum",2015,"Wankhede Stadium",46,1,20,"All",46,230
"Chennai Super Kings","Chamara Kapugedera",2008,"Dr DY Patil Sports Academy",8,1,12,"All",8,66.6666666666667
"Chennai Super Kings","Chamara Kapugedera",2008,"Feroz Shah Kotla",8,1,9,"All",8,88.8888888888889
"Chennai Super Kings","Chamara Kapugedera",2008,"Wankhede Stadium",0,1,2,"All",0,0
"Chennai Super Kings","Chris Jordan",2022,"Brabourne Stadium",5,1,5,"All",5,100
