"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Suresh Raina",2019,"MA Chidambaram Stadium",190,8,158,"All",23.75,120.253164556962
"Chennai Super Kings","Suresh Raina",2019,"Punjab Cricket Association IS Bindra Stadium",53,1,38,"All",53,139.473684210526
"Chennai Super Kings","Suresh Raina",2019,"Rajiv Gandhi International Stadium",21,2,27,"All",10.5,77.7777777777778
"Chennai Super Kings","Suresh Raina",2019,"Sawai Mansingh Stadium",4,1,4,"All",4,100
"Chennai Super Kings","Suresh Raina",2019,"Wankhede Stadium",16,1,15,"All",16,106.666666666667
"Chennai Super Kings","Suresh Raina",2021,"Arun Jaitley Stadium",19,1,19,"All",19,100
"Chennai Super Kings","Suresh Raina",2021,"Dubai International Cricket Stadium",4,1,6,"All",4,66.6666666666667
"Chennai Super Kings","Suresh Raina",2021,"Sharjah Cricket Stadium",19,1,13,"All",19,146.153846153846
"Chennai Super Kings","Suresh Raina",2021,"Wankhede Stadium",104,4,78,"All",26,133.333333333333
"Chennai Super Kings","Suresh Raina",2021,"Zayed Cricket Stadium",14,2,12,"All",7,116.666666666667
"Chennai Super Kings","Thilan Thushara",2009,"Kingsmead",1,1,5,"All",1,20
"Chennai Super Kings","Thilan Thushara",2009,"Newlands",1,0,2,"All",Inf,50
"Chennai Super Kings","Thilan Thushara",2010,"Sardar Patel Stadium",2,0,3,"All",Inf,66.6666666666667
"Chennai Super Kings","Thilan Thushara",2010,"Vidarbha Cricket Association Stadium",8,1,8,"All",8,100
"Chennai Super Kings","Vidyut Sivaramakrishnan",2008,"Dr DY Patil Sports Academy",16,1,14,"All",16,114.285714285714
"Chennai Super Kings","Vidyut Sivaramakrishnan",2008,"Feroz Shah Kotla",40,1,23,"All",40,173.913043478261
"Chennai Super Kings","Vidyut Sivaramakrishnan",2008,"MA Chidambaram Stadium",62,3,44,"All",20.6666666666667,140.909090909091
"Chennai Super Kings","Vidyut Sivaramakrishnan",2008,"Sawai Mansingh Stadium",5,1,10,"All",5,50
"Chennai Super Kings","Vidyut Sivaramakrishnan",2008,"Wankhede Stadium",22,2,18,"All",11,122.222222222222
"Chennai Super Kings","Wriddhiman Saha",2011,"M Chinnaswamy Stadium",22,1,30,"All",22,73.3333333333333
"Chennai Super Kings","Wriddhiman Saha",2011,"MA Chidambaram Stadium",46,0,33,"All",Inf,139.393939393939
"Chennai Super Kings","Wriddhiman Saha",2012,"MA Chidambaram Stadium",6,1,14,"All",6,42.8571428571429
"Chennai Super Kings","Wriddhiman Saha",2013,"MA Chidambaram Stadium",57,2,41,"All",28.5,139.024390243902
"Chennai Super Kings","Wriddhiman Saha",2013,"Subrata Roy Sahara Stadium",13,1,15,"All",13,86.6666666666667
"Deccan Chargers","Abhishek Jhunjhunwala",2012,"Feroz Shah Kotla",4,1,5,"All",4,80
"Deccan Chargers","Abhishek Jhunjhunwala",2012,"MA Chidambaram Stadium",1,0,1,"All",Inf,100
"Deccan Chargers","Abhishek Jhunjhunwala",2012,"Rajiv Gandhi International Stadium",19,1,20,"All",19,95
"Deccan Chargers","Adam Gilchrist",2008,"Dr DY Patil Sports Academy",109,0,47,"All",Inf,231.914893617021
"Deccan Chargers","Adam Gilchrist",2008,"Eden Gardens",23,1,22,"All",23,104.545454545455
"Deccan Chargers","Adam Gilchrist",2008,"Feroz Shah Kotla",14,1,9,"All",14,155.555555555556
"Deccan Chargers","Adam Gilchrist",2008,"M Chinnaswamy Stadium",10,1,11,"All",10,90.9090909090909
"Deccan Chargers","Adam Gilchrist",2008,"MA Chidambaram Stadium",54,1,36,"All",54,150
"Deccan Chargers","Adam Gilchrist",2008,"Punjab Cricket Association Stadium",50,1,42,"All",50,119.047619047619
"Deccan Chargers","Adam Gilchrist",2008,"Rajiv Gandhi International Stadium",115,7,102,"All",16.4285714285714,112.745098039216
"Deccan Chargers","Adam Gilchrist",2008,"Sawai Mansingh Stadium",61,1,49,"All",61,124.489795918367
"Deccan Chargers","Adam Gilchrist",2009,"Buffalo Park",0,1,1,"All",0,0
"Deccan Chargers","Adam Gilchrist",2009,"De Beers Diamond Oval",30,2,27,"All",15,111.111111111111
"Deccan Chargers","Adam Gilchrist",2009,"Kingsmead",143,3,72,"All",47.6666666666667,198.611111111111
"Deccan Chargers","Adam Gilchrist",2009,"New Wanderers Stadium",66,3,47,"All",22,140.425531914894
"Deccan Chargers","Adam Gilchrist",2009,"Newlands",84,2,56,"All",42,150
"Deccan Chargers","Adam Gilchrist",2009,"St George's Park",39,1,35,"All",39,111.428571428571
"Deccan Chargers","Adam Gilchrist",2009,"SuperSport Park",133,4,87,"All",33.25,152.873563218391
"Deccan Chargers","Adam Gilchrist",2010,"Barabati Stadium",57,2,26,"All",28.5,219.230769230769
"Deccan Chargers","Adam Gilchrist",2010,"Brabourne Stadium",19,1,14,"All",19,135.714285714286
"Deccan Chargers","Adam Gilchrist",2010,"Dr DY Patil Sports Academy",73,4,61,"All",18.25,119.672131147541
"Deccan Chargers","Adam Gilchrist",2010,"Eden Gardens",9,1,5,"All",9,180
"Deccan Chargers","Adam Gilchrist",2010,"Feroz Shah Kotla",10,1,9,"All",10,111.111111111111
"Deccan Chargers","Adam Gilchrist",2010,"Himachal Pradesh Cricket Association Stadium",9,1,5,"All",9,180
"Deccan Chargers","Adam Gilchrist",2010,"M Chinnaswamy Stadium",32,1,19,"All",32,168.421052631579
"Deccan Chargers","Adam Gilchrist",2010,"MA Chidambaram Stadium",38,1,17,"All",38,223.529411764706
"Deccan Chargers","Adam Gilchrist",2010,"Sardar Patel Stadium",1,1,3,"All",1,33.3333333333333
"Deccan Chargers","Adam Gilchrist",2010,"Vidarbha Cricket Association Stadium",41,3,26,"All",13.6666666666667,157.692307692308
"Deccan Chargers","Akshath Reddy",2012,"Rajiv Gandhi International Stadium",73,3,59,"All",24.3333333333333,123.728813559322
"Deccan Chargers","Amit Mishra",2011,"Eden Gardens",12,0,5,"All",Inf,240
"Deccan Chargers","Amit Mishra",2011,"MA Chidambaram Stadium",2,1,5,"All",2,40
"Deccan Chargers","Amit Mishra",2011,"Nehru Stadium",0,1,1,"All",0,0
"Deccan Chargers","Amit Mishra",2011,"Rajiv Gandhi International Stadium",36,2,32,"All",18,112.5
"Deccan Chargers","Amit Mishra",2011,"Wankhede Stadium",18,0,6,"All",Inf,300
"Deccan Chargers","Amit Mishra",2012,"Barabati Stadium",1,0,1,"All",Inf,100
"Deccan Chargers","Amit Mishra",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",0,1,2,"All",0,0
"Deccan Chargers","Amit Mishra",2012,"Feroz Shah Kotla",6,1,6,"All",6,100
"Deccan Chargers","Amit Mishra",2012,"Rajiv Gandhi International Stadium",8,0,5,"All",Inf,160
"Deccan Chargers","Amit Mishra",2012,"Wankhede Stadium",1,1,6,"All",1,16.6666666666667
"Deccan Chargers","Andrew Symonds",2008,"Eden Gardens",32,1,39,"All",32,82.051282051282
"Deccan Chargers","Andrew Symonds",2008,"Rajiv Gandhi International Stadium",129,1,66,"All",129,195.454545454545
"Deccan Chargers","Andrew Symonds",2009,"De Beers Diamond Oval",90,1,55,"All",90,163.636363636364
"Deccan Chargers","Andrew Symonds",2009,"Kingsmead",41,1,22,"All",41,186.363636363636
"Deccan Chargers","Andrew Symonds",2009,"New Wanderers Stadium",76,3,59,"All",25.3333333333333,128.813559322034
"Deccan Chargers","Andrew Symonds",2009,"SuperSport Park",42,2,30,"All",21,140
"Deccan Chargers","Andrew Symonds",2010,"Barabati Stadium",88,2,62,"All",44,141.935483870968
"Deccan Chargers","Andrew Symonds",2010,"Brabourne Stadium",21,1,18,"All",21,116.666666666667
"Deccan Chargers","Andrew Symonds",2010,"Dr DY Patil Sports Academy",31,4,45,"All",7.75,68.8888888888889
"Deccan Chargers","Andrew Symonds",2010,"Eden Gardens",45,1,37,"All",45,121.621621621622
"Deccan Chargers","Andrew Symonds",2010,"Feroz Shah Kotla",54,1,30,"All",54,180
"Deccan Chargers","Andrew Symonds",2010,"Himachal Pradesh Cricket Association Stadium",4,1,6,"All",4,66.6666666666667
"Deccan Chargers","Andrew Symonds",2010,"M Chinnaswamy Stadium",53,0,24,"All",Inf,220.833333333333
"Deccan Chargers","Andrew Symonds",2010,"MA Chidambaram Stadium",50,1,43,"All",50,116.279069767442
"Deccan Chargers","Andrew Symonds",2010,"Sardar Patel Stadium",22,1,14,"All",22,157.142857142857
"Deccan Chargers","Andrew Symonds",2010,"Vidarbha Cricket Association Stadium",61,2,62,"All",30.5,98.3870967741936
"Deccan Chargers","Anirudh Singh",2010,"Barabati Stadium",0,1,1,"All",0,0
"Deccan Chargers","Anirudh Singh",2010,"Dr DY Patil Sports Academy",54,2,53,"All",27,101.88679245283
"Deccan Chargers","Anirudh Singh",2010,"Vidarbha Cricket Association Stadium",9,1,12,"All",9,75
"Deccan Chargers","Ankit Sharma",2012,"Barabati Stadium",1,1,2,"All",1,50
"Deccan Chargers","Ankit Sharma",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",16,2,10,"All",8,160
"Deccan Chargers","Ankit Sharma",2012,"Feroz Shah Kotla",1,0,1,"All",Inf,100
"Deccan Chargers","Arjun Yadav",2008,"Eden Gardens",10,1,10,"All",10,100
"Deccan Chargers","Arjun Yadav",2008,"M Chinnaswamy Stadium",3,0,4,"All",Inf,75
"Deccan Chargers","Arjun Yadav",2008,"Rajiv Gandhi International Stadium",36,4,25,"All",9,144
"Deccan Chargers","Ashish Reddy",2012,"MA Chidambaram Stadium",3,1,3,"All",3,100
"Deccan Chargers","Ashish Reddy",2012,"Rajiv Gandhi International Stadium",22,2,16,"All",11,137.5
"Deccan Chargers","Ashish Reddy",2012,"Wankhede Stadium",10,1,10,"All",10,100
"Deccan Chargers","Azhar Bilakhia",2009,"Kingsmead",12,0,14,"All",Inf,85.7142857142857
"Deccan Chargers","Azhar Bilakhia",2009,"New Wanderers Stadium",6,1,7,"All",6,85.7142857142857
"Deccan Chargers","Azhar Bilakhia",2009,"St George's Park",1,1,5,"All",1,20
"Deccan Chargers","Azhar Bilakhia",2009,"SuperSport Park",48,2,55,"All",24,87.2727272727273
"Deccan Chargers","Azhar Bilakhia",2010,"Vidarbha Cricket Association Stadium",2,1,4,"All",2,50
"Deccan Chargers","Bharat Chipli",2011,"Dr DY Patil Sports Academy",5,0,4,"All",Inf,125
"Deccan Chargers","Bharat Chipli",2011,"Eden Gardens",48,1,40,"All",48,120
"Deccan Chargers","Bharat Chipli",2011,"Feroz Shah Kotla",5,0,3,"All",Inf,166.666666666667
"Deccan Chargers","Bharat Chipli",2011,"MA Chidambaram Stadium",17,1,15,"All",17,113.333333333333
"Deccan Chargers","Bharat Chipli",2011,"Nehru Stadium",4,1,10,"All",4,40
"Deccan Chargers","Bharat Chipli",2011,"Rajiv Gandhi International Stadium",118,4,87,"All",29.5,135.632183908046
"Deccan Chargers","Bharat Chipli",2011,"Wankhede Stadium",10,1,11,"All",10,90.9090909090909
"Deccan Chargers","Bharat Chipli",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",11,2,15,"All",5.5,73.3333333333333
"Deccan Chargers","Bharat Chipli",2012,"Feroz Shah Kotla",25,0,17,"All",Inf,147.058823529412
"Deccan Chargers","Bharat Chipli",2012,"Wankhede Stadium",1,1,3,"All",1,33.3333333333333
"Deccan Chargers","Biplab Samantray",2012,"Barabati Stadium",2,0,2,"All",Inf,100
"Deccan Chargers","Bodapati Sumanth",2010,"Dr DY Patil Sports Academy",16,1,18,"All",16,88.8888888888889
"Deccan Chargers","Bodapati Sumanth",2010,"Feroz Shah Kotla",7,0,12,"All",Inf,58.3333333333333
"Deccan Chargers","Bodapati Sumanth",2010,"Himachal Pradesh Cricket Association Stadium",6,0,3,"All",Inf,200
"Deccan Chargers","Bodapati Sumanth",2010,"Vidarbha Cricket Association Stadium",6,0,4,"All",Inf,150
"Deccan Chargers","Cameron White",2011,"Feroz Shah Kotla",31,0,25,"All",Inf,124
"Deccan Chargers","Cameron White",2011,"Himachal Pradesh Cricket Association Stadium",15,0,12,"All",Inf,125
"Deccan Chargers","Cameron White",2011,"MA Chidambaram Stadium",13,1,18,"All",13,72.2222222222222
"Deccan Chargers","Cameron White",2011,"Nehru Stadium",31,1,34,"All",31,91.1764705882353
"Deccan Chargers","Cameron White",2011,"Rajiv Gandhi International Stadium",14,2,20,"All",7,70
"Deccan Chargers","Cameron White",2012,"Barabati Stadium",84,2,54,"All",42,155.555555555556
"Deccan Chargers","Cameron White",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",53,1,38,"All",53,139.473684210526
"Deccan Chargers","Cameron White",2012,"M Chinnaswamy Stadium",45,1,24,"All",45,187.5
"Deccan Chargers","Cameron White",2012,"MA Chidambaram Stadium",77,1,53,"All",77,145.283018867925
"Deccan Chargers","Cameron White",2012,"Punjab Cricket Association Stadium",67,0,41,"All",Inf,163.414634146341
"Deccan Chargers","Cameron White",2012,"Rajiv Gandhi International Stadium",75,4,63,"All",18.75,119.047619047619
"Deccan Chargers","Cameron White",2012,"Subrata Roy Sahara Stadium",78,1,46,"All",78,169.565217391304
"Deccan Chargers","Cameron White",2012,"Wankhede Stadium",0,1,1,"All",0,0
"Deccan Chargers","Chamara Silva",2008,"Punjab Cricket Association Stadium",23,0,10,"All",Inf,230
"Deccan Chargers","Chamara Silva",2008,"Rajiv Gandhi International Stadium",17,2,16,"All",8.5,106.25
"Deccan Chargers","Chaminda Vaas",2008,"Eden Gardens",0,1,1,"All",0,0
"Deccan Chargers","Chaminda Vaas",2008,"Rajiv Gandhi International Stadium",21,2,17,"All",10.5,123.529411764706
"Deccan Chargers","Chaminda Vaas",2009,"De Beers Diamond Oval",20,1,15,"All",20,133.333333333333
"Deccan Chargers","Chaminda Vaas",2009,"Kingsmead",10,0,6,"All",Inf,166.666666666667
"Deccan Chargers","Chaminda Vaas",2010,"Barabati Stadium",19,1,12,"All",19,158.333333333333
"Deccan Chargers","Chaminda Vaas",2010,"Dr DY Patil Sports Academy",0,1,1,"All",0,0
"Deccan Chargers","Chaminda Vaas",2010,"Feroz Shah Kotla",3,1,8,"All",3,37.5
"Deccan Chargers","Chaminda Vaas",2010,"Sardar Patel Stadium",8,1,13,"All",8,61.5384615384615
"Deccan Chargers","Chris Lynn",2012,"Rajiv Gandhi International Stadium",6,1,9,"All",6,66.6666666666667
"Deccan Chargers","Dale Steyn",2011,"Eden Gardens",13,1,12,"All",13,108.333333333333
"Deccan Chargers","Dale Steyn",2011,"Rajiv Gandhi International Stadium",23,3,23,"All",7.66666666666667,100
"Deccan Chargers","Dale Steyn",2012,"Barabati Stadium",7,1,3,"All",7,233.333333333333
"Deccan Chargers","Dale Steyn",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",7,2,10,"All",3.5,70
"Deccan Chargers","Dale Steyn",2012,"Feroz Shah Kotla",2,1,3,"All",2,66.6666666666667
"Deccan Chargers","Dale Steyn",2012,"Wankhede Stadium",3,1,5,"All",3,60
"Deccan Chargers","Dan Christian",2011,"Dr DY Patil Sports Academy",14,0,12,"All",Inf,116.666666666667
"Deccan Chargers","Dan Christian",2011,"Eden Gardens",25,1,13,"All",25,192.307692307692
"Deccan Chargers","Dan Christian",2011,"Feroz Shah Kotla",8,1,11,"All",8,72.7272727272727
"Deccan Chargers","Dan Christian",2011,"MA Chidambaram Stadium",1,1,1,"All",1,100
"Deccan Chargers","Dan Christian",2011,"Nehru Stadium",9,1,11,"All",9,81.8181818181818
"Deccan Chargers","Dan Christian",2011,"Rajiv Gandhi International Stadium",115,6,88,"All",19.1666666666667,130.681818181818
"Deccan Chargers","Dan Christian",2011,"Wankhede Stadium",18,1,23,"All",18,78.2608695652174
"Deccan Chargers","Dan Christian",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",41,2,39,"All",20.5,105.128205128205
"Deccan Chargers","Dan Christian",2012,"Feroz Shah Kotla",19,1,21,"All",19,90.4761904761905
"Deccan Chargers","Dan Christian",2012,"MA Chidambaram Stadium",27,0,24,"All",Inf,112.5
"Deccan Chargers","Dan Christian",2012,"Punjab Cricket Association Stadium",24,1,10,"All",24,240
"Deccan Chargers","Dan Christian",2012,"Sawai Mansingh Stadium",29,0,19,"All",Inf,152.631578947368
"Deccan Chargers","Dan Christian",2012,"Wankhede Stadium",5,1,5,"All",5,100
"Deccan Chargers","Daniel Harris",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",15,1,14,"All",15,107.142857142857
"Deccan Chargers","Daniel Harris",2012,"M Chinnaswamy Stadium",47,1,41,"All",47,114.634146341463
"Deccan Chargers","Daniel Harris",2012,"Rajiv Gandhi International Stadium",49,2,46,"All",24.5,106.521739130435
"Deccan Chargers","Doddapaneni Kalyankrishna",2008,"Rajiv Gandhi International Stadium",3,1,8,"All",3,37.5
"Deccan Chargers","Dwaraka Ravi Teja",2008,"Feroz Shah Kotla",9,1,5,"All",9,180
"Deccan Chargers","Dwaraka Ravi Teja",2008,"Rajiv Gandhi International Stadium",94,4,69,"All",23.5,136.231884057971
"Deccan Chargers","Dwaraka Ravi Teja",2008,"Sawai Mansingh Stadium",6,1,8,"All",6,75
"Deccan Chargers","Dwaraka Ravi Teja",2009,"De Beers Diamond Oval",7,0,3,"All",Inf,233.333333333333
"Deccan Chargers","Dwaraka Ravi Teja",2009,"Kingsmead",36,2,43,"All",18,83.7209302325581
"Deccan Chargers","Dwaraka Ravi Teja",2009,"New Wanderers Stadium",10,1,15,"All",10,66.6666666666667
"Deccan Chargers","Dwaraka Ravi Teja",2009,"Newlands",8,0,5,"All",Inf,160
"Deccan Chargers","Dwaraka Ravi Teja",2009,"SuperSport Park",4,0,4,"All",Inf,100
"Deccan Chargers","Dwaraka Ravi Teja",2011,"Eden Gardens",14,1,10,"All",14,140
"Deccan Chargers","Dwaraka Ravi Teja",2011,"Himachal Pradesh Cricket Association Stadium",60,1,41,"All",60,146.341463414634
"Deccan Chargers","Dwaraka Ravi Teja",2011,"Nehru Stadium",8,0,5,"All",Inf,160
"Deccan Chargers","Dwaraka Ravi Teja",2011,"Rajiv Gandhi International Stadium",101,5,88,"All",20.2,114.772727272727
"Deccan Chargers","Dwaraka Ravi Teja",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",4,2,4,"All",2,100
"Deccan Chargers","Dwayne Smith",2009,"Buffalo Park",49,1,23,"All",49,213.04347826087
"Deccan Chargers","Dwayne Smith",2009,"De Beers Diamond Oval",47,1,32,"All",47,146.875
"Deccan Chargers","Dwayne Smith",2009,"Kingsmead",48,3,29,"All",16,165.51724137931
"Deccan Chargers","Dwayne Smith",2009,"St George's Park",7,1,8,"All",7,87.5
"Deccan Chargers","Dwayne Smith",2009,"SuperSport Park",64,2,40,"All",32,160
"Deccan Chargers","Dwayne Smith",2010,"Dr DY Patil Sports Academy",5,1,10,"All",5,50
"Deccan Chargers","Dwayne Smith",2010,"Vidarbha Cricket Association Stadium",17,1,15,"All",17,113.333333333333
"Deccan Chargers","Fidel Edwards",2009,"Kingsmead",1,1,3,"All",1,33.3333333333333
"Deccan Chargers","Fidel Edwards",2009,"Newlands",3,0,2,"All",Inf,150
"Deccan Chargers","Halhadar Das",2008,"Rajiv Gandhi International Stadium",2,1,5,"All",2,40
"Deccan Chargers","Harmeet Singh",2010,"Dr DY Patil Sports Academy",0,1,1,"All",0,0
"Deccan Chargers","Herschelle Gibbs",2008,"Feroz Shah Kotla",22,1,22,"All",22,100
"Deccan Chargers","Herschelle Gibbs",2008,"M Chinnaswamy Stadium",5,1,7,"All",5,71.4285714285714
"Deccan Chargers","Herschelle Gibbs",2008,"MA Chidambaram Stadium",10,1,10,"All",10,100
"Deccan Chargers","Herschelle Gibbs",2008,"Punjab Cricket Association Stadium",44,1,34,"All",44,129.411764705882
"Deccan Chargers","Herschelle Gibbs",2008,"Rajiv Gandhi International Stadium",67,4,60,"All",16.75,111.666666666667
"Deccan Chargers","Herschelle Gibbs",2008,"Sawai Mansingh Stadium",19,1,20,"All",19,95
"Deccan Chargers","Herschelle Gibbs",2009,"Buffalo Park",0,1,2,"All",0,0
"Deccan Chargers","Herschelle Gibbs",2009,"De Beers Diamond Oval",13,1,13,"All",13,100
"Deccan Chargers","Herschelle Gibbs",2009,"Kingsmead",127,1,100,"All",127,127
"Deccan Chargers","Herschelle Gibbs",2009,"New Wanderers Stadium",107,2,119,"All",53.5,89.9159663865546
"Deccan Chargers","Herschelle Gibbs",2009,"Newlands",56,1,33,"All",56,169.69696969697
"Deccan Chargers","Herschelle Gibbs",2009,"St George's Park",8,1,10,"All",8,80
"Deccan Chargers","Herschelle Gibbs",2009,"SuperSport Park",60,4,54,"All",15,111.111111111111
"Deccan Chargers","Herschelle Gibbs",2010,"Barabati Stadium",54,2,49,"All",27,110.204081632653
"Deccan Chargers","Herschelle Gibbs",2010,"Brabourne Stadium",17,1,15,"All",17,113.333333333333
"Deccan Chargers","Herschelle Gibbs",2010,"Dr DY Patil Sports Academy",64,3,66,"All",21.3333333333333,96.969696969697
"Deccan Chargers","Herschelle Gibbs",2010,"Eden Gardens",50,1,45,"All",50,111.111111111111
"Deccan Chargers","Herschelle Gibbs",2010,"MA Chidambaram Stadium",45,1,36,"All",45,125
"Deccan Chargers","Herschelle Gibbs",2010,"Sardar Patel Stadium",25,1,14,"All",25,178.571428571429
"Deccan Chargers","Herschelle Gibbs",2010,"Vidarbha Cricket Association Stadium",12,1,10,"All",12,120
"Deccan Chargers","Ishan Malhotra",2011,"Rajiv Gandhi International Stadium",7,0,4,"All",Inf,175
"Deccan Chargers","Ishank Jaggi",2011,"Eden Gardens",3,1,9,"All",3,33.3333333333333
"Deccan Chargers","Ishank Jaggi",2011,"Rajiv Gandhi International Stadium",25,1,28,"All",25,89.2857142857143
"Deccan Chargers","Ishank Jaggi",2012,"Barabati Stadium",3,1,7,"All",3,42.8571428571429
"Deccan Chargers","Ishank Jaggi",2012,"Subrata Roy Sahara Stadium",10,0,7,"All",Inf,142.857142857143
"Deccan Chargers","Ishank Jaggi",2012,"Wankhede Stadium",2,1,7,"All",2,28.5714285714286
"Deccan Chargers","Ishant Sharma",2011,"Eden Gardens",1,0,1,"All",Inf,100
"Deccan Chargers","Ishant Sharma",2011,"MA Chidambaram Stadium",1,0,1,"All",Inf,100
"Deccan Chargers","Ishant Sharma",2011,"Rajiv Gandhi International Stadium",2,0,3,"All",Inf,66.6666666666667
"Deccan Chargers","Jaskaran Singh",2010,"Barabati Stadium",3,0,3,"All",Inf,100
"Deccan Chargers","Jaskaran Singh",2010,"Brabourne Stadium",0,0,2,"All",NA,0
"Deccan Chargers","Jaskaran Singh",2010,"Dr DY Patil Sports Academy",5,1,6,"All",5,83.3333333333333
"Deccan Chargers","Jean-Paul Duminy",2011,"Dr DY Patil Sports Academy",23,1,26,"All",23,88.4615384615385
"Deccan Chargers","Jean-Paul Duminy",2011,"Eden Gardens",6,1,8,"All",6,75
"Deccan Chargers","Jean-Paul Duminy",2011,"Himachal Pradesh Cricket Association Stadium",12,1,10,"All",12,120
"Deccan Chargers","Jean-Paul Duminy",2011,"MA Chidambaram Stadium",17,1,11,"All",17,154.545454545455
"Deccan Chargers","Jean-Paul Duminy",2011,"Rajiv Gandhi International Stadium",139,5,109,"All",27.8,127.522935779817
"Deccan Chargers","Jean-Paul Duminy",2011,"Wankhede Stadium",8,1,10,"All",8,80
"Deccan Chargers","Jean-Paul Duminy",2012,"Barabati Stadium",20,0,18,"All",Inf,111.111111111111
"Deccan Chargers","Jean-Paul Duminy",2012,"Feroz Shah Kotla",4,1,5,"All",4,80
"Deccan Chargers","Jean-Paul Duminy",2012,"Rajiv Gandhi International Stadium",112,2,94,"All",56,119.148936170213
"Deccan Chargers","Jean-Paul Duminy",2012,"Sawai Mansingh Stadium",58,0,26,"All",Inf,223.076923076923
"Deccan Chargers","Jean-Paul Duminy",2012,"Subrata Roy Sahara Stadium",26,0,24,"All",Inf,108.333333333333
"Deccan Chargers","Jean-Paul Duminy",2012,"Wankhede Stadium",25,0,24,"All",Inf,104.166666666667
"Deccan Chargers","Kemar Roach",2010,"Dr DY Patil Sports Academy",10,1,9,"All",10,111.111111111111
"Deccan Chargers","Kumar Sangakkara",2011,"Dr DY Patil Sports Academy",25,1,21,"All",25,119.047619047619
"Deccan Chargers","Kumar Sangakkara",2011,"Eden Gardens",16,1,15,"All",16,106.666666666667
"Deccan Chargers","Kumar Sangakkara",2011,"Feroz Shah Kotla",49,1,35,"All",49,140
"Deccan Chargers","Kumar Sangakkara",2011,"MA Chidambaram Stadium",15,1,12,"All",15,125
"Deccan Chargers","Kumar Sangakkara",2011,"Nehru Stadium",65,1,47,"All",65,138.297872340426
"Deccan Chargers","Kumar Sangakkara",2011,"Rajiv Gandhi International Stadium",161,7,135,"All",23,119.259259259259
"Deccan Chargers","Kumar Sangakkara",2011,"Wankhede Stadium",27,1,28,"All",27,96.4285714285714
"Deccan Chargers","Kumar Sangakkara",2012,"Barabati Stadium",94,2,67,"All",47,140.298507462687
"Deccan Chargers","Kumar Sangakkara",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",14,1,19,"All",14,73.6842105263158
"Deccan Chargers","Kumar Sangakkara",2012,"Feroz Shah Kotla",1,1,7,"All",1,14.2857142857143
"Deccan Chargers","Kumar Sangakkara",2012,"M Chinnaswamy Stadium",10,0,3,"All",Inf,333.333333333333
"Deccan Chargers","Kumar Sangakkara",2012,"MA Chidambaram Stadium",1,1,5,"All",1,20
"Deccan Chargers","Kumar Sangakkara",2012,"Punjab Cricket Association Stadium",1,1,4,"All",1,25
"Deccan Chargers","Kumar Sangakkara",2012,"Rajiv Gandhi International Stadium",22,3,32,"All",7.33333333333333,68.75
"Deccan Chargers","Kumar Sangakkara",2012,"Sawai Mansingh Stadium",44,1,32,"All",44,137.5
"Deccan Chargers","Kumar Sangakkara",2012,"Subrata Roy Sahara Stadium",12,1,14,"All",12,85.7142857142857
"Deccan Chargers","Manpreet Gony",2011,"Nehru Stadium",0,0,1,"All",NA,0
"Deccan Chargers","Manpreet Gony",2011,"Rajiv Gandhi International Stadium",0,1,1,"All",0,0
"Deccan Chargers","Manpreet Gony",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",4,1,8,"All",4,50
"Deccan Chargers","Michael Lumb",2011,"Wankhede Stadium",0,1,2,"All",0,0
"Deccan Chargers","Mitchell Marsh",2010,"Feroz Shah Kotla",13,1,19,"All",13,68.4210526315789
"Deccan Chargers","Mitchell Marsh",2010,"Himachal Pradesh Cricket Association Stadium",15,1,11,"All",15,136.363636363636
"Deccan Chargers","Mohnish Mishra",2010,"Barabati Stadium",1,1,4,"All",1,25
"Deccan Chargers","Mohnish Mishra",2010,"Brabourne Stadium",5,1,7,"All",5,71.4285714285714
"Deccan Chargers","Mohnish Mishra",2010,"Dr DY Patil Sports Academy",15,3,18,"All",5,83.3333333333333
"Deccan Chargers","Mohnish Mishra",2010,"Eden Gardens",29,1,16,"All",29,181.25
"Deccan Chargers","Mohnish Mishra",2010,"Feroz Shah Kotla",25,1,19,"All",25,131.578947368421
"Deccan Chargers","Mohnish Mishra",2010,"Himachal Pradesh Cricket Association Stadium",20,1,21,"All",20,95.2380952380952
"Deccan Chargers","Mohnish Mishra",2010,"M Chinnaswamy Stadium",9,1,11,"All",9,81.8181818181818
"Deccan Chargers","Mohnish Mishra",2010,"Vidarbha Cricket Association Stadium",62,2,48,"All",31,129.166666666667
