"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Kingsmead",2009,9,1,7,9,128.571428571429
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",2010,19,1,19,19,100
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","M Chinnaswamy Stadium",2011,5,1,9,5,55.5555555555556
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2008,1,1,5,1,20
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2010,1,1,3,1,33.3333333333333
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2011,11,2,12,5.5,91.6666666666667
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","MA Chidambaram Stadium",2012,28,1,7,28,400
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","New Wanderers Stadium",2009,20,0,17,Inf,117.647058823529
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","St George's Park",2009,5,1,3,5,166.666666666667
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore","Wankhede Stadium",2011,28,0,10,Inf,280
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",2019,20,0,20,Inf,100
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Dr DY Patil Sports Academy",2022,5,1,6,5,83.3333333333333
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Dubai International Cricket Stadium",2021,56,1,46,56,121.739130434783
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Feroz Shah Kotla",2018,50,1,29,50,172.413793103448
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Feroz Shah Kotla",2019,5,1,5,5,100
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","MA Chidambaram Stadium",2019,5,0,2,Inf,250
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Maharashtra Cricket Association Stadium",2018,41,1,24,41,170.833333333333
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Sharjah Cricket Stadium",2020,45,0,25,Inf,180
"Chennai Super Kings","Ambati Rayudu","Delhi Capitals","Wankhede Stadium",2021,23,1,16,23,143.75
"Chennai Super Kings","Ambati Rayudu","Gujarat Titans","Maharashtra Cricket Association Stadium",2022,46,1,31,46,148.387096774194
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Dubai International Cricket Stadium",2020,38,1,20,38,190
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Eden Gardens",2018,21,1,17,21,123.529411764706
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Eden Gardens",2019,5,1,11,5,45.4545454545455
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","MA Chidambaram Stadium",2018,39,1,26,39,150
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","MA Chidambaram Stadium",2019,21,1,31,21,67.741935483871
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Wankhede Stadium",2022,15,1,17,15,88.2352941176471
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Zayed Cricket Stadium",2020,30,1,27,30,111.111111111111
"Chennai Super Kings","Ambati Rayudu","Kolkata Knight Riders","Zayed Cricket Stadium",2021,10,1,9,10,111.111111111111
"Chennai Super Kings","Ambati Rayudu","Lucknow Super Giants","Brabourne Stadium",2022,27,1,20,27,135
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Arun Jaitley Stadium",2021,72,0,27,Inf,266.666666666667
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Dr DY Patil Sports Academy",2022,40,1,35,40,114.285714285714
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Dubai International Cricket Stadium",2021,0,0,3,NA,0
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","MA Chidambaram Stadium",2019,42,1,40,42,105
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Maharashtra Cricket Association Stadium",2018,46,1,35,46,131.428571428571
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Rajiv Gandhi International Stadium",2019,1,1,4,1,25
