"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Deccan Chargers","Bodapati Sumanth","Delhi Capitals","Feroz Shah Kotla",2010,7,0,12,Inf,58.3333333333333
"Deccan Chargers","Bodapati Sumanth","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,6,0,3,Inf,200
"Deccan Chargers","Bodapati Sumanth","Royal Challengers Bangalore","Vidarbha Cricket Association Stadium",2010,6,0,4,Inf,150
"Deccan Chargers","Cameron White","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,23,1,16,23,143.75
"Deccan Chargers","Cameron White","Chennai Super Kings","MA Chidambaram Stadium",2011,13,1,18,13,72.2222222222222
"Deccan Chargers","Cameron White","Chennai Super Kings","MA Chidambaram Stadium",2012,77,1,53,77,145.283018867925
"Deccan Chargers","Cameron White","Delhi Capitals","Feroz Shah Kotla",2011,31,0,25,Inf,124
"Deccan Chargers","Cameron White","Delhi Capitals","Rajiv Gandhi International Stadium",2012,65,1,40,65,162.5
"Deccan Chargers","Cameron White","Kochi Tuskers Kerala","Nehru Stadium",2011,31,1,34,31,91.1764705882353
"Deccan Chargers","Cameron White","Kolkata Knight Riders","Barabati Stadium",2012,10,1,9,10,111.111111111111
"Deccan Chargers","Cameron White","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2011,13,1,13,13,100
"Deccan Chargers","Cameron White","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,30,0,22,Inf,136.363636363636
"Deccan Chargers","Cameron White","Mumbai Indians","Rajiv Gandhi International Stadium",2011,1,1,7,1,14.2857142857143
"Deccan Chargers","Cameron White","Mumbai Indians","Wankhede Stadium",2012,0,1,1,0,0
"Deccan Chargers","Cameron White","Pune Warriors","Barabati Stadium",2012,74,1,45,74,164.444444444444
"Deccan Chargers","Cameron White","Pune Warriors","Subrata Roy Sahara Stadium",2012,78,1,46,78,169.565217391304
"Deccan Chargers","Cameron White","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2011,15,0,12,Inf,125
"Deccan Chargers","Cameron White","Punjab Kings","Punjab Cricket Association Stadium",2012,67,0,41,Inf,163.414634146341
"Deccan Chargers","Cameron White","Punjab Kings","Rajiv Gandhi International Stadium",2012,8,1,14,8,57.1428571428571
"Deccan Chargers","Cameron White","Rajasthan Royals","Rajiv Gandhi International Stadium",2012,1,1,4,1,25
"Deccan Chargers","Cameron White","Royal Challengers Bangalore","M Chinnaswamy Stadium",2012,45,1,24,45,187.5
"Deccan Chargers","Cameron White","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2012,1,1,5,1,20
"Deccan Chargers","Chamara Silva","Mumbai Indians","Rajiv Gandhi International Stadium",2008,17,1,14,17,121.428571428571
"Deccan Chargers","Chamara Silva","Punjab Kings","Punjab Cricket Association Stadium",2008,23,0,10,Inf,230
"Deccan Chargers","Chamara Silva","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2008,0,1,2,0,0
"Deccan Chargers","Chaminda Vaas","Delhi Capitals","Barabati Stadium",2010,3,0,2,Inf,150
"Deccan Chargers","Chaminda Vaas","Delhi Capitals","Feroz Shah Kotla",2010,3,1,8,3,37.5
"Deccan Chargers","Chaminda Vaas","Delhi Capitals","Kingsmead",2009,10,0,6,Inf,166.666666666667
"Deccan Chargers","Chaminda Vaas","Delhi Capitals","Rajiv Gandhi International Stadium",2008,12,0,6,Inf,200
"Deccan Chargers","Chaminda Vaas","Kolkata Knight Riders","Dr DY Patil Sports Academy",2010,0,1,1,0,0
"Deccan Chargers","Chaminda Vaas","Kolkata Knight Riders","Eden Gardens",2008,0,1,1,0,0
"Deccan Chargers","Chaminda Vaas","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2008,9,1,8,9,112.5
"Deccan Chargers","Chaminda Vaas","Punjab Kings","Barabati Stadium",2010,16,1,10,16,160
"Deccan Chargers","Chaminda Vaas","Rajasthan Royals","De Beers Diamond Oval",2009,20,1,15,20,133.333333333333
"Deccan Chargers","Chaminda Vaas","Rajasthan Royals","Sardar Patel Stadium",2010,8,1,13,8,61.5384615384615
"Deccan Chargers","Chaminda Vaas","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2008,0,1,3,0,0
"Deccan Chargers","Chris Lynn","Rajasthan Royals","Rajiv Gandhi International Stadium",2012,6,1,9,6,66.6666666666667
"Deccan Chargers","Dale Steyn","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,5,1,8,5,62.5
"Deccan Chargers","Dale Steyn","Delhi Capitals","Feroz Shah Kotla",2012,2,1,3,2,66.6666666666667
"Deccan Chargers","Dale Steyn","Kolkata Knight Riders","Barabati Stadium",2012,7,1,3,7,233.333333333333
"Deccan Chargers","Dale Steyn","Kolkata Knight Riders","Eden Gardens",2011,13,1,12,13,108.333333333333
"Deccan Chargers","Dale Steyn","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,2,1,2,2,100
"Deccan Chargers","Dale Steyn","Mumbai Indians","Rajiv Gandhi International Stadium",2011,4,1,9,4,44.4444444444444
"Deccan Chargers","Dale Steyn","Mumbai Indians","Wankhede Stadium",2012,3,1,5,3,60
"Deccan Chargers","Dale Steyn","Pune Warriors","Rajiv Gandhi International Stadium",2011,11,1,6,11,183.333333333333
"Deccan Chargers","Dale Steyn","Punjab Kings","Rajiv Gandhi International Stadium",2011,1,0,2,Inf,50
"Deccan Chargers","Dale Steyn","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,7,1,6,7,116.666666666667
"Deccan Chargers","Dan Christian","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,2,1,3,2,66.6666666666667
"Deccan Chargers","Dan Christian","Chennai Super Kings","MA Chidambaram Stadium",2011,1,1,1,1,100
"Deccan Chargers","Dan Christian","Chennai Super Kings","MA Chidambaram Stadium",2012,27,0,24,Inf,112.5
"Deccan Chargers","Dan Christian","Delhi Capitals","Feroz Shah Kotla",2011,8,1,11,8,72.7272727272727
"Deccan Chargers","Dan Christian","Delhi Capitals","Feroz Shah Kotla",2012,19,1,21,19,90.4761904761905
"Deccan Chargers","Dan Christian","Delhi Capitals","Rajiv Gandhi International Stadium",2011,27,0,22,Inf,122.727272727273
"Deccan Chargers","Dan Christian","Kochi Tuskers Kerala","Nehru Stadium",2011,9,1,11,9,81.8181818181818
"Deccan Chargers","Dan Christian","Kolkata Knight Riders","Eden Gardens",2011,25,1,13,25,192.307692307692
"Deccan Chargers","Dan Christian","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2011,1,1,3,1,33.3333333333333
"Deccan Chargers","Dan Christian","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,39,1,36,39,108.333333333333
"Deccan Chargers","Dan Christian","Mumbai Indians","Rajiv Gandhi International Stadium",2011,21,1,18,21,116.666666666667
"Deccan Chargers","Dan Christian","Mumbai Indians","Wankhede Stadium",2011,18,1,23,18,78.2608695652174
"Deccan Chargers","Dan Christian","Mumbai Indians","Wankhede Stadium",2012,5,1,5,5,100
"Deccan Chargers","Dan Christian","Pune Warriors","Dr DY Patil Sports Academy",2011,14,0,12,Inf,116.666666666667
"Deccan Chargers","Dan Christian","Pune Warriors","Rajiv Gandhi International Stadium",2011,10,1,11,10,90.9090909090909
"Deccan Chargers","Dan Christian","Punjab Kings","Punjab Cricket Association Stadium",2012,24,1,10,24,240
"Deccan Chargers","Dan Christian","Punjab Kings","Rajiv Gandhi International Stadium",2011,30,1,14,30,214.285714285714
"Deccan Chargers","Dan Christian","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,26,1,19,26,136.842105263158
"Deccan Chargers","Dan Christian","Rajasthan Royals","Sawai Mansingh Stadium",2012,29,0,19,Inf,152.631578947368
"Deccan Chargers","Dan Christian","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2011,0,1,1,0,0
"Deccan Chargers","Daniel Harris","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,15,1,14,15,107.142857142857
"Deccan Chargers","Daniel Harris","Delhi Capitals","Rajiv Gandhi International Stadium",2012,19,1,17,19,111.764705882353
"Deccan Chargers","Daniel Harris","Punjab Kings","Rajiv Gandhi International Stadium",2012,30,1,29,30,103.448275862069
"Deccan Chargers","Daniel Harris","Royal Challengers Bangalore","M Chinnaswamy Stadium",2012,47,1,41,47,114.634146341463
"Deccan Chargers","Doddapaneni Kalyankrishna","Punjab Kings","Rajiv Gandhi International Stadium",2008,3,1,8,3,37.5
"Deccan Chargers","Dwaraka Ravi Teja","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,0,1,2,0,0
"Deccan Chargers","Dwaraka Ravi Teja","Chennai Super Kings","Rajiv Gandhi International Stadium",2008,40,1,28,40,142.857142857143
"Deccan Chargers","Dwaraka Ravi Teja","Delhi Capitals","Feroz Shah Kotla",2008,9,1,5,9,180
"Deccan Chargers","Dwaraka Ravi Teja","Delhi Capitals","Kingsmead",2009,27,1,34,27,79.4117647058823
"Deccan Chargers","Dwaraka Ravi Teja","Delhi Capitals","Rajiv Gandhi International Stadium",2011,2,1,9,2,22.2222222222222
"Deccan Chargers","Dwaraka Ravi Teja","Kochi Tuskers Kerala","Nehru Stadium",2011,8,0,5,Inf,160
"Deccan Chargers","Dwaraka Ravi Teja","Kolkata Knight Riders","Eden Gardens",2011,14,1,10,14,140
"Deccan Chargers","Dwaraka Ravi Teja","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2008,10,1,7,10,142.857142857143
"Deccan Chargers","Dwaraka Ravi Teja","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2011,30,1,22,30,136.363636363636
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,4,1,2,4,200
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians","Kingsmead",2009,9,1,9,9,100
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians","Rajiv Gandhi International Stadium",2008,37,1,27,37,137.037037037037
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians","Rajiv Gandhi International Stadium",2011,1,1,4,1,25
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians","SuperSport Park",2009,4,0,4,Inf,100
"Deccan Chargers","Dwaraka Ravi Teja","Pune Warriors","Rajiv Gandhi International Stadium",2011,30,1,27,30,111.111111111111
"Deccan Chargers","Dwaraka Ravi Teja","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2011,60,1,41,60,146.341463414634
"Deccan Chargers","Dwaraka Ravi Teja","Punjab Kings","New Wanderers Stadium",2009,10,1,15,10,66.6666666666667
"Deccan Chargers","Dwaraka Ravi Teja","Punjab Kings","Rajiv Gandhi International Stadium",2011,10,0,6,Inf,166.666666666667
"Deccan Chargers","Dwaraka Ravi Teja","Rajasthan Royals","De Beers Diamond Oval",2009,7,0,3,Inf,233.333333333333
"Deccan Chargers","Dwaraka Ravi Teja","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,28,1,20,28,140
"Deccan Chargers","Dwaraka Ravi Teja","Rajasthan Royals","Sawai Mansingh Stadium",2008,6,1,8,6,75
"Deccan Chargers","Dwaraka Ravi Teja","Royal Challengers Bangalore","Newlands",2009,8,0,5,Inf,160
"Deccan Chargers","Dwaraka Ravi Teja","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2008,7,1,7,7,100
"Deccan Chargers","Dwayne Smith","Chennai Super Kings","Buffalo Park",2009,49,1,23,49,213.04347826087
"Deccan Chargers","Dwayne Smith","Chennai Super Kings","Kingsmead",2009,12,1,5,12,240
"Deccan Chargers","Dwayne Smith","Chennai Super Kings","Vidarbha Cricket Association Stadium",2010,13,0,8,Inf,162.5
"Deccan Chargers","Dwayne Smith","Delhi Capitals","Kingsmead",2009,1,1,2,1,50
"Deccan Chargers","Dwayne Smith","Delhi Capitals","SuperSport Park",2009,48,1,28,48,171.428571428571
"Deccan Chargers","Dwayne Smith","Mumbai Indians","Kingsmead",2009,35,1,22,35,159.090909090909
"Deccan Chargers","Dwayne Smith","Mumbai Indians","SuperSport Park",2009,16,1,12,16,133.333333333333
"Deccan Chargers","Dwayne Smith","Rajasthan Royals","De Beers Diamond Oval",2009,47,1,32,47,146.875
"Deccan Chargers","Dwayne Smith","Rajasthan Royals","St George's Park",2009,7,1,8,7,87.5
"Deccan Chargers","Dwayne Smith","Rajasthan Royals","Vidarbha Cricket Association Stadium",2010,4,1,7,4,57.1428571428571
"Deccan Chargers","Dwayne Smith","Royal Challengers Bangalore","Dr DY Patil Sports Academy",2010,5,1,10,5,50
"Deccan Chargers","Fidel Edwards","Mumbai Indians","Kingsmead",2009,1,1,3,1,33.3333333333333
"Deccan Chargers","Fidel Edwards","Royal Challengers Bangalore","Newlands",2009,3,0,2,Inf,150
"Deccan Chargers","Halhadar Das","Mumbai Indians","Rajiv Gandhi International Stadium",2008,2,1,5,2,40
"Deccan Chargers","Harmeet Singh","Chennai Super Kings","Dr DY Patil Sports Academy",2010,0,1,1,0,0
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","Buffalo Park",2009,0,1,2,0,0
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","Dr DY Patil Sports Academy",2010,18,1,26,18,69.2307692307692
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","Kingsmead",2009,69,0,56,Inf,123.214285714286
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","MA Chidambaram Stadium",2008,10,1,10,10,100
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","MA Chidambaram Stadium",2010,45,1,36,45,125
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings","Rajiv Gandhi International Stadium",2008,8,1,10,8,80
"Deccan Chargers","Herschelle Gibbs","Delhi Capitals","Barabati Stadium",2010,31,1,26,31,119.230769230769
"Deccan Chargers","Herschelle Gibbs","Delhi Capitals","Feroz Shah Kotla",2008,22,1,22,22,100
"Deccan Chargers","Herschelle Gibbs","Delhi Capitals","SuperSport Park",2009,0,2,6,0,0
"Deccan Chargers","Herschelle Gibbs","Kolkata Knight Riders","Dr DY Patil Sports Academy",2010,19,1,24,19,79.1666666666667
"Deccan Chargers","Herschelle Gibbs","Kolkata Knight Riders","Eden Gardens",2010,50,1,45,50,111.111111111111
"Deccan Chargers","Herschelle Gibbs","Kolkata Knight Riders","New Wanderers Stadium",2009,28,1,34,28,82.3529411764706
"Deccan Chargers","Herschelle Gibbs","Kolkata Knight Riders","Newlands",2009,43,0,26,Inf,165.384615384615
"Deccan Chargers","Herschelle Gibbs","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2008,5,1,7,5,71.4285714285714
"Deccan Chargers","Herschelle Gibbs","Mumbai Indians","Brabourne Stadium",2010,17,1,15,17,113.333333333333
"Deccan Chargers","Herschelle Gibbs","Mumbai Indians","Dr DY Patil Sports Academy",2010,27,1,16,27,168.75
"Deccan Chargers","Herschelle Gibbs","Mumbai Indians","Kingsmead",2009,58,1,44,58,131.818181818182
"Deccan Chargers","Herschelle Gibbs","Mumbai Indians","SuperSport Park",2009,0,1,5,0,0
"Deccan Chargers","Herschelle Gibbs","Punjab Kings","Barabati Stadium",2010,23,1,23,23,100
"Deccan Chargers","Herschelle Gibbs","Punjab Kings","De Beers Diamond Oval",2009,13,1,13,13,100
"Deccan Chargers","Herschelle Gibbs","Punjab Kings","New Wanderers Stadium",2009,26,1,37,26,70.2702702702703
"Deccan Chargers","Herschelle Gibbs","Punjab Kings","Punjab Cricket Association Stadium",2008,44,1,34,44,129.411764705882
"Deccan Chargers","Herschelle Gibbs","Punjab Kings","Rajiv Gandhi International Stadium",2008,7,1,9,7,77.7777777777778
"Deccan Chargers","Herschelle Gibbs","Rajasthan Royals","Sardar Patel Stadium",2010,25,1,14,25,178.571428571429
"Deccan Chargers","Herschelle Gibbs","Rajasthan Royals","Sawai Mansingh Stadium",2008,19,1,20,19,95
"Deccan Chargers","Herschelle Gibbs","Rajasthan Royals","St George's Park",2009,8,1,10,8,80
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","M Chinnaswamy Stadium",2008,5,1,7,5,71.4285714285714
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","New Wanderers Stadium",2009,53,0,48,Inf,110.416666666667
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","Newlands",2009,13,1,7,13,185.714285714286
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2008,47,1,34,47,138.235294117647
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","SuperSport Park",2009,60,1,43,60,139.53488372093
"Deccan Chargers","Herschelle Gibbs","Royal Challengers Bangalore","Vidarbha Cricket Association Stadium",2010,12,1,10,12,120
"Deccan Chargers","Ishan Malhotra","Delhi Capitals","Rajiv Gandhi International Stadium",2011,7,0,4,Inf,175
"Deccan Chargers","Ishank Jaggi","Kolkata Knight Riders","Barabati Stadium",2012,3,1,7,3,42.8571428571429
"Deccan Chargers","Ishank Jaggi","Kolkata Knight Riders","Eden Gardens",2011,3,1,9,3,33.3333333333333
"Deccan Chargers","Ishank Jaggi","Mumbai Indians","Wankhede Stadium",2012,2,1,7,2,28.5714285714286
"Deccan Chargers","Ishank Jaggi","Pune Warriors","Subrata Roy Sahara Stadium",2012,10,0,7,Inf,142.857142857143
"Deccan Chargers","Ishank Jaggi","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,25,1,28,25,89.2857142857143
"Deccan Chargers","Ishant Sharma","Chennai Super Kings","MA Chidambaram Stadium",2011,1,0,1,Inf,100
"Deccan Chargers","Ishant Sharma","Kolkata Knight Riders","Eden Gardens",2011,1,0,1,Inf,100
"Deccan Chargers","Ishant Sharma","Mumbai Indians","Rajiv Gandhi International Stadium",2011,1,0,2,Inf,50
"Deccan Chargers","Ishant Sharma","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,1,0,1,Inf,100
"Deccan Chargers","Jaskaran Singh","Kolkata Knight Riders","Dr DY Patil Sports Academy",2010,4,0,4,Inf,100
"Deccan Chargers","Jaskaran Singh","Mumbai Indians","Brabourne Stadium",2010,0,0,2,NA,0
"Deccan Chargers","Jaskaran Singh","Mumbai Indians","Dr DY Patil Sports Academy",2010,1,1,2,1,50
"Deccan Chargers","Jaskaran Singh","Punjab Kings","Barabati Stadium",2010,3,0,3,Inf,100
"Deccan Chargers","Jean-Paul Duminy","Chennai Super Kings","MA Chidambaram Stadium",2011,17,1,11,17,154.545454545455
"Deccan Chargers","Jean-Paul Duminy","Delhi Capitals","Feroz Shah Kotla",2012,4,1,5,4,80
"Deccan Chargers","Jean-Paul Duminy","Delhi Capitals","Rajiv Gandhi International Stadium",2011,55,1,31,55,177.41935483871
"Deccan Chargers","Jean-Paul Duminy","Delhi Capitals","Rajiv Gandhi International Stadium",2012,13,0,9,Inf,144.444444444444
"Deccan Chargers","Jean-Paul Duminy","Kolkata Knight Riders","Barabati Stadium",2012,16,0,15,Inf,106.666666666667
"Deccan Chargers","Jean-Paul Duminy","Kolkata Knight Riders","Eden Gardens",2011,6,1,8,6,75
"Deccan Chargers","Jean-Paul Duminy","Mumbai Indians","Wankhede Stadium",2011,8,1,10,8,80
"Deccan Chargers","Jean-Paul Duminy","Mumbai Indians","Wankhede Stadium",2012,25,0,24,Inf,104.166666666667
"Deccan Chargers","Jean-Paul Duminy","Pune Warriors","Barabati Stadium",2012,4,0,3,Inf,133.333333333333
"Deccan Chargers","Jean-Paul Duminy","Pune Warriors","Dr DY Patil Sports Academy",2011,23,1,26,23,88.4615384615385
"Deccan Chargers","Jean-Paul Duminy","Pune Warriors","Rajiv Gandhi International Stadium",2011,30,1,30,30,100
"Deccan Chargers","Jean-Paul Duminy","Pune Warriors","Subrata Roy Sahara Stadium",2012,26,0,24,Inf,108.333333333333
"Deccan Chargers","Jean-Paul Duminy","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2011,12,1,10,12,120
"Deccan Chargers","Jean-Paul Duminy","Punjab Kings","Rajiv Gandhi International Stadium",2011,18,1,16,18,112.5
"Deccan Chargers","Jean-Paul Duminy","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,14,1,17,14,82.3529411764706
"Deccan Chargers","Jean-Paul Duminy","Rajasthan Royals","Rajiv Gandhi International Stadium",2012,24,1,31,24,77.4193548387097
"Deccan Chargers","Jean-Paul Duminy","Rajasthan Royals","Sawai Mansingh Stadium",2012,58,0,26,Inf,223.076923076923
"Deccan Chargers","Jean-Paul Duminy","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2011,22,1,15,22,146.666666666667
"Deccan Chargers","Jean-Paul Duminy","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2012,75,1,54,75,138.888888888889
"Deccan Chargers","Kemar Roach","Mumbai Indians","Dr DY Patil Sports Academy",2010,10,1,9,10,111.111111111111
"Deccan Chargers","Kumar Sangakkara","Chennai Super Kings","MA Chidambaram Stadium",2011,15,1,12,15,125
"Deccan Chargers","Kumar Sangakkara","Chennai Super Kings","MA Chidambaram Stadium",2012,1,1,5,1,20
"Deccan Chargers","Kumar Sangakkara","Delhi Capitals","Feroz Shah Kotla",2011,49,1,35,49,140
"Deccan Chargers","Kumar Sangakkara","Delhi Capitals","Feroz Shah Kotla",2012,1,1,7,1,14.2857142857143
"Deccan Chargers","Kumar Sangakkara","Delhi Capitals","Rajiv Gandhi International Stadium",2011,44,1,36,44,122.222222222222
"Deccan Chargers","Kumar Sangakkara","Delhi Capitals","Rajiv Gandhi International Stadium",2012,4,1,5,4,80
"Deccan Chargers","Kumar Sangakkara","Kochi Tuskers Kerala","Nehru Stadium",2011,65,1,47,65,138.297872340426
"Deccan Chargers","Kumar Sangakkara","Kolkata Knight Riders","Barabati Stadium",2012,12,1,15,12,80
"Deccan Chargers","Kumar Sangakkara","Kolkata Knight Riders","Eden Gardens",2011,16,1,15,16,106.666666666667
"Deccan Chargers","Kumar Sangakkara","Kolkata Knight Riders","Rajiv Gandhi International Stadium",2011,0,1,2,0,0
"Deccan Chargers","Kumar Sangakkara","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,14,1,19,14,73.6842105263158
"Deccan Chargers","Kumar Sangakkara","Mumbai Indians","Rajiv Gandhi International Stadium",2011,34,1,28,34,121.428571428571
"Deccan Chargers","Kumar Sangakkara","Mumbai Indians","Wankhede Stadium",2011,27,1,28,27,96.4285714285714
"Deccan Chargers","Kumar Sangakkara","Pune Warriors","Barabati Stadium",2012,82,1,52,82,157.692307692308
"Deccan Chargers","Kumar Sangakkara","Pune Warriors","Dr DY Patil Sports Academy",2011,25,1,21,25,119.047619047619
"Deccan Chargers","Kumar Sangakkara","Pune Warriors","Rajiv Gandhi International Stadium",2011,12,1,13,12,92.3076923076923
"Deccan Chargers","Kumar Sangakkara","Pune Warriors","Subrata Roy Sahara Stadium",2012,12,1,14,12,85.7142857142857
"Deccan Chargers","Kumar Sangakkara","Punjab Kings","Punjab Cricket Association Stadium",2012,1,1,4,1,25
"Deccan Chargers","Kumar Sangakkara","Punjab Kings","Rajiv Gandhi International Stadium",2011,35,1,28,35,125
"Deccan Chargers","Kumar Sangakkara","Punjab Kings","Rajiv Gandhi International Stadium",2012,4,1,6,4,66.6666666666667
"Deccan Chargers","Kumar Sangakkara","Rajasthan Royals","Rajiv Gandhi International Stadium",2011,0,1,3,0,0
"Deccan Chargers","Kumar Sangakkara","Rajasthan Royals","Sawai Mansingh Stadium",2012,44,1,32,44,137.5
"Deccan Chargers","Kumar Sangakkara","Royal Challengers Bangalore","M Chinnaswamy Stadium",2012,10,0,3,Inf,333.333333333333
"Deccan Chargers","Kumar Sangakkara","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2011,36,1,25,36,144
"Deccan Chargers","Kumar Sangakkara","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",2012,14,1,21,14,66.6666666666667
"Deccan Chargers","Manpreet Gony","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,4,1,8,4,50
"Deccan Chargers","Manpreet Gony","Kochi Tuskers Kerala","Nehru Stadium",2011,0,0,1,NA,0
"Deccan Chargers","Manpreet Gony","Punjab Kings","Rajiv Gandhi International Stadium",2011,0,1,1,0,0
"Deccan Chargers","Michael Lumb","Mumbai Indians","Wankhede Stadium",2011,0,1,2,0,0
"Deccan Chargers","Mitchell Marsh","Delhi Capitals","Feroz Shah Kotla",2010,13,1,19,13,68.4210526315789
"Deccan Chargers","Mitchell Marsh","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,15,1,11,15,136.363636363636
"Deccan Chargers","Mohnish Mishra","Chennai Super Kings","Dr DY Patil Sports Academy",2010,2,1,5,2,40
"Deccan Chargers","Mohnish Mishra","Chennai Super Kings","Vidarbha Cricket Association Stadium",2010,21,1,18,21,116.666666666667
"Deccan Chargers","Mohnish Mishra","Delhi Capitals","Barabati Stadium",2010,1,1,4,1,25
"Deccan Chargers","Mohnish Mishra","Delhi Capitals","Feroz Shah Kotla",2010,25,1,19,25,131.578947368421
"Deccan Chargers","Mohnish Mishra","Kolkata Knight Riders","Eden Gardens",2010,29,1,16,29,181.25
"Deccan Chargers","Mohnish Mishra","Mumbai Indians","Brabourne Stadium",2010,5,1,7,5,71.4285714285714
"Deccan Chargers","Mohnish Mishra","Mumbai Indians","Dr DY Patil Sports Academy",2010,13,1,12,13,108.333333333333
"Deccan Chargers","Mohnish Mishra","Punjab Kings","Himachal Pradesh Cricket Association Stadium",2010,20,1,21,20,95.2380952380952
"Deccan Chargers","Mohnish Mishra","Royal Challengers Bangalore","Dr DY Patil Sports Academy",2010,0,1,1,0,0
"Deccan Chargers","Mohnish Mishra","Royal Challengers Bangalore","M Chinnaswamy Stadium",2010,9,1,11,9,81.8181818181818
"Deccan Chargers","Mohnish Mishra","Royal Challengers Bangalore","Vidarbha Cricket Association Stadium",2010,41,1,30,41,136.666666666667
"Deccan Chargers","Nuwan Zoysa","Mumbai Indians","Rajiv Gandhi International Stadium",2008,10,0,7,Inf,142.857142857143
"Deccan Chargers","Nuwan Zoysa","Punjab Kings","Rajiv Gandhi International Stadium",2008,1,1,2,1,50
"Deccan Chargers","PM Sarvesh Kumar","Delhi Capitals","Feroz Shah Kotla",2008,1,0,2,Inf,50
"Deccan Chargers","Paidikalva Vijaykumar","Delhi Capitals","Feroz Shah Kotla",2008,1,0,1,Inf,100
"Deccan Chargers","Parthiv Patel","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,20,1,17,20,117.647058823529
"Deccan Chargers","Parthiv Patel","Chennai Super Kings","MA Chidambaram Stadium",2012,1,1,5,1,20
"Deccan Chargers","Parthiv Patel","Delhi Capitals","Feroz Shah Kotla",2012,45,1,27,45,166.666666666667
"Deccan Chargers","Parthiv Patel","Kolkata Knight Riders","Barabati Stadium",2012,23,1,19,23,121.052631578947
"Deccan Chargers","Parthiv Patel","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,1,1,5,1,20
"Deccan Chargers","Parthiv Patel","Mumbai Indians","Wankhede Stadium",2012,19,1,18,19,105.555555555556
"Deccan Chargers","Parthiv Patel","Pune Warriors","Barabati Stadium",2012,0,1,1,0,0
