"Batting_Team","Striker","Bowling_Team","Runs","Dismissed","Balls","Season","Stadium","Average","Strike_Rate"
"Kolkata Knight Riders","Brett Lee","Royal Challengers Bangalore",8,0,4,"All","All",Inf,200
"Kolkata Knight Riders","Carlos Brathwaite","Delhi Capitals",6,1,7,"All","All",6,85.7142857142857
"Kolkata Knight Riders","Carlos Brathwaite","Rajasthan Royals",5,1,3,"All","All",5,166.666666666667
"Kolkata Knight Riders","Charl Langeveldt","Delhi Capitals",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Cheteshwar Pujara","Deccan Chargers",27,2,29,"All","All",13.5,93.1034482758621
"Kolkata Knight Riders","Cheteshwar Pujara","Rajasthan Royals",74,1,63,"All","All",74,117.460317460317
"Kolkata Knight Riders","Cheteshwar Pujara","Royal Challengers Bangalore",21,1,23,"All","All",21,91.304347826087
"Kolkata Knight Riders","Chris Gayle","Chennai Super Kings",7,1,4,"All","All",7,175
"Kolkata Knight Riders","Chris Gayle","Deccan Chargers",14,2,19,"All","All",7,73.6842105263158
"Kolkata Knight Riders","Chris Gayle","Delhi Capitals",70,2,42,"All","All",35,166.666666666667
"Kolkata Knight Riders","Chris Gayle","Mumbai Indians",94,3,78,"All","All",31.3333333333333,120.512820512821
"Kolkata Knight Riders","Chris Gayle","Punjab Kings",163,3,97,"All","All",54.3333333333333,168.041237113402
"Kolkata Knight Riders","Chris Gayle","Rajasthan Royals",41,2,35,"All","All",20.5,117.142857142857
"Kolkata Knight Riders","Chris Gayle","Royal Challengers Bangalore",74,2,52,"All","All",37,142.307692307692
"Kolkata Knight Riders","Chris Lynn","Chennai Super Kings",116,4,78,"All","All",29,148.717948717949
"Kolkata Knight Riders","Chris Lynn","Delhi Capitals",56,3,53,"All","All",18.6666666666667,105.660377358491
"Kolkata Knight Riders","Chris Lynn","Gujarat Lions",93,0,41,"All","All",Inf,226.829268292683
"Kolkata Knight Riders","Chris Lynn","Mumbai Indians",205,7,142,"All","All",29.2857142857143,144.366197183099
"Kolkata Knight Riders","Chris Lynn","Punjab Kings",254,6,160,"All","All",42.3333333333333,158.75
"Kolkata Knight Riders","Chris Lynn","Rajasthan Royals",113,5,101,"All","All",22.6,111.881188118812
"Kolkata Knight Riders","Chris Lynn","Royal Challengers Bangalore",221,6,158,"All","All",36.8333333333333,139.873417721519
"Kolkata Knight Riders","Chris Lynn","Sunrisers Hyderabad",216,6,168,"All","All",36,128.571428571429
"Kolkata Knight Riders","Chris Woakes","Delhi Capitals",3,1,5,"All","All",3,60
"Kolkata Knight Riders","Chris Woakes","Mumbai Indians",9,1,8,"All","All",9,112.5
"Kolkata Knight Riders","Chris Woakes","Punjab Kings",8,0,6,"All","All",Inf,133.333333333333
"Kolkata Knight Riders","Chris Woakes","Rising Pune Supergiants",1,1,3,"All","All",1,33.3333333333333
"Kolkata Knight Riders","Chris Woakes","Royal Challengers Bangalore",18,1,21,"All","All",18,85.7142857142857
"Kolkata Knight Riders","Chris Woakes","Sunrisers Hyderabad",7,0,4,"All","All",Inf,175
"Kolkata Knight Riders","Colin Munro","Mumbai Indians",4,1,5,"All","All",4,80
"Kolkata Knight Riders","Colin Munro","Sunrisers Hyderabad",26,2,25,"All","All",13,104
"Kolkata Knight Riders","Colin de Grandhomme","Delhi Capitals",1,1,2,"All","All",1,50
"Kolkata Knight Riders","Colin de Grandhomme","Mumbai Indians",29,2,17,"All","All",14.5,170.588235294118
"Kolkata Knight Riders","Colin de Grandhomme","Punjab Kings",11,0,7,"All","All",Inf,157.142857142857
"Kolkata Knight Riders","Colin de Grandhomme","Rising Pune Supergiants",36,1,19,"All","All",36,189.473684210526
"Kolkata Knight Riders","Colin de Grandhomme","Royal Challengers Bangalore",31,2,30,"All","All",15.5,103.333333333333
"Kolkata Knight Riders","Colin de Grandhomme","Sunrisers Hyderabad",18,2,17,"All","All",9,105.882352941176
"Kolkata Knight Riders","Darren Bravo","Rising Pune Supergiants",6,0,5,"All","All",Inf,120
"Kolkata Knight Riders","David Hussey","Chennai Super Kings",3,4,8,"All","All",0.75,37.5
"Kolkata Knight Riders","David Hussey","Deccan Chargers",169,2,116,"All","All",84.5,145.689655172414
"Kolkata Knight Riders","David Hussey","Delhi Capitals",60,2,63,"All","All",30,95.2380952380952
"Kolkata Knight Riders","David Hussey","Mumbai Indians",39,2,41,"All","All",19.5,95.1219512195122
"Kolkata Knight Riders","David Hussey","Punjab Kings",97,3,67,"All","All",32.3333333333333,144.776119402985
"Kolkata Knight Riders","David Hussey","Rajasthan Royals",62,3,58,"All","All",20.6666666666667,106.896551724138
"Kolkata Knight Riders","David Hussey","Royal Challengers Bangalore",81,3,51,"All","All",27,158.823529411765
"Kolkata Knight Riders","Debabrata Das","Chennai Super Kings",76,2,61,"All","All",38,124.590163934426
"Kolkata Knight Riders","Debabrata Das","Deccan Chargers",9,0,8,"All","All",Inf,112.5
"Kolkata Knight Riders","Debabrata Das","Delhi Capitals",37,2,38,"All","All",18.5,97.3684210526316
"Kolkata Knight Riders","Debabrata Das","Mumbai Indians",64,4,48,"All","All",16,133.333333333333
"Kolkata Knight Riders","Debabrata Das","Pune Warriors",23,0,24,"All","All",Inf,95.8333333333333
"Kolkata Knight Riders","Debabrata Das","Punjab Kings",41,3,35,"All","All",13.6666666666667,117.142857142857
"Kolkata Knight Riders","Debabrata Das","Rajasthan Royals",54,3,47,"All","All",18,114.893617021277
"Kolkata Knight Riders","Dinesh Karthik","Chennai Super Kings",216,7,141,"All","All",30.8571428571429,153.191489361702
"Kolkata Knight Riders","Dinesh Karthik","Delhi Capitals",124,9,108,"All","All",13.7777777777778,114.814814814815
"Kolkata Knight Riders","Dinesh Karthik","Mumbai Indians",101,4,87,"All","All",25.25,116.091954022989
"Kolkata Knight Riders","Dinesh Karthik","Punjab Kings",196,5,109,"All","All",39.2,179.816513761468
"Kolkata Knight Riders","Dinesh Karthik","Rajasthan Royals",272,4,181,"All","All",68,150.276243093923
"Kolkata Knight Riders","Dinesh Karthik","Royal Challengers Bangalore",94,6,87,"All","All",15.6666666666667,108.045977011494
"Kolkata Knight Riders","Dinesh Karthik","Sunrisers Hyderabad",140,5,101,"All","All",28,138.613861386139
"Kolkata Knight Riders","Eoin Morgan","Chennai Super Kings",86,8,92,"All","All",10.75,93.4782608695652
"Kolkata Knight Riders","Eoin Morgan","Deccan Chargers",14,1,15,"All","All",14,93.3333333333333
"Kolkata Knight Riders","Eoin Morgan","Delhi Capitals",85,7,59,"All","All",12.1428571428571,144.067796610169
"Kolkata Knight Riders","Eoin Morgan","Kochi Tuskers Kerala",76,2,63,"All","All",38,120.634920634921
"Kolkata Knight Riders","Eoin Morgan","Mumbai Indians",105,5,99,"All","All",21,106.060606060606
"Kolkata Knight Riders","Eoin Morgan","Pune Warriors",15,1,15,"All","All",15,100
"Kolkata Knight Riders","Eoin Morgan","Punjab Kings",230,6,169,"All","All",38.3333333333333,136.094674556213
"Kolkata Knight Riders","Eoin Morgan","Rajasthan Royals",166,1,107,"All","All",166,155.140186915888
"Kolkata Knight Riders","Eoin Morgan","Royal Challengers Bangalore",82,6,92,"All","All",13.6666666666667,89.1304347826087
"Kolkata Knight Riders","Eoin Morgan","Sunrisers Hyderabad",136,4,87,"All","All",34,156.32183908046
"Kolkata Knight Riders","Gautam Gambhir","Chennai Super Kings",229,11,190,"All","All",20.8181818181818,120.526315789474
"Kolkata Knight Riders","Gautam Gambhir","Deccan Chargers",94,3,68,"All","All",31.3333333333333,138.235294117647
"Kolkata Knight Riders","Gautam Gambhir","Delhi Capitals",413,11,332,"All","All",37.5454545454545,124.397590361446
"Kolkata Knight Riders","Gautam Gambhir","Gujarat Lions",122,3,90,"All","All",40.6666666666667,135.555555555556
"Kolkata Knight Riders","Gautam Gambhir","Kochi Tuskers Kerala",3,2,6,"All","All",1.5,50
"Kolkata Knight Riders","Gautam Gambhir","Mumbai Indians",349,15,301,"All","All",23.2666666666667,115.946843853821
"Kolkata Knight Riders","Gautam Gambhir","Pune Warriors",182,4,155,"All","All",45.5,117.41935483871
"Kolkata Knight Riders","Gautam Gambhir","Punjab Kings",492,11,404,"All","All",44.7272727272727,121.782178217822
"Kolkata Knight Riders","Gautam Gambhir","Rajasthan Royals",255,7,208,"All","All",36.4285714285714,122.596153846154
"Kolkata Knight Riders","Gautam Gambhir","Rising Pune Supergiants",97,4,71,"All","All",24.25,136.619718309859
"Kolkata Knight Riders","Gautam Gambhir","Royal Challengers Bangalore",475,14,347,"All","All",33.9285714285714,136.887608069164
"Kolkata Knight Riders","Gautam Gambhir","Sunrisers Hyderabad",324,10,270,"All","All",32.4,120
"Kolkata Knight Riders","Harbhajan Singh","Mumbai Indians",2,0,2,"All","All",Inf,100
"Kolkata Knight Riders","Harbhajan Singh","Royal Challengers Bangalore",2,0,2,"All","All",Inf,100
"Kolkata Knight Riders","Harry Gurney","Chennai Super Kings",1,0,5,"All","All",Inf,20
"Kolkata Knight Riders","Harshit Rana","Delhi Capitals",0,0,1,"All","All",NA,0
"Kolkata Knight Riders","Harshit Rana","Lucknow Super Giants",2,1,1,"All","All",2,200
"Kolkata Knight Riders","Iqbal Abdulla","Chennai Super Kings",3,0,4,"All","All",Inf,75
"Kolkata Knight Riders","Iqbal Abdulla","Delhi Capitals",2,0,3,"All","All",Inf,66.6666666666667
"Kolkata Knight Riders","Iqbal Abdulla","Kochi Tuskers Kerala",12,0,9,"All","All",Inf,133.333333333333
"Kolkata Knight Riders","Iqbal Abdulla","Mumbai Indians",6,0,11,"All","All",Inf,54.5454545454545
"Kolkata Knight Riders","Iqbal Abdulla","Rajasthan Royals",1,0,2,"All","All",Inf,50
"Kolkata Knight Riders","Iqbal Abdulla","Sunrisers Hyderabad",2,0,3,"All","All",Inf,66.6666666666667
"Kolkata Knight Riders","Ishank Jaggi","Mumbai Indians",28,1,31,"All","All",28,90.3225806451613
"Kolkata Knight Riders","Ishank Jaggi","Sunrisers Hyderabad",5,0,8,"All","All",Inf,62.5
"Kolkata Knight Riders","Ishant Sharma","Chennai Super Kings",10,0,18,"All","All",Inf,55.5555555555556
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers",9,1,9,"All","All",9,100
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians",10,1,8,"All","All",10,125
"Kolkata Knight Riders","Ishant Sharma","Punjab Kings",0,0,1,"All","All",NA,0
"Kolkata Knight Riders","Ishant Sharma","Rajasthan Royals",4,1,3,"All","All",4,133.333333333333
"Kolkata Knight Riders","Ishant Sharma","Royal Challengers Bangalore",0,1,2,"All","All",0,0
"Kolkata Knight Riders","Jacques Kallis","Chennai Super Kings",197,6,180,"All","All",32.8333333333333,109.444444444444
"Kolkata Knight Riders","Jacques Kallis","Deccan Chargers",106,3,100,"All","All",35.3333333333333,106
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals",120,7,117,"All","All",17.1428571428571,102.564102564103
"Kolkata Knight Riders","Jacques Kallis","Kochi Tuskers Kerala",51,2,50,"All","All",25.5,102
"Kolkata Knight Riders","Jacques Kallis","Mumbai Indians",278,7,220,"All","All",39.7142857142857,126.363636363636
"Kolkata Knight Riders","Jacques Kallis","Pune Warriors",17,4,35,"All","All",4.25,48.5714285714286
"Kolkata Knight Riders","Jacques Kallis","Punjab Kings",79,5,82,"All","All",15.8,96.3414634146341
"Kolkata Knight Riders","Jacques Kallis","Rajasthan Royals",162,5,161,"All","All",32.4,100.621118012422
"Kolkata Knight Riders","Jacques Kallis","Royal Challengers Bangalore",220,7,212,"All","All",31.4285714285714,103.77358490566
"Kolkata Knight Riders","Jacques Kallis","Sunrisers Hyderabad",65,2,56,"All","All",32.5,116.071428571429
"Kolkata Knight Riders","Jason Holder","Delhi Capitals",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Jason Holder","Gujarat Lions",13,1,8,"All","All",13,162.5
"Kolkata Knight Riders","Jason Holder","Sunrisers Hyderabad",9,2,10,"All","All",4.5,90
"Kolkata Knight Riders","Javon Searles","Punjab Kings",6,0,1,"All","All",Inf,600
"Kolkata Knight Riders","Javon Searles","Rajasthan Royals",2,1,5,"All","All",2,40
"Kolkata Knight Riders","Joe Denly","Delhi Capitals",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Johan Botha","Delhi Capitals",17,1,5,"All","All",17,340
"Kolkata Knight Riders","Johan Botha","Punjab Kings",2,1,4,"All","All",2,50
"Kolkata Knight Riders","Johan Botha","Sunrisers Hyderabad",12,1,6,"All","All",12,200
"Kolkata Knight Riders","KC Cariappa","Sunrisers Hyderabad",9,0,3,"All","All",Inf,300
"Kolkata Knight Riders","Kamlesh Nagarkoti","Chennai Super Kings",0,2,4,"All","All",0,0
"Kolkata Knight Riders","Kamlesh Nagarkoti","Delhi Capitals",3,0,3,"All","All",Inf,100
"Kolkata Knight Riders","Kamlesh Nagarkoti","Punjab Kings",6,1,13,"All","All",6,46.1538461538462
"Kolkata Knight Riders","Kamlesh Nagarkoti","Rajasthan Royals",9,0,6,"All","All",Inf,150
"Kolkata Knight Riders","Kamlesh Nagarkoti","Royal Challengers Bangalore",4,1,7,"All","All",4,57.1428571428571
"Kolkata Knight Riders","Kuldeep Yadav","Chennai Super Kings",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Kuldeep Yadav","Delhi Capitals",19,0,13,"All","All",Inf,146.153846153846
"Kolkata Knight Riders","Kuldeep Yadav","Mumbai Indians",22,2,32,"All","All",11,68.75
"Kolkata Knight Riders","Kuldeep Yadav","Royal Challengers Bangalore",16,2,26,"All","All",8,61.5384615384615
"Kolkata Knight Riders","Kuldeep Yadav","Sunrisers Hyderabad",0,0,3,"All","All",NA,0
"Kolkata Knight Riders","Lakshmipathy Balaji","Chennai Super Kings",9,0,7,"All","All",Inf,128.571428571429
"Kolkata Knight Riders","Lakshmipathy Balaji","Delhi Capitals",3,0,1,"All","All",Inf,300
"Kolkata Knight Riders","Lakshmipathy Balaji","Kochi Tuskers Kerala",1,0,1,"All","All",Inf,100
"Kolkata Knight Riders","Lakshmipathy Balaji","Mumbai Indians",0,1,3,"All","All",0,0
"Kolkata Knight Riders","Laxmi Shukla","Chennai Super Kings",118,7,95,"All","All",16.8571428571429,124.210526315789
"Kolkata Knight Riders","Laxmi Shukla","Deccan Chargers",26,1,15,"All","All",26,173.333333333333
"Kolkata Knight Riders","Laxmi Shukla","Delhi Capitals",60,2,36,"All","All",30,166.666666666667
"Kolkata Knight Riders","Laxmi Shukla","Mumbai Indians",52,3,43,"All","All",17.3333333333333,120.93023255814
"Kolkata Knight Riders","Laxmi Shukla","Pune Warriors",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Laxmi Shukla","Punjab Kings",12,2,14,"All","All",6,85.7142857142857
"Kolkata Knight Riders","Laxmi Shukla","Rajasthan Royals",88,5,88,"All","All",17.6,100
"Kolkata Knight Riders","Laxmi Shukla","Royal Challengers Bangalore",18,3,20,"All","All",6,90
"Kolkata Knight Riders","Lockie Ferguson","Chennai Super Kings",18,0,11,"All","All",Inf,163.636363636364
"Kolkata Knight Riders","Lockie Ferguson","Punjab Kings",24,0,13,"All","All",Inf,184.615384615385
"Kolkata Knight Riders","Lockie Ferguson","Royal Challengers Bangalore",19,0,16,"All","All",Inf,118.75
"Kolkata Knight Riders","Mandeep Singh","Delhi Capitals",0,1,4,"All","All",0,0
"Kolkata Knight Riders","Mandeep Singh","Punjab Kings",4,1,7,"All","All",4,57.1428571428571
"Kolkata Knight Riders","Manish Pandey","Chennai Super Kings",37,3,60,"All","All",12.3333333333333,61.6666666666667
"Kolkata Knight Riders","Manish Pandey","Delhi Capitals",182,4,143,"All","All",45.5,127.272727272727
"Kolkata Knight Riders","Manish Pandey","Gujarat Lions",25,3,26,"All","All",8.33333333333333,96.1538461538462
"Kolkata Knight Riders","Manish Pandey","Mumbai Indians",285,6,208,"All","All",47.5,137.019230769231
"Kolkata Knight Riders","Manish Pandey","Punjab Kings",248,7,186,"All","All",35.4285714285714,133.333333333333
"Kolkata Knight Riders","Manish Pandey","Rajasthan Royals",40,3,32,"All","All",13.3333333333333,125
"Kolkata Knight Riders","Manish Pandey","Rising Pune Supergiants",52,1,42,"All","All",52,123.809523809524
"Kolkata Knight Riders","Manish Pandey","Royal Challengers Bangalore",118,6,96,"All","All",19.6666666666667,122.916666666667
"Kolkata Knight Riders","Manish Pandey","Sunrisers Hyderabad",283,7,222,"All","All",40.4285714285714,127.477477477477
"Kolkata Knight Riders","Manoj Tiwary","Chennai Super Kings",124,6,109,"All","All",20.6666666666667,113.761467889908
"Kolkata Knight Riders","Manoj Tiwary","Deccan Chargers",98,3,85,"All","All",32.6666666666667,115.294117647059
"Kolkata Knight Riders","Manoj Tiwary","Delhi Capitals",118,4,98,"All","All",29.5,120.408163265306
"Kolkata Knight Riders","Manoj Tiwary","Kochi Tuskers Kerala",47,2,58,"All","All",23.5,81.0344827586207
"Kolkata Knight Riders","Manoj Tiwary","Mumbai Indians",140,5,121,"All","All",28,115.702479338843
"Kolkata Knight Riders","Manoj Tiwary","Pune Warriors",53,2,49,"All","All",26.5,108.163265306122
"Kolkata Knight Riders","Manoj Tiwary","Punjab Kings",165,3,154,"All","All",55,107.142857142857
"Kolkata Knight Riders","Manoj Tiwary","Rajasthan Royals",138,4,119,"All","All",34.5,115.966386554622
"Kolkata Knight Riders","Manoj Tiwary","Royal Challengers Bangalore",119,5,104,"All","All",23.8,114.423076923077
"Kolkata Knight Riders","Manvinder Bisla","Chennai Super Kings",208,3,138,"All","All",69.3333333333333,150.724637681159
"Kolkata Knight Riders","Manvinder Bisla","Deccan Chargers",29,2,34,"All","All",14.5,85.2941176470588
"Kolkata Knight Riders","Manvinder Bisla","Delhi Capitals",8,2,16,"All","All",4,50
"Kolkata Knight Riders","Manvinder Bisla","Kochi Tuskers Kerala",16,1,14,"All","All",16,114.285714285714
"Kolkata Knight Riders","Manvinder Bisla","Mumbai Indians",18,2,21,"All","All",9,85.7142857142857
"Kolkata Knight Riders","Manvinder Bisla","Pune Warriors",13,2,17,"All","All",6.5,76.4705882352941
"Kolkata Knight Riders","Manvinder Bisla","Punjab Kings",89,3,84,"All","All",29.6666666666667,105.952380952381
"Kolkata Knight Riders","Manvinder Bisla","Rajasthan Royals",72,6,92,"All","All",12,78.2608695652174
"Kolkata Knight Riders","Manvinder Bisla","Royal Challengers Bangalore",47,3,36,"All","All",15.6666666666667,130.555555555556
"Kolkata Knight Riders","Manvinder Bisla","Sunrisers Hyderabad",43,2,42,"All","All",21.5,102.380952380952
"Kolkata Knight Riders","Mark Boucher","Kochi Tuskers Kerala",5,1,4,"All","All",5,125
"Kolkata Knight Riders","Mark Boucher","Royal Challengers Bangalore",1,0,2,"All","All",Inf,50
"Kolkata Knight Riders","Mashrafe Mortaza","Deccan Chargers",2,0,2,"All","All",Inf,100
"Kolkata Knight Riders","Mitchell Johnson","Delhi Capitals",12,0,6,"All","All",Inf,200
"Kolkata Knight Riders","Mitchell Johnson","Sunrisers Hyderabad",4,0,5,"All","All",Inf,80
"Kolkata Knight Riders","Mohammad Hafeez","Chennai Super Kings",22,2,30,"All","All",11,73.3333333333333
"Kolkata Knight Riders","Mohammad Hafeez","Deccan Chargers",13,1,13,"All","All",13,100
"Kolkata Knight Riders","Mohammad Hafeez","Mumbai Indians",7,2,17,"All","All",3.5,41.1764705882353
"Kolkata Knight Riders","Mohammad Hafeez","Punjab Kings",13,1,12,"All","All",13,108.333333333333
"Kolkata Knight Riders","Mohammad Hafeez","Rajasthan Royals",4,1,8,"All","All",4,50
"Kolkata Knight Riders","Mohammad Hafeez","Royal Challengers Bangalore",5,0,3,"All","All",Inf,166.666666666667
"Kolkata Knight Riders","Mohammed Shami","Rajasthan Royals",5,1,10,"All","All",5,50
"Kolkata Knight Riders","Moises Henriques","Deccan Chargers",6,1,8,"All","All",6,75
"Kolkata Knight Riders","Moises Henriques","Delhi Capitals",32,1,32,"All","All",32,100
"Kolkata Knight Riders","Morne Morkel","Gujarat Lions",1,0,1,"All","All",Inf,100
"Kolkata Knight Riders","Morne Morkel","Punjab Kings",4,0,3,"All","All",Inf,133.333333333333
"Kolkata Knight Riders","Morne Morkel","Rajasthan Royals",4,0,3,"All","All",Inf,133.333333333333
"Kolkata Knight Riders","Morne van Wyk","Delhi Capitals",74,2,50,"All","All",37,148
"Kolkata Knight Riders","Morne van Wyk","Mumbai Indians",32,1,35,"All","All",32,91.4285714285714
"Kolkata Knight Riders","Morne van Wyk","Punjab Kings",18,0,12,"All","All",Inf,150
"Kolkata Knight Riders","Morne van Wyk","Royal Challengers Bangalore",43,0,35,"All","All",Inf,122.857142857143
"Kolkata Knight Riders","Murali Kartik","Chennai Super Kings",24,2,23,"All","All",12,104.347826086957
"Kolkata Knight Riders","Murali Kartik","Deccan Chargers",10,0,10,"All","All",Inf,100
"Kolkata Knight Riders","Murali Kartik","Delhi Capitals",12,1,12,"All","All",12,100
"Kolkata Knight Riders","Murali Kartik","Mumbai Indians",10,1,11,"All","All",10,90.9090909090909
"Kolkata Knight Riders","Murali Kartik","Royal Challengers Bangalore",17,1,13,"All","All",17,130.769230769231
"Kolkata Knight Riders","Nathan Coulter-Nile","Mumbai Indians",6,1,4,"All","All",6,150
"Kolkata Knight Riders","Nathan Coulter-Nile","Rising Pune Supergiants",6,1,5,"All","All",6,120
"Kolkata Knight Riders","Nathan Coulter-Nile","Royal Challengers Bangalore",2,1,3,"All","All",2,66.6666666666667
"Kolkata Knight Riders","Nikhil Naik","Delhi Capitals",7,1,16,"All","All",7,43.75
"Kolkata Knight Riders","Nikhil Naik","Mumbai Indians",1,1,3,"All","All",1,33.3333333333333
"Kolkata Knight Riders","Nitish Rana","Chennai Super Kings",200,8,163,"All","All",25,122.699386503067
"Kolkata Knight Riders","Nitish Rana","Delhi Capitals",369,10,249,"All","All",36.9,148.192771084337
"Kolkata Knight Riders","Nitish Rana","Gujarat Titans",2,1,7,"All","All",2,28.5714285714286
"Kolkata Knight Riders","Nitish Rana","Lucknow Super Giants",44,2,33,"All","All",22,133.333333333333
"Kolkata Knight Riders","Nitish Rana","Mumbai Indians",220,8,165,"All","All",27.5,133.333333333333
"Kolkata Knight Riders","Nitish Rana","Punjab Kings",110,8,69,"All","All",13.75,159.420289855072
"Kolkata Knight Riders","Nitish Rana","Rajasthan Royals",202,8,171,"All","All",25.25,118.12865497076
"Kolkata Knight Riders","Nitish Rana","Royal Challengers Bangalore",231,7,160,"All","All",33,144.375
"Kolkata Knight Riders","Nitish Rana","Sunrisers Hyderabad",366,11,269,"All","All",33.2727272727273,136.059479553903
"Kolkata Knight Riders","Owais Shah","Chennai Super Kings",5,1,4,"All","All",5,125
"Kolkata Knight Riders","Owais Shah","Deccan Chargers",58,0,46,"All","All",Inf,126.086956521739
"Kolkata Knight Riders","Owais Shah","Mumbai Indians",31,1,23,"All","All",31,134.782608695652
"Kolkata Knight Riders","Owais Shah","Rajasthan Royals",19,0,17,"All","All",Inf,111.764705882353
"Kolkata Knight Riders","Owais Shah","Royal Challengers Bangalore",2,0,5,"All","All",Inf,40
"Kolkata Knight Riders","Paras Dogra","Sunrisers Hyderabad",5,1,8,"All","All",5,62.5
"Kolkata Knight Riders","Pat Cummins","Chennai Super Kings",83,1,45,"All","All",83,184.444444444444
"Kolkata Knight Riders","Pat Cummins","Delhi Capitals",20,2,20,"All","All",10,100
"Kolkata Knight Riders","Pat Cummins","Mumbai Indians",142,3,66,"All","All",47.3333333333333,215.151515151515
"Kolkata Knight Riders","Pat Cummins","Punjab Kings",6,1,12,"All","All",6,50
"Kolkata Knight Riders","Pat Cummins","Rajasthan Royals",37,4,28,"All","All",9.25,132.142857142857
"Kolkata Knight Riders","Pat Cummins","Royal Challengers Bangalore",11,3,22,"All","All",3.66666666666667,50
"Kolkata Knight Riders","Pat Cummins","Sunrisers Hyderabad",3,1,3,"All","All",3,100
"Kolkata Knight Riders","Piyush Chawla","Chennai Super Kings",13,3,22,"All","All",4.33333333333333,59.0909090909091
"Kolkata Knight Riders","Piyush Chawla","Delhi Capitals",58,5,42,"All","All",11.6,138.095238095238
"Kolkata Knight Riders","Piyush Chawla","Gujarat Lions",11,1,16,"All","All",11,68.75
"Kolkata Knight Riders","Piyush Chawla","Mumbai Indians",14,2,26,"All","All",7,53.8461538461538
"Kolkata Knight Riders","Piyush Chawla","Punjab Kings",54,2,30,"All","All",27,180
"Kolkata Knight Riders","Piyush Chawla","Rajasthan Royals",0,2,2,"All","All",0,0
"Kolkata Knight Riders","Piyush Chawla","Rising Pune Supergiants",8,1,5,"All","All",8,160
"Kolkata Knight Riders","Piyush Chawla","Sunrisers Hyderabad",25,2,26,"All","All",12.5,96.1538461538462
"Kolkata Knight Riders","Pradeep Sangwan","Royal Challengers Bangalore",4,0,2,"All","All",Inf,200
"Kolkata Knight Riders","Prasidh Krishna","Chennai Super Kings",0,2,3,"All","All",0,0
"Kolkata Knight Riders","Prasidh Krishna","Mumbai Indians",1,0,5,"All","All",Inf,20
"Kolkata Knight Riders","Prasidh Krishna","Punjab Kings",0,0,1,"All","All",NA,0
"Kolkata Knight Riders","Prasidh Krishna","Royal Challengers Bangalore",2,0,3,"All","All",Inf,66.6666666666667
"Kolkata Knight Riders","Prithvi Raj","Sunrisers Hyderabad",0,0,1,"All","All",NA,0
"Kolkata Knight Riders","Rahul Tripathi","Chennai Super Kings",139,4,98,"All","All",34.75,141.836734693878
"Kolkata Knight Riders","Rahul Tripathi","Delhi Capitals",89,4,61,"All","All",22.25,145.901639344262
"Kolkata Knight Riders","Rahul Tripathi","Mumbai Indians",86,2,56,"All","All",43,153.571428571429
"Kolkata Knight Riders","Rahul Tripathi","Punjab Kings",86,4,72,"All","All",21.5,119.444444444444
"Kolkata Knight Riders","Rahul Tripathi","Rajasthan Royals",96,3,74,"All","All",32,129.72972972973
"Kolkata Knight Riders","Rahul Tripathi","Royal Challengers Bangalore",48,4,52,"All","All",12,92.3076923076923
"Kolkata Knight Riders","Rahul Tripathi","Sunrisers Hyderabad",83,3,51,"All","All",27.6666666666667,162.745098039216
"Kolkata Knight Riders","Rajagopal Sathish","Delhi Capitals",6,1,7,"All","All",6,85.7142857142857
"Kolkata Knight Riders","Rajagopal Sathish","Rising Pune Supergiants",10,1,8,"All","All",10,125
"Kolkata Knight Riders","Rajagopal Sathish","Sunrisers Hyderabad",8,1,9,"All","All",8,88.8888888888889
"Kolkata Knight Riders","Rajat Bhatia","Chennai Super Kings",2,1,12,"All","All",2,16.6666666666667
"Kolkata Knight Riders","Rajat Bhatia","Delhi Capitals",33,1,35,"All","All",33,94.2857142857143
"Kolkata Knight Riders","Rajat Bhatia","Kochi Tuskers Kerala",11,1,9,"All","All",11,122.222222222222
"Kolkata Knight Riders","Rajat Bhatia","Mumbai Indians",30,4,22,"All","All",7.5,136.363636363636
"Kolkata Knight Riders","Rajat Bhatia","Pune Warriors",24,1,17,"All","All",24,141.176470588235
"Kolkata Knight Riders","Rajat Bhatia","Punjab Kings",19,1,8,"All","All",19,237.5
"Kolkata Knight Riders","Rajat Bhatia","Rajasthan Royals",20,2,15,"All","All",10,133.333333333333
"Kolkata Knight Riders","Rajat Bhatia","Royal Challengers Bangalore",20,1,12,"All","All",20,166.666666666667
"Kolkata Knight Riders","Rasikh Salam","Delhi Capitals",7,1,6,"All","All",7,116.666666666667
"Kolkata Knight Riders","Ricky Ponting","Chennai Super Kings",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Ricky Ponting","Deccan Chargers",0,1,1,"All","All",0,0
"Kolkata Knight Riders","Ricky Ponting","Mumbai Indians",19,1,31,"All","All",19,61.2903225806452
"Kolkata Knight Riders","Ricky Ponting","Royal Challengers Bangalore",20,1,20,"All","All",20,100
