"Batting_Team","Striker","Bowling_Team","Runs","Dismissed","Balls","Season","Stadium","Average","Strike_Rate"
"Deccan Chargers","Dale Steyn","Kolkata Knight Riders",20,2,15,"All","All",10,133.333333333333
"Deccan Chargers","Dale Steyn","Mumbai Indians",9,3,16,"All","All",3,56.25
"Deccan Chargers","Dale Steyn","Pune Warriors",11,1,6,"All","All",11,183.333333333333
"Deccan Chargers","Dale Steyn","Punjab Kings",1,0,2,"All","All",Inf,50
"Deccan Chargers","Dale Steyn","Rajasthan Royals",7,1,6,"All","All",7,116.666666666667
"Deccan Chargers","Dan Christian","Chennai Super Kings",30,2,28,"All","All",15,107.142857142857
"Deccan Chargers","Dan Christian","Delhi Capitals",54,2,54,"All","All",27,100
"Deccan Chargers","Dan Christian","Kochi Tuskers Kerala",9,1,11,"All","All",9,81.8181818181818
"Deccan Chargers","Dan Christian","Kolkata Knight Riders",26,2,16,"All","All",13,162.5
"Deccan Chargers","Dan Christian","Mumbai Indians",83,4,82,"All","All",20.75,101.219512195122
"Deccan Chargers","Dan Christian","Pune Warriors",24,1,23,"All","All",24,104.347826086957
"Deccan Chargers","Dan Christian","Punjab Kings",54,2,24,"All","All",27,225
"Deccan Chargers","Dan Christian","Rajasthan Royals",55,1,38,"All","All",55,144.736842105263
"Deccan Chargers","Dan Christian","Royal Challengers Bangalore",0,1,1,"All","All",0,0
"Deccan Chargers","Daniel Harris","Chennai Super Kings",15,1,14,"All","All",15,107.142857142857
"Deccan Chargers","Daniel Harris","Delhi Capitals",19,1,17,"All","All",19,111.764705882353
"Deccan Chargers","Daniel Harris","Punjab Kings",30,1,29,"All","All",30,103.448275862069
"Deccan Chargers","Daniel Harris","Royal Challengers Bangalore",47,1,41,"All","All",47,114.634146341463
"Deccan Chargers","Doddapaneni Kalyankrishna","Punjab Kings",3,1,8,"All","All",3,37.5
"Deccan Chargers","Dwaraka Ravi Teja","Chennai Super Kings",40,2,30,"All","All",20,133.333333333333
"Deccan Chargers","Dwaraka Ravi Teja","Delhi Capitals",38,3,48,"All","All",12.6666666666667,79.1666666666667
"Deccan Chargers","Dwaraka Ravi Teja","Kochi Tuskers Kerala",8,0,5,"All","All",Inf,160
"Deccan Chargers","Dwaraka Ravi Teja","Kolkata Knight Riders",54,3,39,"All","All",18,138.461538461538
"Deccan Chargers","Dwaraka Ravi Teja","Mumbai Indians",55,4,46,"All","All",13.75,119.565217391304
"Deccan Chargers","Dwaraka Ravi Teja","Pune Warriors",30,1,27,"All","All",30,111.111111111111
"Deccan Chargers","Dwaraka Ravi Teja","Punjab Kings",80,2,62,"All","All",40,129.032258064516
"Deccan Chargers","Dwaraka Ravi Teja","Rajasthan Royals",41,2,31,"All","All",20.5,132.258064516129
"Deccan Chargers","Dwaraka Ravi Teja","Royal Challengers Bangalore",15,1,12,"All","All",15,125
"Deccan Chargers","Dwayne Smith","Chennai Super Kings",74,2,36,"All","All",37,205.555555555556
"Deccan Chargers","Dwayne Smith","Delhi Capitals",49,2,30,"All","All",24.5,163.333333333333
"Deccan Chargers","Dwayne Smith","Mumbai Indians",51,2,34,"All","All",25.5,150
"Deccan Chargers","Dwayne Smith","Rajasthan Royals",58,3,47,"All","All",19.3333333333333,123.404255319149
"Deccan Chargers","Dwayne Smith","Royal Challengers Bangalore",5,1,10,"All","All",5,50
"Deccan Chargers","Fidel Edwards","Mumbai Indians",1,1,3,"All","All",1,33.3333333333333
"Deccan Chargers","Fidel Edwards","Royal Challengers Bangalore",3,0,2,"All","All",Inf,150
"Deccan Chargers","Halhadar Das","Mumbai Indians",2,1,5,"All","All",2,40
"Deccan Chargers","Harmeet Singh","Chennai Super Kings",0,1,1,"All","All",0,0
"Deccan Chargers","Herschelle Gibbs","Chennai Super Kings",150,5,140,"All","All",30,107.142857142857
