"Batting_Team","Striker","Season","Bowling_Team","Runs","Dismissed","Balls","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Ravichandran Ashwin",2013,"Kolkata Knight Riders",11,1,13,"All",11,84.6153846153846
"Chennai Super Kings","Ravichandran Ashwin",2013,"Mumbai Indians",13,3,31,"All",4.33333333333333,41.9354838709677
"Chennai Super Kings","Ravichandran Ashwin",2013,"Pune Warriors",11,0,5,"All",Inf,220
"Chennai Super Kings","Ravichandran Ashwin",2014,"Delhi Capitals",1,1,1,"All",1,100
"Chennai Super Kings","Ravichandran Ashwin",2014,"Punjab Kings",21,1,15,"All",21,140
"Chennai Super Kings","Ravichandran Ashwin",2014,"Rajasthan Royals",23,1,29,"All",23,79.3103448275862
"Chennai Super Kings","Ravichandran Ashwin",2015,"Delhi Capitals",12,0,8,"All",Inf,150
"Chennai Super Kings","Ravichandran Ashwin",2015,"Kolkata Knight Riders",9,0,4,"All",Inf,225
"Chennai Super Kings","Ravichandran Ashwin",2015,"Mumbai Indians",25,2,16,"All",12.5,156.25
"Chennai Super Kings","Ravichandran Ashwin",2015,"Royal Challengers Bangalore",6,1,4,"All",6,150
"Chennai Super Kings","Ravindra Jadeja",2012,"Deccan Chargers",52,2,38,"All",26,136.842105263158
"Chennai Super Kings","Ravindra Jadeja",2012,"Delhi Capitals",13,1,17,"All",13,76.4705882352941
"Chennai Super Kings","Ravindra Jadeja",2012,"Kolkata Knight Riders",12,1,15,"All",12,80
"Chennai Super Kings","Ravindra Jadeja",2012,"Mumbai Indians",13,3,13,"All",4.33333333333333,100
"Chennai Super Kings","Ravindra Jadeja",2012,"Pune Warriors",51,2,29,"All",25.5,175.862068965517
"Chennai Super Kings","Ravindra Jadeja",2012,"Punjab Kings",30,2,25,"All",15,120
"Chennai Super Kings","Ravindra Jadeja",2012,"Rajasthan Royals",16,1,13,"All",16,123.076923076923
"Chennai Super Kings","Ravindra Jadeja",2012,"Royal Challengers Bangalore",4,0,1,"All",Inf,400
"Chennai Super Kings","Ravindra Jadeja",2013,"Delhi Capitals",24,1,17,"All",24,141.176470588235
"Chennai Super Kings","Ravindra Jadeja",2013,"Kolkata Knight Riders",37,0,15,"All",Inf,246.666666666667
"Chennai Super Kings","Ravindra Jadeja",2013,"Mumbai Indians",36,3,29,"All",12,124.137931034483
"Chennai Super Kings","Ravindra Jadeja",2013,"Pune Warriors",27,1,22,"All",27,122.727272727273
"Chennai Super Kings","Ravindra Jadeja",2013,"Punjab Kings",5,0,2,"All",Inf,250
"Chennai Super Kings","Ravindra Jadeja",2013,"Rajasthan Royals",12,1,16,"All",12,75
"Chennai Super Kings","Ravindra Jadeja",2013,"Royal Challengers Bangalore",45,1,24,"All",45,187.5
"Chennai Super Kings","Ravindra Jadeja",2013,"Sunrisers Hyderabad",15,1,10,"All",15,150
"Chennai Super Kings","Ravindra Jadeja",2014,"Delhi Capitals",7,1,3,"All",7,233.333333333333
"Chennai Super Kings","Ravindra Jadeja",2014,"Kolkata Knight Riders",26,0,14,"All",Inf,185.714285714286
"Chennai Super Kings","Ravindra Jadeja",2014,"Mumbai Indians",6,1,7,"All",6,85.7142857142857
"Chennai Super Kings","Ravindra Jadeja",2014,"Punjab Kings",44,2,29,"All",22,151.724137931034
"Chennai Super Kings","Ravindra Jadeja",2014,"Rajasthan Royals",47,0,39,"All",Inf,120.512820512821
"Chennai Super Kings","Ravindra Jadeja",2014,"Royal Challengers Bangalore",10,0,9,"All",Inf,111.111111111111
"Chennai Super Kings","Ravindra Jadeja",2014,"Sunrisers Hyderabad",6,1,9,"All",6,66.6666666666667
"Chennai Super Kings","Ravindra Jadeja",2015,"Delhi Capitals",20,1,22,"All",20,90.9090909090909
"Chennai Super Kings","Ravindra Jadeja",2015,"Kolkata Knight Riders",39,2,50,"All",19.5,78
"Chennai Super Kings","Ravindra Jadeja",2015,"Mumbai Indians",30,1,18,"All",30,166.666666666667
"Chennai Super Kings","Ravindra Jadeja",2015,"Punjab Kings",18,0,11,"All",Inf,163.636363636364
"Chennai Super Kings","Ravindra Jadeja",2015,"Royal Challengers Bangalore",11,2,12,"All",5.5,91.6666666666667
"Chennai Super Kings","Ravindra Jadeja",2015,"Sunrisers Hyderabad",14,1,13,"All",14,107.692307692308
"Chennai Super Kings","Ravindra Jadeja",2018,"Delhi Capitals",27,0,18,"All",Inf,150
"Chennai Super Kings","Ravindra Jadeja",2018,"Kolkata Knight Riders",23,1,19,"All",23,121.052631578947
"Chennai Super Kings","Ravindra Jadeja",2018,"Mumbai Indians",12,1,13,"All",12,92.3076923076923
"Chennai Super Kings","Ravindra Jadeja",2018,"Punjab Kings",19,1,13,"All",19,146.153846153846
"Chennai Super Kings","Ravindra Jadeja",2018,"Rajasthan Royals",2,0,1,"All",Inf,200
"Chennai Super Kings","Ravindra Jadeja",2018,"Royal Challengers Bangalore",3,1,5,"All",3,60
"Chennai Super Kings","Ravindra Jadeja",2018,"Sunrisers Hyderabad",3,1,5,"All",3,60
"Chennai Super Kings","Ravindra Jadeja",2019,"Delhi Capitals",25,1,10,"All",25,250
"Chennai Super Kings","Ravindra Jadeja",2019,"Kolkata Knight Riders",31,0,17,"All",Inf,182.352941176471
"Chennai Super Kings","Ravindra Jadeja",2019,"Mumbai Indians",6,1,7,"All",6,85.7142857142857
"Chennai Super Kings","Ravindra Jadeja",2019,"Rajasthan Royals",17,0,7,"All",Inf,242.857142857143
"Chennai Super Kings","Ravindra Jadeja",2019,"Royal Challengers Bangalore",17,1,27,"All",17,62.962962962963
"Chennai Super Kings","Ravindra Jadeja",2019,"Sunrisers Hyderabad",10,0,20,"All",Inf,50
"Chennai Super Kings","Ravindra Jadeja",2020,"Delhi Capitals",45,1,22,"All",45,204.545454545455
"Chennai Super Kings","Ravindra Jadeja",2020,"Kolkata Knight Riders",52,0,19,"All",Inf,273.684210526316
"Chennai Super Kings","Ravindra Jadeja",2020,"Mumbai Indians",17,2,11,"All",8.5,154.545454545455
"Chennai Super Kings","Ravindra Jadeja",2020,"Rajasthan Royals",36,0,32,"All",Inf,112.5
"Chennai Super Kings","Ravindra Jadeja",2020,"Royal Challengers Bangalore",7,1,6,"All",7,116.666666666667
"Chennai Super Kings","Ravindra Jadeja",2020,"Sunrisers Hyderabad",75,1,45,"All",75,166.666666666667
"Chennai Super Kings","Ravindra Jadeja",2021,"Delhi Capitals",27,0,19,"All",Inf,142.105263157895
"Chennai Super Kings","Ravindra Jadeja",2021,"Kolkata Knight Riders",28,1,9,"All",28,311.111111111111
"Chennai Super Kings","Ravindra Jadeja",2021,"Mumbai Indians",48,1,55,"All",48,87.2727272727273
"Chennai Super Kings","Ravindra Jadeja",2021,"Punjab Kings",15,0,17,"All",Inf,88.2352941176471
"Chennai Super Kings","Ravindra Jadeja",2021,"Rajasthan Royals",40,1,22,"All",40,181.818181818182
"Chennai Super Kings","Ravindra Jadeja",2021,"Royal Challengers Bangalore",62,0,28,"All",Inf,221.428571428571
"Chennai Super Kings","Ravindra Jadeja",2021,"Sunrisers Hyderabad",7,0,6,"All",Inf,116.666666666667
"Chennai Super Kings","Ravindra Jadeja",2022,"Gujarat Titans",22,0,12,"All",Inf,183.333333333333
"Chennai Super Kings","Ravindra Jadeja",2022,"Kolkata Knight Riders",26,0,28,"All",Inf,92.8571428571429
"Chennai Super Kings","Ravindra Jadeja",2022,"Lucknow Super Giants",17,1,9,"All",17,188.888888888889
"Chennai Super Kings","Ravindra Jadeja",2022,"Mumbai Indians",3,1,8,"All",3,37.5
"Chennai Super Kings","Ravindra Jadeja",2022,"Punjab Kings",21,1,19,"All",21,110.526315789474
"Chennai Super Kings","Ravindra Jadeja",2022,"Royal Challengers Bangalore",3,2,6,"All",1.5,50
"Chennai Super Kings","Ravindra Jadeja",2022,"Sunrisers Hyderabad",24,1,16,"All",24,150
"Chennai Super Kings","Robin Uthappa",2021,"Delhi Capitals",82,2,63,"All",41,130.15873015873
"Chennai Super Kings","Robin Uthappa",2021,"Kolkata Knight Riders",31,1,15,"All",31,206.666666666667
"Chennai Super Kings","Robin Uthappa",2021,"Punjab Kings",2,1,6,"All",2,33.3333333333333
"Chennai Super Kings","Robin Uthappa",2022,"Delhi Capitals",0,1,1,"All",0,0
"Chennai Super Kings","Robin Uthappa",2022,"Gujarat Titans",3,1,10,"All",3,30
"Chennai Super Kings","Robin Uthappa",2022,"Kolkata Knight Riders",28,1,21,"All",28,133.333333333333
"Chennai Super Kings","Robin Uthappa",2022,"Lucknow Super Giants",50,1,27,"All",50,185.185185185185
"Chennai Super Kings","Robin Uthappa",2022,"Mumbai Indians",31,2,31,"All",15.5,100
"Chennai Super Kings","Robin Uthappa",2022,"Punjab Kings",14,2,17,"All",7,82.3529411764706
"Chennai Super Kings","Robin Uthappa",2022,"Royal Challengers Bangalore",89,2,53,"All",44.5,167.924528301887
"Chennai Super Kings","Robin Uthappa",2022,"Sunrisers Hyderabad",15,1,11,"All",15,136.363636363636
"Chennai Super Kings","Ronit More",2015,"Kolkata Knight Riders",2,0,2,"All",Inf,100
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Delhi Capitals",5,1,10,"All",5,50
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Kolkata Knight Riders",72,1,53,"All",72,135.849056603774
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Mumbai Indians",0,1,5,"All",0,0
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Punjab Kings",62,0,49,"All",Inf,126.530612244898
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Rajasthan Royals",0,1,1,"All",0,0
"Chennai Super Kings","Ruturaj Gaikwad",2020,"Royal Challengers Bangalore",65,0,51,"All",Inf,127.450980392157
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Delhi Capitals",88,3,71,"All",29.3333333333333,123.943661971831
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Kolkata Knight Riders",136,3,97,"All",45.3333333333333,140.20618556701
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Mumbai Indians",92,1,62,"All",92,148.387096774194
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Punjab Kings",17,2,30,"All",8.5,56.6666666666667
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Rajasthan Royals",111,1,73,"All",111,152.054794520548
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Royal Challengers Bangalore",71,2,51,"All",35.5,139.21568627451
"Chennai Super Kings","Ruturaj Gaikwad",2021,"Sunrisers Hyderabad",120,2,82,"All",60,146.341463414634
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Delhi Capitals",41,1,33,"All",41,124.242424242424
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Gujarat Titans",126,2,97,"All",63,129.896907216495
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Kolkata Knight Riders",0,1,4,"All",0,0
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Lucknow Super Giants",1,1,4,"All",1,25
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Mumbai Indians",7,2,7,"All",3.5,100
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Punjab Kings",31,2,31,"All",15.5,100
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Rajasthan Royals",2,1,6,"All",2,33.3333333333333
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Royal Challengers Bangalore",45,2,39,"All",22.5,115.384615384615
"Chennai Super Kings","Ruturaj Gaikwad",2022,"Sunrisers Hyderabad",115,2,70,"All",57.5,164.285714285714
"Chennai Super Kings","S Badrinath",2008,"Deccan Chargers",0,1,4,"All",0,0
"Chennai Super Kings","S Badrinath",2008,"Delhi Capitals",19,0,10,"All",Inf,190
"Chennai Super Kings","S Badrinath",2008,"Mumbai Indians",55,1,34,"All",55,161.764705882353
"Chennai Super Kings","S Badrinath",2008,"Punjab Kings",95,1,61,"All",95,155.737704918033
"Chennai Super Kings","S Badrinath",2008,"Rajasthan Royals",22,2,18,"All",11,122.222222222222
"Chennai Super Kings","S Badrinath",2008,"Royal Challengers Bangalore",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","S Badrinath",2009,"Deccan Chargers",8,1,9,"All",8,88.8888888888889
"Chennai Super Kings","S Badrinath",2009,"Delhi Capitals",52,2,42,"All",26,123.809523809524
"Chennai Super Kings","S Badrinath",2009,"Mumbai Indians",22,2,25,"All",11,88
"Chennai Super Kings","S Badrinath",2009,"Punjab Kings",4,2,10,"All",2,40
"Chennai Super Kings","S Badrinath",2009,"Rajasthan Royals",88,1,68,"All",88,129.411764705882
"Chennai Super Kings","S Badrinath",2009,"Royal Challengers Bangalore",3,1,10,"All",3,30
"Chennai Super Kings","S Badrinath",2010,"Deccan Chargers",48,3,59,"All",16,81.3559322033898
"Chennai Super Kings","S Badrinath",2010,"Delhi Capitals",44,2,44,"All",22,100
"Chennai Super Kings","S Badrinath",2010,"Kolkata Knight Riders",43,0,33,"All",Inf,130.30303030303
"Chennai Super Kings","S Badrinath",2010,"Mumbai Indians",99,1,78,"All",99,126.923076923077
"Chennai Super Kings","S Badrinath",2010,"Punjab Kings",55,2,38,"All",27.5,144.736842105263
"Chennai Super Kings","S Badrinath",2010,"Rajasthan Royals",29,1,28,"All",29,103.571428571429
"Chennai Super Kings","S Badrinath",2010,"Royal Challengers Bangalore",38,2,23,"All",19,165.217391304348
"Chennai Super Kings","S Badrinath",2011,"Deccan Chargers",5,0,2,"All",Inf,250
"Chennai Super Kings","S Badrinath",2011,"Delhi Capitals",55,1,43,"All",55,127.906976744186
"Chennai Super Kings","S Badrinath",2011,"Kochi Tuskers Kerala",32,2,27,"All",16,118.518518518519
"Chennai Super Kings","S Badrinath",2011,"Kolkata Knight Riders",54,1,41,"All",54,131.707317073171
"Chennai Super Kings","S Badrinath",2011,"Mumbai Indians",71,0,48,"All",Inf,147.916666666667
"Chennai Super Kings","S Badrinath",2011,"Pune Warriors",74,0,51,"All",Inf,145.098039215686
"Chennai Super Kings","S Badrinath",2011,"Punjab Kings",66,0,56,"All",Inf,117.857142857143
"Chennai Super Kings","S Badrinath",2011,"Royal Challengers Bangalore",39,3,45,"All",13,86.6666666666667
"Chennai Super Kings","S Badrinath",2012,"Deccan Chargers",26,1,21,"All",26,123.809523809524
"Chennai Super Kings","S Badrinath",2012,"Delhi Capitals",15,1,16,"All",15,93.75
"Chennai Super Kings","S Badrinath",2012,"Mumbai Indians",58,2,56,"All",29,103.571428571429
"Chennai Super Kings","S Badrinath",2012,"Pune Warriors",57,1,48,"All",57,118.75
"Chennai Super Kings","S Badrinath",2012,"Punjab Kings",25,1,18,"All",25,138.888888888889
"Chennai Super Kings","S Badrinath",2012,"Rajasthan Royals",15,1,22,"All",15,68.1818181818182
"Chennai Super Kings","S Badrinath",2013,"Kolkata Knight Riders",6,1,13,"All",6,46.1538461538462
"Chennai Super Kings","S Badrinath",2013,"Mumbai Indians",16,3,22,"All",5.33333333333333,72.7272727272727
"Chennai Super Kings","S Badrinath",2013,"Pune Warriors",68,2,57,"All",34,119.298245614035
"Chennai Super Kings","S Badrinath",2013,"Royal Challengers Bangalore",34,1,29,"All",34,117.241379310345
"Chennai Super Kings","Sam Billings",2018,"Delhi Capitals",1,1,5,"All",1,20
"Chennai Super Kings","Sam Billings",2018,"Kolkata Knight Riders",56,1,23,"All",56,243.478260869565
"Chennai Super Kings","Sam Billings",2018,"Mumbai Indians",3,1,5,"All",3,60
"Chennai Super Kings","Sam Billings",2018,"Punjab Kings",9,2,9,"All",4.5,100
"Chennai Super Kings","Sam Billings",2018,"Rajasthan Royals",30,2,29,"All",15,103.448275862069
"Chennai Super Kings","Sam Billings",2018,"Royal Challengers Bangalore",9,1,7,"All",9,128.571428571429
"Chennai Super Kings","Sam Billings",2019,"Sunrisers Hyderabad",0,1,4,"All",0,0
"Chennai Super Kings","Sam Curran",2020,"Delhi Capitals",1,1,5,"All",1,20
"Chennai Super Kings","Sam Curran",2020,"Kolkata Knight Riders",30,1,25,"All",30,120
"Chennai Super Kings","Sam Curran",2020,"Mumbai Indians",70,2,53,"All",35,132.075471698113
"Chennai Super Kings","Sam Curran",2020,"Rajasthan Royals",39,2,31,"All",19.5,125.806451612903
"Chennai Super Kings","Sam Curran",2020,"Royal Challengers Bangalore",0,1,1,"All",0,0
"Chennai Super Kings","Sam Curran",2020,"Sunrisers Hyderabad",46,1,26,"All",46,176.923076923077
"Chennai Super Kings","Sam Curran",2021,"Delhi Capitals",34,1,15,"All",34,226.666666666667
"Chennai Super Kings","Sam Curran",2021,"Kolkata Knight Riders",4,1,4,"All",4,100
"Chennai Super Kings","Sam Curran",2021,"Punjab Kings",5,0,4,"All",Inf,125
"Chennai Super Kings","Sam Curran",2021,"Rajasthan Royals",13,1,6,"All",13,216.666666666667
"Chennai Super Kings","Scott Styris",2011,"Kolkata Knight Riders",5,0,2,"All",Inf,250
"Chennai Super Kings","Shadab Jakati",2009,"Delhi Capitals",13,1,8,"All",13,162.5
"Chennai Super Kings","Shadab Jakati",2009,"Royal Challengers Bangalore",7,0,7,"All",Inf,100
"Chennai Super Kings","Shadab Jakati",2012,"Delhi Capitals",1,0,2,"All",Inf,50
"Chennai Super Kings","Shadab Jakati",2012,"Mumbai Indians",6,0,10,"All",Inf,60
"Chennai Super Kings","Shane Watson",2018,"Delhi Capitals",92,2,63,"All",46,146.031746031746
"Chennai Super Kings","Shane Watson",2018,"Kolkata Knight Riders",78,2,44,"All",39,177.272727272727
"Chennai Super Kings","Shane Watson",2018,"Mumbai Indians",28,2,25,"All",14,112
"Chennai Super Kings","Shane Watson",2018,"Punjab Kings",11,1,9,"All",11,122.222222222222
"Chennai Super Kings","Shane Watson",2018,"Rajasthan Royals",145,2,88,"All",72.5,164.772727272727
"Chennai Super Kings","Shane Watson",2018,"Royal Challengers Bangalore",18,2,18,"All",9,100
"Chennai Super Kings","Shane Watson",2018,"Sunrisers Hyderabad",183,3,112,"All",61,163.392857142857
"Chennai Super Kings","Shane Watson",2019,"Delhi Capitals",94,3,67,"All",31.3333333333333,140.298507462687
"Chennai Super Kings","Shane Watson",2019,"Kolkata Knight Riders",23,2,16,"All",11.5,143.75
"Chennai Super Kings","Shane Watson",2019,"Mumbai Indians",103,4,82,"All",25.75,125.609756097561
"Chennai Super Kings","Shane Watson",2019,"Punjab Kings",33,2,35,"All",16.5,94.2857142857143
"Chennai Super Kings","Shane Watson",2019,"Rajasthan Royals",13,2,17,"All",6.5,76.4705882352941
"Chennai Super Kings","Shane Watson",2019,"Royal Challengers Bangalore",5,2,13,"All",2.5,38.4615384615385
"Chennai Super Kings","Shane Watson",2019,"Sunrisers Hyderabad",127,2,82,"All",63.5,154.878048780488
"Chennai Super Kings","Shane Watson",2020,"Delhi Capitals",50,2,44,"All",25,113.636363636364
"Chennai Super Kings","Shane Watson",2020,"Kolkata Knight Riders",64,2,59,"All",32,108.474576271186
"Chennai Super Kings","Shane Watson",2020,"Mumbai Indians",4,1,5,"All",4,80
"Chennai Super Kings","Shane Watson",2020,"Punjab Kings",83,0,53,"All",Inf,156.603773584906
"Chennai Super Kings","Shane Watson",2020,"Rajasthan Royals",41,2,24,"All",20.5,170.833333333333
"Chennai Super Kings","Shane Watson",2020,"Royal Challengers Bangalore",14,1,18,"All",14,77.7777777777778
"Chennai Super Kings","Shane Watson",2020,"Sunrisers Hyderabad",43,2,44,"All",21.5,97.7272727272727
"Chennai Super Kings","Shardul Thakur",2018,"Sunrisers Hyderabad",15,0,5,"All",Inf,300
"Chennai Super Kings","Shardul Thakur",2019,"Mumbai Indians",14,1,7,"All",14,200
"Chennai Super Kings","Shardul Thakur",2020,"Mumbai Indians",11,1,20,"All",11,55
"Chennai Super Kings","Shardul Thakur",2020,"Royal Challengers Bangalore",1,0,1,"All",Inf,100
"Chennai Super Kings","Shardul Thakur",2021,"Delhi Capitals",0,1,1,"All",0,0
"Chennai Super Kings","Shardul Thakur",2021,"Kolkata Knight Riders",3,0,2,"All",Inf,150
"Chennai Super Kings","Shardul Thakur",2021,"Mumbai Indians",1,0,1,"All",Inf,100
"Chennai Super Kings","Shardul Thakur",2021,"Rajasthan Royals",1,1,1,"All",1,100
"Chennai Super Kings","Shivam Dube",2022,"Delhi Capitals",32,1,19,"All",32,168.421052631579
"Chennai Super Kings","Shivam Dube",2022,"Gujarat Titans",19,2,19,"All",9.5,100
"Chennai Super Kings","Shivam Dube",2022,"Kolkata Knight Riders",3,1,6,"All",3,50
"Chennai Super Kings","Shivam Dube",2022,"Lucknow Super Giants",49,1,30,"All",49,163.333333333333
"Chennai Super Kings","Shivam Dube",2022,"Mumbai Indians",23,2,23,"All",11.5,100
"Chennai Super Kings","Shivam Dube",2022,"Punjab Kings",65,2,37,"All",32.5,175.675675675676
"Chennai Super Kings","Shivam Dube",2022,"Royal Challengers Bangalore",95,0,46,"All",Inf,206.521739130435
"Chennai Super Kings","Shivam Dube",2022,"Sunrisers Hyderabad",3,1,5,"All",3,60
"Chennai Super Kings","Simarjeet Singh",2022,"Mumbai Indians",2,1,3,"All",2,66.6666666666667
"Chennai Super Kings","Simarjeet Singh",2022,"Rajasthan Royals",3,0,3,"All",Inf,100
"Chennai Super Kings","Simarjeet Singh",2022,"Royal Challengers Bangalore",2,0,2,"All",Inf,100
"Chennai Super Kings","Srikkanth Anirudha",2008,"Deccan Chargers",1,1,7,"All",1,14.2857142857143
"Chennai Super Kings","Srikkanth Anirudha",2010,"Deccan Chargers",24,1,15,"All",24,160
"Chennai Super Kings","Srikkanth Anirudha",2010,"Mumbai Indians",6,0,3,"All",Inf,200
"Chennai Super Kings","Srikkanth Anirudha",2011,"Deccan Chargers",3,0,2,"All",Inf,150
"Chennai Super Kings","Srikkanth Anirudha",2011,"Kolkata Knight Riders",64,1,55,"All",64,116.363636363636
"Chennai Super Kings","Srikkanth Anirudha",2011,"Mumbai Indians",9,1,9,"All",9,100
"Chennai Super Kings","Srikkanth Anirudha",2011,"Pune Warriors",7,1,7,"All",7,100
"Chennai Super Kings","Srikkanth Anirudha",2011,"Punjab Kings",0,1,1,"All",0,0
"Chennai Super Kings","Srikkanth Anirudha",2012,"Punjab Kings",1,0,1,"All",Inf,100
"Chennai Super Kings","Srikkanth Anirudha",2012,"Rajasthan Royals",18,0,6,"All",Inf,300
"Chennai Super Kings","Srikkanth Anirudha",2013,"Pune Warriors",0,1,2,"All",0,0
"Chennai Super Kings","Stephen Fleming",2008,"Deccan Chargers",28,2,25,"All",14,112
"Chennai Super Kings","Stephen Fleming",2008,"Delhi Capitals",57,2,41,"All",28.5,139.024390243902
"Chennai Super Kings","Stephen Fleming",2008,"Kolkata Knight Riders",32,0,20,"All",Inf,160
"Chennai Super Kings","Stephen Fleming",2008,"Mumbai Indians",26,1,29,"All",26,89.6551724137931
"Chennai Super Kings","Stephen Fleming",2008,"Punjab Kings",1,1,4,"All",1,25
"Chennai Super Kings","Stephen Fleming",2008,"Rajasthan Royals",7,2,6,"All",3.5,116.666666666667
"Chennai Super Kings","Stephen Fleming",2008,"Royal Challengers Bangalore",45,1,39,"All",45,115.384615384615
"Chennai Super Kings","Sudeep Tyagi",2010,"Deccan Chargers",3,0,4,"All",Inf,75
"Chennai Super Kings","Suraj Randiv",2011,"Mumbai Indians",2,1,4,"All",2,50
"Chennai Super Kings","Suresh Raina",2008,"Deccan Chargers",86,1,64,"All",86,134.375
"Chennai Super Kings","Suresh Raina",2008,"Delhi Capitals",4,2,6,"All",2,66.6666666666667
"Chennai Super Kings","Suresh Raina",2008,"Mumbai Indians",54,2,43,"All",27,125.581395348837
"Chennai Super Kings","Suresh Raina",2008,"Punjab Kings",113,2,64,"All",56.5,176.5625
"Chennai Super Kings","Suresh Raina",2008,"Rajasthan Royals",115,3,81,"All",38.3333333333333,141.975308641975
"Chennai Super Kings","Suresh Raina",2008,"Royal Challengers Bangalore",49,1,38,"All",49,128.947368421053
"Chennai Super Kings","Suresh Raina",2009,"Deccan Chargers",57,2,38,"All",28.5,150
"Chennai Super Kings","Suresh Raina",2009,"Delhi Capitals",73,2,48,"All",36.5,152.083333333333
"Chennai Super Kings","Suresh Raina",2009,"Kolkata Knight Riders",52,1,36,"All",52,144.444444444444
"Chennai Super Kings","Suresh Raina",2009,"Mumbai Indians",28,2,21,"All",14,133.333333333333
"Chennai Super Kings","Suresh Raina",2009,"Punjab Kings",52,2,41,"All",26,126.829268292683
"Chennai Super Kings","Suresh Raina",2009,"Rajasthan Royals",111,2,66,"All",55.5,168.181818181818
"Chennai Super Kings","Suresh Raina",2009,"Royal Challengers Bangalore",61,3,58,"All",20.3333333333333,105.172413793103
"Chennai Super Kings","Suresh Raina",2010,"Deccan Chargers",60,3,49,"All",20,122.448979591837
"Chennai Super Kings","Suresh Raina",2010,"Delhi Capitals",64,1,53,"All",64,120.754716981132
"Chennai Super Kings","Suresh Raina",2010,"Kolkata Knight Riders",96,1,59,"All",96,162.71186440678
"Chennai Super Kings","Suresh Raina",2010,"Mumbai Indians",163,1,105,"All",163,155.238095238095
"Chennai Super Kings","Suresh Raina",2010,"Punjab Kings",61,2,38,"All",30.5,160.526315789474
"Chennai Super Kings","Suresh Raina",2010,"Rajasthan Royals",27,2,19,"All",13.5,142.105263157895
"Chennai Super Kings","Suresh Raina",2010,"Royal Challengers Bangalore",49,1,41,"All",49,119.512195121951
"Chennai Super Kings","Suresh Raina",2011,"Deccan Chargers",59,1,35,"All",59,168.571428571429
"Chennai Super Kings","Suresh Raina",2011,"Delhi Capitals",14,1,10,"All",14,140
"Chennai Super Kings","Suresh Raina",2011,"Kochi Tuskers Kerala",69,2,53,"All",34.5,130.188679245283
"Chennai Super Kings","Suresh Raina",2011,"Kolkata Knight Riders",37,2,38,"All",18.5,97.3684210526316
"Chennai Super Kings","Suresh Raina",2011,"Mumbai Indians",5,1,4,"All",5,125
"Chennai Super Kings","Suresh Raina",2011,"Pune Warriors",36,1,29,"All",36,124.137931034483
"Chennai Super Kings","Suresh Raina",2011,"Punjab Kings",0,1,1,"All",0,0
"Chennai Super Kings","Suresh Raina",2011,"Rajasthan Royals",104,2,78,"All",52,133.333333333333
"Chennai Super Kings","Suresh Raina",2011,"Royal Challengers Bangalore",114,3,77,"All",38,148.051948051948
"Chennai Super Kings","Suresh Raina",2012,"Deccan Chargers",48,2,36,"All",24,133.333333333333
"Chennai Super Kings","Suresh Raina",2012,"Delhi Capitals",72,2,53,"All",36,135.849056603774
"Chennai Super Kings","Suresh Raina",2012,"Kolkata Knight Riders",125,3,82,"All",41.6666666666667,152.439024390244
"Chennai Super Kings","Suresh Raina",2012,"Mumbai Indians",72,3,48,"All",24,150
"Chennai Super Kings","Suresh Raina",2012,"Pune Warriors",20,2,21,"All",10,95.2380952380952
"Chennai Super Kings","Suresh Raina",2012,"Punjab Kings",32,2,30,"All",16,106.666666666667
"Chennai Super Kings","Suresh Raina",2012,"Rajasthan Royals",49,2,41,"All",24.5,119.512195121951
"Chennai Super Kings","Suresh Raina",2012,"Royal Challengers Bangalore",23,1,14,"All",23,164.285714285714
"Chennai Super Kings","Suresh Raina",2013,"Delhi Capitals",37,2,43,"All",18.5,86.046511627907
"Chennai Super Kings","Suresh Raina",2013,"Kolkata Knight Riders",51,2,33,"All",25.5,154.545454545455
"Chennai Super Kings","Suresh Raina",2013,"Mumbai Indians",92,3,51,"All",30.6666666666667,180.392156862745
"Chennai Super Kings","Suresh Raina",2013,"Pune Warriors",71,1,60,"All",71,118.333333333333
"Chennai Super Kings","Suresh Raina",2013,"Punjab Kings",100,0,53,"All",Inf,188.679245283019
"Chennai Super Kings","Suresh Raina",2013,"Rajasthan Royals",52,2,37,"All",26,140.540540540541
"Chennai Super Kings","Suresh Raina",2013,"Royal Challengers Bangalore",30,2,23,"All",15,130.434782608696
