"Batting_Team","Striker","Season","Bowling_Team","Runs","Dismissed","Balls","Stadium","Average","Strike_Rate"
"Chennai Super Kings","Michael Hussey",2015,"Mumbai Indians",20,2,20,"All",10,100
"Chennai Super Kings","Michael Hussey",2015,"Punjab Kings",1,1,4,"All",1,25
"Chennai Super Kings","Michael Hussey",2015,"Royal Challengers Bangalore",56,1,46,"All",56,121.739130434783
"Chennai Super Kings","Mitchell Santner",2019,"Mumbai Indians",22,1,20,"All",22,110
"Chennai Super Kings","Mitchell Santner",2019,"Rajasthan Royals",10,0,3,"All",Inf,333.333333333333
"Chennai Super Kings","Mitchell Santner",2022,"Gujarat Titans",1,0,1,"All",Inf,100
"Chennai Super Kings","Mitchell Santner",2022,"Mumbai Indians",11,1,9,"All",11,122.222222222222
"Chennai Super Kings","Mitchell Santner",2022,"Punjab Kings",9,1,15,"All",9,60
"Chennai Super Kings","Mitchell Santner",2022,"Rajasthan Royals",1,0,2,"All",Inf,50
"Chennai Super Kings","Mithun Manhas",2014,"Delhi Capitals",13,0,5,"All",Inf,260
"Chennai Super Kings","Mithun Manhas",2014,"Mumbai Indians",1,1,1,"All",1,100
"Chennai Super Kings","Mithun Manhas",2014,"Punjab Kings",8,0,3,"All",Inf,266.666666666667
"Chennai Super Kings","Mithun Manhas",2014,"Rajasthan Royals",10,1,10,"All",10,100
"Chennai Super Kings","Mithun Manhas",2014,"Sunrisers Hyderabad",3,0,4,"All",Inf,75
"Chennai Super Kings","Moeen Ali",2021,"Delhi Capitals",57,3,44,"All",19,129.545454545455
"Chennai Super Kings","Moeen Ali",2021,"Kolkata Knight Riders",94,2,60,"All",47,156.666666666667
"Chennai Super Kings","Moeen Ali",2021,"Mumbai Indians",58,2,39,"All",29,148.717948717949
"Chennai Super Kings","Moeen Ali",2021,"Punjab Kings",46,2,37,"All",23,124.324324324324
"Chennai Super Kings","Moeen Ali",2021,"Rajasthan Royals",47,2,37,"All",23.5,127.027027027027
"Chennai Super Kings","Moeen Ali",2021,"Royal Challengers Bangalore",23,1,18,"All",23,127.777777777778
"Chennai Super Kings","Moeen Ali",2021,"Sunrisers Hyderabad",32,2,25,"All",16,128
"Chennai Super Kings","Moeen Ali",2022,"Delhi Capitals",9,1,4,"All",9,225
"Chennai Super Kings","Moeen Ali",2022,"Gujarat Titans",22,2,20,"All",11,110
"Chennai Super Kings","Moeen Ali",2022,"Lucknow Super Giants",35,1,22,"All",35,159.090909090909
"Chennai Super Kings","Moeen Ali",2022,"Mumbai Indians",0,1,2,"All",0,0
"Chennai Super Kings","Moeen Ali",2022,"Punjab Kings",0,1,2,"All",0,0
"Chennai Super Kings","Moeen Ali",2022,"Rajasthan Royals",93,1,57,"All",93,163.157894736842
"Chennai Super Kings","Moeen Ali",2022,"Royal Challengers Bangalore",37,2,35,"All",18.5,105.714285714286
"Chennai Super Kings","Moeen Ali",2022,"Sunrisers Hyderabad",48,1,35,"All",48,137.142857142857
"Chennai Super Kings","Mohit Sharma",2013,"Mumbai Indians",0,1,5,"All",0,0
"Chennai Super Kings","Mohit Sharma",2014,"Punjab Kings",1,0,3,"All",Inf,33.3333333333333
"Chennai Super Kings","Mohit Sharma",2015,"Delhi Capitals",2,0,1,"All",Inf,200
"Chennai Super Kings","Mohit Sharma",2015,"Kolkata Knight Riders",0,1,1,"All",0,0
"Chennai Super Kings","Mohit Sharma",2015,"Mumbai Indians",24,0,10,"All",Inf,240
"Chennai Super Kings","Mohit Sharma",2015,"Royal Challengers Bangalore",2,1,6,"All",2,33.3333333333333
"Chennai Super Kings","Mohit Sharma",2019,"Mumbai Indians",0,0,2,"All",NA,0
"Chennai Super Kings","Mukesh Choudhary",2022,"Mumbai Indians",4,1,4,"All",4,100
"Chennai Super Kings","Mukesh Choudhary",2022,"Punjab Kings",2,0,2,"All",Inf,100
"Chennai Super Kings","Murali Vijay",2009,"Deccan Chargers",31,1,33,"All",31,93.9393939393939
"Chennai Super Kings","Murali Vijay",2009,"Delhi Capitals",14,1,13,"All",14,107.692307692308
"Chennai Super Kings","Murali Vijay",2009,"Rajasthan Royals",10,1,12,"All",10,83.3333333333333
"Chennai Super Kings","Murali Vijay",2009,"Royal Challengers Bangalore",5,1,9,"All",5,55.5555555555556
"Chennai Super Kings","Murali Vijay",2010,"Deccan Chargers",41,3,29,"All",13.6666666666667,141.379310344828
"Chennai Super Kings","Murali Vijay",2010,"Delhi Capitals",31,1,17,"All",31,182.352941176471
"Chennai Super Kings","Murali Vijay",2010,"Kolkata Knight Riders",83,1,66,"All",83,125.757575757576
"Chennai Super Kings","Murali Vijay",2010,"Mumbai Indians",40,2,36,"All",20,111.111111111111
"Chennai Super Kings","Murali Vijay",2010,"Punjab Kings",13,2,14,"All",6.5,92.8571428571429
"Chennai Super Kings","Murali Vijay",2010,"Rajasthan Royals",169,2,84,"All",84.5,201.190476190476
"Chennai Super Kings","Murali Vijay",2010,"Royal Challengers Bangalore",81,2,46,"All",40.5,176.086956521739
"Chennai Super Kings","Murali Vijay",2011,"Deccan Chargers",3,1,14,"All",3,21.4285714285714
"Chennai Super Kings","Murali Vijay",2011,"Delhi Capitals",35,1,33,"All",35,106.060606060606
"Chennai Super Kings","Murali Vijay",2011,"Kochi Tuskers Kerala",44,2,29,"All",22,151.724137931034
"Chennai Super Kings","Murali Vijay",2011,"Kolkata Knight Riders",9,2,18,"All",4.5,50
"Chennai Super Kings","Murali Vijay",2011,"Mumbai Indians",12,1,9,"All",12,133.333333333333
"Chennai Super Kings","Murali Vijay",2011,"Pune Warriors",62,2,60,"All",31,103.333333333333
