"Striker","Season","Bowler","Batting_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Bowling_Team","Average","Strike_Rate"
"AB de Villiers",2017,"Axar Patel","Royal Challengers Bangalore",3,0,5,0,"All","All",Inf,60
"AB de Villiers",2017,"Basil Thampi","Royal Challengers Bangalore",0,0,1,0,"All","All",NA,0
"AB de Villiers",2017,"Ben Stokes","Royal Challengers Bangalore",4,0,9,0,"All","All",Inf,44.4444444444444
"AB de Villiers",2017,"Chris Woakes","Royal Challengers Bangalore",6,0,4,0,"All","All",Inf,150
"AB de Villiers",2017,"Dan Christian","Royal Challengers Bangalore",2,0,6,0,"All","All",Inf,33.3333333333333
"AB de Villiers",2017,"Deepak Chahar","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2017,"Hardik Pandya","Royal Challengers Bangalore",5,0,6,0,"All","All",Inf,83.3333333333333
"AB de Villiers",2017,"Imran Tahir","Royal Challengers Bangalore",12,1,7,0,"All","All",12,171.428571428571
"AB de Villiers",2017,"Jasprit Bumrah","Royal Challengers Bangalore",8,0,3,0,"All","All",Inf,266.666666666667
"AB de Villiers",2017,"Jaydev Unadkat","Royal Challengers Bangalore",7,0,9,0,"All","All",Inf,77.7777777777778
"AB de Villiers",2017,"Karn Sharma","Royal Challengers Bangalore",5,0,7,0,"All","All",Inf,71.4285714285714
"AB de Villiers",2017,"Krunal Pandya","Royal Challengers Bangalore",26,2,22,0,"All","All",13,118.181818181818
"AB de Villiers",2017,"Lasith Malinga","Royal Challengers Bangalore",5,0,4,0,"All","All",Inf,125
"AB de Villiers",2017,"Lockie Ferguson","Royal Challengers Bangalore",1,1,3,0,"All","All",1,33.3333333333333
"AB de Villiers",2017,"Marcus Stoinis","Royal Challengers Bangalore",20,0,11,0,"All","All",Inf,181.818181818182
"AB de Villiers",2017,"Mitchell McClenaghan","Royal Challengers Bangalore",13,0,6,0,"All","All",Inf,216.666666666667
"AB de Villiers",2017,"Mohit Sharma","Royal Challengers Bangalore",27,0,10,0,"All","All",Inf,270
"AB de Villiers",2017,"Nathan Coulter-Nile","Royal Challengers Bangalore",4,1,2,0,"All","All",4,200
"AB de Villiers",2017,"Ravindra Jadeja","Royal Challengers Bangalore",2,0,4,0,"All","All",Inf,50
"AB de Villiers",2017,"Sandeep Sharma","Royal Challengers Bangalore",33,1,15,0,"All","All",33,220
"AB de Villiers",2017,"Shardul Thakur","Royal Challengers Bangalore",5,0,3,0,"All","All",Inf,166.666666666667
"AB de Villiers",2017,"Sunil Narine","Royal Challengers Bangalore",4,1,3,0,"All","All",4,133.333333333333
"AB de Villiers",2017,"T Natarajan","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2017,"Umesh Yadav","Royal Challengers Bangalore",4,0,5,0,"All","All",Inf,80
"AB de Villiers",2017,"Varun Aaron","Royal Challengers Bangalore",15,0,10,0,"All","All",Inf,150
"AB de Villiers",2018,"Amit Mishra","Royal Challengers Bangalore",19,0,11,0,"All","All",Inf,172.727272727273
"AB de Villiers",2018,"Andre Russell","Royal Challengers Bangalore",3,0,4,0,"All","All",Inf,75
"AB de Villiers",2018,"Andrew Tye","Royal Challengers Bangalore",5,1,8,0,"All","All",5,62.5
"AB de Villiers",2018,"Axar Patel","Royal Challengers Bangalore",5,0,9,0,"All","All",Inf,55.5555555555556
"AB de Villiers",2018,"Basil Thampi","Royal Challengers Bangalore",16,0,5,0,"All","All",Inf,320
"AB de Villiers",2018,"Ben Laughlin","Royal Challengers Bangalore",13,0,7,0,"All","All",Inf,185.714285714286
"AB de Villiers",2018,"Chris Morris","Royal Challengers Bangalore",14,0,7,0,"All","All",Inf,200
"AB de Villiers",2018,"Dwayne Bravo","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2018,"Harbhajan Singh","Royal Challengers Bangalore",16,1,6,0,"All","All",16,266.666666666667
"AB de Villiers",2018,"Harshal Patel","Royal Challengers Bangalore",48,0,21,0,"All","All",Inf,228.571428571429
"AB de Villiers",2018,"Imran Tahir","Royal Challengers Bangalore",22,1,10,0,"All","All",22,220
"AB de Villiers",2018,"Ish Sodhi","Royal Challengers Bangalore",22,0,12,0,"All","All",Inf,183.333333333333
"AB de Villiers",2018,"Jaydev Unadkat","Royal Challengers Bangalore",8,0,6,0,"All","All",Inf,133.333333333333
"AB de Villiers",2018,"Jofra Archer","Royal Challengers Bangalore",14,0,6,0,"All","All",Inf,233.333333333333
"AB de Villiers",2018,"Junior Dala","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2018,"Krishnappa Gowtham","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
"AB de Villiers",2018,"Kuldeep Yadav","Royal Challengers Bangalore",14,0,4,0,"All","All",Inf,350
"AB de Villiers",2018,"Mitchell Johnson","Royal Challengers Bangalore",10,0,6,0,"All","All",Inf,166.666666666667
"AB de Villiers",2018,"Mitchell McClenaghan","Royal Challengers Bangalore",1,1,2,0,"All","All",1,50
"AB de Villiers",2018,"Mohit Sharma","Royal Challengers Bangalore",29,0,12,0,"All","All",Inf,241.666666666667
"AB de Villiers",2018,"Mujeeb Ur Rahman","Royal Challengers Bangalore",15,0,7,0,"All","All",Inf,214.285714285714
"AB de Villiers",2018,"Nitish Rana","Royal Challengers Bangalore",6,1,2,0,"All","All",6,300
"AB de Villiers",2018,"Piyush Chawla","Royal Challengers Bangalore",2,0,2,0,"All","All",Inf,100
"AB de Villiers",2018,"Rahul Tewatia","Royal Challengers Bangalore",19,0,10,0,"All","All",Inf,190
"AB de Villiers",2018,"Rashid Khan","Royal Challengers Bangalore",7,2,9,0,"All","All",3.5,77.7777777777778
"AB de Villiers",2018,"Ravichandran Ashwin","Royal Challengers Bangalore",3,0,4,0,"All","All",Inf,75
"AB de Villiers",2018,"Ravindra Jadeja","Royal Challengers Bangalore",8,0,5,0,"All","All",Inf,160
"AB de Villiers",2018,"Sandeep Lamichhane","Royal Challengers Bangalore",10,0,8,0,"All","All",Inf,125
"AB de Villiers",2018,"Sandeep Sharma","Royal Challengers Bangalore",17,0,11,0,"All","All",Inf,154.545454545455
"AB de Villiers",2018,"Shahbaz Nadeem","Royal Challengers Bangalore",21,0,7,0,"All","All",Inf,300
"AB de Villiers",2018,"Shakib Al Hasan","Royal Challengers Bangalore",19,0,15,0,"All","All",Inf,126.666666666667
"AB de Villiers",2018,"Shane Watson","Royal Challengers Bangalore",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2018,"Shardul Thakur","Royal Challengers Bangalore",19,0,9,0,"All","All",Inf,211.111111111111
"AB de Villiers",2018,"Shreyas Gopal","Royal Challengers Bangalore",15,2,21,0,"All","All",7.5,71.4285714285714
"AB de Villiers",2018,"Siddarth Kaul","Royal Challengers Bangalore",15,0,7,0,"All","All",Inf,214.285714285714
"AB de Villiers",2018,"Sunil Narine","Royal Challengers Bangalore",9,0,5,0,"All","All",Inf,180
"AB de Villiers",2018,"Trent Boult","Royal Challengers Bangalore",30,0,11,0,"All","All",Inf,272.727272727273
"AB de Villiers",2019,"Amit Mishra","Royal Challengers Bangalore",9,0,7,0,"All","All",Inf,128.571428571429
"AB de Villiers",2019,"Andre Russell","Royal Challengers Bangalore",14,0,4,0,"All","All",Inf,350
"AB de Villiers",2019,"Andrew Tye","Royal Challengers Bangalore",18,0,11,0,"All","All",Inf,163.636363636364
"AB de Villiers",2019,"Ankit Rajpoot","Royal Challengers Bangalore",18,0,7,0,"All","All",Inf,257.142857142857
"AB de Villiers",2019,"Axar Patel","Royal Challengers Bangalore",3,0,6,0,"All","All",Inf,50
"AB de Villiers",2019,"Bhuvneshwar Kumar","Royal Challengers Bangalore",0,1,1,0,"All","All",0,0
"AB de Villiers",2019,"Chris Morris","Royal Challengers Bangalore",7,0,5,0,"All","All",Inf,140
"AB de Villiers",2019,"Deepak Chahar","Royal Challengers Bangalore",9,0,14,0,"All","All",Inf,64.2857142857143
"AB de Villiers",2019,"Harbhajan Singh","Royal Challengers Bangalore",7,1,5,0,"All","All",7,140
"AB de Villiers",2019,"Hardik Pandya","Royal Challengers Bangalore",41,0,19,0,"All","All",Inf,215.789473684211
"AB de Villiers",2019,"Hardus Viljoen","Royal Challengers Bangalore",22,0,10,0,"All","All",Inf,220
"AB de Villiers",2019,"Ishant Sharma","Royal Challengers Bangalore",9,0,9,0,"All","All",Inf,100
"AB de Villiers",2019,"Jason Behrendorff","Royal Challengers Bangalore",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2019,"Jasprit Bumrah","Royal Challengers Bangalore",21,0,23,0,"All","All",Inf,91.304347826087
"AB de Villiers",2019,"Kagiso Rabada","Royal Challengers Bangalore",2,1,3,0,"All","All",2,66.6666666666667
"AB de Villiers",2019,"Khaleel Ahmed","Royal Challengers Bangalore",1,0,1,0,"All","All",Inf,100
