"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Chennai Super Kings","Ashish Nehra","Delhi Capitals","MA Chidambaram Stadium",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders","Eden Gardens",36,0,24,"All",Inf,9
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders","MA Chidambaram Stadium",38,1,24,"All",38,9.5
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Brabourne Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Eden Gardens",41,0,24,"All",Inf,10.25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","MA Chidambaram Stadium",45,0,18,"All",Inf,15
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Wankhede Stadium",51,4,48,"All",12.75,6.375
"Chennai Super Kings","Ashish Nehra","Punjab Kings","MA Chidambaram Stadium",16,2,24,"All",8,4
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Punjab Cricket Association Stadium",17,1,18,"All",17,5.66666666666667
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Sheikh Zayed Stadium",24,1,18,"All",24,8
"Chennai Super Kings","Ashish Nehra","Punjab Kings","Wankhede Stadium",51,2,24,"All",25.5,12.75
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals","MA Chidambaram Stadium",29,0,24,"All",Inf,7.25
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals","Sardar Patel Stadium",32,0,24,"All",Inf,8
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","JSCA International Stadium Complex",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","M Chinnaswamy Stadium",43,7,48,"All",6.14285714285714,5.375
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","MA Chidambaram Stadium",19,3,24,"All",6.33333333333333,4.75
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad","MA Chidambaram Stadium",31,0,24,"All",Inf,7.75
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Deccan Chargers","MA Chidambaram Stadium",31,1,24,"All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","Feroz Shah Kotla",34,1,24,"All",34,8.5
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","MA Chidambaram Stadium",44,4,42,"All",11,6.28571428571429
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals","Sheikh Zayed Stadium",9,1,12,"All",9,4.5
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","Eden Gardens",64,1,36,"All",64,10.6666666666667
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","JSCA International Stadium Complex",26,0,18,"All",Inf,8.66666666666667
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders","MA Chidambaram Stadium",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","Dubai International Cricket Stadium",39,2,24,"All",19.5,9.75
