"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","Dr DY Patil Sports Academy",36,0,14,"All",Inf,15.4285714285714
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","Eden Gardens",75,1,57,"All",75,7.89473684210526
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","M Chinnaswamy Stadium",93,5,58,"All",18.6,9.62068965517241
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","MA Chidambaram Stadium",38,0,12,"All",Inf,19
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","Sharjah Cricket Stadium",51,1,24,"All",51,12.75
"Kolkata Knight Riders","Andre Russell","Royal Challengers Bangalore","Zayed Cricket Stadium",9,3,18,"All",3,3
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Brabourne Stadium",20,2,12,"All",10,10
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",6,1,6,"All",6,6
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Eden Gardens",90,3,54,"All",30,10
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","MA Chidambaram Stadium",32,1,18,"All",32,10.6666666666667
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",22,3,24,"All",7.33333333333333,5.5
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",58,2,48,"All",29,7.25
"Kolkata Knight Riders","Andre Russell","Sunrisers Hyderabad","Zayed Cricket Stadium",45,1,24,"All",45,11.25
"Kolkata Knight Riders","Angelo Mathews","Chennai Super Kings","Eden Gardens",29,0,18,"All",Inf,9.66666666666667
"Kolkata Knight Riders","Angelo Mathews","Chennai Super Kings","MA Chidambaram Stadium",15,0,6,"All",Inf,15
"Kolkata Knight Riders","Angelo Mathews","Deccan Chargers","Dr DY Patil Sports Academy",27,1,24,"All",27,6.75
"Kolkata Knight Riders","Angelo Mathews","Deccan Chargers","Eden Gardens",25,1,24,"All",25,6.25
"Kolkata Knight Riders","Angelo Mathews","Delhi Capitals","Eden Gardens",43,0,18,"All",Inf,14.3333333333333
"Kolkata Knight Riders","Angelo Mathews","Delhi Capitals","Feroz Shah Kotla",11,0,12,"All",Inf,5.5
"Kolkata Knight Riders","Angelo Mathews","Mumbai Indians","Brabourne Stadium",29,0,21,"All",Inf,8.28571428571428
"Kolkata Knight Riders","Angelo Mathews","Punjab Kings","Eden Gardens",32,0,18,"All",Inf,10.6666666666667
"Kolkata Knight Riders","Angelo Mathews","Punjab Kings","Punjab Cricket Association Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Angelo Mathews","Rajasthan Royals","Sardar Patel Stadium",33,0,18,"All",Inf,11
"Kolkata Knight Riders","Angelo Mathews","Royal Challengers Bangalore","Eden Gardens",19,4,24,"All",4.75,4.75
"Kolkata Knight Riders","Angelo Mathews","Royal Challengers Bangalore","M Chinnaswamy Stadium",25,1,18,"All",25,8.33333333333333
"Kolkata Knight Riders","Angelo Mathews","Royal Challengers Bangalore","SuperSport Park",31,0,14,"All",Inf,13.2857142857143
"Kolkata Knight Riders","Ankit Rajpoot","Gujarat Lions","Green Park",35,1,18,"All",35,11.6666666666667
"Kolkata Knight Riders","Ankit Rajpoot","Mumbai Indians","Eden Gardens",14,1,18,"All",14,4.66666666666667
"Kolkata Knight Riders","Ankit Rajpoot","Mumbai Indians","M Chinnaswamy Stadium",14,0,6,"All",Inf,14
"Kolkata Knight Riders","Ankit Rajpoot","Mumbai Indians","Wankhede Stadium",37,3,24,"All",12.3333333333333,9.25
"Kolkata Knight Riders","Ankit Rajpoot","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",17,0,12,"All",Inf,8.5
"Kolkata Knight Riders","Ankit Rajpoot","Rising Pune Supergiants","Eden Gardens",14,1,12,"All",14,7
"Kolkata Knight Riders","Ankit Rajpoot","Royal Challengers Bangalore","Eden Gardens",28,0,18,"All",Inf,9.33333333333333
"Kolkata Knight Riders","Ankit Rajpoot","Royal Challengers Bangalore","M Chinnaswamy Stadium",25,0,24,"All",Inf,6.25
"Kolkata Knight Riders","Ankit Rajpoot","Sunrisers Hyderabad","Eden Gardens",21,1,18,"All",21,7
"Kolkata Knight Riders","Anukul Roy","Lucknow Super Giants","Maharashtra Cricket Association Stadium",27,0,18,"All",Inf,9
"Kolkata Knight Riders","Anukul Roy","Rajasthan Royals","Wankhede Stadium",28,1,24,"All",28,7
"Kolkata Knight Riders","Anureet Singh","Chennai Super Kings","SuperSport Park",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Anureet Singh","Rajasthan Royals","Newlands",35,2,24,"All",17.5,8.75
"Kolkata Knight Riders","Ashok Dinda","Chennai Super Kings","Eden Gardens",10,0,12,"All",Inf,5
"Kolkata Knight Riders","Ashok Dinda","Chennai Super Kings","MA Chidambaram Stadium",50,0,30,"All",Inf,10
"Kolkata Knight Riders","Ashok Dinda","Chennai Super Kings","SuperSport Park",29,1,24,"All",29,7.25
"Kolkata Knight Riders","Ashok Dinda","Deccan Chargers","Eden Gardens",18,1,18,"All",18,6
"Kolkata Knight Riders","Ashok Dinda","Deccan Chargers","Newlands",24,1,18,"All",24,8
"Kolkata Knight Riders","Ashok Dinda","Deccan Chargers","Rajiv Gandhi International Stadium",33,3,24,"All",11,8.25
"Kolkata Knight Riders","Ashok Dinda","Delhi Capitals","Eden Gardens",50,3,48,"All",16.6666666666667,6.25
"Kolkata Knight Riders","Ashok Dinda","Delhi Capitals","Kingsmead",17,0,12,"All",Inf,8.5
"Kolkata Knight Riders","Ashok Dinda","Mumbai Indians","Buffalo Park",27,1,18,"All",27,9
"Kolkata Knight Riders","Ashok Dinda","Mumbai Indians","Eden Gardens",32,2,48,"All",16,4
"Kolkata Knight Riders","Ashok Dinda","Mumbai Indians","St George's Park",24,0,12,"All",Inf,12
"Kolkata Knight Riders","Ashok Dinda","Punjab Kings","Eden Gardens",18,0,12,"All",Inf,9
"Kolkata Knight Riders","Ashok Dinda","Punjab Kings","Kingsmead",34,1,24,"All",34,8.5
"Kolkata Knight Riders","Ashok Dinda","Punjab Kings","Punjab Cricket Association Stadium",43,1,30,"All",43,8.6
"Kolkata Knight Riders","Ashok Dinda","Punjab Kings","St George's Park",26,0,12,"All",Inf,13
"Kolkata Knight Riders","Ashok Dinda","Rajasthan Royals","Eden Gardens",56,2,48,"All",28,7
"Kolkata Knight Riders","Ashok Dinda","Rajasthan Royals","Kingsmead",12,0,24,"All",Inf,3
"Kolkata Knight Riders","Ashok Dinda","Rajasthan Royals","Sardar Patel Stadium",28,2,24,"All",14,7
"Kolkata Knight Riders","Ashok Dinda","Rajasthan Royals","Sawai Mansingh Stadium",30,0,24,"All",Inf,7.5
"Kolkata Knight Riders","Ashok Dinda","Royal Challengers Bangalore","Eden Gardens",20,0,18,"All",Inf,6.66666666666667
"Kolkata Knight Riders","Ashok Dinda","Royal Challengers Bangalore","M Chinnaswamy Stadium",24,4,37,"All",6,3.89189189189189
"Kolkata Knight Riders","Azhar Mahmood","Rajasthan Royals","Brabourne Stadium",41,0,18,"All",Inf,13.6666666666667
"Kolkata Knight Riders","Brad Hodge","Chennai Super Kings","Eden Gardens",4,1,6,"All",4,4
"Kolkata Knight Riders","Brad Hodge","Chennai Super Kings","SuperSport Park",12,0,12,"All",Inf,6
"Kolkata Knight Riders","Brad Hodge","Deccan Chargers","Dr DY Patil Sports Academy",14,1,12,"All",14,7
"Kolkata Knight Riders","Brad Hodge","Deccan Chargers","New Wanderers Stadium",23,1,18,"All",23,7.66666666666667
"Kolkata Knight Riders","Brad Hodge","Delhi Capitals","Kingsmead",18,0,12,"All",Inf,9
"Kolkata Knight Riders","Brad Hodge","Delhi Capitals","New Wanderers Stadium",2,0,6,"All",Inf,2
"Kolkata Knight Riders","Brad Hodge","Mumbai Indians","Buffalo Park",13,1,12,"All",13,6.5
"Kolkata Knight Riders","Brad Hodge","Mumbai Indians","St George's Park",29,1,18,"All",29,9.66666666666667
"Kolkata Knight Riders","Brad Hodge","Punjab Kings","St George's Park",13,1,12,"All",13,6.5
"Kolkata Knight Riders","Brad Hodge","Rajasthan Royals","Kingsmead",22,0,6,"All",Inf,22
"Kolkata Knight Riders","Brad Hodge","Rajasthan Royals","Sardar Patel Stadium",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Brad Hodge","Royal Challengers Bangalore","Eden Gardens",11,0,6,"All",Inf,11
"Kolkata Knight Riders","Brad Hodge","Royal Challengers Bangalore","Kingsmead",29,3,24,"All",9.66666666666667,7.25
"Kolkata Knight Riders","Brad Hogg","Chennai Super Kings","Eden Gardens",29,4,24,"All",7.25,7.25
"Kolkata Knight Riders","Brad Hogg","Chennai Super Kings","MA Chidambaram Stadium",18,1,24,"All",18,4.5
"Kolkata Knight Riders","Brad Hogg","Delhi Capitals","Eden Gardens",46,4,42,"All",11.5,6.57142857142857
"Kolkata Knight Riders","Brad Hogg","Delhi Capitals","Feroz Shah Kotla",39,0,24,"All",Inf,9.75
"Kolkata Knight Riders","Brad Hogg","Gujarat Lions","Eden Gardens",19,1,12,"All",19,9.5
"Kolkata Knight Riders","Brad Hogg","Mumbai Indians","Eden Gardens",37,0,24,"All",Inf,9.25
"Kolkata Knight Riders","Brad Hogg","Punjab Kings","Eden Gardens",58,0,36,"All",Inf,9.66666666666667
"Kolkata Knight Riders","Brad Hogg","Royal Challengers Bangalore","M Chinnaswamy Stadium",23,1,12,"All",23,11.5
"Kolkata Knight Riders","Brad Hogg","Sunrisers Hyderabad","Eden Gardens",17,2,24,"All",8.5,4.25
"Kolkata Knight Riders","Brett Lee","Chennai Super Kings","Eden Gardens",8,0,24,"All",Inf,2
"Kolkata Knight Riders","Brett Lee","Chennai Super Kings","MA Chidambaram Stadium",76,1,48,"All",76,9.5
"Kolkata Knight Riders","Brett Lee","Deccan Chargers","Barabati Stadium",15,1,24,"All",15,3.75
"Kolkata Knight Riders","Brett Lee","Deccan Chargers","Rajiv Gandhi International Stadium",30,1,24,"All",30,7.5
"Kolkata Knight Riders","Brett Lee","Delhi Capitals","Eden Gardens",55,2,36,"All",27.5,9.16666666666667
"Kolkata Knight Riders","Brett Lee","Delhi Capitals","Feroz Shah Kotla",63,1,48,"All",63,7.875
"Kolkata Knight Riders","Brett Lee","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Brett Lee","Kochi Tuskers Kerala","Eden Gardens",33,1,24,"All",33,8.25
"Kolkata Knight Riders","Brett Lee","Kochi Tuskers Kerala","Nehru Stadium",42,0,24,"All",Inf,10.5
"Kolkata Knight Riders","Brett Lee","Mumbai Indians","Eden Gardens",81,0,48,"All",Inf,10.125
"Kolkata Knight Riders","Brett Lee","Mumbai Indians","Wankhede Stadium",37,1,24,"All",37,9.25
"Kolkata Knight Riders","Brett Lee","Pune Warriors","Dr DY Patil Sports Academy",28,0,24,"All",Inf,7
"Kolkata Knight Riders","Brett Lee","Punjab Kings","Eden Gardens",27,0,24,"All",Inf,6.75
"Kolkata Knight Riders","Brett Lee","Punjab Kings","Punjab Cricket Association Stadium",26,2,24,"All",13,6.5
"Kolkata Knight Riders","Brett Lee","Rajasthan Royals","Eden Gardens",12,1,14,"All",12,5.14285714285714
"Kolkata Knight Riders","Brett Lee","Rajasthan Royals","Sawai Mansingh Stadium",78,3,72,"All",26,6.5
"Kolkata Knight Riders","Brett Lee","Royal Challengers Bangalore","Eden Gardens",34,0,24,"All",Inf,8.5
"Kolkata Knight Riders","Brett Lee","Royal Challengers Bangalore","M Chinnaswamy Stadium",52,1,42,"All",52,7.42857142857143
"Kolkata Knight Riders","Carlos Brathwaite","Delhi Capitals","Eden Gardens",13,0,6,"All",Inf,13
"Kolkata Knight Riders","Carlos Brathwaite","Rajasthan Royals","Eden Gardens",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Charl Langeveldt","Deccan Chargers","Dr DY Patil Sports Academy",26,2,24,"All",13,6.5
"Kolkata Knight Riders","Charl Langeveldt","Delhi Capitals","Feroz Shah Kotla",35,2,18,"All",17.5,11.6666666666667
"Kolkata Knight Riders","Charl Langeveldt","Rajasthan Royals","Kingsmead",15,3,24,"All",5,3.75
"Kolkata Knight Riders","Charl Langeveldt","Royal Challengers Bangalore","Eden Gardens",27,1,24,"All",27,6.75
"Kolkata Knight Riders","Chris Gayle","Chennai Super Kings","MA Chidambaram Stadium",35,1,18,"All",35,11.6666666666667
"Kolkata Knight Riders","Chris Gayle","Deccan Chargers","Eden Gardens",9,1,6,"All",9,9
"Kolkata Knight Riders","Chris Gayle","Deccan Chargers","Newlands",14,0,6,"All",Inf,14
"Kolkata Knight Riders","Chris Gayle","Delhi Capitals","Feroz Shah Kotla",38,1,24,"All",38,9.5
"Kolkata Knight Riders","Chris Gayle","Mumbai Indians","Brabourne Stadium",31,0,24,"All",Inf,7.75
"Kolkata Knight Riders","Chris Gayle","Mumbai Indians","Buffalo Park",21,1,24,"All",21,5.25
"Kolkata Knight Riders","Chris Gayle","Mumbai Indians","St George's Park",24,0,12,"All",Inf,12
"Kolkata Knight Riders","Chris Gayle","Punjab Kings","Eden Gardens",16,0,6,"All",Inf,16
"Kolkata Knight Riders","Chris Gayle","Punjab Kings","Kingsmead",14,0,6,"All",Inf,14
"Kolkata Knight Riders","Chris Gayle","Punjab Kings","Punjab Cricket Association Stadium",23,1,18,"All",23,7.66666666666667
"Kolkata Knight Riders","Chris Gayle","Punjab Kings","St George's Park",20,0,18,"All",Inf,6.66666666666667
"Kolkata Knight Riders","Chris Gayle","Rajasthan Royals","Newlands",20,0,24,"All",Inf,5
"Kolkata Knight Riders","Chris Gayle","Royal Challengers Bangalore","Kingsmead",31,0,23,"All",Inf,8.08695652173913
"Kolkata Knight Riders","Chris Green","Mumbai Indians","Zayed Cricket Stadium",24,0,17,"All",Inf,8.47058823529412
"Kolkata Knight Riders","Chris Woakes","Delhi Capitals","Eden Gardens",20,0,18,"All",Inf,6.66666666666667
"Kolkata Knight Riders","Chris Woakes","Delhi Capitals","Feroz Shah Kotla",31,1,24,"All",31,7.75
"Kolkata Knight Riders","Chris Woakes","Gujarat Lions","Eden Gardens",20,1,12,"All",20,10
"Kolkata Knight Riders","Chris Woakes","Gujarat Lions","Saurashtra Cricket Association Stadium",35,0,18,"All",Inf,11.6666666666667
"Kolkata Knight Riders","Chris Woakes","Mumbai Indians","Wankhede Stadium",34,1,24,"All",34,8.5
"Kolkata Knight Riders","Chris Woakes","Punjab Kings","Eden Gardens",30,2,18,"All",15,10
"Kolkata Knight Riders","Chris Woakes","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",20,2,24,"All",10,5
"Kolkata Knight Riders","Chris Woakes","Rising Pune Supergiants","Eden Gardens",18,3,24,"All",6,4.5
"Kolkata Knight Riders","Chris Woakes","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",38,0,18,"All",Inf,12.6666666666667
"Kolkata Knight Riders","Chris Woakes","Royal Challengers Bangalore","Eden Gardens",6,3,12,"All",2,3
"Kolkata Knight Riders","Chris Woakes","Royal Challengers Bangalore","M Chinnaswamy Stadium",39,1,24,"All",39,9.75
"Kolkata Knight Riders","Chris Woakes","Sunrisers Hyderabad","Eden Gardens",49,2,24,"All",24.5,12.25
"Kolkata Knight Riders","Chris Woakes","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",46,1,24,"All",46,11.5
"Kolkata Knight Riders","Colin Munro","Delhi Capitals","Eden Gardens",7,0,6,"All",Inf,7
"Kolkata Knight Riders","Colin Munro","Sunrisers Hyderabad","Eden Gardens",8,0,6,"All",Inf,8
"Kolkata Knight Riders","Colin de Grandhomme","Delhi Capitals","Eden Gardens",15,0,6,"All",Inf,15
"Kolkata Knight Riders","Colin de Grandhomme","Delhi Capitals","Feroz Shah Kotla",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Colin de Grandhomme","Mumbai Indians","Eden Gardens",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Colin de Grandhomme","Punjab Kings","Eden Gardens",15,1,12,"All",15,7.5
"Kolkata Knight Riders","Colin de Grandhomme","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",37,0,24,"All",Inf,9.25
"Kolkata Knight Riders","Colin de Grandhomme","Rising Pune Supergiants","Eden Gardens",7,0,2,"All",Inf,21
"Kolkata Knight Riders","Colin de Grandhomme","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",14,0,12,"All",Inf,7
"Kolkata Knight Riders","Colin de Grandhomme","Royal Challengers Bangalore","Eden Gardens",4,3,10,"All",1.33333333333333,2.4
"Kolkata Knight Riders","Colin de Grandhomme","Royal Challengers Bangalore","M Chinnaswamy Stadium",15,0,12,"All",Inf,7.5
"Kolkata Knight Riders","David Hussey","Chennai Super Kings","MA Chidambaram Stadium",32,0,18,"All",Inf,10.6666666666667
"Kolkata Knight Riders","David Hussey","Chennai Super Kings","SuperSport Park",18,0,12,"All",Inf,9
"Kolkata Knight Riders","David Hussey","Deccan Chargers","Eden Gardens",35,1,18,"All",35,11.6666666666667
"Kolkata Knight Riders","David Hussey","Deccan Chargers","New Wanderers Stadium",6,0,6,"All",Inf,6
"Kolkata Knight Riders","David Hussey","Delhi Capitals","Feroz Shah Kotla",24,0,24,"All",Inf,6
"Kolkata Knight Riders","David Hussey","Mumbai Indians","Eden Gardens",14,0,12,"All",Inf,7
"Kolkata Knight Riders","David Hussey","Punjab Kings","Eden Gardens",49,0,30,"All",Inf,9.8
"Kolkata Knight Riders","David Hussey","Punjab Kings","Punjab Cricket Association Stadium",30,1,24,"All",30,7.5
"Kolkata Knight Riders","David Hussey","Rajasthan Royals","Sawai Mansingh Stadium",26,0,12,"All",Inf,13
"Kolkata Knight Riders","David Hussey","Royal Challengers Bangalore","SuperSport Park",10,0,6,"All",Inf,10
"Kolkata Knight Riders","Harbhajan Singh","Mumbai Indians","MA Chidambaram Stadium",17,0,12,"All",Inf,8.5
"Kolkata Knight Riders","Harbhajan Singh","Royal Challengers Bangalore","MA Chidambaram Stadium",38,0,24,"All",Inf,9.5
"Kolkata Knight Riders","Harbhajan Singh","Sunrisers Hyderabad","MA Chidambaram Stadium",8,0,6,"All",Inf,8
"Kolkata Knight Riders","Harry Gurney","Chennai Super Kings","Eden Gardens",37,1,24,"All",37,9.25
"Kolkata Knight Riders","Harry Gurney","Chennai Super Kings","MA Chidambaram Stadium",20,0,12,"All",Inf,10
"Kolkata Knight Riders","Harry Gurney","Mumbai Indians","Eden Gardens",37,2,24,"All",18.5,9.25
"Kolkata Knight Riders","Harry Gurney","Mumbai Indians","Wankhede Stadium",20,0,18,"All",Inf,6.66666666666667
"Kolkata Knight Riders","Harry Gurney","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",41,1,24,"All",41,10.25
"Kolkata Knight Riders","Harry Gurney","Rajasthan Royals","Sawai Mansingh Stadium",25,2,24,"All",12.5,6.25
"Kolkata Knight Riders","Harry Gurney","Royal Challengers Bangalore","Eden Gardens",42,1,24,"All",42,10.5
"Kolkata Knight Riders","Harry Gurney","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Harshit Rana","Delhi Capitals","Wankhede Stadium",24,1,18,"All",24,8
"Kolkata Knight Riders","Harshit Rana","Lucknow Super Giants","Maharashtra Cricket Association Stadium",27,0,12,"All",Inf,13.5
"Kolkata Knight Riders","Iqbal Abdulla","Chennai Super Kings","Eden Gardens",15,1,24,"All",15,3.75
"Kolkata Knight Riders","Iqbal Abdulla","Chennai Super Kings","MA Chidambaram Stadium",74,1,63,"All",74,7.04761904761905
"Kolkata Knight Riders","Iqbal Abdulla","Deccan Chargers","Eden Gardens",24,3,24,"All",8,6
"Kolkata Knight Riders","Iqbal Abdulla","Deccan Chargers","Rajiv Gandhi International Stadium",34,2,24,"All",17,8.5
"Kolkata Knight Riders","Iqbal Abdulla","Delhi Capitals","Eden Gardens",58,1,48,"All",58,7.25
"Kolkata Knight Riders","Iqbal Abdulla","Delhi Capitals","Feroz Shah Kotla",25,3,24,"All",8.33333333333333,6.25
"Kolkata Knight Riders","Iqbal Abdulla","Delhi Capitals","Subrata Roy Sahara Stadium",24,1,24,"All",24,6
"Kolkata Knight Riders","Iqbal Abdulla","Kochi Tuskers Kerala","Eden Gardens",23,0,24,"All",Inf,5.75
"Kolkata Knight Riders","Iqbal Abdulla","Kochi Tuskers Kerala","Nehru Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Iqbal Abdulla","Mumbai Indians","Eden Gardens",61,1,48,"All",61,7.625
"Kolkata Knight Riders","Iqbal Abdulla","Mumbai Indians","Wankhede Stadium",76,2,66,"All",38,6.90909090909091
"Kolkata Knight Riders","Iqbal Abdulla","Pune Warriors","Dr DY Patil Sports Academy",12,1,18,"All",12,4
"Kolkata Knight Riders","Iqbal Abdulla","Pune Warriors","Eden Gardens",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Iqbal Abdulla","Pune Warriors","Subrata Roy Sahara Stadium",46,3,42,"All",15.3333333333333,6.57142857142857
"Kolkata Knight Riders","Iqbal Abdulla","Punjab Kings","Eden Gardens",19,2,24,"All",9.5,4.75
"Kolkata Knight Riders","Iqbal Abdulla","Punjab Kings","Punjab Cricket Association Stadium",12,0,12,"All",Inf,6
"Kolkata Knight Riders","Iqbal Abdulla","Rajasthan Royals","Eden Gardens",40,2,36,"All",20,6.66666666666667
"Kolkata Knight Riders","Iqbal Abdulla","Rajasthan Royals","Sawai Mansingh Stadium",30,0,24,"All",Inf,7.5
"Kolkata Knight Riders","Iqbal Abdulla","Royal Challengers Bangalore","Eden Gardens",12,0,12,"All",Inf,6
"Kolkata Knight Riders","Iqbal Abdulla","Royal Challengers Bangalore","M Chinnaswamy Stadium",18,1,18,"All",18,6
"Kolkata Knight Riders","Iqbal Abdulla","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",29,3,23,"All",9.66666666666667,7.56521739130435
"Kolkata Knight Riders","Ishant Sharma","Chennai Super Kings","Eden Gardens",54,1,36,"All",54,9
"Kolkata Knight Riders","Ishant Sharma","Chennai Super Kings","MA Chidambaram Stadium",26,0,18,"All",Inf,8.66666666666667
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers","Dr DY Patil Sports Academy",31,1,24,"All",31,7.75
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers","Eden Gardens",9,1,18,"All",9,3
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers","New Wanderers Stadium",23,0,24,"All",Inf,5.75
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers","Newlands",13,0,18,"All",Inf,4.33333333333333
"Kolkata Knight Riders","Ishant Sharma","Deccan Chargers","Rajiv Gandhi International Stadium",27,0,18,"All",Inf,9
"Kolkata Knight Riders","Ishant Sharma","Delhi Capitals","Eden Gardens",18,0,18,"All",Inf,6
"Kolkata Knight Riders","Ishant Sharma","Delhi Capitals","Feroz Shah Kotla",17,1,6,"All",17,17
"Kolkata Knight Riders","Ishant Sharma","Delhi Capitals","Kingsmead",43,0,24,"All",Inf,10.75
"Kolkata Knight Riders","Ishant Sharma","Delhi Capitals","New Wanderers Stadium",23,2,24,"All",11.5,5.75
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians","Brabourne Stadium",44,2,24,"All",22,11
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians","Buffalo Park",24,1,24,"All",24,6
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians","Eden Gardens",33,1,22,"All",33,9
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians","St George's Park",29,1,24,"All",29,7.25
"Kolkata Knight Riders","Ishant Sharma","Mumbai Indians","Wankhede Stadium",29,1,15,"All",29,11.6
"Kolkata Knight Riders","Ishant Sharma","Punjab Kings","Eden Gardens",49,0,24,"All",Inf,12.25
"Kolkata Knight Riders","Ishant Sharma","Punjab Kings","Kingsmead",24,1,24,"All",24,6
"Kolkata Knight Riders","Ishant Sharma","Punjab Kings","Punjab Cricket Association Stadium",41,0,24,"All",Inf,10.25
"Kolkata Knight Riders","Ishant Sharma","Punjab Kings","St George's Park",27,2,24,"All",13.5,6.75
"Kolkata Knight Riders","Ishant Sharma","Rajasthan Royals","Eden Gardens",23,1,18,"All",23,7.66666666666667
"Kolkata Knight Riders","Ishant Sharma","Rajasthan Royals","Newlands",36,2,24,"All",18,9
"Kolkata Knight Riders","Ishant Sharma","Rajasthan Royals","Sardar Patel Stadium",33,2,24,"All",16.5,8.25
"Kolkata Knight Riders","Ishant Sharma","Rajasthan Royals","Sawai Mansingh Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Ishant Sharma","Royal Challengers Bangalore","Eden Gardens",52,1,48,"All",52,6.5
"Kolkata Knight Riders","Ishant Sharma","Royal Challengers Bangalore","Kingsmead",15,2,24,"All",7.5,3.75
"Kolkata Knight Riders","Ishant Sharma","Royal Challengers Bangalore","M Chinnaswamy Stadium",53,1,42,"All",53,7.57142857142857
"Kolkata Knight Riders","Ishant Sharma","Royal Challengers Bangalore","SuperSport Park",40,0,24,"All",Inf,10
"Kolkata Knight Riders","Jacques Kallis","Chennai Super Kings","Eden Gardens",66,1,48,"All",66,8.25
"Kolkata Knight Riders","Jacques Kallis","Chennai Super Kings","JSCA International Stadium Complex",10,0,6,"All",Inf,10
"Kolkata Knight Riders","Jacques Kallis","Chennai Super Kings","MA Chidambaram Stadium",139,5,90,"All",27.8,9.26666666666667
"Kolkata Knight Riders","Jacques Kallis","Deccan Chargers","Barabati Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Jacques Kallis","Deccan Chargers","Rajiv Gandhi International Stadium",12,1,12,"All",12,6
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals","Dubai International Cricket Stadium",15,1,12,"All",15,7.5
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals","Eden Gardens",46,1,36,"All",46,7.66666666666667
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals","Feroz Shah Kotla",69,3,60,"All",23,6.9
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",29,1,18,"All",29,9.66666666666667
"Kolkata Knight Riders","Jacques Kallis","Delhi Capitals","Subrata Roy Sahara Stadium",24,2,24,"All",12,6
"Kolkata Knight Riders","Jacques Kallis","Kochi Tuskers Kerala","Nehru Stadium",21,0,18,"All",Inf,7
"Kolkata Knight Riders","Jacques Kallis","Mumbai Indians","Eden Gardens",40,0,24,"All",Inf,10
"Kolkata Knight Riders","Jacques Kallis","Mumbai Indians","Sheikh Zayed Stadium",23,0,18,"All",Inf,7.66666666666667
"Kolkata Knight Riders","Jacques Kallis","Mumbai Indians","Wankhede Stadium",71,4,66,"All",17.75,6.45454545454545
"Kolkata Knight Riders","Jacques Kallis","Pune Warriors","Dr DY Patil Sports Academy",18,0,12,"All",Inf,9
"Kolkata Knight Riders","Jacques Kallis","Pune Warriors","Eden Gardens",16,1,12,"All",16,8
"Kolkata Knight Riders","Jacques Kallis","Pune Warriors","JSCA International Stadium Complex",48,1,24,"All",48,12
"Kolkata Knight Riders","Jacques Kallis","Pune Warriors","Subrata Roy Sahara Stadium",27,2,24,"All",13.5,6.75
"Kolkata Knight Riders","Jacques Kallis","Punjab Kings","Barabati Stadium",38,0,18,"All",Inf,12.6666666666667
"Kolkata Knight Riders","Jacques Kallis","Punjab Kings","Eden Gardens",44,2,48,"All",22,5.5
