"Bowling_Team","Bowler","Batting_Team","Runs","Wickets","Balls","Season","Stadium","Average","Economy"
"Chennai Super Kings","Adam Milne","Kolkata Knight Riders",19,0,15,"All","All",Inf,7.6
"Chennai Super Kings","Albie Morkel","Deccan Chargers",242,10,180,"All","All",24.2,8.06666666666667
"Chennai Super Kings","Albie Morkel","Delhi Capitals",338,11,244,"All","All",30.7272727272727,8.31147540983607
"Chennai Super Kings","Albie Morkel","Kochi Tuskers Kerala",17,0,12,"All","All",Inf,8.5
"Chennai Super Kings","Albie Morkel","Kolkata Knight Riders",228,3,168,"All","All",76,8.14285714285714
"Chennai Super Kings","Albie Morkel","Mumbai Indians",263,8,210,"All","All",32.875,7.51428571428571
"Chennai Super Kings","Albie Morkel","Pune Warriors",70,3,54,"All","All",23.3333333333333,7.77777777777778
"Chennai Super Kings","Albie Morkel","Punjab Kings",274,12,201,"All","All",22.8333333333333,8.17910447761194
"Chennai Super Kings","Albie Morkel","Rajasthan Royals",281,14,204,"All","All",20.0714285714286,8.26470588235294
"Chennai Super Kings","Albie Morkel","Royal Challengers Bangalore",340,15,252,"All","All",22.6666666666667,8.09523809523809
"Chennai Super Kings","Andrew Flintoff","Delhi Capitals",50,0,24,"All","All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff","Mumbai Indians",44,1,24,"All","All",44,11
"Chennai Super Kings","Andrew Flintoff","Royal Challengers Bangalore",11,1,18,"All","All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot","Mumbai Indians",25,1,18,"All","All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot","Punjab Kings",10,0,6,"All","All",Inf,10
"Chennai Super Kings","Ashish Nehra","Delhi Capitals",25,3,24,"All","All",8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders",74,1,48,"All","All",74,9.25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians",171,6,114,"All","All",28.5,9
"Chennai Super Kings","Ashish Nehra","Punjab Kings",108,6,84,"All","All",18,7.71428571428572
"Chennai Super Kings","Ashish Nehra","Rajasthan Royals",61,0,48,"All","All",Inf,7.625
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore",90,13,96,"All","All",6.92307692307692,5.625
"Chennai Super Kings","Ashish Nehra","Sunrisers Hyderabad",62,1,48,"All","All",62,7.75
"Chennai Super Kings","Ben Hilfenhaus","Deccan Chargers",31,1,24,"All","All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus","Delhi Capitals",87,6,78,"All","All",14.5,6.69230769230769
"Chennai Super Kings","Ben Hilfenhaus","Kolkata Knight Riders",115,3,78,"All","All",38.3333333333333,8.84615384615385
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians",118,5,72,"All","All",23.6,9.83333333333333
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings",56,2,48,"All","All",28,7
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals",40,3,48,"All","All",13.3333333333333,5
"Chennai Super Kings","Ben Hilfenhaus","Sunrisers Hyderabad",32,2,24,"All","All",16,8
"Chennai Super Kings","Ben Laughlin","Mumbai Indians",71,1,42,"All","All",71,10.1428571428571
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals",15,0,6,"All","All",Inf,15
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians",26,0,5,"All","All",Inf,31.2
"Chennai Super Kings","Chamara Kapugedera","Punjab Kings",8,0,6,"All","All",Inf,8
"Chennai Super Kings","Chandrasekar Ganapathy","Royal Challengers Bangalore",13,0,6,"All","All",Inf,13
"Chennai Super Kings","Chris Jordan","Gujarat Titans",58,0,23,"All","All",Inf,15.1304347826087
"Chennai Super Kings","Chris Jordan","Punjab Kings",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Chris Jordan","Royal Challengers Bangalore",20,0,12,"All","All",Inf,10
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad",34,0,18,"All","All",Inf,11.3333333333333
"Chennai Super Kings","Chris Morris","Delhi Capitals",13,1,12,"All","All",13,6.5
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders",41,2,36,"All","All",20.5,6.83333333333333
"Chennai Super Kings","Chris Morris","Mumbai Indians",65,2,60,"All","All",32.5,6.5
"Chennai Super Kings","Chris Morris","Pune Warriors",46,3,42,"All","All",15.3333333333333,6.57142857142857
"Chennai Super Kings","Chris Morris","Punjab Kings",58,2,42,"All","All",29,8.28571428571428
"Chennai Super Kings","Chris Morris","Rajasthan Royals",68,1,42,"All","All",68,9.71428571428572
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore",62,3,36,"All","All",20.6666666666667,10.3333333333333
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad",48,1,30,"All","All",48,9.6
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore",38,2,17,"All","All",19,13.4117647058824
"Chennai Super Kings","David Willey","Rajasthan Royals",47,1,24,"All","All",47,11.75
"Chennai Super Kings","David Willey","Royal Challengers Bangalore",24,1,24,"All","All",24,6
"Chennai Super Kings","David Willey","Sunrisers Hyderabad",24,0,12,"All","All",Inf,12
"Chennai Super Kings","Deepak Chahar","Delhi Capitals",255,8,192,"All","All",31.875,7.96875
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders",245,8,168,"All","All",30.625,8.75
"Chennai Super Kings","Deepak Chahar","Mumbai Indians",278,11,214,"All","All",25.2727272727273,7.79439252336449
"Chennai Super Kings","Deepak Chahar","Punjab Kings",243,7,174,"All","All",34.7142857142857,8.37931034482759
"Chennai Super Kings","Deepak Chahar","Rajasthan Royals",163,9,138,"All","All",18.1111111111111,7.08695652173913
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore",163,6,138,"All","All",27.1666666666667,7.08695652173913
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad",260,9,228,"All","All",28.8888888888889,6.84210526315789
"Chennai Super Kings","Dirk Nannes","Kolkata Knight Riders",50,0,24,"All","All",Inf,12.5
"Chennai Super Kings","Dirk Nannes","Mumbai Indians",18,1,24,"All","All",18,4.5
"Chennai Super Kings","Dirk Nannes","Pune Warriors",42,0,24,"All","All",Inf,10.5
"Chennai Super Kings","Dirk Nannes","Punjab Kings",17,2,23,"All","All",8.5,4.43478260869565
"Chennai Super Kings","Dirk Nannes","Royal Challengers Bangalore",31,1,24,"All","All",31,7.75
"Chennai Super Kings","Doug Bollinger","Deccan Chargers",90,8,79,"All","All",11.25,6.83544303797468
"Chennai Super Kings","Doug Bollinger","Delhi Capitals",80,3,60,"All","All",26.6666666666667,8
"Chennai Super Kings","Doug Bollinger","Kochi Tuskers Kerala",56,2,42,"All","All",28,8
"Chennai Super Kings","Doug Bollinger","Kolkata Knight Riders",21,2,30,"All","All",10.5,4.2
"Chennai Super Kings","Doug Bollinger","Mumbai Indians",134,5,95,"All","All",26.8,8.46315789473684
"Chennai Super Kings","Doug Bollinger","Pune Warriors",71,6,66,"All","All",11.8333333333333,6.45454545454545
"Chennai Super Kings","Doug Bollinger","Punjab Kings",39,0,24,"All","All",Inf,9.75
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals",96,6,96,"All","All",16,6
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore",106,5,84,"All","All",21.2,7.57142857142857
"Chennai Super Kings","Dwaine Pretorius","Lucknow Super Giants",31,2,24,"All","All",15.5,7.75
"Chennai Super Kings","Dwaine Pretorius","Mumbai Indians",17,0,12,"All","All",Inf,8.5
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings",80,2,48,"All","All",40,10
"Chennai Super Kings","Dwaine Pretorius","Royal Challengers Bangalore",42,1,18,"All","All",42,14
"Chennai Super Kings","Dwaine Pretorius","Sunrisers Hyderabad",40,1,24,"All","All",40,10
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers",45,0,30,"All","All",Inf,9
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals",426,19,317,"All","All",22.4210526315789,8.06309148264984
"Chennai Super Kings","Dwayne Bravo","Gujarat Titans",23,3,24,"All","All",7.66666666666667,5.75
"Chennai Super Kings","Dwayne Bravo","Kochi Tuskers Kerala",36,1,24,"All","All",36,9
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders",356,15,230,"All","All",23.7333333333333,9.28695652173913
"Chennai Super Kings","Dwayne Bravo","Lucknow Super Giants",35,1,24,"All","All",35,8.75
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians",555,30,416,"All","All",18.5,8.00480769230769
"Chennai Super Kings","Dwayne Bravo","Pune Warriors",112,5,90,"All","All",22.4,7.46666666666667
"Chennai Super Kings","Dwayne Bravo","Punjab Kings",397,18,282,"All","All",22.0555555555556,8.4468085106383
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals",357,13,217,"All","All",27.4615384615385,9.87096774193548
"Chennai Super Kings","Dwayne Bravo","Royal Challengers Bangalore",413,17,311,"All","All",24.2941176470588,7.96784565916399
"Chennai Super Kings","Dwayne Bravo","Sunrisers Hyderabad",392,18,292,"All","All",21.7777777777778,8.05479452054795
"Chennai Super Kings","Dwayne Smith","Delhi Capitals",23,1,18,"All","All",23,7.66666666666667
"Chennai Super Kings","Dwayne Smith","Mumbai Indians",17,1,12,"All","All",17,8.5
"Chennai Super Kings","Dwayne Smith","Punjab Kings",61,2,30,"All","All",30.5,12.2
"Chennai Super Kings","Dwayne Smith","Sunrisers Hyderabad",11,1,12,"All","All",11,5.5
"Chennai Super Kings","Faf du Plessis","Deccan Chargers",16,0,6,"All","All",Inf,16
"Chennai Super Kings","Harbhajan Singh","Delhi Capitals",139,3,108,"All","All",46.3333333333333,7.72222222222222
"Chennai Super Kings","Harbhajan Singh","Kolkata Knight Riders",46,4,54,"All","All",11.5,5.11111111111111
"Chennai Super Kings","Harbhajan Singh","Mumbai Indians",109,2,107,"All","All",54.5,6.11214953271028
"Chennai Super Kings","Harbhajan Singh","Punjab Kings",128,6,78,"All","All",21.3333333333333,9.84615384615385
"Chennai Super Kings","Harbhajan Singh","Rajasthan Royals",29,1,12,"All","All",29,14.5
"Chennai Super Kings","Harbhajan Singh","Royal Challengers Bangalore",66,5,60,"All","All",13.2,6.6
"Chennai Super Kings","Harbhajan Singh","Sunrisers Hyderabad",65,2,36,"All","All",32.5,10.8333333333333
"Chennai Super Kings","Imran Tahir","Delhi Capitals",60,6,56,"All","All",10,6.42857142857143
"Chennai Super Kings","Imran Tahir","Kolkata Knight Riders",74,6,72,"All","All",12.3333333333333,6.16666666666667
"Chennai Super Kings","Imran Tahir","Mumbai Indians",189,7,136,"All","All",27,8.33823529411765
"Chennai Super Kings","Imran Tahir","Punjab Kings",114,3,96,"All","All",38,7.125
"Chennai Super Kings","Imran Tahir","Rajasthan Royals",95,3,72,"All","All",31.6666666666667,7.91666666666667
"Chennai Super Kings","Imran Tahir","Royal Challengers Bangalore",121,8,120,"All","All",15.125,6.05
"Chennai Super Kings","Imran Tahir","Sunrisers Hyderabad",58,2,48,"All","All",29,7.25
"Chennai Super Kings","Ishwar Pandey","Delhi Capitals",106,5,90,"All","All",21.2,7.06666666666667
"Chennai Super Kings","Ishwar Pandey","Kolkata Knight Riders",69,2,48,"All","All",34.5,8.625
"Chennai Super Kings","Ishwar Pandey","Mumbai Indians",102,2,84,"All","All",51,7.28571428571428
"Chennai Super Kings","Ishwar Pandey","Punjab Kings",115,3,78,"All","All",38.3333333333333,8.84615384615385
"Chennai Super Kings","Ishwar Pandey","Rajasthan Royals",52,1,54,"All","All",52,5.77777777777778
"Chennai Super Kings","Ishwar Pandey","Royal Challengers Bangalore",49,3,48,"All","All",16.3333333333333,6.125
"Chennai Super Kings","Ishwar Pandey","Sunrisers Hyderabad",48,1,36,"All","All",48,8
"Chennai Super Kings","Jacob Oram","Deccan Chargers",28,0,18,"All","All",Inf,9.33333333333333
"Chennai Super Kings","Jacob Oram","Delhi Capitals",14,0,6,"All","All",Inf,14
"Chennai Super Kings","Jacob Oram","Kolkata Knight Riders",32,3,24,"All","All",10.6666666666667,8
"Chennai Super Kings","Jacob Oram","Mumbai Indians",83,1,48,"All","All",83,10.375
"Chennai Super Kings","Jacob Oram","Punjab Kings",37,0,24,"All","All",Inf,9.25
"Chennai Super Kings","Jacob Oram","Rajasthan Royals",35,2,30,"All","All",17.5,7
"Chennai Super Kings","Jacob Oram","Royal Challengers Bangalore",53,2,39,"All","All",26.5,8.15384615384615
"Chennai Super Kings","Jason Holder","Delhi Capitals",39,0,24,"All","All",Inf,9.75
"Chennai Super Kings","Jason Holder","Rajasthan Royals",50,2,48,"All","All",25,6.25
"Chennai Super Kings","Jason Holder","Royal Challengers Bangalore",20,0,6,"All","All",Inf,20
"Chennai Super Kings","Jason Holder","Sunrisers Hyderabad",59,0,42,"All","All",Inf,8.42857142857143
"Chennai Super Kings","Joginder Sharma","Deccan Chargers",59,0,24,"All","All",Inf,14.75
"Chennai Super Kings","Joginder Sharma","Delhi Capitals",86,2,48,"All","All",43,10.75
"Chennai Super Kings","Joginder Sharma","Kolkata Knight Riders",32,1,24,"All","All",32,8
"Chennai Super Kings","Joginder Sharma","Mumbai Indians",135,5,96,"All","All",27,8.4375
"Chennai Super Kings","Joginder Sharma","Punjab Kings",47,1,24,"All","All",47,11.75
"Chennai Super Kings","Joginder Sharma","Rajasthan Royals",23,0,12,"All","All",Inf,11.5
"Chennai Super Kings","Joginder Sharma","Royal Challengers Bangalore",37,3,28,"All","All",12.3333333333333,7.92857142857143
"Chennai Super Kings","John Hastings","Sunrisers Hyderabad",29,1,18,"All","All",29,9.66666666666667
"Chennai Super Kings","Josh Hazlewood","Delhi Capitals",84,3,72,"All","All",28,7
"Chennai Super Kings","Josh Hazlewood","Kolkata Knight Riders",69,4,48,"All","All",17.25,8.625
"Chennai Super Kings","Josh Hazlewood","Mumbai Indians",51,1,36,"All","All",51,8.5
"Chennai Super Kings","Josh Hazlewood","Punjab Kings",22,0,18,"All","All",Inf,7.33333333333333
"Chennai Super Kings","Josh Hazlewood","Rajasthan Royals",73,1,48,"All","All",73,9.125
"Chennai Super Kings","Josh Hazlewood","Royal Challengers Bangalore",34,0,24,"All","All",Inf,8.5
"Chennai Super Kings","Josh Hazlewood","Sunrisers Hyderabad",24,3,24,"All","All",8,6
"Chennai Super Kings","Justin Kemp","Deccan Chargers",15,0,13,"All","All",Inf,6.92307692307692
"Chennai Super Kings","Justin Kemp","Delhi Capitals",14,0,6,"All","All",Inf,14
"Chennai Super Kings","Justin Kemp","Kolkata Knight Riders",12,3,18,"All","All",4,4
"Chennai Super Kings","Justin Kemp","Punjab Kings",13,0,7,"All","All",Inf,11.1428571428571
"Chennai Super Kings","KM Asif","Delhi Capitals",43,2,18,"All","All",21.5,14.3333333333333
"Chennai Super Kings","KM Asif","Kolkata Knight Riders",32,1,18,"All","All",32,10.6666666666667
"Chennai Super Kings","KM Asif","Rajasthan Royals",18,1,13,"All","All",18,8.30769230769231
"Chennai Super Kings","Karn Sharma","Delhi Capitals",34,0,18,"All","All",Inf,11.3333333333333
"Chennai Super Kings","Karn Sharma","Kolkata Knight Riders",71,3,54,"All","All",23.6666666666667,7.88888888888889
"Chennai Super Kings","Karn Sharma","Rajasthan Royals",23,2,15,"All","All",11.5,9.2
"Chennai Super Kings","Karn Sharma","Royal Challengers Bangalore",34,0,24,"All","All",Inf,8.5
"Chennai Super Kings","Karn Sharma","Sunrisers Hyderabad",125,5,77,"All","All",25,9.74025974025974
"Chennai Super Kings","Lakshmipathy Balaji","Deccan Chargers",129,3,75,"All","All",43,10.32
"Chennai Super Kings","Lakshmipathy Balaji","Delhi Capitals",117,7,96,"All","All",16.7142857142857,7.3125
"Chennai Super Kings","Lakshmipathy Balaji","Kolkata Knight Riders",85,3,56,"All","All",28.3333333333333,9.10714285714286
"Chennai Super Kings","Lakshmipathy Balaji","Mumbai Indians",73,1,48,"All","All",73,9.125
"Chennai Super Kings","Lakshmipathy Balaji","Punjab Kings",135,7,108,"All","All",19.2857142857143,7.5
"Chennai Super Kings","Lakshmipathy Balaji","Rajasthan Royals",121,5,81,"All","All",24.2,8.96296296296296
"Chennai Super Kings","Lakshmipathy Balaji","Royal Challengers Bangalore",149,5,98,"All","All",29.8,9.12244897959184
"Chennai Super Kings","Lungi Ngidi","Delhi Capitals",40,3,42,"All","All",13.3333333333333,5.71428571428571
"Chennai Super Kings","Lungi Ngidi","Kolkata Knight Riders",98,6,66,"All","All",16.3333333333333,8.90909090909091
"Chennai Super Kings","Lungi Ngidi","Mumbai Indians",100,3,48,"All","All",33.3333333333333,12.5
"Chennai Super Kings","Lungi Ngidi","Punjab Kings",49,7,48,"All","All",7,6.125
"Chennai Super Kings","Lungi Ngidi","Rajasthan Royals",56,1,24,"All","All",56,14
"Chennai Super Kings","Lungi Ngidi","Royal Challengers Bangalore",24,1,24,"All","All",24,6
"Chennai Super Kings","Lungi Ngidi","Sunrisers Hyderabad",81,4,72,"All","All",20.25,6.75
"Chennai Super Kings","Maheesh Theekshana","Delhi Capitals",29,1,24,"All","All",29,7.25
"Chennai Super Kings","Maheesh Theekshana","Gujarat Titans",24,2,24,"All","All",12,6
"Chennai Super Kings","Maheesh Theekshana","Mumbai Indians",59,1,42,"All","All",59,8.42857142857143
"Chennai Super Kings","Maheesh Theekshana","Punjab Kings",32,1,24,"All","All",32,8
"Chennai Super Kings","Maheesh Theekshana","Royal Challengers Bangalore",60,7,48,"All","All",8.57142857142857,7.5
"Chennai Super Kings","Maheesh Theekshana","Sunrisers Hyderabad",57,0,48,"All","All",Inf,7.125
"Chennai Super Kings","Makhaya Ntini","Deccan Chargers",61,1,48,"All","All",61,7.625
"Chennai Super Kings","Makhaya Ntini","Delhi Capitals",29,0,24,"All","All",Inf,7.25
"Chennai Super Kings","Makhaya Ntini","Kolkata Knight Riders",21,4,24,"All","All",5.25,5.25
"Chennai Super Kings","Makhaya Ntini","Punjab Kings",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Makhaya Ntini","Rajasthan Royals",81,0,66,"All","All",Inf,7.36363636363636
"Chennai Super Kings","Makhaya Ntini","Royal Challengers Bangalore",27,0,24,"All","All",Inf,6.75
"Chennai Super Kings","Manpreet Gony","Deccan Chargers",56,2,48,"All","All",28,7
"Chennai Super Kings","Manpreet Gony","Delhi Capitals",120,3,72,"All","All",40,10
"Chennai Super Kings","Manpreet Gony","Kolkata Knight Riders",90,3,66,"All","All",30,8.18181818181818
"Chennai Super Kings","Manpreet Gony","Mumbai Indians",81,3,66,"All","All",27,7.36363636363636
"Chennai Super Kings","Manpreet Gony","Punjab Kings",142,4,102,"All","All",35.5,8.35294117647059
"Chennai Super Kings","Manpreet Gony","Rajasthan Royals",87,1,60,"All","All",87,8.7
"Chennai Super Kings","Manpreet Gony","Royal Challengers Bangalore",131,7,96,"All","All",18.7142857142857,8.1875
"Chennai Super Kings","Mark Wood","Mumbai Indians",49,0,24,"All","All",Inf,12.25
"Chennai Super Kings","Matheesha Pathirana","Gujarat Titans",24,2,19,"All","All",12,7.57894736842105
"Chennai Super Kings","Matheesha Pathirana","Rajasthan Royals",28,0,22,"All","All",Inf,7.63636363636364
"Chennai Super Kings","Mitchell Santner","Gujarat Titans",24,0,24,"All","All",Inf,6
"Chennai Super Kings","Mitchell Santner","Kolkata Knight Riders",91,3,66,"All","All",30.3333333333333,8.27272727272727
"Chennai Super Kings","Mitchell Santner","Mumbai Indians",29,3,42,"All","All",9.66666666666667,4.14285714285714
"Chennai Super Kings","Mitchell Santner","Punjab Kings",8,0,12,"All","All",Inf,4
"Chennai Super Kings","Mitchell Santner","Rajasthan Royals",66,2,54,"All","All",33,7.33333333333333
"Chennai Super Kings","Mitchell Santner","Royal Challengers Bangalore",23,1,24,"All","All",23,5.75
"Chennai Super Kings","Mitchell Santner","Sunrisers Hyderabad",36,1,18,"All","All",36,12
"Chennai Super Kings","Moeen Ali","Delhi Capitals",89,4,84,"All","All",22.25,6.35714285714286
"Chennai Super Kings","Moeen Ali","Gujarat Titans",28,1,24,"All","All",28,7
"Chennai Super Kings","Moeen Ali","Lucknow Super Giants",14,0,6,"All","All",Inf,14
"Chennai Super Kings","Moeen Ali","Mumbai Indians",34,2,35,"All","All",17,5.82857142857143
"Chennai Super Kings","Moeen Ali","Punjab Kings",25,1,24,"All","All",25,6.25
"Chennai Super Kings","Moeen Ali","Rajasthan Royals",51,4,56,"All","All",12.75,5.46428571428571
"Chennai Super Kings","Moeen Ali","Royal Challengers Bangalore",47,2,42,"All","All",23.5,6.71428571428571
"Chennai Super Kings","Moeen Ali","Sunrisers Hyderabad",31,0,24,"All","All",Inf,7.75
"Chennai Super Kings","Mohit Sharma","Delhi Capitals",150,8,120,"All","All",18.75,7.5
"Chennai Super Kings","Mohit Sharma","Kolkata Knight Riders",132,6,120,"All","All",22,6.6
"Chennai Super Kings","Mohit Sharma","Mumbai Indians",320,15,238,"All","All",21.3333333333333,8.0672268907563
"Chennai Super Kings","Mohit Sharma","Pune Warriors",21,3,24,"All","All",7,5.25
"Chennai Super Kings","Mohit Sharma","Punjab Kings",160,6,107,"All","All",26.6666666666667,8.97196261682243
"Chennai Super Kings","Mohit Sharma","Rajasthan Royals",142,8,120,"All","All",17.75,7.1
"Chennai Super Kings","Mohit Sharma","Royal Challengers Bangalore",146,4,120,"All","All",36.5,7.3
"Chennai Super Kings","Mohit Sharma","Sunrisers Hyderabad",215,8,138,"All","All",26.875,9.34782608695652
"Chennai Super Kings","Monu Kumar","Royal Challengers Bangalore",20,0,12,"All","All",Inf,10
"Chennai Super Kings","Mukesh Choudhary","Delhi Capitals",22,2,18,"All","All",11,7.33333333333333
"Chennai Super Kings","Mukesh Choudhary","Gujarat Titans",46,1,36,"All","All",46,7.66666666666667
"Chennai Super Kings","Mukesh Choudhary","Lucknow Super Giants",39,0,21,"All","All",Inf,11.1428571428571
"Chennai Super Kings","Mukesh Choudhary","Mumbai Indians",42,6,42,"All","All",7,6
"Chennai Super Kings","Mukesh Choudhary","Punjab Kings",88,1,48,"All","All",88,11
"Chennai Super Kings","Mukesh Choudhary","Rajasthan Royals",41,0,24,"All","All",Inf,10.25
"Chennai Super Kings","Mukesh Choudhary","Royal Challengers Bangalore",70,1,36,"All","All",70,11.6666666666667
"Chennai Super Kings","Mukesh Choudhary","Sunrisers Hyderabad",76,5,48,"All","All",15.2,9.5
"Chennai Super Kings","Muthiah Muralidaran","Deccan Chargers",118,6,138,"All","All",19.6666666666667,5.1304347826087
"Chennai Super Kings","Muthiah Muralidaran","Delhi Capitals",125,3,114,"All","All",41.6666666666667,6.57894736842105
"Chennai Super Kings","Muthiah Muralidaran","Kolkata Knight Riders",132,3,120,"All","All",44,6.6
"Chennai Super Kings","Muthiah Muralidaran","Mumbai Indians",128,5,108,"All","All",25.6,7.11111111111111
"Chennai Super Kings","Muthiah Muralidaran","Punjab Kings",145,8,144,"All","All",18.125,6.04166666666667
"Chennai Super Kings","Muthiah Muralidaran","Rajasthan Royals",231,6,168,"All","All",38.5,8.25
"Chennai Super Kings","Muthiah Muralidaran","Royal Challengers Bangalore",115,9,144,"All","All",12.7777777777778,4.79166666666667
"Chennai Super Kings","Nuwan Kulasekara","Pune Warriors",74,3,54,"All","All",24.6666666666667,8.22222222222222
"Chennai Super Kings","Nuwan Kulasekara","Punjab Kings",29,1,24,"All","All",29,7.25
"Chennai Super Kings","Nuwan Kulasekara","Rajasthan Royals",17,1,24,"All","All",17,4.25
"Chennai Super Kings","Palani Amarnath","Delhi Capitals",35,0,18,"All","All",Inf,11.6666666666667
"Chennai Super Kings","Palani Amarnath","Kolkata Knight Riders",29,2,24,"All","All",14.5,7.25
"Chennai Super Kings","Palani Amarnath","Mumbai Indians",57,1,24,"All","All",57,14.25
"Chennai Super Kings","Palani Amarnath","Punjab Kings",77,2,42,"All","All",38.5,11
"Chennai Super Kings","Palani Amarnath","Royal Challengers Bangalore",38,2,24,"All","All",19,9.5
"Chennai Super Kings","Pawan Negi","Delhi Capitals",28,2,18,"All","All",14,9.33333333333333
"Chennai Super Kings","Pawan Negi","Kolkata Knight Riders",23,1,24,"All","All",23,5.75
"Chennai Super Kings","Pawan Negi","Mumbai Indians",98,0,60,"All","All",Inf,9.8
"Chennai Super Kings","Pawan Negi","Punjab Kings",62,2,42,"All","All",31,8.85714285714286
"Chennai Super Kings","Pawan Negi","Rajasthan Royals",35,0,24,"All","All",Inf,8.75
"Chennai Super Kings","Pawan Negi","Royal Challengers Bangalore",23,0,18,"All","All",Inf,7.66666666666667
"Chennai Super Kings","Pawan Negi","Sunrisers Hyderabad",58,1,36,"All","All",58,9.66666666666667
"Chennai Super Kings","Piyush Chawla","Delhi Capitals",33,2,24,"All","All",16.5,8.25
"Chennai Super Kings","Piyush Chawla","Mumbai Indians",21,1,24,"All","All",21,5.25
"Chennai Super Kings","Piyush Chawla","Punjab Kings",22,1,12,"All","All",22,11
"Chennai Super Kings","Piyush Chawla","Rajasthan Royals",87,1,42,"All","All",87,12.4285714285714
"Chennai Super Kings","Piyush Chawla","Sunrisers Hyderabad",28,1,24,"All","All",28,7
"Chennai Super Kings","Prashant Solanki","Gujarat Titans",18,0,24,"All","All",Inf,4.5
"Chennai Super Kings","Prashant Solanki","Rajasthan Royals",20,2,12,"All","All",10,10
"Chennai Super Kings","Ravichandran Ashwin","Deccan Chargers",107,4,132,"All","All",26.75,4.86363636363636
"Chennai Super Kings","Ravichandran Ashwin","Delhi Capitals",262,17,271,"All","All",15.4117647058824,5.80073800738007
"Chennai Super Kings","Ravichandran Ashwin","Kochi Tuskers Kerala",47,3,48,"All","All",15.6666666666667,5.875
"Chennai Super Kings","Ravichandran Ashwin","Kolkata Knight Riders",262,16,262,"All","All",16.375,6
"Chennai Super Kings","Ravichandran Ashwin","Mumbai Indians",358,12,336,"All","All",29.8333333333333,6.39285714285714
"Chennai Super Kings","Ravichandran Ashwin","Pune Warriors",146,4,132,"All","All",36.5,6.63636363636364
"Chennai Super Kings","Ravichandran Ashwin","Punjab Kings",360,11,294,"All","All",32.7272727272727,7.3469387755102
"Chennai Super Kings","Ravichandran Ashwin","Rajasthan Royals",222,9,173,"All","All",24.6666666666667,7.69942196531792
"Chennai Super Kings","Ravichandran Ashwin","Royal Challengers Bangalore",304,11,258,"All","All",27.6363636363636,7.06976744186047
"Chennai Super Kings","Ravichandran Ashwin","Sunrisers Hyderabad",112,3,120,"All","All",37.3333333333333,5.6
"Chennai Super Kings","Ravindra Jadeja","Deccan Chargers",41,5,42,"All","All",8.2,5.85714285714286
"Chennai Super Kings","Ravindra Jadeja","Delhi Capitals",359,15,295,"All","All",23.9333333333333,7.30169491525424
"Chennai Super Kings","Ravindra Jadeja","Gujarat Titans",25,1,18,"All","All",25,8.33333333333333
"Chennai Super Kings","Ravindra Jadeja","Kolkata Knight Riders",416,16,342,"All","All",26,7.29824561403509
"Chennai Super Kings","Ravindra Jadeja","Lucknow Super Giants",21,0,12,"All","All",Inf,10.5
"Chennai Super Kings","Ravindra Jadeja","Mumbai Indians",510,16,360,"All","All",31.875,8.5
"Chennai Super Kings","Ravindra Jadeja","Pune Warriors",74,2,72,"All","All",37,6.16666666666667
"Chennai Super Kings","Ravindra Jadeja","Punjab Kings",402,10,300,"All","All",40.2,8.04
"Chennai Super Kings","Ravindra Jadeja","Rajasthan Royals",363,17,292,"All","All",21.3529411764706,7.45890410958904
"Chennai Super Kings","Ravindra Jadeja","Royal Challengers Bangalore",358,18,312,"All","All",19.8888888888889,6.88461538461538
"Chennai Super Kings","Ravindra Jadeja","Sunrisers Hyderabad",358,5,286,"All","All",71.6,7.51048951048951
"Chennai Super Kings","Ronit More","Kolkata Knight Riders",31,1,23,"All","All",31,8.08695652173913
