"Bowling_Team","Bowler","Season","Runs","Wickets","Balls","Batting_Team","Stadium","Average","Economy"
"Mumbai Indians","Jasprit Bumrah",2017,439,20,356,"All","All",21.95,7.39887640449438
"Mumbai Indians","Jasprit Bumrah",2018,372,17,324,"All","All",21.8823529411765,6.88888888888889
"Mumbai Indians","Jasprit Bumrah",2019,409,19,370,"All","All",21.5263157894737,6.63243243243243
"Mumbai Indians","Jasprit Bumrah",2020,404,27,360,"All","All",14.962962962963,6.73333333333333
"Mumbai Indians","Jasprit Bumrah",2021,410,21,330,"All","All",19.5238095238095,7.45454545454546
"Mumbai Indians","Jasprit Bumrah",2022,383,15,320,"All","All",25.5333333333333,7.18125
"Mumbai Indians","Jayant Yadav",2019,50,1,42,"All","All",50,7.14285714285714
"Mumbai Indians","Jayant Yadav",2020,43,1,42,"All","All",43,6.14285714285714
"Mumbai Indians","Jayant Yadav",2021,130,2,102,"All","All",65,7.64705882352941
"Mumbai Indians","Jaydev Unadkat",2022,190,6,120,"All","All",31.6666666666667,9.5
"Mumbai Indians","Jean-Paul Duminy",2009,93,4,105,"All","All",23.25,5.31428571428571
"Mumbai Indians","Jean-Paul Duminy",2010,37,1,33,"All","All",37,6.72727272727273
"Mumbai Indians","Jean-Paul Duminy",2018,36,0,18,"All","All",Inf,12
"Mumbai Indians","Karn Sharma",2017,214,13,184,"All","All",16.4615384615385,6.97826086956522
"Mumbai Indians","Kieron Pollard",2010,274,15,222,"All","All",18.2666666666667,7.40540540540541
"Mumbai Indians","Kieron Pollard",2011,361,10,255,"All","All",36.1,8.49411764705882
"Mumbai Indians","Kieron Pollard",2012,350,16,263,"All","All",21.875,7.98479087452472
"Mumbai Indians","Kieron Pollard",2013,292,10,186,"All","All",29.2,9.41935483870968
"Mumbai Indians","Kieron Pollard",2014,262,2,150,"All","All",131,10.48
"Mumbai Indians","Kieron Pollard",2015,120,3,76,"All","All",40,9.47368421052632
"Mumbai Indians","Kieron Pollard",2016,81,0,36,"All","All",Inf,13.5
"Mumbai Indians","Kieron Pollard",2017,30,0,11,"All","All",Inf,16.3636363636364
