"Striker","Season","Bowler","Runs","Dismissed","Balls","Run_Out","Stadium","Bowling_Team","Batting_Team","Average","Strike_Rate"
"Aaron Finch",2012,"Muthiah Muralidaran",3,1,5,0,"All","All","All",3,60
"Aaron Finch",2012,"Vinay Kumar",1,0,5,0,"All","All","All",Inf,20
"Aaron Finch",2012,"Zaheer Khan",15,0,6,0,"All","All","All",Inf,250
"Aaron Finch",2013,"Abu Nechim",10,0,5,0,"All","All","All",Inf,200
"Aaron Finch",2013,"Ajit Chandila",11,0,5,0,"All","All","All",Inf,220
"Aaron Finch",2013,"Albie Morkel",10,0,5,0,"All","All","All",Inf,200
"Aaron Finch",2013,"Ashish Nehra",2,0,5,0,"All","All","All",Inf,40
"Aaron Finch",2013,"Azhar Mahmood",18,0,10,0,"All","All","All",Inf,180
"Aaron Finch",2013,"Chris Morris",10,0,9,0,"All","All","All",Inf,111.111111111111
"Aaron Finch",2013,"Dale Steyn",11,0,7,0,"All","All","All",Inf,157.142857142857
"Aaron Finch",2013,"Dirk Nannes",22,0,14,0,"All","All","All",Inf,157.142857142857
"Aaron Finch",2013,"Dwayne Bravo",2,0,2,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Harmeet Singh",13,0,8,0,"All","All","All",Inf,162.5
"Aaron Finch",2013,"Iqbal Abdulla",1,0,1,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Irfan Pathan",34,1,18,0,"All","All","All",34,188.888888888889
"Aaron Finch",2013,"Ishant Sharma",5,0,5,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Jacques Kallis",14,1,6,0,"All","All","All",14,233.333333333333
"Aaron Finch",2013,"James Faulkner",24,1,23,0,"All","All","All",24,104.347826086957
"Aaron Finch",2013,"Kevon Cooper",22,1,20,0,"All","All","All",22,110
"Aaron Finch",2013,"Lakshmipathy Balaji",6,1,7,0,"All","All","All",6,85.7142857142857
"Aaron Finch",2013,"Manpreet Gony",21,1,9,0,"All","All","All",21,233.333333333333
"Aaron Finch",2013,"Mitchell Johnson",0,2,7,0,"All","All","All",0,0
"Aaron Finch",2013,"Mohit Sharma",4,1,3,0,"All","All","All",4,133.333333333333
"Aaron Finch",2013,"Moises Henriques",7,1,3,0,"All","All","All",7,233.333333333333
"Aaron Finch",2013,"Morne Morkel",4,0,8,0,"All","All","All",Inf,50
"Aaron Finch",2013,"Murali Kartik",11,0,6,0,"All","All","All",Inf,183.333333333333
"Aaron Finch",2013,"Parvinder Awana",8,0,6,0,"All","All","All",Inf,133.333333333333
"Aaron Finch",2013,"Piyush Chawla",10,0,8,0,"All","All","All",Inf,125
"Aaron Finch",2013,"Praveen Kumar",7,0,9,0,"All","All","All",Inf,77.7777777777778
"Aaron Finch",2013,"RP Singh",15,0,16,0,"All","All","All",Inf,93.75
"Aaron Finch",2013,"Rajat Bhatia",13,0,7,0,"All","All","All",Inf,185.714285714286
"Aaron Finch",2013,"Ravi Rampaul",0,1,1,0,"All","All","All",0,0
"Aaron Finch",2013,"Ravichandran Ashwin",10,0,7,0,"All","All","All",Inf,142.857142857143
"Aaron Finch",2013,"Ravindra Jadeja",24,1,14,0,"All","All","All",24,171.428571428571
"Aaron Finch",2013,"Ryan ten Doeschate",2,0,2,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Sachithra Senanayake",13,0,13,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Shahbaz Nadeem",12,0,14,0,"All","All","All",Inf,85.7142857142857
"Aaron Finch",2013,"Shane Watson",5,0,5,0,"All","All","All",Inf,100
"Aaron Finch",2013,"Siddarth Kaul",10,1,8,0,"All","All","All",10,125
"Aaron Finch",2013,"Siddharth Trivedi",27,0,19,0,"All","All","All",Inf,142.105263157895
