"Striker","Season","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Bowler","Stadium","Average","Strike_Rate"
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Royal Challengers Bangalore",18,2,29,0,"All","All",9,62.0689655172414
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Mumbai Indians",10,1,15,0,"All","All",10,66.6666666666667
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Punjab Kings",0,1,3,0,"All","All",0,0
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Chennai Super Kings",1,0,1,0,"All","All",Inf,100
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Delhi Capitals",4,1,5,0,"All","All",4,80
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Punjab Kings",19,1,20,1,"All","All",19,95
"Abhishek Nayar",2008,"Mumbai Indians","Chennai Super Kings",45,0,20,0,"All","All",Inf,225
"Abhishek Nayar",2008,"Mumbai Indians","Deccan Chargers",72,2,43,0,"All","All",36,167.441860465116
"Abhishek Nayar",2008,"Mumbai Indians","Delhi Capitals",3,2,9,0,"All","All",1.5,33.3333333333333
"Abhishek Nayar",2008,"Mumbai Indians","Punjab Kings",29,2,21,0,"All","All",14.5,138.095238095238
"Abhishek Nayar",2008,"Mumbai Indians","Rajasthan Royals",37,1,31,0,"All","All",37,119.354838709677
"Abhishek Nayar",2008,"Mumbai Indians","Royal Challengers Bangalore",20,1,14,0,"All","All",20,142.857142857143
"Abhishek Nayar",2009,"Mumbai Indians","Chennai Super Kings",68,1,41,0,"All","All",68,165.853658536585
"Abhishek Nayar",2009,"Mumbai Indians","Deccan Chargers",11,2,10,0,"All","All",5.5,110
"Abhishek Nayar",2009,"Mumbai Indians","Delhi Capitals",22,2,32,0,"All","All",11,68.75
"Abhishek Nayar",2009,"Mumbai Indians","Kolkata Knight Riders",13,2,16,1,"All","All",6.5,81.25
"Abhishek Nayar",2009,"Mumbai Indians","Punjab Kings",15,1,15,0,"All","All",15,100
"Abhishek Nayar",2009,"Mumbai Indians","Rajasthan Royals",35,1,18,1,"All","All",35,194.444444444444
"Abhishek Nayar",2009,"Mumbai Indians","Royal Challengers Bangalore",29,0,20,0,"All","All",Inf,145
"Abhishek Nayar",2010,"Mumbai Indians","Chennai Super Kings",27,1,26,1,"All","All",27,103.846153846154
"Abhishek Nayar",2010,"Mumbai Indians","Royal Challengers Bangalore",31,1,25,0,"All","All",31,124
"Abhishek Nayar",2011,"Punjab Kings","Chennai Super Kings",0,1,1,0,"All","All",0,0
"Abhishek Nayar",2011,"Punjab Kings","Deccan Chargers",16,1,17,0,"All","All",16,94.1176470588235
"Abhishek Nayar",2011,"Punjab Kings","Delhi Capitals",17,0,13,0,"All","All",Inf,130.769230769231
"Abhishek Nayar",2011,"Punjab Kings","Kolkata Knight Riders",0,0,2,0,"All","All",NA,0
"Abhishek Nayar",2011,"Punjab Kings","Mumbai Indians",14,1,9,0,"All","All",14,155.555555555556
"Abhishek Nayar",2011,"Punjab Kings","Pune Warriors",12,1,18,0,"All","All",12,66.6666666666667
"Abhishek Nayar",2011,"Punjab Kings","Rajasthan Royals",1,1,3,1,"All","All",1,33.3333333333333
"Abhishek Nayar",2011,"Punjab Kings","Royal Challengers Bangalore",1,1,4,0,"All","All",1,25
"Abhishek Nayar",2012,"Punjab Kings","Pune Warriors",24,1,28,0,"All","All",24,85.7142857142857
"Abhishek Nayar",2012,"Punjab Kings","Rajasthan Royals",19,1,18,0,"All","All",19,105.555555555556
"Abhishek Nayar",2012,"Punjab Kings","Royal Challengers Bangalore",2,1,3,1,"All","All",2,66.6666666666667
"Abhishek Nayar",2013,"Pune Warriors","Chennai Super Kings",2,1,5,1,"All","All",2,40
"Abhishek Nayar",2013,"Pune Warriors","Mumbai Indians",17,2,21,0,"All","All",8.5,80.9523809523809
"Abhishek Nayar",2013,"Pune Warriors","Punjab Kings",27,0,28,0,"All","All",Inf,96.4285714285714
"Abhishek Nayar",2013,"Pune Warriors","Royal Challengers Bangalore",1,1,3,0,"All","All",1,33.3333333333333
"Abhishek Nayar",2013,"Pune Warriors","Sunrisers Hyderabad",19,2,16,0,"All","All",9.5,118.75
"Abhishek Nayar",2014,"Rajasthan Royals","Chennai Super Kings",5,1,7,1,"All","All",5,71.4285714285714
"Abhishek Nayar",2014,"Rajasthan Royals","Punjab Kings",23,1,20,0,"All","All",23,115
"Abhishek Nayar",2014,"Rajasthan Royals","Royal Challengers Bangalore",11,0,17,0,"All","All",Inf,64.7058823529412
"Abhishek Nayar",2014,"Rajasthan Royals","Sunrisers Hyderabad",4,1,3,0,"All","All",4,133.333333333333
"Abhishek Raut",2009,"Rajasthan Royals","Chennai Super Kings",7,1,5,0,"All","All",7,140
"Abhishek Raut",2009,"Rajasthan Royals","Deccan Chargers",37,1,25,0,"All","All",37,148
"Abhishek Raut",2009,"Rajasthan Royals","Delhi Capitals",11,1,13,0,"All","All",11,84.6153846153846
"Abhishek Raut",2009,"Rajasthan Royals","Kolkata Knight Riders",21,0,13,0,"All","All",Inf,161.538461538462
"Abhishek Raut",2009,"Rajasthan Royals","Punjab Kings",2,1,5,0,"All","All",2,40
"Abhishek Raut",2010,"Rajasthan Royals","Chennai Super Kings",2,0,4,0,"All","All",Inf,50
"Abhishek Raut",2010,"Rajasthan Royals","Deccan Chargers",0,1,3,0,"All","All",0,0
"Abhishek Raut",2010,"Rajasthan Royals","Kolkata Knight Riders",2,1,4,0,"All","All",2,50
"Abhishek Raut",2010,"Rajasthan Royals","Mumbai Indians",20,0,17,0,"All","All",Inf,117.647058823529
"Abhishek Raut",2010,"Rajasthan Royals","Royal Challengers Bangalore",32,0,20,0,"All","All",Inf,160
"Abhishek Raut",2011,"Rajasthan Royals","Chennai Super Kings",19,1,14,1,"All","All",19,135.714285714286
"Abhishek Raut",2011,"Rajasthan Royals","Kolkata Knight Riders",11,1,15,1,"All","All",11,73.3333333333333
"Abhishek Raut",2011,"Rajasthan Royals","Punjab Kings",25,1,21,0,"All","All",25,119.047619047619
"Abhishek Raut",2011,"Rajasthan Royals","Royal Challengers Bangalore",5,0,8,0,"All","All",Inf,62.5
"Abhishek Sharma",2018,"Delhi Capitals","Chennai Super Kings",2,1,4,0,"All","All",2,50
"Abhishek Sharma",2018,"Delhi Capitals","Mumbai Indians",15,0,10,0,"All","All",Inf,150
"Abhishek Sharma",2018,"Delhi Capitals","Royal Challengers Bangalore",46,0,19,0,"All","All",Inf,242.105263157895
"Abhishek Sharma",2019,"Sunrisers Hyderabad","Delhi Capitals",2,1,3,0,"All","All",2,66.6666666666667
"Abhishek Sharma",2019,"Sunrisers Hyderabad","Mumbai Indians",2,1,3,0,"All","All",2,66.6666666666667
"Abhishek Sharma",2019,"Sunrisers Hyderabad","Punjab Kings",5,0,3,0,"All","All",Inf,166.666666666667
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Chennai Super Kings",31,1,24,0,"All","All",31,129.166666666667
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Delhi Capitals",1,0,1,0,"All","All",Inf,100
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Kolkata Knight Riders",2,0,3,0,"All","All",Inf,66.6666666666667
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Mumbai Indians",10,1,13,0,"All","All",10,76.9230769230769
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Punjab Kings",12,1,6,0,"All","All",12,200
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,2,9,1,"All","All",7.5,166.666666666667
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Chennai Super Kings",18,1,13,0,"All","All",18,138.461538461538
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Delhi Capitals",5,1,6,0,"All","All",5,83.3333333333333
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Kolkata Knight Riders",6,1,10,0,"All","All",6,60
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Mumbai Indians",35,2,20,0,"All","All",17.5,175
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Rajasthan Royals",21,0,16,0,"All","All",Inf,131.25
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,1,10,0,"All","All",13,130
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Chennai Super Kings",114,2,74,0,"All","All",57,154.054054054054
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Delhi Capitals",7,1,6,0,"All","All",7,116.666666666667
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Gujarat Titans",107,2,74,0,"All","All",53.5,144.594594594595
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Kolkata Knight Riders",46,2,38,0,"All","All",23,121.052631578947
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Lucknow Super Giants",13,1,11,0,"All","All",13,118.181818181818
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Mumbai Indians",9,1,10,0,"All","All",9,90
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Punjab Kings",74,2,57,0,"All","All",37,129.824561403509
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Rajasthan Royals",9,1,19,0,"All","All",9,47.3684210526316
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Royal Challengers Bangalore",47,2,31,0,"All","All",23.5,151.612903225806
"Abu Nechim",2010,"Mumbai Indians","Chennai Super Kings",4,0,7,0,"All","All",Inf,57.1428571428571
"Abu Nechim",2011,"Mumbai Indians","Royal Challengers Bangalore",18,0,13,0,"All","All",Inf,138.461538461538
"Abu Nechim",2014,"Royal Challengers Bangalore","Chennai Super Kings",4,0,1,0,"All","All",Inf,400
"Abu Nechim",2015,"Royal Challengers Bangalore","Kolkata Knight Riders",5,0,2,0,"All","All",Inf,250
"Abu Nechim",2015,"Royal Challengers Bangalore","Mumbai Indians",1,0,1,0,"All","All",Inf,100
"Abu Nechim",2015,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,1,2,0,"All","All",4,200
"Adam Gilchrist",2008,"Deccan Chargers","Chennai Super Kings",59,2,44,0,"All","All",29.5,134.090909090909
"Adam Gilchrist",2008,"Deccan Chargers","Delhi Capitals",22,2,18,0,"All","All",11,122.222222222222
"Adam Gilchrist",2008,"Deccan Chargers","Kolkata Knight Riders",47,2,39,0,"All","All",23.5,120.512820512821
"Adam Gilchrist",2008,"Deccan Chargers","Mumbai Indians",122,1,63,0,"All","All",122,193.650793650794
"Adam Gilchrist",2008,"Deccan Chargers","Punjab Kings",56,2,48,0,"All","All",28,116.666666666667
"Adam Gilchrist",2008,"Deccan Chargers","Rajasthan Royals",74,2,58,0,"All","All",37,127.586206896552
"Adam Gilchrist",2008,"Deccan Chargers","Royal Challengers Bangalore",56,2,48,0,"All","All",28,116.666666666667
"Adam Gilchrist",2009,"Deccan Chargers","Chennai Super Kings",44,2,20,0,"All","All",22,220
"Adam Gilchrist",2009,"Deccan Chargers","Delhi Capitals",157,3,73,0,"All","All",52.3333333333333,215.068493150685
"Adam Gilchrist",2009,"Deccan Chargers","Kolkata Knight Riders",56,2,42,0,"All","All",28,133.333333333333
"Adam Gilchrist",2009,"Deccan Chargers","Mumbai Indians",60,2,49,0,"All","All",30,122.448979591837
