"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2009,"Ramesh Powar","Delhi Capitals","Punjab Kings",5,0,3,0,"All",Inf,166.666666666667
"AB de Villiers",2009,"Ravindra Jadeja","Delhi Capitals","Rajasthan Royals",19,0,16,0,"All",Inf,118.75
"AB de Villiers",2009,"Roelof van der Merwe","Delhi Capitals","Royal Challengers Bangalore",7,1,5,0,"All",7,140
"AB de Villiers",2009,"Rohan Raje","Delhi Capitals","Mumbai Indians",9,0,7,0,"All",Inf,128.571428571429
"AB de Villiers",2009,"Rohit Sharma","Delhi Capitals","Deccan Chargers",14,0,8,0,"All",Inf,175
"AB de Villiers",2009,"Sachin Tendulkar","Delhi Capitals","Mumbai Indians",19,0,6,0,"All",Inf,316.666666666667
"AB de Villiers",2009,"Shane Warne","Delhi Capitals","Rajasthan Royals",27,1,22,0,"All",27,122.727272727273
"AB de Villiers",2009,"Shoaib Ahmed","Delhi Capitals","Deccan Chargers",4,1,6,0,"All",4,66.6666666666667
"AB de Villiers",2009,"Siddharth Trivedi","Delhi Capitals","Rajasthan Royals",4,0,4,0,"All",Inf,100
"AB de Villiers",2009,"Sourav Sarkar","Delhi Capitals","Kolkata Knight Riders",4,0,1,0,"All",Inf,400
"AB de Villiers",2009,"Sreesanth","Delhi Capitals","Punjab Kings",4,1,4,0,"All",4,100
"AB de Villiers",2009,"Sudeep Tyagi","Delhi Capitals","Chennai Super Kings",0,1,1,0,"All",0,0
"AB de Villiers",2009,"Yusuf Pathan","Delhi Capitals","Rajasthan Royals",12,0,7,0,"All",Inf,171.428571428571
"AB de Villiers",2010,"Ali Murtaza","Delhi Capitals","Mumbai Indians",2,1,3,0,"All",2,66.6666666666667
"AB de Villiers",2010,"Amit Uniyal","Delhi Capitals","Rajasthan Royals",1,0,1,0,"All",Inf,100
"AB de Villiers",2010,"Andrew Symonds","Delhi Capitals","Deccan Chargers",7,0,5,0,"All",Inf,140
"AB de Villiers",2010,"Anil Kumble","Delhi Capitals","Royal Challengers Bangalore",16,0,12,0,"All",Inf,133.333333333333
"AB de Villiers",2010,"Chaminda Vaas","Delhi Capitals","Deccan Chargers",5,0,5,0,"All",Inf,100
"AB de Villiers",2010,"Dale Steyn","Delhi Capitals","Royal Challengers Bangalore",4,0,3,0,"All",Inf,133.333333333333
"AB de Villiers",2010,"Dimitri Mascarenhas","Delhi Capitals","Rajasthan Royals",3,0,5,0,"All",Inf,60
"AB de Villiers",2010,"Dwayne Bravo","Delhi Capitals","Mumbai Indians",5,1,7,0,"All",5,71.4285714285714
"AB de Villiers",2010,"Irfan Pathan","Delhi Capitals","Punjab Kings",1,0,6,0,"All",Inf,16.6666666666667
"AB de Villiers",2010,"Jacques Kallis","Delhi Capitals","Royal Challengers Bangalore",14,0,11,0,"All",Inf,127.272727272727
"AB de Villiers",2010,"Kieron Pollard","Delhi Capitals","Mumbai Indians",3,0,6,0,"All",Inf,50
"AB de Villiers",2010,"Lasith Malinga","Delhi Capitals","Mumbai Indians",5,0,2,0,"All",Inf,250
"AB de Villiers",2010,"Munaf Patel","Delhi Capitals","Rajasthan Royals",4,0,7,0,"All",Inf,57.1428571428571
"AB de Villiers",2010,"Muthiah Muralidaran","Delhi Capitals","Chennai Super Kings",1,0,1,0,"All",Inf,100
"AB de Villiers",2010,"Pragyan Ojha","Delhi Capitals","Deccan Chargers",6,0,6,0,"All",Inf,100
"AB de Villiers",2010,"RP Singh","Delhi Capitals","Deccan Chargers",1,0,2,0,"All",Inf,50
"AB de Villiers",2010,"Rahul Sharma","Delhi Capitals","Deccan Chargers",2,1,3,0,"All",2,66.6666666666667
"AB de Villiers",2010,"Ravichandran Ashwin","Delhi Capitals","Chennai Super Kings",1,1,2,0,"All",1,50
"AB de Villiers",2010,"Rohit Sharma","Delhi Capitals","Deccan Chargers",6,0,5,0,"All",Inf,120
"AB de Villiers",2010,"Shane Warne","Delhi Capitals","Rajasthan Royals",6,1,6,0,"All",6,100
"AB de Villiers",2010,"Shaun Tait","Delhi Capitals","Rajasthan Royals",1,0,5,0,"All",Inf,20
"AB de Villiers",2010,"Sreesanth","Delhi Capitals","Punjab Kings",4,0,5,0,"All",Inf,80
"AB de Villiers",2010,"Vinay Kumar","Delhi Capitals","Royal Challengers Bangalore",11,0,9,0,"All",Inf,122.222222222222
"AB de Villiers",2010,"Yusuf Abdulla","Delhi Capitals","Punjab Kings",2,0,2,0,"All",Inf,100
"AB de Villiers",2011,"Abu Nechim","Royal Challengers Bangalore","Mumbai Indians",10,0,7,0,"All",Inf,142.857142857143
"AB de Villiers",2011,"Albie Morkel","Royal Challengers Bangalore","Chennai Super Kings",12,1,14,0,"All",12,85.7142857142857
"AB de Villiers",2011,"Alfonso Thomas","Royal Challengers Bangalore","Pune Warriors",5,1,3,0,"All",5,166.666666666667
"AB de Villiers",2011,"Ali Murtaza","Royal Challengers Bangalore","Mumbai Indians",16,0,15,0,"All",Inf,106.666666666667
"AB de Villiers",2011,"Doug Bollinger","Royal Challengers Bangalore","Chennai Super Kings",9,0,4,0,"All",Inf,225
"AB de Villiers",2011,"Harbhajan Singh","Royal Challengers Bangalore","Mumbai Indians",5,0,8,0,"All",Inf,62.5
