"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"Colin de Grandhomme",2018,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",23,0,10,0,"All",Inf,230
"Colin de Grandhomme",2018,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium",2,1,3,0,"All",2,66.6666666666667
"Colin de Grandhomme",2018,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",40,1,17,0,"All",40,235.294117647059
"Colin de Grandhomme",2018,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",33,1,29,0,"All",33,113.793103448276
"Colin de Grandhomme",2019,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",4,1,6,0,"All",4,66.6666666666667
"Colin de Grandhomme",2019,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",2,1,7,0,"All",2,28.5714285714286
"Colin de Grandhomme",2019,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",3,0,4,0,"All",Inf,75
"Colin de Grandhomme",2019,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",37,1,32,1,"All",Inf,115.625
"Corey Anderson",2014,"Mumbai Indians","Chennai Super Kings","Brabourne Stadium",20,1,10,0,"All",20,200
"Corey Anderson",2014,"Mumbai Indians","Chennai Super Kings","Dubai International Cricket Stadium",39,1,31,1,"All",Inf,125.806451612903
"Corey Anderson",2014,"Mumbai Indians","Chennai Super Kings","Wankhede Stadium",18,0,6,0,"All",Inf,300
"Corey Anderson",2014,"Mumbai Indians","Delhi Capitals","Sharjah Cricket Stadium",13,1,14,0,"All",13,92.8571428571429
"Corey Anderson",2014,"Mumbai Indians","Kolkata Knight Riders","Barabati Stadium",18,1,12,0,"All",18,150
"Corey Anderson",2014,"Mumbai Indians","Kolkata Knight Riders","Sheikh Zayed Stadium",2,1,8,0,"All",2,25
"Corey Anderson",2014,"Mumbai Indians","Punjab Kings","Wankhede Stadium",35,1,25,0,"All",35,140
"Corey Anderson",2014,"Mumbai Indians","Rajasthan Royals","Wankhede Stadium",95,0,44,0,"All",Inf,215.909090909091
"Corey Anderson",2014,"Mumbai Indians","Royal Challengers Bangalore","Dubai International Cricket Stadium",18,1,19,0,"All",18,94.7368421052632
"Corey Anderson",2014,"Mumbai Indians","Royal Challengers Bangalore","Wankhede Stadium",6,1,4,0,"All",6,150
"Corey Anderson",2014,"Mumbai Indians","Sunrisers Hyderabad","Dubai International Cricket Stadium",1,1,8,0,"All",1,12.5
"Corey Anderson",2015,"Mumbai Indians","Chennai Super Kings","Wankhede Stadium",4,1,7,0,"All",4,57.1428571428571
"Corey Anderson",2015,"Mumbai Indians","Kolkata Knight Riders","Eden Gardens",55,0,41,0,"All",Inf,134.146341463415
"Corey Anderson",2015,"Mumbai Indians","Punjab Kings","Wankhede Stadium",5,1,11,0,"All",5,45.4545454545455
"Corey Anderson",2015,"Mumbai Indians","Rajasthan Royals","Sardar Patel Stadium",50,1,38,0,"All",50,131.578947368421
"Corey Anderson",2017,"Delhi Capitals","Gujarat Lions","Feroz Shah Kotla",18,0,12,0,"All",Inf,150
"Corey Anderson",2017,"Delhi Capitals","Gujarat Lions","Green Park",6,1,6,1,"All",Inf,100
"Corey Anderson",2017,"Delhi Capitals","Kolkata Knight Riders","Eden Gardens",2,1,5,1,"All",Inf,40
"Corey Anderson",2017,"Delhi Capitals","Mumbai Indians","Feroz Shah Kotla",10,1,8,0,"All",10,125
"Corey Anderson",2017,"Delhi Capitals","Mumbai Indians","Wankhede Stadium",0,1,3,0,"All",0,0
"Corey Anderson",2017,"Delhi Capitals","Punjab Kings","Feroz Shah Kotla",39,0,22,0,"All",Inf,177.272727272727
"Corey Anderson",2017,"Delhi Capitals","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",18,1,25,0,"All",18,72
"Corey Anderson",2017,"Delhi Capitals","Rising Pune Supergiants","Feroz Shah Kotla",3,1,5,0,"All",3,60
"Corey Anderson",2017,"Delhi Capitals","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",2,0,4,0,"All",Inf,50
"Corey Anderson",2017,"Delhi Capitals","Royal Challengers Bangalore","Feroz Shah Kotla",3,1,9,0,"All",3,33.3333333333333
"Corey Anderson",2017,"Delhi Capitals","Sunrisers Hyderabad","Feroz Shah Kotla",41,0,24,0,"All",Inf,170.833333333333
"Corey Anderson",2018,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",2,1,8,0,"All",2,25
"Corey Anderson",2018,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",15,1,13,0,"All",15,115.384615384615
"Corey Anderson",2018,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",0,1,1,0,"All",0,0
"D'Arcy Short",2018,"Rajasthan Royals","Delhi Capitals","Feroz Shah Kotla",44,1,25,0,"All",44,176
"D'Arcy Short",2018,"Rajasthan Royals","Delhi Capitals","Sawai Mansingh Stadium",6,1,3,1,"All",Inf,200
"D'Arcy Short",2018,"Rajasthan Royals","Kolkata Knight Riders","Sawai Mansingh Stadium",44,1,43,0,"All",44,102.325581395349
"D'Arcy Short",2018,"Rajasthan Royals","Mumbai Indians","Wankhede Stadium",4,1,5,0,"All",4,80
"D'Arcy Short",2018,"Rajasthan Royals","Punjab Kings","Holkar Cricket Stadium",2,1,2,0,"All",2,100
"D'Arcy Short",2018,"Rajasthan Royals","Royal Challengers Bangalore","M Chinnaswamy Stadium",11,1,17,0,"All",11,64.7058823529412
"D'Arcy Short",2018,"Rajasthan Royals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",4,1,4,1,"All",Inf,100
"Dale Steyn",2008,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",1,1,2,0,"All",1,50
"Dale Steyn",2008,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",1,0,3,0,"All",Inf,33.3333333333333
"Dale Steyn",2009,"Royal Challengers Bangalore","Chennai Super Kings","St George's Park",0,1,3,1,"All",NA,0
"Dale Steyn",2010,"Royal Challengers Bangalore","Deccan Chargers","Vidarbha Cricket Association Stadium",0,1,1,0,"All",0,0
"Dale Steyn",2010,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",8,1,9,0,"All",8,88.8888888888889
"Dale Steyn",2010,"Royal Challengers Bangalore","Mumbai Indians","Dr DY Patil Sports Academy",5,1,5,0,"All",5,100
"Dale Steyn",2010,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",0,1,2,0,"All",0,0
"Dale Steyn",2011,"Deccan Chargers","Kolkata Knight Riders","Eden Gardens",13,1,12,0,"All",13,108.333333333333
"Dale Steyn",2011,"Deccan Chargers","Mumbai Indians","Rajiv Gandhi International Stadium",4,1,9,1,"All",Inf,44.4444444444444
"Dale Steyn",2011,"Deccan Chargers","Pune Warriors","Rajiv Gandhi International Stadium",11,1,6,0,"All",11,183.333333333333
"Dale Steyn",2011,"Deccan Chargers","Punjab Kings","Rajiv Gandhi International Stadium",1,0,2,0,"All",Inf,50
"Dale Steyn",2011,"Deccan Chargers","Rajasthan Royals","Rajiv Gandhi International Stadium",7,1,6,0,"All",7,116.666666666667
"Dale Steyn",2012,"Deccan Chargers","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",5,1,8,0,"All",5,62.5
"Dale Steyn",2012,"Deccan Chargers","Delhi Capitals","Feroz Shah Kotla",2,1,3,0,"All",2,66.6666666666667
"Dale Steyn",2012,"Deccan Chargers","Kolkata Knight Riders","Barabati Stadium",7,1,3,0,"All",7,233.333333333333
"Dale Steyn",2012,"Deccan Chargers","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2,1,2,0,"All",2,100
"Dale Steyn",2012,"Deccan Chargers","Mumbai Indians","Wankhede Stadium",3,1,5,0,"All",3,60
"Dale Steyn",2013,"Sunrisers Hyderabad","Chennai Super Kings","Rajiv Gandhi International Stadium",14,1,13,0,"All",14,107.692307692308
"Dale Steyn",2013,"Sunrisers Hyderabad","Delhi Capitals","Feroz Shah Kotla",9,0,5,0,"All",Inf,180
"Dale Steyn",2013,"Sunrisers Hyderabad","Pune Warriors","Subrata Roy Sahara Stadium",4,0,1,0,"All",Inf,400
"Dale Steyn",2013,"Sunrisers Hyderabad","Punjab Kings","Punjab Cricket Association Stadium",1,0,3,0,"All",Inf,33.3333333333333
"Dale Steyn",2013,"Sunrisers Hyderabad","Rajasthan Royals","Feroz Shah Kotla",4,0,2,0,"All",Inf,200
"Dale Steyn",2013,"Sunrisers Hyderabad","Rajasthan Royals","Rajiv Gandhi International Stadium",0,1,1,0,"All",0,0
"Dale Steyn",2013,"Sunrisers Hyderabad","Rajasthan Royals","Sawai Mansingh Stadium",18,0,8,0,"All",Inf,225
"Dale Steyn",2013,"Sunrisers Hyderabad","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",3,0,3,0,"All",Inf,100
"Dale Steyn",2014,"Sunrisers Hyderabad","Kolkata Knight Riders","Rajiv Gandhi International Stadium",1,1,2,0,"All",1,50
"Dale Steyn",2014,"Sunrisers Hyderabad","Punjab Kings","Sharjah Cricket Stadium",12,1,16,0,"All",12,75
"Dale Steyn",2014,"Sunrisers Hyderabad","Rajasthan Royals","Sardar Patel Stadium",9,1,8,1,"All",Inf,112.5
"Dale Steyn",2015,"Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens",1,0,1,0,"All",Inf,100
"Dale Steyn",2015,"Sunrisers Hyderabad","Mumbai Indians","Rajiv Gandhi International Stadium",19,0,11,0,"All",Inf,172.727272727273
"Dale Steyn",2015,"Sunrisers Hyderabad","Mumbai Indians","Wankhede Stadium",0,1,1,0,"All",0,0
"Dale Steyn",2016,"Gujarat Lions","Sunrisers Hyderabad","Saurashtra Cricket Association Stadium",1,1,2,0,"All",1,50
"Dale Steyn",2020,"Royal Challengers Bangalore","Punjab Kings","Dubai International Cricket Stadium",1,0,2,0,"All",Inf,50
"Damien Martyn",2010,"Rajasthan Royals","Royal Challengers Bangalore","M Chinnaswamy Stadium",19,1,24,0,"All",19,79.1666666666667
"Dan Christian",2011,"Deccan Chargers","Chennai Super Kings","MA Chidambaram Stadium",1,0,1,0,"All",Inf,100
"Dan Christian",2011,"Deccan Chargers","Delhi Capitals","Feroz Shah Kotla",8,1,11,0,"All",8,72.7272727272727
"Dan Christian",2011,"Deccan Chargers","Delhi Capitals","Rajiv Gandhi International Stadium",27,0,22,0,"All",Inf,122.727272727273
"Dan Christian",2011,"Deccan Chargers","Kochi Tuskers Kerala","Nehru Stadium",9,1,11,0,"All",9,81.8181818181818
"Dan Christian",2011,"Deccan Chargers","Kolkata Knight Riders","Eden Gardens",25,1,13,0,"All",25,192.307692307692
"Dan Christian",2011,"Deccan Chargers","Kolkata Knight Riders","Rajiv Gandhi International Stadium",1,1,3,0,"All",1,33.3333333333333
"Dan Christian",2011,"Deccan Chargers","Mumbai Indians","Rajiv Gandhi International Stadium",21,1,18,0,"All",21,116.666666666667
"Dan Christian",2011,"Deccan Chargers","Mumbai Indians","Wankhede Stadium",18,1,23,0,"All",18,78.2608695652174
"Dan Christian",2011,"Deccan Chargers","Pune Warriors","Dr DY Patil Sports Academy",14,0,12,0,"All",Inf,116.666666666667
"Dan Christian",2011,"Deccan Chargers","Pune Warriors","Rajiv Gandhi International Stadium",10,1,11,0,"All",10,90.9090909090909
"Dan Christian",2011,"Deccan Chargers","Punjab Kings","Rajiv Gandhi International Stadium",30,1,14,0,"All",30,214.285714285714
"Dan Christian",2011,"Deccan Chargers","Rajasthan Royals","Rajiv Gandhi International Stadium",26,1,19,0,"All",26,136.842105263158
"Dan Christian",2011,"Deccan Chargers","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",0,1,1,0,"All",0,0
"Dan Christian",2012,"Deccan Chargers","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2,1,3,0,"All",2,66.6666666666667
"Dan Christian",2012,"Deccan Chargers","Chennai Super Kings","MA Chidambaram Stadium",27,0,24,0,"All",Inf,112.5
"Dan Christian",2012,"Deccan Chargers","Delhi Capitals","Feroz Shah Kotla",19,1,21,0,"All",19,90.4761904761905
"Dan Christian",2012,"Deccan Chargers","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",39,1,36,0,"All",39,108.333333333333
"Dan Christian",2012,"Deccan Chargers","Mumbai Indians","Wankhede Stadium",5,1,5,0,"All",5,100
"Dan Christian",2012,"Deccan Chargers","Punjab Kings","Punjab Cricket Association Stadium",24,1,10,0,"All",24,240
"Dan Christian",2012,"Deccan Chargers","Rajasthan Royals","Sawai Mansingh Stadium",29,0,19,0,"All",Inf,152.631578947368
"Dan Christian",2013,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",2,1,2,0,"All",2,100
"Dan Christian",2013,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",4,1,13,0,"All",4,30.7692307692308
"Dan Christian",2017,"Rising Pune Supergiants","Delhi Capitals","Feroz Shah Kotla",3,1,3,0,"All",3,100
"Dan Christian",2017,"Rising Pune Supergiants","Gujarat Lions","Maharashtra Cricket Association Stadium",17,0,8,0,"All",Inf,212.5
"Dan Christian",2017,"Rising Pune Supergiants","Kolkata Knight Riders","Eden Gardens",9,0,10,0,"All",Inf,90
"Dan Christian",2017,"Rising Pune Supergiants","Kolkata Knight Riders","Maharashtra Cricket Association Stadium",16,1,6,0,"All",16,266.666666666667
"Dan Christian",2017,"Rising Pune Supergiants","Mumbai Indians","Rajiv Gandhi International Stadium",4,0,2,0,"All",Inf,200
"Dan Christian",2017,"Rising Pune Supergiants","Mumbai Indians","Wankhede Stadium",8,0,7,0,"All",Inf,114.285714285714
"Dan Christian",2017,"Rising Pune Supergiants","Punjab Kings","Holkar Cricket Stadium",17,1,8,0,"All",17,212.5
"Dan Christian",2017,"Rising Pune Supergiants","Royal Challengers Bangalore","M Chinnaswamy Stadium",1,1,3,0,"All",1,33.3333333333333
"Dan Christian",2017,"Rising Pune Supergiants","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",4,1,2,0,"All",4,200
"Dan Christian",2018,"Delhi Capitals","Punjab Kings","Feroz Shah Kotla",6,1,11,1,"All",Inf,54.5454545454545
"Dan Christian",2018,"Delhi Capitals","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",13,1,13,0,"All",13,100
"Dan Christian",2018,"Delhi Capitals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",7,0,9,0,"All",Inf,77.7777777777778
"Dan Christian",2021,"Royal Challengers Bangalore","Chennai Super Kings","Wankhede Stadium",1,1,3,1,"All",Inf,33.3333333333333
"Dan Christian",2021,"Royal Challengers Bangalore","Kolkata Knight Riders","Sharjah Cricket Stadium",9,1,8,1,"All",Inf,112.5
"Dan Christian",2021,"Royal Challengers Bangalore","Mumbai Indians","Dubai International Cricket Stadium",1,0,3,0,"All",Inf,33.3333333333333
"Dan Christian",2021,"Royal Challengers Bangalore","Mumbai Indians","MA Chidambaram Stadium",1,1,3,0,"All",1,33.3333333333333
"Dan Christian",2021,"Royal Challengers Bangalore","Punjab Kings","Sharjah Cricket Stadium",0,1,1,0,"All",0,0
"Dan Christian",2021,"Royal Challengers Bangalore","Sunrisers Hyderabad","MA Chidambaram Stadium",1,1,2,0,"All",1,50
"Dan Christian",2021,"Royal Challengers Bangalore","Sunrisers Hyderabad","Zayed Cricket Stadium",1,1,4,0,"All",1,25
"Daniel Harris",2012,"Deccan Chargers","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",15,1,14,0,"All",15,107.142857142857
"Daniel Harris",2012,"Deccan Chargers","Delhi Capitals","Rajiv Gandhi International Stadium",19,1,17,0,"All",19,111.764705882353
"Daniel Harris",2012,"Deccan Chargers","Punjab Kings","Rajiv Gandhi International Stadium",30,1,29,0,"All",30,103.448275862069
"Daniel Harris",2012,"Deccan Chargers","Royal Challengers Bangalore","M Chinnaswamy Stadium",47,1,41,1,"All",Inf,114.634146341463
"Daniel Sams",2020,"Delhi Capitals","Mumbai Indians","Dubai International Cricket Stadium",0,1,2,0,"All",0,0
"Daniel Sams",2021,"Royal Challengers Bangalore","Delhi Capitals","Narendra Modi Stadium",3,0,2,0,"All",Inf,150
"Daniel Sams",2021,"Royal Challengers Bangalore","Punjab Kings","Narendra Modi Stadium",3,1,4,0,"All",3,75
"Daniel Sams",2022,"Mumbai Indians","Chennai Super Kings","Dr DY Patil Sports Academy",5,1,3,0,"All",5,166.666666666667
"Daniel Sams",2022,"Mumbai Indians","Chennai Super Kings","Wankhede Stadium",1,1,6,0,"All",1,16.6666666666667
"Daniel Sams",2022,"Mumbai Indians","Delhi Capitals","Brabourne Stadium",7,0,2,0,"All",Inf,350
"Daniel Sams",2022,"Mumbai Indians","Delhi Capitals","Wankhede Stadium",0,0,1,0,"All",NA,0
"Daniel Sams",2022,"Mumbai Indians","Gujarat Titans","Brabourne Stadium",0,1,2,0,"All",0,0
"Daniel Sams",2022,"Mumbai Indians","Kolkata Knight Riders","Dr DY Patil Sports Academy",1,1,2,0,"All",1,50
"Daniel Sams",2022,"Mumbai Indians","Lucknow Super Giants","Wankhede Stadium",3,1,7,0,"All",3,42.8571428571429
"Daniel Sams",2022,"Mumbai Indians","Rajasthan Royals","Dr DY Patil Sports Academy",6,1,2,0,"All",6,300
"Daniel Sams",2022,"Mumbai Indians","Sunrisers Hyderabad","Wankhede Stadium",15,1,11,0,"All",15,136.363636363636
"Daniel Vettori",2009,"Delhi Capitals","Punjab Kings","OUTsurance Oval",1,1,2,0,"All",1,50
"Daniel Vettori",2009,"Delhi Capitals","Rajasthan Royals","SuperSport Park",29,1,28,0,"All",29,103.571428571429
"Daniel Vettori",2009,"Delhi Capitals","Royal Challengers Bangalore","New Wanderers Stadium",4,0,2,0,"All",Inf,200
"Daniel Vettori",2010,"Delhi Capitals","Kolkata Knight Riders","Eden Gardens",12,0,6,0,"All",Inf,200
"Daniel Vettori",2010,"Delhi Capitals","Punjab Kings","Feroz Shah Kotla",2,1,4,0,"All",2,50
"Daniel Vettori",2010,"Delhi Capitals","Royal Challengers Bangalore","Feroz Shah Kotla",19,0,17,0,"All",Inf,111.764705882353
"Daniel Vettori",2011,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",2,1,3,0,"All",2,66.6666666666667
"Daniel Vettori",2011,"Royal Challengers Bangalore","Deccan Chargers","Rajiv Gandhi International Stadium",3,0,6,0,"All",Inf,50
"Daniel Vettori",2011,"Royal Challengers Bangalore","Delhi Capitals","Feroz Shah Kotla",18,0,19,0,"All",Inf,94.7368421052632
"Daniel Vettori",2012,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",1,1,1,1,"All",Inf,100
"Daniel Vettori",2012,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",3,1,4,1,"All",Inf,75
"Daniel Vettori",2012,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",4,0,4,0,"All",Inf,100
"Daniel Vettori",2012,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",20,1,12,0,"All",20,166.666666666667
"Daniel Vettori",2012,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association Stadium",2,0,3,0,"All",Inf,66.6666666666667
"Daniel Vettori",2012,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",1,1,2,0,"All",1,50
"Daren Sammy",2013,"Sunrisers Hyderabad","Chennai Super Kings","MA Chidambaram Stadium",19,1,12,0,"All",19,158.333333333333
"Daren Sammy",2013,"Sunrisers Hyderabad","Chennai Super Kings","Rajiv Gandhi International Stadium",7,1,3,0,"All",7,233.333333333333
"Daren Sammy",2013,"Sunrisers Hyderabad","Delhi Capitals","Rajiv Gandhi International Stadium",18,0,20,0,"All",Inf,90
"Daren Sammy",2013,"Sunrisers Hyderabad","Kolkata Knight Riders","Rajiv Gandhi International Stadium",17,0,12,0,"All",Inf,141.666666666667
"Daren Sammy",2013,"Sunrisers Hyderabad","Mumbai Indians","Rajiv Gandhi International Stadium",1,0,1,0,"All",Inf,100
"Daren Sammy",2013,"Sunrisers Hyderabad","Punjab Kings","Punjab Cricket Association Stadium",0,1,3,0,"All",0,0
"Daren Sammy",2013,"Sunrisers Hyderabad","Rajasthan Royals","Feroz Shah Kotla",29,1,21,1,"All",Inf,138.095238095238
"Daren Sammy",2013,"Sunrisers Hyderabad","Rajasthan Royals","Rajiv Gandhi International Stadium",23,1,19,0,"All",23,121.052631578947
"Daren Sammy",2013,"Sunrisers Hyderabad","Rajasthan Royals","Sawai Mansingh Stadium",60,1,41,0,"All",60,146.341463414634
"Daren Sammy",2014,"Sunrisers Hyderabad","Chennai Super Kings","JSCA International Stadium Complex",0,1,3,0,"All",0,0
"Daren Sammy",2014,"Sunrisers Hyderabad","Chennai Super Kings","Sharjah Cricket Stadium",23,0,15,0,"All",Inf,153.333333333333
"Daren Sammy",2014,"Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens",29,1,19,0,"All",29,152.631578947368
"Daren Sammy",2014,"Sunrisers Hyderabad","Kolkata Knight Riders","Rajiv Gandhi International Stadium",7,1,16,0,"All",7,43.75
"Daren Sammy",2014,"Sunrisers Hyderabad","Mumbai Indians","Dubai International Cricket Stadium",10,1,4,0,"All",10,250
"Daren Sammy",2014,"Sunrisers Hyderabad","Punjab Kings","Sharjah Cricket Stadium",15,1,11,0,"All",15,136.363636363636
"Daren Sammy",2014,"Sunrisers Hyderabad","Rajasthan Royals","Sheikh Zayed Stadium",6,1,11,0,"All",6,54.5454545454545
"Daren Sammy",2014,"Sunrisers Hyderabad","Royal Challengers Bangalore","M Chinnaswamy Stadium",8,1,8,0,"All",8,100
"Daren Sammy",2014,"Sunrisers Hyderabad","Royal Challengers Bangalore","Rajiv Gandhi International Stadium",10,0,4,0,"All",Inf,250
"Daren Sammy",2015,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",7,1,9,0,"All",7,77.7777777777778
"Daren Sammy",2015,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",6,1,9,0,"All",6,66.6666666666667
"Darren Bravo",2017,"Kolkata Knight Riders","Rising Pune Supergiants","Maharashtra Cricket Association Stadium",6,0,5,0,"All",Inf,120
"Darren Lehmann",2008,"Rajasthan Royals","Delhi Capitals","Feroz Shah Kotla",1,1,2,0,"All",1,50
"Darren Lehmann",2008,"Rajasthan Royals","Punjab Kings","Sawai Mansingh Stadium",17,1,16,0,"All",17,106.25
"Daryl Mitchell",2022,"Rajasthan Royals","Mumbai Indians","Dr DY Patil Sports Academy",17,1,20,0,"All",17,85
"Daryl Mitchell",2022,"Rajasthan Royals","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",16,1,24,0,"All",16,66.6666666666667
"David Hussey",2008,"Kolkata Knight Riders","Chennai Super Kings","Eden Gardens",0,1,1,0,"All",0,0
"David Hussey",2008,"Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium",0,1,2,0,"All",0,0
"David Hussey",2008,"Kolkata Knight Riders","Deccan Chargers","Eden Gardens",38,0,43,0,"All",Inf,88.3720930232558
"David Hussey",2008,"Kolkata Knight Riders","Deccan Chargers","Rajiv Gandhi International Stadium",57,0,29,0,"All",Inf,196.551724137931
"David Hussey",2008,"Kolkata Knight Riders","Delhi Capitals","Eden Gardens",31,1,31,0,"All",31,100
"David Hussey",2008,"Kolkata Knight Riders","Mumbai Indians","Eden Gardens",17,1,20,0,"All",17,85
"David Hussey",2008,"Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium",2,1,7,0,"All",2,28.5714285714286
"David Hussey",2008,"Kolkata Knight Riders","Punjab Kings","Eden Gardens",12,1,11,0,"All",12,109.090909090909
"David Hussey",2008,"Kolkata Knight Riders","Punjab Kings","Punjab Cricket Association Stadium",71,1,46,0,"All",71,154.347826086957
"David Hussey",2008,"Kolkata Knight Riders","Rajasthan Royals","Eden Gardens",11,1,15,0,"All",11,73.3333333333333
"David Hussey",2008,"Kolkata Knight Riders","Rajasthan Royals","Sawai Mansingh Stadium",42,1,30,0,"All",42,140
"David Hussey",2008,"Kolkata Knight Riders","Royal Challengers Bangalore","Eden Gardens",26,1,12,1,"All",Inf,216.666666666667
"David Hussey",2008,"Kolkata Knight Riders","Royal Challengers Bangalore","M Chinnaswamy Stadium",12,1,12,0,"All",12,100
"David Hussey",2009,"Kolkata Knight Riders","Chennai Super Kings","SuperSport Park",3,0,2,0,"All",Inf,150
"David Hussey",2009,"Kolkata Knight Riders","Deccan Chargers","New Wanderers Stadium",43,1,17,1,"All",Inf,252.941176470588
"David Hussey",2009,"Kolkata Knight Riders","Rajasthan Royals","Kingsmead",9,1,13,0,"All",9,69.2307692307692
"David Hussey",2009,"Kolkata Knight Riders","Royal Challengers Bangalore","SuperSport Park",43,1,27,0,"All",43,159.259259259259
"David Hussey",2010,"Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium",0,1,3,0,"All",0,0
"David Hussey",2010,"Kolkata Knight Riders","Deccan Chargers","Eden Gardens",31,1,27,0,"All",31,114.814814814815
"David Hussey",2010,"Kolkata Knight Riders","Delhi Capitals","Feroz Shah Kotla",29,1,32,0,"All",29,90.625
"David Hussey",2010,"Kolkata Knight Riders","Mumbai Indians","Eden Gardens",20,0,14,0,"All",Inf,142.857142857143
"David Hussey",2010,"Kolkata Knight Riders","Punjab Kings","Eden Gardens",11,0,5,0,"All",Inf,220
"David Hussey",2010,"Kolkata Knight Riders","Punjab Kings","Punjab Cricket Association Stadium",3,1,5,0,"All",3,60
"David Hussey",2011,"Punjab Kings","Delhi Capitals","Feroz Shah Kotla",20,1,10,0,"All",20,200
"David Hussey",2011,"Punjab Kings","Delhi Capitals","Himachal Pradesh Cricket Association Stadium",3,1,4,0,"All",3,75
"David Hussey",2011,"Punjab Kings","Kochi Tuskers Kerala","Holkar Cricket Stadium",21,0,15,0,"All",Inf,140
"David Hussey",2011,"Punjab Kings","Kolkata Knight Riders","Eden Gardens",15,1,20,0,"All",15,75
"David Hussey",2011,"Punjab Kings","Mumbai Indians","Punjab Cricket Association Stadium",0,1,3,0,"All",0,0
"David Hussey",2011,"Punjab Kings","Mumbai Indians","Wankhede Stadium",1,1,5,0,"All",1,20
"David Hussey",2011,"Punjab Kings","Pune Warriors","Punjab Cricket Association Stadium",4,1,5,0,"All",4,80
"David Hussey",2011,"Punjab Kings","Royal Challengers Bangalore","Himachal Pradesh Cricket Association Stadium",0,0,1,0,"All",NA,0
"David Hussey",2012,"Punjab Kings","Chennai Super Kings","Himachal Pradesh Cricket Association Stadium",9,1,9,0,"All",9,100
"David Hussey",2012,"Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium",7,1,4,0,"All",7,175
"David Hussey",2012,"Punjab Kings","Deccan Chargers","Punjab Cricket Association Stadium",65,0,35,0,"All",Inf,185.714285714286
"David Hussey",2012,"Punjab Kings","Deccan Chargers","Rajiv Gandhi International Stadium",16,1,16,0,"All",16,100
"David Hussey",2012,"Punjab Kings","Delhi Capitals","Feroz Shah Kotla",40,0,35,0,"All",Inf,114.285714285714
"David Hussey",2012,"Punjab Kings","Delhi Capitals","Himachal Pradesh Cricket Association Stadium",3,1,6,0,"All",3,50
"David Hussey",2012,"Punjab Kings","Kolkata Knight Riders","Eden Gardens",32,1,31,1,"All",Inf,103.225806451613
