"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2012,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",6,1,9,0,"All",6,66.6666666666667
"AB de Villiers",2012,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium",59,0,23,0,"All",Inf,256.521739130435
"AB de Villiers",2013,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",5,1,3,0,"All",5,166.666666666667
"AB de Villiers",2013,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",64,1,32,0,"All",64,200
"AB de Villiers",2013,"Royal Challengers Bangalore","Delhi Capitals","Feroz Shah Kotla",32,0,17,0,"All",Inf,188.235294117647
"AB de Villiers",2013,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",39,1,32,1,"All",Inf,121.875
"AB de Villiers",2013,"Royal Challengers Bangalore","Kolkata Knight Riders","JSCA International Stadium Complex",28,1,22,0,"All",28,127.272727272727
"AB de Villiers",2013,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",22,0,22,0,"All",Inf,100
"AB de Villiers",2013,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",2,1,3,0,"All",2,66.6666666666667
"AB de Villiers",2013,"Royal Challengers Bangalore","Pune Warriors","M Chinnaswamy Stadium",31,1,8,0,"All",31,387.5
"AB de Villiers",2013,"Royal Challengers Bangalore","Pune Warriors","Subrata Roy Sahara Stadium",50,0,23,0,"All",Inf,217.391304347826
"AB de Villiers",2013,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",6,1,2,0,"All",6,300
"AB de Villiers",2013,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association Stadium",38,0,19,0,"All",Inf,200
"AB de Villiers",2013,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",7,1,8,0,"All",7,87.5
"AB de Villiers",2013,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium",21,1,13,0,"All",21,161.538461538462
"AB de Villiers",2013,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",15,1,15,0,"All",15,100
"AB de Villiers",2014,"Royal Challengers Bangalore","Chennai Super Kings","JSCA International Stadium Complex",28,1,14,0,"All",28,200
"AB de Villiers",2014,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",10,1,6,0,"All",10,166.666666666667
"AB de Villiers",2014,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",33,1,17,0,"All",33,194.117647058824
"AB de Villiers",2014,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",13,1,13,0,"All",13,100
"AB de Villiers",2014,"Royal Challengers Bangalore","Kolkata Knight Riders","Sharjah Cricket Stadium",11,1,12,0,"All",11,91.6666666666667
"AB de Villiers",2014,"Royal Challengers Bangalore","Mumbai Indians","Dubai International Cricket Stadium",45,0,48,0,"All",Inf,93.75
"AB de Villiers",2014,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",9,1,7,0,"All",9,128.571428571429
"AB de Villiers",2014,"Royal Challengers Bangalore","Punjab Kings","Dubai International Cricket Stadium",17,1,15,0,"All",17,113.333333333333
"AB de Villiers",2014,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",53,1,26,0,"All",53,203.846153846154
"AB de Villiers",2014,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",58,1,32,0,"All",58,181.25
"AB de Villiers",2014,"Royal Challengers Bangalore","Rajasthan Royals","Sheikh Zayed Stadium",0,1,1,0,"All",0,0
