"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Chennai Super Kings","Chamara Kapugedera","MA Chidambaram Stadium",8,0,6,"All","All",Inf,8
"Chennai Super Kings","Chamara Kapugedera","Wankhede Stadium",26,0,5,"All","All",Inf,31.2
"Chennai Super Kings","Chandrasekar Ganapathy","MA Chidambaram Stadium",13,0,6,"All","All",Inf,13
"Chennai Super Kings","Chris Jordan","Brabourne Stadium",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Chris Jordan","Dr DY Patil Sports Academy",54,0,30,"All","All",Inf,10.8
"Chennai Super Kings","Chris Jordan","Maharashtra Cricket Association Stadium",58,0,23,"All","All",Inf,15.1304347826087
"Chennai Super Kings","Chris Morris","Eden Gardens",37,2,42,"All","All",18.5,5.28571428571429
"Chennai Super Kings","Chris Morris","Feroz Shah Kotla",39,2,30,"All","All",19.5,7.8
"Chennai Super Kings","Chris Morris","M Chinnaswamy Stadium",22,0,12,"All","All",Inf,11
"Chennai Super Kings","Chris Morris","MA Chidambaram Stadium",181,6,120,"All","All",30.1666666666667,9.05
"Chennai Super Kings","Chris Morris","Punjab Cricket Association Stadium",27,2,24,"All","All",13.5,6.75
"Chennai Super Kings","Chris Morris","Rajiv Gandhi International Stadium",24,1,12,"All","All",24,12
"Chennai Super Kings","Chris Morris","Sawai Mansingh Stadium",36,1,24,"All","All",36,9
"Chennai Super Kings","Chris Morris","Subrata Roy Sahara Stadium",21,1,18,"All","All",21,7
"Chennai Super Kings","Chris Morris","Wankhede Stadium",14,0,18,"All","All",Inf,4.66666666666667
"Chennai Super Kings","David Hussey","JSCA International Stadium Complex",38,2,17,"All","All",19,13.4117647058824
"Chennai Super Kings","David Willey","Maharashtra Cricket Association Stadium",48,1,36,"All","All",48,8
"Chennai Super Kings","David Willey","Sawai Mansingh Stadium",47,1,24,"All","All",47,11.75
"Chennai Super Kings","Deepak Chahar","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",28,2,24,"All","All",14,7
"Chennai Super Kings","Deepak Chahar","Arun Jaitley Stadium",58,0,42,"All","All",Inf,8.28571428571428
"Chennai Super Kings","Deepak Chahar","Dubai International Cricket Stadium",345,10,258,"All","All",34.5,8.02325581395349
"Chennai Super Kings","Deepak Chahar","Eden Gardens",36,0,24,"All","All",Inf,9
"Chennai Super Kings","Deepak Chahar","Feroz Shah Kotla",43,2,42,"All","All",21.5,6.14285714285714
"Chennai Super Kings","Deepak Chahar","M Chinnaswamy Stadium",45,2,36,"All","All",22.5,7.5
"Chennai Super Kings","Deepak Chahar","MA Chidambaram Stadium",252,10,189,"All","All",25.2,8
"Chennai Super Kings","Deepak Chahar","Maharashtra Cricket Association Stadium",95,4,85,"All","All",23.75,6.70588235294118
"Chennai Super Kings","Deepak Chahar","Punjab Cricket Association IS Bindra Stadium",65,0,42,"All","All",Inf,9.28571428571429
"Chennai Super Kings","Deepak Chahar","Rajiv Gandhi International Stadium",72,7,66,"All","All",10.2857142857143,6.54545454545454
"Chennai Super Kings","Deepak Chahar","Sawai Mansingh Stadium",33,2,24,"All","All",16.5,8.25
"Chennai Super Kings","Deepak Chahar","Sharjah Cricket Stadium",150,4,120,"All","All",37.5,7.5
"Chennai Super Kings","Deepak Chahar","Wankhede Stadium",226,11,186,"All","All",20.5454545454545,7.29032258064516
"Chennai Super Kings","Deepak Chahar","Zayed Cricket Stadium",159,4,114,"All","All",39.75,8.36842105263158
"Chennai Super Kings","Dirk Nannes","MA Chidambaram Stadium",141,2,96,"All","All",70.5,8.8125
"Chennai Super Kings","Dirk Nannes","Punjab Cricket Association Stadium",17,2,23,"All","All",8.5,4.43478260869565
"Chennai Super Kings","Doug Bollinger","Dr DY Patil Sports Academy",65,8,72,"All","All",8.125,5.41666666666667
"Chennai Super Kings","Doug Bollinger","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,2,13,"All","All",10,9.23076923076923
"Chennai Super Kings","Doug Bollinger","Eden Gardens",6,0,6,"All","All",Inf,6
"Chennai Super Kings","Doug Bollinger","Feroz Shah Kotla",18,0,12,"All","All",Inf,9
"Chennai Super Kings","Doug Bollinger","Himachal Pradesh Cricket Association Stadium",39,0,24,"All","All",Inf,9.75
"Chennai Super Kings","Doug Bollinger","M Chinnaswamy Stadium",34,0,24,"All","All",Inf,8.5
"Chennai Super Kings","Doug Bollinger","MA Chidambaram Stadium",390,20,317,"All","All",19.5,7.38170347003155
"Chennai Super Kings","Doug Bollinger","Nehru Stadium",18,1,18,"All","All",18,6
"Chennai Super Kings","Doug Bollinger","Sawai Mansingh Stadium",22,3,24,"All","All",7.33333333333333,5.5
"Chennai Super Kings","Doug Bollinger","Vidarbha Cricket Association Stadium",31,0,18,"All","All",Inf,10.3333333333333
"Chennai Super Kings","Doug Bollinger","Wankhede Stadium",50,3,48,"All","All",16.6666666666667,6.25
"Chennai Super Kings","Dwaine Pretorius","Brabourne Stadium",61,4,48,"All","All",15.25,7.625
"Chennai Super Kings","Dwaine Pretorius","Dr DY Patil Sports Academy",17,0,12,"All","All",Inf,8.5
"Chennai Super Kings","Dwaine Pretorius","Maharashtra Cricket Association Stadium",82,2,42,"All","All",41,11.7142857142857
"Chennai Super Kings","Dwaine Pretorius","Wankhede Stadium",50,0,24,"All","All",Inf,12.5
"Chennai Super Kings","Dwayne Bravo","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",19,2,24,"All","All",9.5,4.75
"Chennai Super Kings","Dwayne Bravo","Brabourne Stadium",67,2,42,"All","All",33.5,9.57142857142857
"Chennai Super Kings","Dwayne Bravo","Dr DY Patil Sports Academy",131,6,80,"All","All",21.8333333333333,9.825
"Chennai Super Kings","Dwayne Bravo","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",10,0,6,"All","All",Inf,10
"Chennai Super Kings","Dwayne Bravo","Dubai International Cricket Stadium",257,8,172,"All","All",32.125,8.96511627906977
"Chennai Super Kings","Dwayne Bravo","Eden Gardens",163,7,100,"All","All",23.2857142857143,9.78
"Chennai Super Kings","Dwayne Bravo","Feroz Shah Kotla",107,7,81,"All","All",15.2857142857143,7.92592592592593
"Chennai Super Kings","Dwayne Bravo","Himachal Pradesh Cricket Association Stadium",18,2,18,"All","All",9,6
"Chennai Super Kings","Dwayne Bravo","JSCA International Stadium Complex",21,1,18,"All","All",21,7
"Chennai Super Kings","Dwayne Bravo","M Chinnaswamy Stadium",149,8,120,"All","All",18.625,7.45
"Chennai Super Kings","Dwayne Bravo","MA Chidambaram Stadium",1001,43,737,"All","All",23.2790697674419,8.14925373134328
"Chennai Super Kings","Dwayne Bravo","Maharashtra Cricket Association Stadium",198,9,132,"All","All",22,9
"Chennai Super Kings","Dwayne Bravo","Punjab Cricket Association IS Bindra Stadium",64,1,48,"All","All",64,8
"Chennai Super Kings","Dwayne Bravo","Punjab Cricket Association Stadium",47,4,36,"All","All",11.75,7.83333333333333
"Chennai Super Kings","Dwayne Bravo","Rajiv Gandhi International Stadium",111,5,84,"All","All",22.2,7.92857142857143
"Chennai Super Kings","Dwayne Bravo","Sardar Patel Stadium",30,1,14,"All","All",30,12.8571428571429
"Chennai Super Kings","Dwayne Bravo","Sawai Mansingh Stadium",140,3,83,"All","All",46.6666666666667,10.1204819277108
"Chennai Super Kings","Dwayne Bravo","Sharjah Cricket Stadium",64,6,66,"All","All",10.6666666666667,5.81818181818182
"Chennai Super Kings","Dwayne Bravo","Subrata Roy Sahara Stadium",49,1,42,"All","All",49,7
"Chennai Super Kings","Dwayne Bravo","Wankhede Stadium",464,21,330,"All","All",22.0952380952381,8.43636363636364
"Chennai Super Kings","Dwayne Bravo","Zayed Cricket Stadium",37,3,24,"All","All",12.3333333333333,9.25
"Chennai Super Kings","Dwayne Smith","Barabati Stadium",36,1,18,"All","All",36,12
"Chennai Super Kings","Dwayne Smith","Eden Gardens",17,1,12,"All","All",17,8.5
"Chennai Super Kings","Dwayne Smith","Feroz Shah Kotla",9,0,6,"All","All",Inf,9
"Chennai Super Kings","Dwayne Smith","Sharjah Cricket Stadium",11,1,12,"All","All",11,5.5
"Chennai Super Kings","Dwayne Smith","Sheikh Zayed Stadium",39,2,24,"All","All",19.5,9.75
"Chennai Super Kings","Faf du Plessis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",16,0,6,"All","All",Inf,16
"Chennai Super Kings","Harbhajan Singh","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",31,2,24,"All","All",15.5,7.75
"Chennai Super Kings","Harbhajan Singh","Eden Gardens",20,1,18,"All","All",20,6.66666666666667
"Chennai Super Kings","Harbhajan Singh","Feroz Shah Kotla",54,0,36,"All","All",Inf,9
"Chennai Super Kings","Harbhajan Singh","M Chinnaswamy Stadium",24,0,12,"All","All",Inf,12
"Chennai Super Kings","Harbhajan Singh","MA Chidambaram Stadium",178,12,180,"All","All",14.8333333333333,5.93333333333333
"Chennai Super Kings","Harbhajan Singh","Maharashtra Cricket Association Stadium",107,3,89,"All","All",35.6666666666667,7.21348314606742
"Chennai Super Kings","Harbhajan Singh","Punjab Cricket Association IS Bindra Stadium",98,4,48,"All","All",24.5,12.25
"Chennai Super Kings","Harbhajan Singh","Rajiv Gandhi International Stadium",27,0,24,"All","All",Inf,6.75
"Chennai Super Kings","Harbhajan Singh","Sawai Mansingh Stadium",29,1,12,"All","All",29,14.5
"Chennai Super Kings","Harbhajan Singh","Wankhede Stadium",14,0,12,"All","All",Inf,7
"Chennai Super Kings","Imran Tahir","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",28,1,24,"All","All",28,7
"Chennai Super Kings","Imran Tahir","Dubai International Cricket Stadium",30,0,24,"All","All",Inf,7.5
"Chennai Super Kings","Imran Tahir","Eden Gardens",27,4,24,"All","All",6.75,6.75
"Chennai Super Kings","Imran Tahir","Feroz Shah Kotla",20,1,12,"All","All",20,10
