Match_Id,Stadium,Toss,POTM,Match_days,Batting.Team,Chasing.Team,Season
501246,Wankhede Stadium,"Delhi Capitals, Bowl",Ambati Rayudu,"7 May 2011, Night","Aiden Blizzard, Sachin Tendulkar, Ambati Rayudu, Rohit Sharma, Kieron Pollard, Andrew Symonds, Tirumalasetti Suman, Dhawal Kulkarni, Harbhajan Singh, Munaf Patel, Lasith Malinga","Virender Sehwag, David Warner, Colin Ingram, Naman Ojha, Venugopal Rao, James Hopes, Irfan Pathan, Yogesh Nagar, Ajit Agarkar, Morne Morkel, Shahbaz Nadeem",2011
501247,M Chinnaswamy Stadium,"Kochi Tuskers Kerala, Bat",Chris Gayle,"8 May 2011, Daynight","Michael Klinger, Brendon McCullum, Parthiv Patel, Mahela Jayawardene, Brad Hodge, Ravindra Jadeja, Raiphi Gomez, Vinay Kumar, Ramesh Powar, RP Singh, Prasanth Parameswaran","Chris Gayle, Tillakaratne Dilshan, Virat Kohli, AB de Villiers, †, Cheteshwar Pujara, Mohammad Kaif, Saurabh Tiwary, Daniel Vettori, (c), Zaheer Khan, Sreenath Aravind, Abhimanyu Mithun",2011
501248,Punjab Cricket Association Stadium,"Punjab Kings, Bat",Rahul Sharma,"8 May 2011, Night","Adam Gilchrist, Paul Valthaty, Shaun Marsh, Dinesh Karthik, David Hussey, Mandeep Singh, Siddharth Chitnis, Ryan Harris, Praveen Kumar, Shalabh Srivastava, Bhargav Bhatt","Jesse Ryder, Manish Pandey, Robin Uthappa, Yuvraj Singh, Callum Ferguson, Abhishek Jhunjhunwala, Mitchell Marsh, Shrikant Wagh, Rahul Sharma, Wayne Parnell, Bhuvneshwar Kumar",2011
501249,Sawai Mansingh Stadium,"Rajasthan Royals, Bowl",Murali Vijay,"9 May 2011, Night","Michael Hussey, Murali Vijay, Suresh Raina, MS Dhoni, Albie Morkel, S Badrinath, Dwayne Bravo, Wriddhiman Saha, Ravichandran Ashwin, Doug Bollinger, Shadab Jakati","Shane Watson, Rahul Dravid, Ajinkya Rahane, Ross Taylor, Ashok Menaria, Johan Botha, Abhishek Raut, Dishant Yagnik, Amit Singh, Siddharth Trivedi, Shane Warne",2011
501250,Rajiv Gandhi International Stadium,"Deccan Chargers, Bat",Mitchell Marsh,"10 May 2011, Daynight","Shikhar Dhawan, Dwaraka Ravi Teja, Kumar Sangakkara, Jean-Paul Duminy, Dan Christian, Bharat Chipli, Sunny Sohal, Amit Mishra, Dale Steyn, Ishant Sharma, Pragyan Ojha","Jesse Ryder, Manish Pandey, Sourav Ganguly, Robin Uthappa, Yuvraj Singh, Callum Ferguson, Mitchell Marsh, Wayne Parnell, Shrikant Wagh, Rahul Sharma, Bhuvneshwar Kumar",2011
501251,Punjab Cricket Association Stadium,"Mumbai Indians, Bowl",Bhargav Bhatt,"10 May 2011, Night","Paul Valthaty, Adam Gilchrist, Shaun Marsh, Dinesh Karthik, David Hussey, Mandeep Singh, Bipul Sharma, Ryan Harris, Praveen Kumar, Shalabh Srivastava, Bhargav Bhatt","Aiden Blizzard, Sachin Tendulkar, Rohit Sharma, Andrew Symonds, Ambati Rayudu, Tirumalasetti Suman, Kieron Pollard, Harbhajan Singh, Dhawal Kulkarni, Lasith Malinga, Munaf Patel",2011
501252,Sawai Mansingh Stadium,"Royal Challengers Bangalore, Bowl",Sreenath Aravind,"11 May 2011, Night","Shane Watson, Rahul Dravid, Ajinkya Rahane, Johan Botha, Ross Taylor, Ashok Menaria, Abhishek Raut, Dishant Yagnik, Shane Warne, (c), Siddharth Trivedi, Pankaj Singh","Chris Gayle, Tillakaratne Dilshan, Virat Kohli, AB de Villiers, Arun Karthik, †, Mohammad Kaif, Saurabh Tiwary, Abrar Kazi, Zaheer Khan, Sreenath Aravind, Charl Langeveldt",2011
501253,MA Chidambaram Stadium,"Chennai Super Kings, Bat",MS Dhoni,"12 May 2011, Night","Michael Hussey, Murali Vijay, Suresh Raina, S Badrinath, MS Dhoni, Wriddhiman Saha, Albie Morkel, Dwayne Bravo, Ravichandran Ashwin, Doug Bollinger, Shadab Jakati","Naman Ojha, David Warner, Colin Ingram, Irfan Pathan, Venugopal Rao, James Hopes, Andrew McDonald, Yogesh Nagar, Ajit Agarkar, Shahbaz Nadeem, Varun Aaron",2011
501254,Holkar Cricket Stadium,"Punjab Kings, Bowl",Dinesh Karthik,"13 May 2011, Night","Brendon McCullum, Mahela Jayawardene, Ravindra Jadeja, Brad Hodge, Owais Shah, Parthiv Patel, Raiphi Gomez, Vinay Kumar, RP Singh, Prasanth Parameswaran, Sreesanth","Adam Gilchrist, Paul Valthaty, Shaun Marsh, Dinesh Karthik, David Hussey, Mandeep Singh, Bipul Sharma, Shalabh Srivastava, Piyush Chawla, Ryan Harris, Bhargav Bhatt",2011
501255,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Bowl",Chris Gayle,"14 May 2011, Daynight","Jacques Kallis, Eoin Morgan, Gautam Gambhir, Manoj Tiwary, Yusuf Pathan, Mark Boucher, Rajat Bhatia, Iqbal Abdulla, Brett Lee, Lakshmipathy Balaji, Jaydev Unadkat","Chris Gayle, Luke Pomersbach, Virat Kohli, AB de Villiers, Mohammad Kaif, Arun Karthik, Saurabh Tiwary, Abhimanyu Mithun, Zaheer Khan, Sreenath Aravind, Charl Langeveldt",2011
